# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 9.809089999999999426e-45
4.040000000000000036e+00 4.456130000000000039e-43
4.059999999999999609e+00 1.608549999999999914e-41
4.080000000000000071e+00 4.947820000000000188e-40
4.099999999999999645e+00 1.305050000000000095e-38
4.120000000000000107e+00 2.972390000000000193e-37
4.139999999999999680e+00 5.884420000000000112e-36
4.160000000000000142e+00 1.018920000000000102e-34
4.179999999999999716e+00 1.552650000000000058e-33
4.200000000000000178e+00 2.094290000000000087e-32
4.219999999999999751e+00 2.514190000000000159e-31
4.240000000000000213e+00 2.700339999999999856e-30
4.259999999999999787e+00 2.607999999999999881e-29
4.280000000000000249e+00 2.275989999999999867e-28
4.299999999999999822e+00 1.802819999999999910e-27
4.320000000000000284e+00 1.301970000000000134e-26
4.339999999999999858e+00 8.607679999999999542e-26
4.360000000000000320e+00 5.230899999999999608e-25
4.379999999999999893e+00 2.932890000000000117e-24
4.400000000000000355e+00 1.522839999999999913e-23
4.419999999999999929e+00 7.347270000000000163e-23
4.440000000000000391e+00 3.305109999999999868e-22
4.459999999999999964e+00 1.390520000000000023e-21
4.480000000000000426e+00 5.488360000000000090e-21
4.500000000000000000e+00 2.038010000000000001e-20
4.519999999999999574e+00 7.139879999999999742e-20
4.540000000000000036e+00 2.366000000000000064e-19
4.559999999999999609e+00 7.435249999999999591e-19
4.580000000000000071e+00 2.220999999999999969e-18
4.599999999999999645e+00 6.321100000000000207e-18
4.620000000000000107e+00 1.717729999999999872e-17
4.639999999999999680e+00 4.466360000000000014e-17
4.660000000000000142e+00 1.113430000000000030e-16
4.679999999999999716e+00 2.666270000000000034e-16
4.700000000000000178e+00 6.144020000000000191e-16
4.719999999999999751e+00 1.364819999999999959e-15
4.740000000000000213e+00 2.927479999999999993e-15
4.769999999999999574e+00 6.072880000000000183e-15
4.790000000000000036e+00 1.220169999999999946e-14
4.809999999999999609e+00 2.377989999999999973e-14
4.830000000000000071e+00 4.501590000000000007e-14
4.849999999999999645e+00 8.288039999999999993e-14
4.870000000000000107e+00 1.485960000000000062e-13
4.889999999999999680e+00 2.597529999999999939e-13
4.910000000000000142e+00 4.432140000000000237e-13
4.929999999999999716e+00 7.389819999999999909e-13
4.950000000000000178e+00 1.198450000000000008e-12
4.969999999999999751e+00 1.885259999999999986e-12
4.990000000000000213e+00 2.913950000000000120e-12
5.009999999999999787e+00 4.426879999999999813e-12
5.030000000000000249e+00 6.612720000000000120e-12
5.049999999999999822e+00 9.716469999999999289e-12
5.070000000000000284e+00 1.405010000000000048e-11
5.089999999999999858e+00 2.000279999999999955e-11
5.110000000000000320e+00 2.805229999999999912e-11
5.129999999999999893e+00 3.877240000000000148e-11
5.150000000000000355e+00 5.284409999999999694e-11
5.169999999999999929e+00 7.105540000000000518e-11
5.190000000000000391e+00 9.431160000000000135e-11
5.209999999999999964e+00 1.236279999999999995e-10
5.230000000000000426e+00 1.601299999999999940e-10
5.250000000000000000e+00 2.050459999999999969e-10
5.269999999999999574e+00 2.596900000000000100e-10
5.290000000000000036e+00 3.254599999999999804e-10
5.309999999999999609e+00 4.038020000000000083e-10
5.330000000000000071e+00 4.962030000000000286e-10
5.349999999999999645e+00 6.041610000000000192e-10
5.370000000000000107e+00 7.291689999999999663e-10
5.389999999999999680e+00 8.726759999999999961e-10
5.410000000000000142e+00 1.036069999999999918e-09
5.429999999999999716e+00 1.220640000000000037e-09
5.450000000000000178e+00 1.427590000000000030e-09
5.469999999999999751e+00 1.657959999999999928e-09
5.490000000000000213e+00 1.912650000000000007e-09
5.509999999999999787e+00 2.192379999999999826e-09
5.530000000000000249e+00 2.497700000000000174e-09
5.549999999999999822e+00 2.828960000000000124e-09
5.570000000000000284e+00 3.186270000000000000e-09
5.589999999999999858e+00 3.569570000000000113e-09
5.610000000000000320e+00 3.978600000000000302e-09
5.629999999999999893e+00 4.412839999999999829e-09
5.650000000000000355e+00 4.871610000000000303e-09
5.669999999999999929e+00 5.354020000000000088e-09
5.690000000000000391e+00 5.859030000000000187e-09
5.709999999999999964e+00 6.385370000000000254e-09
5.730000000000000426e+00 6.931649999999999736e-09
5.750000000000000000e+00 7.496319999999999194e-09
5.769999999999999574e+00 8.077770000000000737e-09
5.790000000000000036e+00 8.674170000000000043e-09
5.809999999999999609e+00 9.283710000000000814e-09
5.830000000000000071e+00 9.904459999999999937e-09
5.849999999999999645e+00 1.053440000000000035e-08
5.870000000000000107e+00 1.117160000000000059e-08
5.889999999999999680e+00 1.181400000000000077e-08
5.910000000000000142e+00 1.245960000000000028e-08
5.929999999999999716e+00 1.310640000000000015e-08
5.950000000000000178e+00 1.375239999999999978e-08
5.969999999999999751e+00 1.439570000000000065e-08
5.990000000000000213e+00 1.503439999999999929e-08
6.009999999999999787e+00 1.566670000000000092e-08
6.030000000000000249e+00 1.629090000000000131e-08
6.049999999999999822e+00 1.690539999999999996e-08
6.070000000000000284e+00 1.750869999999999849e-08
6.089999999999999858e+00 1.809919999999999970e-08
6.110000000000000320e+00 1.867570000000000159e-08
6.129999999999999893e+00 1.923680000000000123e-08
6.150000000000000355e+00 1.978159999999999960e-08
6.169999999999999929e+00 2.030900000000000008e-08
6.190000000000000391e+00 2.081810000000000031e-08
6.209999999999999964e+00 2.130800000000000128e-08
6.230000000000000426e+00 2.177819999999999910e-08
6.250000000000000000e+00 2.222799999999999893e-08
6.269999999999999574e+00 2.265690000000000021e-08
6.290000000000000036e+00 2.306450000000000116e-08
6.309999999999999609e+00 2.345060000000000089e-08
6.330000000000000071e+00 2.381489999999999972e-08
6.349999999999999645e+00 2.415729999999999887e-08
6.370000000000000107e+00 2.447769999999999955e-08
6.389999999999999680e+00 2.477629999999999932e-08
6.410000000000000142e+00 2.505290000000000062e-08
6.429999999999999716e+00 2.530789999999999860e-08
6.450000000000000178e+00 2.554139999999999867e-08
6.469999999999999751e+00 2.575359999999999842e-08
6.490000000000000213e+00 2.594489999999999961e-08
6.509999999999999787e+00 2.611549999999999982e-08
6.530000000000000249e+00 2.626599999999999843e-08
6.549999999999999822e+00 2.639659999999999961e-08
6.570000000000000284e+00 2.650780000000000063e-08
6.589999999999999858e+00 2.659999999999999996e-08
6.610000000000000320e+00 2.667389999999999905e-08
6.629999999999999893e+00 2.672969999999999880e-08
6.650000000000000355e+00 2.676810000000000065e-08
6.669999999999999929e+00 2.678949999999999977e-08
6.690000000000000391e+00 2.679460000000000092e-08
6.709999999999999964e+00 2.678379999999999926e-08
6.730000000000000426e+00 2.675759999999999867e-08
6.750000000000000000e+00 2.671670000000000060e-08
6.769999999999999574e+00 2.666159999999999900e-08
6.790000000000000036e+00 2.659269999999999896e-08
6.809999999999999609e+00 2.651069999999999863e-08
6.830000000000000071e+00 2.641609999999999856e-08
6.849999999999999645e+00 2.630950000000000143e-08
6.870000000000000107e+00 2.619129999999999909e-08
6.889999999999999680e+00 2.606199999999999872e-08
6.910000000000000142e+00 2.592229999999999847e-08
6.929999999999999716e+00 2.577269999999999890e-08
6.950000000000000178e+00 2.561349999999999970e-08
6.969999999999999751e+00 2.544539999999999901e-08
6.990000000000000213e+00 2.526879999999999860e-08
7.009999999999999787e+00 2.508410000000000026e-08
7.030000000000000249e+00 2.489190000000000004e-08
7.049999999999999822e+00 2.469259999999999970e-08
7.070000000000000284e+00 2.448669999999999982e-08
7.089999999999999858e+00 2.427459999999999887e-08
7.110000000000000320e+00 2.405659999999999983e-08
7.129999999999999893e+00 2.383329999999999875e-08
7.150000000000000355e+00 2.360499999999999862e-08
7.169999999999999929e+00 2.337210000000000121e-08
7.190000000000000391e+00 2.313489999999999959e-08
7.209999999999999964e+00 2.289390000000000094e-08
7.230000000000000426e+00 2.264929999999999953e-08
7.259999999999999787e+00 2.240159999999999924e-08
7.280000000000000249e+00 2.215089999999999885e-08
7.299999999999999822e+00 2.189769999999999894e-08
7.320000000000000284e+00 2.164229999999999918e-08
7.339999999999999858e+00 2.138479999999999837e-08
7.360000000000000320e+00 2.112560000000000158e-08
7.379999999999999893e+00 2.086489999999999978e-08
7.400000000000000355e+00 2.060299999999999927e-08
7.419999999999999929e+00 2.034010000000000093e-08
7.440000000000000391e+00 2.007639999999999904e-08
7.459999999999999964e+00 1.981219999999999989e-08
7.480000000000000426e+00 1.954759999999999896e-08
7.500000000000000000e+00 1.928269999999999836e-08
7.519999999999999574e+00 1.901789999999999985e-08
7.540000000000000036e+00 1.875320000000000013e-08
7.559999999999999609e+00 1.848889999999999888e-08
7.580000000000000071e+00 1.822499999999999941e-08
7.599999999999999645e+00 1.796169999999999930e-08
7.620000000000000107e+00 1.769910000000000064e-08
7.639999999999999680e+00 1.743740000000000102e-08
7.660000000000000142e+00 1.717660000000000043e-08
7.679999999999999716e+00 1.691689999999999976e-08
7.700000000000000178e+00 1.665849999999999991e-08
7.719999999999999751e+00 1.640129999999999877e-08
7.740000000000000213e+00 1.614539999999999845e-08
7.759999999999999787e+00 1.589109999999999861e-08
7.780000000000000249e+00 1.563830000000000048e-08
7.799999999999999822e+00 1.538709999999999953e-08
7.820000000000000284e+00 1.513769999999999995e-08
7.839999999999999858e+00 1.488999999999999966e-08
7.860000000000000320e+00 1.464410000000000075e-08
7.879999999999999893e+00 1.440020000000000079e-08
7.900000000000000355e+00 1.415819999999999935e-08
7.919999999999999929e+00 1.391830000000000063e-08
7.940000000000000391e+00 1.368039999999999920e-08
7.959999999999999964e+00 1.344469999999999928e-08
7.980000000000000426e+00 1.321119999999999921e-08
8.000000000000000000e+00 1.297990000000000064e-08
8.019999999999999574e+00 1.275099999999999950e-08
8.039999999999999147e+00 1.252429999999999986e-08
8.060000000000000497e+00 1.229999999999999930e-08
8.080000000000000071e+00 1.207809999999999947e-08
8.099999999999999645e+00 1.185869999999999918e-08
8.119999999999999218e+00 1.164169999999999962e-08
8.140000000000000568e+00 1.142730000000000003e-08
8.160000000000000142e+00 1.121539999999999996e-08
8.179999999999999716e+00 1.100609999999999987e-08
8.199999999999999289e+00 1.079929999999999930e-08
8.220000000000000639e+00 1.059520000000000080e-08
8.240000000000000213e+00 1.039379999999999941e-08
8.259999999999999787e+00 1.019499999999999964e-08
8.279999999999999361e+00 9.998890000000000406e-09
8.300000000000000711e+00 9.805470000000000055e-09
8.320000000000000284e+00 9.614750000000000118e-09
8.339999999999999858e+00 9.426750000000000353e-09
8.359999999999999432e+00 9.241470000000000762e-09
8.380000000000000782e+00 9.058929999999999446e-09
8.400000000000000355e+00 8.879119999999999836e-09
8.419999999999999929e+00 8.702040000000000278e-09
8.439999999999999503e+00 8.527700000000000651e-09
8.460000000000000853e+00 8.356089999999999421e-09
8.480000000000000426e+00 8.187200000000000017e-09
8.500000000000000000e+00 8.021040000000000665e-09
