# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 2.802599999999999909e-45
4.259999999999999787e+00 1.401300000000000079e-43
4.280000000000000249e+00 5.102129999999999757e-42
4.299999999999999822e+00 1.581199999999999983e-40
4.320000000000000284e+00 4.201160000000000237e-39
4.339999999999999858e+00 9.634300000000000373e-38
4.360000000000000320e+00 1.919900000000000050e-36
4.379999999999999893e+00 3.345399999999999809e-35
4.400000000000000355e+00 5.128839999999999574e-34
4.419999999999999929e+00 6.957400000000000025e-33
4.440000000000000391e+00 8.398199999999999940e-32
4.459999999999999964e+00 9.067339999999999462e-31
4.480000000000000426e+00 8.801570000000000483e-30
4.500000000000000000e+00 7.717399999999999729e-29
4.519999999999999574e+00 6.141199999999999873e-28
4.540000000000000036e+00 4.454170000000000283e-27
4.559999999999999609e+00 2.957170000000000016e-26
4.580000000000000071e+00 1.804140000000000099e-25
4.599999999999999645e+00 1.015430000000000054e-24
4.620000000000000107e+00 5.291269999999999813e-24
4.639999999999999680e+00 2.561720000000000057e-23
4.660000000000000142e+00 1.156170000000000049e-22
4.679999999999999716e+00 4.879720000000000238e-22
4.700000000000000178e+00 1.931740000000000084e-21
4.719999999999999751e+00 7.193810000000000259e-21
4.740000000000000213e+00 2.527160000000000002e-20
4.769999999999999574e+00 8.396609999999999949e-20
4.790000000000000036e+00 2.645189999999999866e-19
4.809999999999999609e+00 7.920359999999999546e-19
4.830000000000000071e+00 2.259319999999999854e-18
4.849999999999999645e+00 6.153100000000000023e-18
4.870000000000000107e+00 1.603220000000000010e-17
4.889999999999999680e+00 4.004560000000000206e-17
4.910000000000000142e+00 9.607639999999999515e-17
4.929999999999999716e+00 2.217979999999999903e-16
4.950000000000000178e+00 4.935450000000000158e-16
4.969999999999999751e+00 1.060359999999999938e-15
4.990000000000000213e+00 2.203120000000000190e-15
5.009999999999999787e+00 4.433189999999999763e-15
5.030000000000000249e+00 8.652380000000000387e-15
5.049999999999999822e+00 1.640130000000000088e-14
5.070000000000000284e+00 3.023649999999999819e-14
5.089999999999999858e+00 5.427879999999999839e-14
5.110000000000000320e+00 9.499609999999999444e-14
5.129999999999999893e+00 1.622729999999999892e-13
5.150000000000000355e+00 2.708570000000000039e-13
5.169999999999999929e+00 4.400790000000000073e-13
5.190000000000000391e+00 6.929189999999999679e-13
5.209999999999999964e+00 1.071969999999999925e-12
5.230000000000000426e+00 1.629990000000000005e-12
5.250000000000000000e+00 2.436960000000000150e-12
5.269999999999999574e+00 3.583819999999999970e-12
5.290000000000000036e+00 5.186520000000000401e-12
5.309999999999999609e+00 7.390029999999999359e-12
5.330000000000000071e+00 1.037190000000000026e-11
5.349999999999999645e+00 1.434670000000000065e-11
5.370000000000000107e+00 1.956809999999999858e-11
5.389999999999999680e+00 2.633109999999999955e-11
5.410000000000000142e+00 3.497369999999999990e-11
5.429999999999999716e+00 4.587609999999999836e-11
5.450000000000000178e+00 5.946089999999999678e-11
5.469999999999999751e+00 7.618829999999999839e-11
5.490000000000000213e+00 9.655210000000000255e-11
5.509999999999999787e+00 1.210770000000000101e-10
5.530000000000000249e+00 1.503089999999999873e-10
5.549999999999999822e+00 1.848089999999999974e-10
5.570000000000000284e+00 2.251409999999999932e-10
5.589999999999999858e+00 2.718679999999999963e-10
5.610000000000000320e+00 3.255399999999999946e-10
5.629999999999999893e+00 3.866849999999999939e-10
5.650000000000000355e+00 4.557930000000000100e-10
5.669999999999999929e+00 5.333179999999999568e-10
5.690000000000000391e+00 6.196650000000000517e-10
5.709999999999999964e+00 7.151769999999999799e-10
5.730000000000000426e+00 8.201310000000000499e-10
5.750000000000000000e+00 9.347409999999999261e-10
5.769999999999999574e+00 1.059150000000000008e-09
5.790000000000000036e+00 1.193409999999999914e-09
5.809999999999999609e+00 1.337499999999999982e-09
5.830000000000000071e+00 1.491330000000000060e-09
5.849999999999999645e+00 1.654729999999999930e-09
5.870000000000000107e+00 1.827440000000000050e-09
5.889999999999999680e+00 2.009130000000000071e-09
5.910000000000000142e+00 2.199430000000000128e-09
5.929999999999999716e+00 2.397849999999999945e-09
5.950000000000000178e+00 2.603890000000000197e-09
5.969999999999999751e+00 2.816970000000000044e-09
5.990000000000000213e+00 3.036479999999999838e-09
6.009999999999999787e+00 3.261760000000000118e-09
6.030000000000000249e+00 3.492099999999999966e-09
6.049999999999999822e+00 3.726799999999999993e-09
6.070000000000000284e+00 3.965119999999999642e-09
6.089999999999999858e+00 4.206300000000000250e-09
6.110000000000000320e+00 4.449580000000000262e-09
6.129999999999999893e+00 4.694199999999999775e-09
6.150000000000000355e+00 4.939430000000000178e-09
6.169999999999999929e+00 5.184519999999999794e-09
6.190000000000000391e+00 5.428749999999999891e-09
6.209999999999999964e+00 5.671419999999999840e-09
6.230000000000000426e+00 5.911860000000000304e-09
6.250000000000000000e+00 6.149439999999999808e-09
6.269999999999999574e+00 6.383530000000000186e-09
6.290000000000000036e+00 6.613579999999999820e-09
6.309999999999999609e+00 6.839040000000000405e-09
6.330000000000000071e+00 7.059440000000000181e-09
6.349999999999999645e+00 7.274299999999999995e-09
6.370000000000000107e+00 7.483220000000000552e-09
6.389999999999999680e+00 7.685840000000000417e-09
6.410000000000000142e+00 7.881819999999999568e-09
6.429999999999999716e+00 8.070869999999999862e-09
6.450000000000000178e+00 8.252739999999999359e-09
6.469999999999999751e+00 8.427230000000000480e-09
6.490000000000000213e+00 8.594140000000000682e-09
6.509999999999999787e+00 8.753339999999999884e-09
6.530000000000000249e+00 8.904729999999999296e-09
6.549999999999999822e+00 9.048220000000000007e-09
6.570000000000000284e+00 9.183759999999999314e-09
6.589999999999999858e+00 9.311330000000000767e-09
6.610000000000000320e+00 9.430929999999999402e-09
6.629999999999999893e+00 9.542579999999999942e-09
6.650000000000000355e+00 9.646320000000000248e-09
6.669999999999999929e+00 9.742219999999999472e-09
6.690000000000000391e+00 9.830350000000000076e-09
6.709999999999999964e+00 9.910820000000000730e-09
6.730000000000000426e+00 9.983710000000000465e-09
6.750000000000000000e+00 1.004920000000000041e-08
6.769999999999999574e+00 1.010730000000000045e-08
6.790000000000000036e+00 1.015830000000000038e-08
6.809999999999999609e+00 1.020220000000000019e-08
6.830000000000000071e+00 1.023920000000000079e-08
6.849999999999999645e+00 1.026949999999999974e-08
6.870000000000000107e+00 1.029329999999999960e-08
6.889999999999999680e+00 1.031070000000000080e-08
6.910000000000000142e+00 1.032189999999999927e-08
6.929999999999999716e+00 1.032700000000000042e-08
6.950000000000000178e+00 1.032630000000000062e-08
6.969999999999999751e+00 1.031990000000000031e-08
6.990000000000000213e+00 1.030800000000000039e-08
7.009999999999999787e+00 1.029069999999999963e-08
7.030000000000000249e+00 1.026839999999999982e-08
7.049999999999999822e+00 1.024109999999999930e-08
7.070000000000000284e+00 1.020909999999999941e-08
7.089999999999999858e+00 1.017250000000000060e-08
7.110000000000000320e+00 1.013139999999999998e-08
7.129999999999999893e+00 1.008619999999999935e-08
7.150000000000000355e+00 1.003700000000000081e-08
7.169999999999999929e+00 9.983860000000000304e-09
7.190000000000000391e+00 9.927079999999999183e-09
7.209999999999999964e+00 9.866820000000000469e-09
7.230000000000000426e+00 9.803230000000000691e-09
7.259999999999999787e+00 9.736479999999999448e-09
7.280000000000000249e+00 9.666769999999999283e-09
7.299999999999999822e+00 9.594230000000000276e-09
7.320000000000000284e+00 9.519040000000000249e-09
7.339999999999999858e+00 9.441350000000000696e-09
7.360000000000000320e+00 9.361329999999999560e-09
7.379999999999999893e+00 9.279120000000000110e-09
7.400000000000000355e+00 9.194870000000000530e-09
7.419999999999999929e+00 9.108720000000000781e-09
7.440000000000000391e+00 9.020810000000000823e-09
7.459999999999999964e+00 8.931280000000000616e-09
7.480000000000000426e+00 8.840250000000000363e-09
7.500000000000000000e+00 8.747860000000000023e-09
7.519999999999999574e+00 8.654219999999999920e-09
7.540000000000000036e+00 8.559450000000000257e-09
7.559999999999999609e+00 8.463659999999999702e-09
7.580000000000000071e+00 8.366960000000000232e-09
7.599999999999999645e+00 8.269450000000000638e-09
7.620000000000000107e+00 8.171229999999999709e-09
7.639999999999999680e+00 8.072389999999999666e-09
7.660000000000000142e+00 7.973019999999999419e-09
7.679999999999999716e+00 7.873209999999999533e-09
7.700000000000000178e+00 7.773040000000000695e-09
7.719999999999999751e+00 7.672580000000000403e-09
7.740000000000000213e+00 7.571909999999999343e-09
7.759999999999999787e+00 7.471099999999999978e-09
7.780000000000000249e+00 7.370209999999999926e-09
7.799999999999999822e+00 7.269309999999999995e-09
7.820000000000000284e+00 7.168450000000000407e-09
7.839999999999999858e+00 7.067689999999999610e-09
7.860000000000000320e+00 6.967090000000000185e-09
7.879999999999999893e+00 6.866689999999999994e-09
7.900000000000000355e+00 6.766549999999999965e-09
7.919999999999999929e+00 6.666709999999999615e-09
7.940000000000000391e+00 6.567210000000000114e-09
7.959999999999999964e+00 6.468100000000000029e-09
7.980000000000000426e+00 6.369419999999999704e-09
8.000000000000000000e+00 6.271199999999999603e-09
8.019999999999999574e+00 6.173470000000000189e-09
8.039999999999999147e+00 6.076280000000000032e-09
8.060000000000000497e+00 5.979659999999999594e-09
8.080000000000000071e+00 5.883640000000000168e-09
8.099999999999999645e+00 5.788259999999999614e-09
8.119999999999999218e+00 5.693530000000000294e-09
8.140000000000000568e+00 5.599480000000000189e-09
8.160000000000000142e+00 5.506149999999999644e-09
8.179999999999999716e+00 5.413560000000000070e-09
8.199999999999999289e+00 5.321730000000000399e-09
8.220000000000000639e+00 5.230690000000000266e-09
8.240000000000000213e+00 5.140470000000000138e-09
8.259999999999999787e+00 5.051079999999999891e-09
8.279999999999999361e+00 4.962540000000000112e-09
8.300000000000000711e+00 4.874869999999999731e-09
8.320000000000000284e+00 4.788090000000000161e-09
8.339999999999999858e+00 4.702220000000000333e-09
8.359999999999999432e+00 4.617270000000000124e-09
8.380000000000000782e+00 4.533270000000000001e-09
8.400000000000000355e+00 4.450219999999999962e-09
8.419999999999999929e+00 4.368139999999999766e-09
8.439999999999999503e+00 4.287040000000000118e-09
8.460000000000000853e+00 4.206930000000000071e-09
8.480000000000000426e+00 4.127830000000000210e-09
8.500000000000000000e+00 4.049729999999999828e-09
