# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 1.401299999999999954e-45
4.339999999999999858e+00 6.726230000000000398e-44
4.360000000000000320e+00 2.492909999999999945e-42
4.379999999999999893e+00 7.833539999999999995e-41
4.400000000000000355e+00 2.108819999999999842e-39
4.419999999999999929e+00 4.896940000000000401e-38
4.440000000000000391e+00 9.875900000000000355e-37
4.459999999999999964e+00 1.740640000000000024e-35
4.480000000000000426e+00 2.697819999999999822e-34
4.500000000000000000e+00 3.697960000000000167e-33
4.519999999999999574e+00 4.508360000000000082e-32
4.540000000000000036e+00 4.913949999999999785e-31
4.559999999999999609e+00 4.813350000000000005e-30
4.580000000000000071e+00 4.257120000000000050e-29
4.599999999999999645e+00 3.415750000000000180e-28
4.620000000000000107e+00 2.497039999999999856e-27
4.639999999999999680e+00 1.670260000000000062e-26
4.660000000000000142e+00 1.026409999999999945e-25
4.679999999999999716e+00 5.816749999999999831e-25
4.700000000000000178e+00 3.050970000000000003e-24
4.719999999999999751e+00 1.486379999999999961e-23
4.740000000000000213e+00 6.748609999999999636e-23
4.769999999999999574e+00 2.864619999999999938e-22
4.790000000000000036e+00 1.140210000000000055e-21
4.809999999999999609e+00 4.268290000000000323e-21
4.830000000000000071e+00 1.506910000000000017e-20
4.849999999999999645e+00 5.030590000000000044e-20
4.870000000000000107e+00 1.591980000000000022e-19
4.889999999999999680e+00 4.787439999999999965e-19
4.910000000000000142e+00 1.371290000000000043e-18
4.929999999999999716e+00 3.749359999999999746e-18
4.950000000000000178e+00 9.805980000000000572e-18
4.969999999999999751e+00 2.458179999999999965e-17
4.990000000000000213e+00 5.917860000000000033e-17
5.009999999999999787e+00 1.370630000000000048e-16
5.030000000000000249e+00 3.059550000000000086e-16
5.049999999999999822e+00 6.593010000000000019e-16
5.070000000000000284e+00 1.373739999999999915e-15
5.089999999999999858e+00 2.771829999999999920e-15
5.110000000000000320e+00 5.423919999999999988e-15
5.129999999999999893e+00 1.030710000000000058e-14
5.150000000000000355e+00 1.904660000000000148e-14
5.169999999999999929e+00 3.426879999999999707e-14
5.190000000000000391e+00 6.010529999999999634e-14
5.209999999999999964e+00 1.028849999999999953e-13
5.230000000000000426e+00 1.720670000000000028e-13
5.250000000000000000e+00 2.805059999999999965e-13
5.269999999999999574e+00 4.423610000000000171e-13
5.290000000000000036e+00 6.854289999999999665e-13
5.309999999999999609e+00 1.043839999999999922e-12
5.330000000000000071e+00 1.562949999999999919e-12
5.349999999999999645e+00 2.301870000000000167e-12
5.370000000000000107e+00 3.336050000000000108e-12
5.389999999999999680e+00 4.759970000000000366e-12
5.410000000000000142e+00 6.689680000000000228e-12
5.429999999999999716e+00 9.265379999999999441e-12
5.450000000000000178e+00 1.265329999999999981e-11
5.469999999999999751e+00 1.704730000000000068e-11
5.490000000000000213e+00 2.266909999999999839e-11
5.509999999999999787e+00 2.976949999999999992e-11
5.530000000000000249e+00 3.862690000000000053e-11
5.549999999999999822e+00 4.954520000000000097e-11
5.570000000000000284e+00 6.285120000000000264e-11
5.589999999999999858e+00 7.889249999999999407e-11
5.610000000000000320e+00 9.803160000000000246e-11
5.629999999999999893e+00 1.206400000000000094e-10
5.650000000000000355e+00 1.470949999999999971e-10
5.669999999999999929e+00 1.777719999999999885e-10
5.690000000000000391e+00 2.130390000000000126e-10
5.709999999999999964e+00 2.532470000000000045e-10
5.730000000000000426e+00 2.987290000000000031e-10
5.750000000000000000e+00 3.497889999999999798e-10
5.769999999999999574e+00 4.067010000000000104e-10
5.790000000000000036e+00 4.696980000000000256e-10
5.809999999999999609e+00 5.389719999999999665e-10
5.830000000000000071e+00 6.146720000000000256e-10
5.849999999999999645e+00 6.968960000000000096e-10
5.870000000000000107e+00 7.856859999999999688e-10
5.889999999999999680e+00 8.810409999999999978e-10
5.910000000000000142e+00 9.829049999999999264e-10
5.929999999999999716e+00 1.091170000000000069e-09
5.950000000000000178e+00 1.205659999999999950e-09
5.969999999999999751e+00 1.326180000000000067e-09
5.990000000000000213e+00 1.452479999999999931e-09
6.009999999999999787e+00 1.584249999999999983e-09
6.030000000000000249e+00 1.721149999999999997e-09
6.049999999999999822e+00 1.862810000000000105e-09
6.070000000000000284e+00 2.008829999999999979e-09
6.089999999999999858e+00 2.158760000000000102e-09
6.110000000000000320e+00 2.312160000000000006e-09
6.129999999999999893e+00 2.468539999999999832e-09
6.150000000000000355e+00 2.627429999999999890e-09
6.169999999999999929e+00 2.788330000000000028e-09
6.190000000000000391e+00 2.950719999999999919e-09
6.209999999999999964e+00 3.114129999999999874e-09
6.230000000000000426e+00 3.278060000000000155e-09
6.250000000000000000e+00 3.442020000000000073e-09
6.269999999999999574e+00 3.605530000000000059e-09
6.290000000000000036e+00 3.768130000000000304e-09
6.309999999999999609e+00 3.929400000000000100e-09
6.330000000000000071e+00 4.088899999999999808e-09
6.349999999999999645e+00 4.246230000000000132e-09
6.370000000000000107e+00 4.401029999999999639e-09
6.389999999999999680e+00 4.552940000000000203e-09
6.410000000000000142e+00 4.701639999999999907e-09
6.429999999999999716e+00 4.846820000000000019e-09
6.450000000000000178e+00 4.988240000000000137e-09
6.469999999999999751e+00 5.125630000000000218e-09
6.490000000000000213e+00 5.258769999999999615e-09
6.509999999999999787e+00 5.387479999999999681e-09
6.530000000000000249e+00 5.511599999999999868e-09
6.549999999999999822e+00 5.630969999999999633e-09
6.570000000000000284e+00 5.745459999999999720e-09
6.589999999999999858e+00 5.855000000000000151e-09
6.610000000000000320e+00 5.959489999999999652e-09
6.629999999999999893e+00 6.058879999999999658e-09
6.650000000000000355e+00 6.153119999999999944e-09
6.669999999999999929e+00 6.242189999999999927e-09
6.690000000000000391e+00 6.326079999999999727e-09
6.709999999999999964e+00 6.404790000000000172e-09
6.730000000000000426e+00 6.478350000000000071e-09
6.750000000000000000e+00 6.546760000000000252e-09
6.769999999999999574e+00 6.610089999999999866e-09
6.790000000000000036e+00 6.668370000000000207e-09
6.809999999999999609e+00 6.721659999999999720e-09
6.830000000000000071e+00 6.770030000000000040e-09
6.849999999999999645e+00 6.813550000000000320e-09
6.870000000000000107e+00 6.852299999999999592e-09
6.889999999999999680e+00 6.886350000000000317e-09
6.910000000000000142e+00 6.915810000000000337e-09
6.929999999999999716e+00 6.940760000000000339e-09
6.950000000000000178e+00 6.961299999999999939e-09
6.969999999999999751e+00 6.977519999999999703e-09
6.990000000000000213e+00 6.989549999999999712e-09
7.009999999999999787e+00 6.997469999999999825e-09
7.030000000000000249e+00 7.001400000000000245e-09
7.049999999999999822e+00 7.001460000000000346e-09
7.070000000000000284e+00 6.997739999999999867e-09
7.089999999999999858e+00 6.990369999999999715e-09
7.110000000000000320e+00 6.979470000000000094e-09
7.129999999999999893e+00 6.965139999999999793e-09
7.150000000000000355e+00 6.947509999999999721e-09
7.169999999999999929e+00 6.926700000000000079e-09
7.190000000000000391e+00 6.902820000000000364e-09
7.209999999999999964e+00 6.875980000000000072e-09
7.230000000000000426e+00 6.846319999999999991e-09
7.259999999999999787e+00 6.813939999999999736e-09
7.280000000000000249e+00 6.778970000000000218e-09
7.299999999999999822e+00 6.741520000000000104e-09
7.320000000000000284e+00 6.701699999999999719e-09
7.339999999999999858e+00 6.659630000000000090e-09
7.360000000000000320e+00 6.615429999999999767e-09
7.379999999999999893e+00 6.569200000000000021e-09
7.400000000000000355e+00 6.521050000000000348e-09
7.419999999999999929e+00 6.471090000000000243e-09
7.440000000000000391e+00 6.419430000000000031e-09
7.459999999999999964e+00 6.366170000000000155e-09
7.480000000000000426e+00 6.311410000000000232e-09
7.500000000000000000e+00 6.255240000000000001e-09
7.519999999999999574e+00 6.197769999999999785e-09
7.540000000000000036e+00 6.139080000000000270e-09
7.559999999999999609e+00 6.079270000000000246e-09
7.580000000000000071e+00 6.018420000000000399e-09
7.599999999999999645e+00 5.956609999999999761e-09
7.620000000000000107e+00 5.893929999999999726e-09
7.639999999999999680e+00 5.830450000000000272e-09
7.660000000000000142e+00 5.766249999999999604e-09
7.679999999999999716e+00 5.701390000000000306e-09
7.700000000000000178e+00 5.635959999999999633e-09
7.719999999999999751e+00 5.570010000000000290e-09
7.740000000000000213e+00 5.503599999999999896e-09
7.759999999999999787e+00 5.436800000000000085e-09
7.780000000000000249e+00 5.369670000000000132e-09
7.799999999999999822e+00 5.302250000000000379e-09
7.820000000000000284e+00 5.234600000000000101e-09
7.839999999999999858e+00 5.166759999999999640e-09
7.860000000000000320e+00 5.098799999999999805e-09
7.879999999999999893e+00 5.030740000000000352e-09
7.900000000000000355e+00 4.962639999999999729e-09
7.919999999999999929e+00 4.894530000000000054e-09
7.940000000000000391e+00 4.826459999999999895e-09
7.959999999999999964e+00 4.758449999999999838e-09
7.980000000000000426e+00 4.690559999999999982e-09
8.000000000000000000e+00 4.622790000000000329e-09
8.019999999999999574e+00 4.555200000000000152e-09
8.039999999999999147e+00 4.487810000000000036e-09
8.060000000000000497e+00 4.420649999999999619e-09
8.080000000000000071e+00 4.353750000000000191e-09
8.099999999999999645e+00 4.287139999999999735e-09
8.119999999999999218e+00 4.220839999999999664e-09
8.140000000000000568e+00 4.154869999999999736e-09
8.160000000000000142e+00 4.089259999999999587e-09
8.179999999999999716e+00 4.024029999999999803e-09
8.199999999999999289e+00 3.959219999999999900e-09
8.220000000000000639e+00 3.894819999999999998e-09
8.240000000000000213e+00 3.830880000000000320e-09
8.259999999999999787e+00 3.767400000000000039e-09
8.279999999999999361e+00 3.704410000000000032e-09
8.300000000000000711e+00 3.641909999999999886e-09
8.320000000000000284e+00 3.579939999999999944e-09
8.339999999999999858e+00 3.518500000000000206e-09
8.359999999999999432e+00 3.457619999999999895e-09
8.380000000000000782e+00 3.397299999999999839e-09
8.400000000000000355e+00 3.337570000000000087e-09
8.419999999999999929e+00 3.278429999999999814e-09
8.439999999999999503e+00 3.219900000000000017e-09
8.460000000000000853e+00 3.161979999999999869e-09
8.480000000000000426e+00 3.104699999999999836e-09
8.500000000000000000e+00 3.048059999999999915e-09
