# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 2.382210000000000234e-44
4.599999999999999645e+00 8.617989999999999848e-43
4.620000000000000107e+00 2.674800000000000110e-41
4.639999999999999680e+00 7.111969999999999619e-40
4.660000000000000142e+00 1.632289999999999919e-38
4.679999999999999716e+00 3.255189999999999926e-37
4.700000000000000178e+00 5.676030000000000208e-36
4.719999999999999751e+00 8.707150000000000363e-35
4.740000000000000213e+00 1.181969999999999951e-33
4.769999999999999574e+00 1.427600000000000133e-32
4.790000000000000036e+00 1.542229999999999995e-31
4.809999999999999609e+00 1.497769999999999978e-30
4.830000000000000071e+00 1.314040000000000055e-29
4.849999999999999645e+00 1.046190000000000107e-28
4.870000000000000107e+00 7.591529999999999933e-28
4.889999999999999680e+00 5.042150000000000113e-27
4.910000000000000142e+00 3.077649999999999735e-26
4.929999999999999716e+00 1.732919999999999924e-25
4.950000000000000178e+00 9.033609999999999521e-25
4.969999999999999751e+00 4.375210000000000221e-24
4.990000000000000213e+00 1.975369999999999963e-23
5.009999999999999787e+00 8.339779999999999474e-23
5.030000000000000249e+00 3.302689999999999959e-22
5.049999999999999822e+00 1.230309999999999927e-21
5.070000000000000284e+00 4.323329999999999744e-21
5.089999999999999858e+00 1.436819999999999982e-20
5.110000000000000320e+00 4.527800000000000234e-20
5.129999999999999893e+00 1.356090000000000116e-19
5.150000000000000355e+00 3.869279999999999933e-19
5.169999999999999929e+00 1.053999999999999938e-18
5.190000000000000391e+00 2.746940000000000114e-18
5.209999999999999964e+00 6.862860000000000166e-18
5.230000000000000426e+00 1.646859999999999879e-17
5.250000000000000000e+00 3.802560000000000203e-17
5.269999999999999574e+00 8.463090000000000471e-17
5.290000000000000036e+00 1.818619999999999957e-16
5.309999999999999609e+00 3.779210000000000030e-16
5.330000000000000071e+00 7.605929999999999525e-16
5.349999999999999645e+00 1.484680000000000096e-15
5.370000000000000107e+00 2.814799999999999906e-15
5.389999999999999680e+00 5.189940000000000079e-15
5.410000000000000142e+00 9.317949999999999880e-15
5.429999999999999716e+00 1.630980000000000008e-14
5.450000000000000178e+00 2.786429999999999960e-14
5.469999999999999751e+00 4.651499999999999794e-14
5.490000000000000213e+00 7.555380000000000114e-14
5.509999999999999787e+00 1.188400000000000015e-13
5.530000000000000249e+00 1.838339999999999970e-13
5.549999999999999822e+00 2.797190000000000221e-13
5.570000000000000284e+00 4.187220000000000004e-13
5.589999999999999858e+00 6.168459999999999547e-13
5.610000000000000320e+00 8.945709999999999653e-13
5.629999999999999893e+00 1.277630000000000080e-12
5.650000000000000355e+00 1.797750000000000090e-12
5.669999999999999929e+00 2.493350000000000074e-12
5.690000000000000391e+00 3.410260000000000051e-12
5.709999999999999964e+00 4.601929999999999961e-12
5.730000000000000426e+00 6.129960000000000267e-12
5.750000000000000000e+00 8.064159999999999840e-12
5.769999999999999574e+00 1.048239999999999984e-11
5.790000000000000036e+00 1.347030000000000007e-11
5.809999999999999609e+00 1.712030000000000006e-11
5.830000000000000071e+00 2.153139999999999931e-11
5.849999999999999645e+00 2.680730000000000110e-11
5.870000000000000107e+00 3.305579999999999896e-11
5.889999999999999680e+00 4.038659999999999757e-11
5.910000000000000142e+00 4.891130000000000304e-11
5.929999999999999716e+00 5.873910000000000605e-11
5.950000000000000178e+00 6.997710000000000643e-11
5.969999999999999751e+00 8.272840000000000199e-11
5.990000000000000213e+00 9.708999999999999767e-11
6.009999999999999787e+00 1.131510000000000004e-10
6.030000000000000249e+00 1.309909999999999874e-10
6.049999999999999822e+00 1.506809999999999990e-10
6.070000000000000284e+00 1.722789999999999900e-10
6.089999999999999858e+00 1.958309999999999930e-10
6.110000000000000320e+00 2.213700000000000069e-10
6.129999999999999893e+00 2.489160000000000222e-10
6.150000000000000355e+00 2.784760000000000215e-10
6.169999999999999929e+00 3.100430000000000222e-10
6.190000000000000391e+00 3.435939999999999821e-10
6.209999999999999964e+00 3.790969999999999886e-10
6.230000000000000426e+00 4.165050000000000005e-10
6.250000000000000000e+00 4.557599999999999854e-10
6.269999999999999574e+00 4.967910000000000063e-10
6.290000000000000036e+00 5.395200000000000146e-10
6.309999999999999609e+00 5.838599999999999876e-10
6.330000000000000071e+00 6.297130000000000153e-10
6.349999999999999645e+00 6.769750000000000326e-10
6.370000000000000107e+00 7.255360000000000266e-10
6.389999999999999680e+00 7.752849999999999754e-10
6.410000000000000142e+00 8.260999999999999700e-10
6.429999999999999716e+00 8.778610000000000149e-10
6.450000000000000178e+00 9.304470000000000027e-10
6.469999999999999751e+00 9.837320000000000932e-10
6.490000000000000213e+00 1.037589999999999929e-09
6.509999999999999787e+00 1.091899999999999921e-09
6.530000000000000249e+00 1.146529999999999969e-09
6.549999999999999822e+00 1.201369999999999957e-09
6.570000000000000284e+00 1.256300000000000097e-09
6.589999999999999858e+00 1.311190000000000101e-09
6.610000000000000320e+00 1.365939999999999938e-09
6.629999999999999893e+00 1.420430000000000026e-09
6.650000000000000355e+00 1.474550000000000042e-09
6.669999999999999929e+00 1.528210000000000040e-09
6.690000000000000391e+00 1.581290000000000027e-09
6.709999999999999964e+00 1.633720000000000020e-09
6.730000000000000426e+00 1.685389999999999905e-09
6.750000000000000000e+00 1.736209999999999943e-09
6.769999999999999574e+00 1.786109999999999946e-09
6.790000000000000036e+00 1.835010000000000056e-09
6.809999999999999609e+00 1.882829999999999794e-09
6.830000000000000071e+00 1.929509999999999885e-09
6.849999999999999645e+00 1.974969999999999850e-09
6.870000000000000107e+00 2.019170000000000173e-09
6.889999999999999680e+00 2.062040000000000047e-09
6.910000000000000142e+00 2.103530000000000076e-09
6.929999999999999716e+00 2.143590000000000039e-09
6.950000000000000178e+00 2.182189999999999885e-09
6.969999999999999751e+00 2.219279999999999806e-09
6.990000000000000213e+00 2.254830000000000164e-09
7.009999999999999787e+00 2.288810000000000082e-09
7.030000000000000249e+00 2.321199999999999801e-09
7.049999999999999822e+00 2.351970000000000099e-09
7.070000000000000284e+00 2.381099999999999977e-09
7.089999999999999858e+00 2.408579999999999969e-09
7.110000000000000320e+00 2.434410000000000075e-09
7.129999999999999893e+00 2.458570000000000124e-09
7.150000000000000355e+00 2.481060000000000116e-09
7.169999999999999929e+00 2.501889999999999929e-09
7.190000000000000391e+00 2.521050000000000099e-09
7.209999999999999964e+00 2.538550000000000090e-09
7.230000000000000426e+00 2.554419999999999953e-09
7.259999999999999787e+00 2.568649999999999810e-09
7.280000000000000249e+00 2.581270000000000124e-09
7.299999999999999822e+00 2.592289999999999948e-09
7.320000000000000284e+00 2.601740000000000158e-09
7.339999999999999858e+00 2.609649999999999979e-09
7.360000000000000320e+00 2.616030000000000116e-09
7.379999999999999893e+00 2.620920000000000086e-09
7.400000000000000355e+00 2.624359999999999817e-09
7.419999999999999929e+00 2.626360000000000017e-09
7.440000000000000391e+00 2.626979999999999959e-09
7.459999999999999964e+00 2.626229999999999936e-09
7.480000000000000426e+00 2.624170000000000048e-09
7.500000000000000000e+00 2.620820000000000055e-09
7.519999999999999574e+00 2.616230000000000177e-09
7.540000000000000036e+00 2.610439999999999931e-09
7.559999999999999609e+00 2.603490000000000074e-09
7.580000000000000071e+00 2.595409999999999829e-09
7.599999999999999645e+00 2.586260000000000125e-09
7.620000000000000107e+00 2.576059999999999891e-09
7.639999999999999680e+00 2.564870000000000057e-09
7.660000000000000142e+00 2.552719999999999845e-09
7.679999999999999716e+00 2.539659999999999893e-09
7.700000000000000178e+00 2.525719999999999835e-09
7.719999999999999751e+00 2.510940000000000017e-09
7.740000000000000213e+00 2.495369999999999832e-09
7.759999999999999787e+00 2.479040000000000158e-09
7.780000000000000249e+00 2.461990000000000098e-09
7.799999999999999822e+00 2.444259999999999995e-09
7.820000000000000284e+00 2.425890000000000191e-09
7.839999999999999858e+00 2.406900000000000033e-09
7.860000000000000320e+00 2.387340000000000154e-09
7.879999999999999893e+00 2.367240000000000192e-09
7.900000000000000355e+00 2.346619999999999906e-09
7.919999999999999929e+00 2.325529999999999930e-09
7.940000000000000391e+00 2.303990000000000023e-09
7.959999999999999964e+00 2.282029999999999822e-09
7.980000000000000426e+00 2.259680000000000204e-09
8.000000000000000000e+00 2.236969999999999979e-09
8.019999999999999574e+00 2.213920000000000147e-09
8.039999999999999147e+00 2.190559999999999930e-09
8.060000000000000497e+00 2.166920000000000206e-09
8.080000000000000071e+00 2.143010000000000027e-09
8.099999999999999645e+00 2.118859999999999857e-09
8.119999999999999218e+00 2.094500000000000160e-09
8.140000000000000568e+00 2.069939999999999989e-09
8.160000000000000142e+00 2.045209999999999806e-09
8.179999999999999716e+00 2.020319999999999906e-09
8.199999999999999289e+00 1.995290000000000045e-09
8.220000000000000639e+00 1.970139999999999982e-09
8.240000000000000213e+00 1.944889999999999888e-09
8.259999999999999787e+00 1.919559999999999935e-09
8.279999999999999361e+00 1.894169999999999881e-09
8.300000000000000711e+00 1.868720000000000139e-09
8.320000000000000284e+00 1.843230000000000055e-09
8.339999999999999858e+00 1.817730000000000091e-09
8.359999999999999432e+00 1.792220000000000042e-09
8.380000000000000782e+00 1.766709999999999992e-09
8.400000000000000355e+00 1.741240000000000079e-09
8.419999999999999929e+00 1.715789999999999924e-09
8.439999999999999503e+00 1.690400000000000077e-09
8.460000000000000853e+00 1.665060000000000038e-09
8.480000000000000426e+00 1.639800000000000066e-09
8.500000000000000000e+00 1.614619999999999952e-09
