# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 8.407790000000000094e-45
4.639999999999999680e+00 3.236999999999999899e-43
4.660000000000000142e+00 1.034020000000000057e-41
4.679999999999999716e+00 2.832470000000000105e-40
4.700000000000000178e+00 6.687139999999999987e-39
4.719999999999999751e+00 1.370020000000000043e-37
4.740000000000000213e+00 2.451539999999999945e-36
4.769999999999999574e+00 3.854790000000000100e-35
4.790000000000000036e+00 5.357020000000000136e-34
4.809999999999999609e+00 6.616960000000000429e-33
4.830000000000000071e+00 7.303729999999999746e-32
4.849999999999999645e+00 7.240420000000000146e-31
4.870000000000000107e+00 6.477339999999999877e-30
4.889999999999999680e+00 5.253970000000000535e-29
4.910000000000000142e+00 3.881289999999999897e-28
4.929999999999999716e+00 2.622240000000000124e-27
4.950000000000000178e+00 1.626740000000000131e-26
4.969999999999999751e+00 9.302610000000000137e-26
4.990000000000000213e+00 4.922019999999999894e-25
5.009999999999999787e+00 2.417819999999999822e-24
5.030000000000000249e+00 1.106480000000000026e-23
5.049999999999999822e+00 4.732089999999999725e-23
5.070000000000000284e+00 1.897210000000000052e-22
5.089999999999999858e+00 7.151070000000000300e-22
5.110000000000000320e+00 2.541279999999999993e-21
5.129999999999999893e+00 8.536810000000000246e-21
5.150000000000000355e+00 2.717849999999999996e-20
5.169999999999999929e+00 8.220040000000000096e-20
5.190000000000000391e+00 2.367389999999999888e-19
5.209999999999999964e+00 6.506539999999999546e-19
5.230000000000000426e+00 1.710229999999999951e-18
5.250000000000000000e+00 4.307650000000000340e-18
5.269999999999999574e+00 1.041720000000000031e-17
5.290000000000000036e+00 2.423250000000000106e-17
5.309999999999999609e+00 5.431630000000000117e-17
5.330000000000000071e+00 1.175089999999999931e-16
5.349999999999999645e+00 2.457650000000000108e-16
5.370000000000000107e+00 4.976829999999999856e-16
5.389999999999999680e+00 9.772219999999999667e-16
5.410000000000000142e+00 1.863120000000000187e-15
5.429999999999999716e+00 3.453639999999999850e-15
5.450000000000000178e+00 6.232500000000000201e-15
5.469999999999999751e+00 1.096269999999999964e-14
5.490000000000000213e+00 1.881650000000000116e-14
5.509999999999999787e+00 3.155099999999999854e-14
5.530000000000000249e+00 5.165430000000000160e-14
5.549999999999999822e+00 8.146860000000000488e-14
5.570000000000000284e+00 1.263740000000000076e-13
5.589999999999999858e+00 1.928229999999999954e-13
5.610000000000000320e+00 2.894560000000000240e-13
5.629999999999999893e+00 4.275910000000000205e-13
5.650000000000000355e+00 6.217839999999999888e-13
5.669999999999999929e+00 8.903979999999999790e-13
5.690000000000000391e+00 1.256119999999999902e-12
5.709999999999999964e+00 1.746539999999999947e-12
5.730000000000000426e+00 2.394550000000000131e-12
5.750000000000000000e+00 3.238710000000000040e-12
5.769999999999999574e+00 4.323659999999999774e-12
5.790000000000000036e+00 5.699879999999999740e-12
5.809999999999999609e+00 7.423919999999999733e-12
5.830000000000000071e+00 9.558089999999999716e-12
5.849999999999999645e+00 1.216979999999999930e-11
5.870000000000000107e+00 1.533120000000000156e-11
5.889999999999999680e+00 1.911809999999999949e-11
5.910000000000000142e+00 2.360949999999999871e-11
5.929999999999999716e+00 2.888600000000000111e-11
5.950000000000000178e+00 3.502860000000000041e-11
5.969999999999999751e+00 4.211820000000000041e-11
5.990000000000000213e+00 5.023380000000000028e-11
6.009999999999999787e+00 5.945070000000000234e-11
6.030000000000000249e+00 6.984009999999999440e-11
6.049999999999999822e+00 8.146799999999999981e-11
6.070000000000000284e+00 9.439400000000000511e-11
6.089999999999999858e+00 1.086690000000000023e-10
6.110000000000000320e+00 1.243370000000000071e-10
6.129999999999999893e+00 1.414319999999999879e-10
6.150000000000000355e+00 1.599799999999999997e-10
6.169999999999999929e+00 1.799969999999999989e-10
6.190000000000000391e+00 2.014860000000000113e-10
6.209999999999999964e+00 2.244460000000000023e-10
6.230000000000000426e+00 2.488629999999999811e-10
6.250000000000000000e+00 2.747130000000000004e-10
6.269999999999999574e+00 3.019650000000000010e-10
6.290000000000000036e+00 3.305779999999999931e-10
6.309999999999999609e+00 3.605059999999999957e-10
6.330000000000000071e+00 3.916940000000000021e-10
6.349999999999999645e+00 4.240789999999999890e-10
6.370000000000000107e+00 4.575960000000000192e-10
6.389999999999999680e+00 4.921729999999999919e-10
6.410000000000000142e+00 5.277340000000000307e-10
6.429999999999999716e+00 5.641989999999999663e-10
6.450000000000000178e+00 6.014880000000000430e-10
6.469999999999999751e+00 6.395160000000000486e-10
6.490000000000000213e+00 6.781949999999999519e-10
6.509999999999999787e+00 7.174390000000000492e-10
6.530000000000000249e+00 7.571630000000000250e-10
6.549999999999999822e+00 7.972760000000000290e-10
6.570000000000000284e+00 8.376920000000000475e-10
6.589999999999999858e+00 8.783239999999999543e-10
6.610000000000000320e+00 9.190869999999999510e-10
6.629999999999999893e+00 9.598970000000000406e-10
6.650000000000000355e+00 1.000670000000000020e-09
6.669999999999999929e+00 1.041320000000000081e-09
6.690000000000000391e+00 1.081779999999999960e-09
6.709999999999999964e+00 1.121970000000000004e-09
6.730000000000000426e+00 1.161800000000000062e-09
6.750000000000000000e+00 1.201219999999999911e-09
6.769999999999999574e+00 1.240149999999999900e-09
6.790000000000000036e+00 1.278520000000000048e-09
6.809999999999999609e+00 1.316270000000000046e-09
6.830000000000000071e+00 1.353340000000000002e-09
6.849999999999999645e+00 1.389670000000000021e-09
6.870000000000000107e+00 1.425210000000000086e-09
6.889999999999999680e+00 1.459900000000000097e-09
6.910000000000000142e+00 1.493690000000000040e-09
6.929999999999999716e+00 1.526550000000000069e-09
6.950000000000000178e+00 1.558420000000000084e-09
6.969999999999999751e+00 1.589270000000000034e-09
6.990000000000000213e+00 1.619049999999999905e-09
7.009999999999999787e+00 1.647750000000000023e-09
7.030000000000000249e+00 1.675319999999999959e-09
7.049999999999999822e+00 1.701750000000000043e-09
7.070000000000000284e+00 1.726999999999999930e-09
7.089999999999999858e+00 1.751059999999999948e-09
7.110000000000000320e+00 1.773909999999999926e-09
7.129999999999999893e+00 1.795529999999999899e-09
7.150000000000000355e+00 1.815920000000000074e-09
7.169999999999999929e+00 1.835060000000000072e-09
7.190000000000000391e+00 1.852959999999999979e-09
7.209999999999999964e+00 1.869599999999999830e-09
7.230000000000000426e+00 1.884990000000000126e-09
7.259999999999999787e+00 1.899129999999999831e-09
7.280000000000000249e+00 1.912030000000000065e-09
7.299999999999999822e+00 1.923690000000000002e-09
7.320000000000000284e+00 1.934129999999999813e-09
7.339999999999999858e+00 1.943349999999999912e-09
7.360000000000000320e+00 1.951379999999999935e-09
7.379999999999999893e+00 1.958219999999999882e-09
7.400000000000000355e+00 1.963910000000000097e-09
7.419999999999999929e+00 1.968450000000000166e-09
7.440000000000000391e+00 1.971870000000000140e-09
7.459999999999999964e+00 1.974200000000000069e-09
7.480000000000000426e+00 1.975460000000000125e-09
7.500000000000000000e+00 1.975670000000000065e-09
7.519999999999999574e+00 1.974859999999999940e-09
7.540000000000000036e+00 1.973070000000000095e-09
7.559999999999999609e+00 1.970309999999999992e-09
7.580000000000000071e+00 1.966619999999999977e-09
7.599999999999999645e+00 1.962039999999999979e-09
7.620000000000000107e+00 1.956579999999999875e-09
7.639999999999999680e+00 1.950280000000000011e-09
7.660000000000000142e+00 1.943170000000000022e-09
7.679999999999999716e+00 1.935289999999999838e-09
7.700000000000000178e+00 1.926660000000000045e-09
7.719999999999999751e+00 1.917320000000000158e-09
7.740000000000000213e+00 1.907289999999999935e-09
7.759999999999999787e+00 1.896599999999999841e-09
7.780000000000000249e+00 1.885300000000000097e-09
7.799999999999999822e+00 1.873389999999999876e-09
7.820000000000000284e+00 1.860920000000000022e-09
7.839999999999999858e+00 1.847919999999999963e-09
7.860000000000000320e+00 1.834399999999999993e-09
7.879999999999999893e+00 1.820409999999999921e-09
7.900000000000000355e+00 1.805949999999999952e-09
7.919999999999999929e+00 1.791070000000000103e-09
7.940000000000000391e+00 1.775789999999999924e-09
7.959999999999999964e+00 1.760119999999999915e-09
7.980000000000000426e+00 1.744100000000000005e-09
8.000000000000000000e+00 1.727740000000000074e-09
8.019999999999999574e+00 1.711080000000000051e-09
8.039999999999999147e+00 1.694119999999999936e-09
8.060000000000000497e+00 1.676900000000000072e-09
8.080000000000000071e+00 1.659429999999999924e-09
8.099999999999999645e+00 1.641730000000000079e-09
8.119999999999999218e+00 1.623820000000000086e-09
8.140000000000000568e+00 1.605719999999999910e-09
8.160000000000000142e+00 1.587440000000000052e-09
8.179999999999999716e+00 1.569000000000000062e-09
8.199999999999999289e+00 1.550419999999999905e-09
8.220000000000000639e+00 1.531719999999999959e-09
8.240000000000000213e+00 1.512900000000000018e-09
8.259999999999999787e+00 1.493989999999999925e-09
8.279999999999999361e+00 1.474990000000000094e-09
8.300000000000000711e+00 1.455929999999999955e-09
8.320000000000000284e+00 1.436809999999999922e-09
8.339999999999999858e+00 1.417640000000000080e-09
8.359999999999999432e+00 1.398450000000000067e-09
8.380000000000000782e+00 1.379230000000000003e-09
8.400000000000000355e+00 1.360000000000000060e-09
8.419999999999999929e+00 1.340779999999999996e-09
8.439999999999999503e+00 1.321570000000000018e-09
8.460000000000000853e+00 1.302390000000000090e-09
8.480000000000000426e+00 1.283240000000000006e-09
8.500000000000000000e+00 1.264130000000000059e-09
