# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 1.121039999999999964e-44
4.740000000000000213e+00 4.147840000000000010e-43
4.769999999999999574e+00 1.274339999999999942e-41
4.790000000000000036e+00 3.353909999999999885e-40
4.809999999999999609e+00 7.622879999999999438e-39
4.830000000000000071e+00 1.506169999999999907e-37
4.849999999999999645e+00 2.603359999999999915e-36
4.870000000000000107e+00 3.960000000000000154e-35
4.889999999999999680e+00 5.332089999999999732e-34
4.910000000000000142e+00 6.390829999999999797e-33
4.929999999999999716e+00 6.853809999999999637e-32
4.950000000000000178e+00 6.609679999999999890e-31
4.969999999999999751e+00 5.759840000000000027e-30
4.990000000000000213e+00 4.556529999999999876e-29
5.009999999999999787e+00 3.286260000000000197e-28
5.030000000000000249e+00 2.170070000000000118e-27
5.049999999999999822e+00 1.317170000000000068e-26
5.070000000000000284e+00 7.377229999999999491e-26
5.089999999999999858e+00 3.826239999999999930e-25
5.110000000000000320e+00 1.844249999999999967e-24
5.129999999999999893e+00 8.287859999999999842e-24
5.150000000000000355e+00 3.483740000000000110e-23
5.169999999999999929e+00 1.373759999999999931e-22
5.190000000000000391e+00 5.097060000000000339e-22
5.209999999999999964e+00 1.784200000000000075e-21
5.230000000000000426e+00 5.908059999999999946e-21
5.250000000000000000e+00 1.855209999999999867e-20
5.269999999999999574e+00 5.537849999999999724e-20
5.290000000000000036e+00 1.575049999999999951e-19
5.309999999999999609e+00 4.277480000000000099e-19
5.330000000000000071e+00 1.111530000000000009e-18
5.349999999999999645e+00 2.769289999999999845e-18
5.370000000000000107e+00 6.627750000000000036e-18
5.389999999999999680e+00 1.526479999999999908e-17
5.410000000000000142e+00 3.389170000000000279e-17
5.429999999999999716e+00 7.265989999999999961e-17
5.450000000000000178e+00 1.506580000000000068e-16
5.469999999999999751e+00 3.025769999999999762e-16
5.490000000000000213e+00 5.894420000000000040e-16
5.509999999999999787e+00 1.115360000000000043e-15
5.530000000000000249e+00 2.052739999999999904e-15
5.549999999999999822e+00 3.679070000000000044e-15
5.570000000000000284e+00 6.428939999999999899e-15
5.589999999999999858e+00 1.096589999999999937e-14
5.610000000000000320e+00 1.827810000000000014e-14
5.629999999999999893e+00 2.959180000000000094e-14
5.650000000000000355e+00 4.641810000000000065e-14
5.669999999999999929e+00 7.162659999999999996e-14
5.690000000000000391e+00 1.087399999999999991e-13
5.709999999999999964e+00 1.624490000000000079e-13
5.730000000000000426e+00 2.388630000000000193e-13
5.750000000000000000e+00 3.458199999999999845e-13
5.769999999999999574e+00 4.931420000000000004e-13
5.790000000000000036e+00 6.929499999999999907e-13
5.809999999999999609e+00 9.599509999999999352e-13
5.830000000000000071e+00 1.311649999999999970e-12
5.849999999999999645e+00 1.768629999999999907e-12
5.870000000000000107e+00 2.354659999999999985e-12
5.889999999999999680e+00 3.096920000000000096e-12
5.910000000000000142e+00 4.026039999999999675e-12
5.929999999999999716e+00 5.176050000000000346e-12
5.950000000000000178e+00 6.584389999999999977e-12
5.969999999999999751e+00 8.291980000000000378e-12
5.990000000000000213e+00 1.034290000000000029e-11
6.009999999999999787e+00 1.278440000000000033e-11
6.030000000000000249e+00 1.566629999999999919e-11
6.049999999999999822e+00 1.904110000000000133e-11
6.070000000000000284e+00 2.296409999999999905e-11
6.089999999999999858e+00 2.749150000000000014e-11
6.110000000000000320e+00 3.268170000000000280e-11
6.129999999999999893e+00 3.859329999999999793e-11
6.150000000000000355e+00 4.528620000000000307e-11
6.169999999999999929e+00 5.281910000000000220e-11
6.190000000000000391e+00 6.124970000000000305e-11
6.209999999999999964e+00 7.063420000000000047e-11
6.230000000000000426e+00 8.102599999999999503e-11
6.250000000000000000e+00 9.247450000000000466e-11
6.269999999999999574e+00 1.050249999999999940e-10
6.290000000000000036e+00 1.187159999999999962e-10
6.309999999999999609e+00 1.335820000000000098e-10
6.330000000000000071e+00 1.496490000000000123e-10
6.349999999999999645e+00 1.669339999999999945e-10
6.370000000000000107e+00 1.854479999999999990e-10
6.389999999999999680e+00 2.051929999999999913e-10
6.410000000000000142e+00 2.261580000000000063e-10
6.429999999999999716e+00 2.483269999999999842e-10
6.450000000000000178e+00 2.716739999999999864e-10
6.469999999999999751e+00 2.961599999999999885e-10
6.490000000000000213e+00 3.217400000000000181e-10
6.509999999999999787e+00 3.483600000000000254e-10
6.530000000000000249e+00 3.759590000000000042e-10
6.549999999999999822e+00 4.044669999999999744e-10
6.570000000000000284e+00 4.338059999999999907e-10
6.589999999999999858e+00 4.638949999999999785e-10
6.610000000000000320e+00 4.946490000000000359e-10
6.629999999999999893e+00 5.259750000000000371e-10
6.650000000000000355e+00 5.577800000000000115e-10
6.669999999999999929e+00 5.899669999999999542e-10
6.690000000000000391e+00 6.224409999999999809e-10
6.709999999999999964e+00 6.551029999999999659e-10
6.730000000000000426e+00 6.878560000000000078e-10
6.750000000000000000e+00 7.206060000000000239e-10
6.769999999999999574e+00 7.532580000000000266e-10
6.790000000000000036e+00 7.857219999999999674e-10
6.809999999999999609e+00 8.179090000000000135e-10
6.830000000000000071e+00 8.497349999999999613e-10
6.849999999999999645e+00 8.811209999999999603e-10
6.870000000000000107e+00 9.119899999999999702e-10
6.889999999999999680e+00 9.422689999999999853e-10
6.910000000000000142e+00 9.718949999999999820e-10
6.929999999999999716e+00 1.000800000000000101e-09
6.950000000000000178e+00 1.028939999999999964e-09
6.969999999999999751e+00 1.056249999999999946e-09
6.990000000000000213e+00 1.082689999999999908e-09
7.009999999999999787e+00 1.108219999999999922e-09
7.030000000000000249e+00 1.132800000000000059e-09
7.049999999999999822e+00 1.156400000000000060e-09
7.070000000000000284e+00 1.178990000000000082e-09
7.089999999999999858e+00 1.200540000000000075e-09
7.110000000000000320e+00 1.221039999999999952e-09
7.129999999999999893e+00 1.240480000000000042e-09
7.150000000000000355e+00 1.258839999999999967e-09
7.169999999999999929e+00 1.276119999999999932e-09
7.190000000000000391e+00 1.292299999999999973e-09
7.209999999999999964e+00 1.307400000000000055e-09
7.230000000000000426e+00 1.321410000000000093e-09
7.259999999999999787e+00 1.334339999999999964e-09
7.280000000000000249e+00 1.346199999999999963e-09
7.299999999999999822e+00 1.356990000000000088e-09
7.320000000000000284e+00 1.366730000000000098e-09
7.339999999999999858e+00 1.375439999999999957e-09
7.360000000000000320e+00 1.383120000000000079e-09
7.379999999999999893e+00 1.389800000000000102e-09
7.400000000000000355e+00 1.395510000000000075e-09
7.419999999999999929e+00 1.400249999999999998e-09
7.440000000000000391e+00 1.404049999999999923e-09
7.459999999999999964e+00 1.406939999999999900e-09
7.480000000000000426e+00 1.408940000000000100e-09
7.500000000000000000e+00 1.410070000000000074e-09
7.519999999999999574e+00 1.410360000000000080e-09
7.540000000000000036e+00 1.409839999999999962e-09
7.559999999999999609e+00 1.408530000000000098e-09
7.580000000000000071e+00 1.406470000000000004e-09
7.599999999999999645e+00 1.403669999999999972e-09
7.620000000000000107e+00 1.400160000000000054e-09
7.639999999999999680e+00 1.395979999999999971e-09
7.660000000000000142e+00 1.391150000000000102e-09
7.679999999999999716e+00 1.385700000000000085e-09
7.700000000000000178e+00 1.379650000000000090e-09
7.719999999999999751e+00 1.373029999999999962e-09
7.740000000000000213e+00 1.365869999999999958e-09
7.759999999999999787e+00 1.358190000000000042e-09
7.780000000000000249e+00 1.350020000000000059e-09
7.799999999999999822e+00 1.341390000000000059e-09
7.820000000000000284e+00 1.332320000000000007e-09
7.839999999999999858e+00 1.322830000000000073e-09
7.860000000000000320e+00 1.312949999999999897e-09
7.879999999999999893e+00 1.302689999999999976e-09
7.900000000000000355e+00 1.292099999999999912e-09
7.919999999999999929e+00 1.281170000000000033e-09
7.940000000000000391e+00 1.269940000000000063e-09
7.959999999999999964e+00 1.258429999999999965e-09
7.980000000000000426e+00 1.246650000000000033e-09
8.000000000000000000e+00 1.234629999999999902e-09
8.019999999999999574e+00 1.222380000000000074e-09
8.039999999999999147e+00 1.209929999999999977e-09
8.060000000000000497e+00 1.197280000000000026e-09
8.080000000000000071e+00 1.184460000000000064e-09
8.099999999999999645e+00 1.171479999999999971e-09
8.119999999999999218e+00 1.158359999999999917e-09
8.140000000000000568e+00 1.145109999999999988e-09
8.160000000000000142e+00 1.131749999999999943e-09
8.179999999999999716e+00 1.118279999999999989e-09
8.199999999999999289e+00 1.104729999999999968e-09
8.220000000000000639e+00 1.091100000000000089e-09
8.240000000000000213e+00 1.077409999999999901e-09
8.259999999999999787e+00 1.063660000000000026e-09
8.279999999999999361e+00 1.049880000000000101e-09
8.300000000000000711e+00 1.036060000000000039e-09
8.320000000000000284e+00 1.022220000000000012e-09
8.339999999999999858e+00 1.008369999999999900e-09
8.359999999999999432e+00 9.945220000000000115e-10
8.380000000000000782e+00 9.806750000000000282e-10
8.400000000000000355e+00 9.668419999999999582e-10
8.419999999999999929e+00 9.530310000000000769e-10
8.439999999999999503e+00 9.392489999999999274e-10
8.460000000000000853e+00 9.255019999999999748e-10
8.480000000000000426e+00 9.117979999999999775e-10
8.500000000000000000e+00 8.981429999999999869e-10
