# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 2.802599999999999909e-45
4.849999999999999645e+00 1.121040000000000063e-43
4.870000000000000107e+00 3.511649999999999760e-42
4.889999999999999680e+00 9.382810000000000806e-41
4.910000000000000142e+00 2.163550000000000105e-39
4.929999999999999716e+00 4.333869999999999904e-38
4.950000000000000178e+00 7.589169999999999904e-37
4.969999999999999751e+00 1.168929999999999970e-35
4.990000000000000213e+00 1.592959999999999923e-34
5.009999999999999787e+00 1.931030000000000026e-33
5.030000000000000249e+00 2.093590000000000109e-32
5.049999999999999822e+00 2.040099999999999998e-31
5.070000000000000284e+00 1.795619999999999873e-30
5.089999999999999858e+00 1.433939999999999922e-29
5.110000000000000320e+00 1.043640000000000021e-28
5.129999999999999893e+00 6.951110000000000008e-28
5.150000000000000355e+00 4.254209999999999898e-27
5.169999999999999929e+00 2.401450000000000065e-26
5.190000000000000391e+00 1.254970000000000037e-25
5.209999999999999964e+00 6.092349999999999786e-25
5.230000000000000426e+00 2.756760000000000166e-24
5.250000000000000000e+00 1.166360000000000040e-23
5.269999999999999574e+00 4.628170000000000093e-23
5.290000000000000036e+00 1.727470000000000096e-22
5.309999999999999609e+00 6.081650000000000099e-22
5.330000000000000071e+00 2.024760000000000178e-21
5.349999999999999645e+00 6.391120000000000351e-21
5.370000000000000107e+00 1.917310000000000111e-20
5.389999999999999680e+00 5.478999999999999648e-20
5.410000000000000142e+00 1.494689999999999950e-19
5.429999999999999716e+00 3.900859999999999961e-19
5.450000000000000178e+00 9.759149999999999412e-19
5.469999999999999751e+00 2.344900000000000134e-18
5.490000000000000213e+00 5.421089999999999863e-18
5.509999999999999787e+00 1.207989999999999995e-17
5.530000000000000249e+00 2.598930000000000083e-17
5.549999999999999822e+00 5.407080000000000044e-17
5.570000000000000284e+00 1.089510000000000052e-16
5.589999999999999858e+00 2.129329999999999932e-16
5.610000000000000320e+00 4.042249999999999765e-16
5.629999999999999893e+00 7.463750000000000240e-16
5.650000000000000355e+00 1.342180000000000049e-15
5.669999999999999929e+00 2.353620000000000170e-15
5.690000000000000391e+00 4.029739999999999883e-15
5.709999999999999964e+00 6.744340000000000251e-15
5.730000000000000426e+00 1.095510000000000007e-14
5.750000000000000000e+00 1.707990000000000051e-14
5.769999999999999574e+00 2.630279999999999976e-14
5.790000000000000036e+00 4.000020000000000181e-14
5.809999999999999609e+00 6.005739999999999964e-14
5.830000000000000071e+00 8.901129999999999706e-14
5.849999999999999645e+00 1.302279999999999980e-13
5.870000000000000107e+00 1.880929999999999994e-13
5.889999999999999680e+00 2.682479999999999996e-13
5.910000000000000142e+00 3.778320000000000101e-13
5.929999999999999716e+00 5.257800000000000073e-13
5.950000000000000178e+00 7.230669999999999522e-13
5.969999999999999751e+00 9.830929999999999187e-13
5.990000000000000213e+00 1.321939999999999919e-12
6.009999999999999787e+00 1.758690000000000052e-12
6.030000000000000249e+00 2.315629999999999898e-12
6.049999999999999822e+00 3.018619999999999915e-12
6.070000000000000284e+00 3.897109999999999739e-12
6.089999999999999858e+00 4.984310000000000196e-12
6.110000000000000320e+00 6.317090000000000096e-12
6.129999999999999893e+00 7.935900000000000546e-12
6.150000000000000355e+00 9.884340000000000269e-12
6.169999999999999929e+00 1.220900000000000018e-11
6.190000000000000391e+00 1.495869999999999845e-11
6.209999999999999964e+00 1.818379999999999851e-11
6.230000000000000426e+00 2.193579999999999949e-11
6.250000000000000000e+00 2.626600000000000137e-11
6.269999999999999574e+00 3.122460000000000248e-11
6.290000000000000036e+00 3.686000000000000248e-11
6.309999999999999609e+00 4.321769999999999749e-11
6.330000000000000071e+00 5.033930000000000059e-11
6.349999999999999645e+00 5.826119999999999574e-11
6.370000000000000107e+00 6.701460000000000245e-11
6.389999999999999680e+00 7.662470000000000166e-11
6.410000000000000142e+00 8.710880000000000219e-11
6.429999999999999716e+00 9.847780000000000191e-11
6.450000000000000178e+00 1.107350000000000059e-10
6.469999999999999751e+00 1.238749999999999987e-10
6.490000000000000213e+00 1.378840000000000018e-10
6.509999999999999787e+00 1.527439999999999897e-10
6.530000000000000249e+00 1.684270000000000068e-10
6.549999999999999822e+00 1.848980000000000113e-10
6.570000000000000284e+00 2.021150000000000046e-10
6.589999999999999858e+00 2.200339999999999972e-10
6.610000000000000320e+00 2.386009999999999911e-10
6.629999999999999893e+00 2.577599999999999970e-10
6.650000000000000355e+00 2.774520000000000258e-10
6.669999999999999929e+00 2.976119999999999852e-10
6.690000000000000391e+00 3.181759999999999981e-10
6.709999999999999964e+00 3.390770000000000069e-10
6.730000000000000426e+00 3.602459999999999883e-10
6.750000000000000000e+00 3.816140000000000224e-10
6.769999999999999574e+00 4.031160000000000170e-10
6.790000000000000036e+00 4.246830000000000006e-10
6.809999999999999609e+00 4.462499999999999841e-10
6.830000000000000071e+00 4.677519999999999787e-10
6.849999999999999645e+00 4.891290000000000384e-10
6.870000000000000107e+00 5.103219999999999672e-10
6.889999999999999680e+00 5.312719999999999827e-10
6.910000000000000142e+00 5.519289999999999663e-10
6.929999999999999716e+00 5.722409999999999888e-10
6.950000000000000178e+00 5.921619999999999658e-10
6.969999999999999751e+00 6.116480000000000369e-10
6.990000000000000213e+00 6.306599999999999708e-10
7.009999999999999787e+00 6.491599999999999586e-10
7.030000000000000249e+00 6.671150000000000274e-10
7.049999999999999822e+00 6.844960000000000318e-10
7.070000000000000284e+00 7.012760000000000504e-10
7.089999999999999858e+00 7.174319999999999892e-10
7.110000000000000320e+00 7.329439999999999869e-10
7.129999999999999893e+00 7.477929999999999839e-10
7.150000000000000355e+00 7.619669999999999807e-10
7.169999999999999929e+00 7.754529999999999691e-10
7.190000000000000391e+00 7.882419999999999752e-10
7.209999999999999964e+00 8.003280000000000512e-10
7.230000000000000426e+00 8.117069999999999557e-10
7.259999999999999787e+00 8.223769999999999820e-10
7.280000000000000249e+00 8.323380000000000265e-10
7.299999999999999822e+00 8.415909999999999944e-10
7.320000000000000284e+00 8.501410000000000321e-10
7.339999999999999858e+00 8.579939999999999842e-10
7.360000000000000320e+00 8.651560000000000056e-10
7.379999999999999893e+00 8.716349999999999581e-10
7.400000000000000355e+00 8.774410000000000309e-10
7.419999999999999929e+00 8.825860000000000167e-10
7.440000000000000391e+00 8.870800000000000014e-10
7.459999999999999964e+00 8.909370000000000016e-10
7.480000000000000426e+00 8.941710000000000341e-10
7.500000000000000000e+00 8.967950000000000035e-10
7.519999999999999574e+00 8.988250000000000472e-10
7.540000000000000036e+00 9.002749999999999750e-10
7.559999999999999609e+00 9.011630000000000447e-10
7.580000000000000071e+00 9.015039999999999715e-10
7.599999999999999645e+00 9.013150000000000045e-10
7.620000000000000107e+00 9.006119999999999708e-10
7.639999999999999680e+00 8.994140000000000335e-10
7.660000000000000142e+00 8.977370000000000195e-10
7.679999999999999716e+00 8.955989999999999800e-10
7.700000000000000178e+00 8.930159999999999486e-10
7.719999999999999751e+00 8.900069999999999852e-10
7.740000000000000213e+00 8.865870000000000115e-10
7.759999999999999787e+00 8.827749999999999837e-10
7.780000000000000249e+00 8.785880000000000477e-10
7.799999999999999822e+00 8.740420000000000305e-10
7.820000000000000284e+00 8.691529999999999660e-10
7.839999999999999858e+00 8.639390000000000086e-10
7.860000000000000320e+00 8.584149999999999768e-10
7.879999999999999893e+00 8.525970000000000079e-10
7.900000000000000355e+00 8.465020000000000408e-10
7.919999999999999929e+00 8.401429999999999804e-10
7.940000000000000391e+00 8.335369999999999724e-10
7.959999999999999964e+00 8.266980000000000335e-10
7.980000000000000426e+00 8.196409999999999823e-10
8.000000000000000000e+00 8.123790000000000337e-10
8.019999999999999574e+00 8.049259999999999975e-10
8.039999999999999147e+00 7.972949999999999852e-10
8.060000000000000497e+00 7.895000000000000137e-10
8.080000000000000071e+00 7.815539999999999876e-10
8.099999999999999645e+00 7.734669999999999927e-10
8.119999999999999218e+00 7.652530000000000456e-10
8.140000000000000568e+00 7.569230000000000341e-10
8.160000000000000142e+00 7.484860000000000352e-10
8.179999999999999716e+00 7.399559999999999623e-10
8.199999999999999289e+00 7.313409999999999874e-10
8.220000000000000639e+00 7.226509999999999895e-10
8.240000000000000213e+00 7.138979999999999681e-10
8.259999999999999787e+00 7.050879999999999747e-10
8.279999999999999361e+00 6.962320000000000004e-10
8.300000000000000711e+00 6.873370000000000016e-10
8.320000000000000284e+00 6.784110000000000471e-10
8.339999999999999858e+00 6.694630000000000073e-10
8.359999999999999432e+00 6.604990000000000370e-10
8.380000000000000782e+00 6.515269999999999981e-10
8.400000000000000355e+00 6.425539999999999506e-10
8.419999999999999929e+00 6.335850000000000408e-10
8.439999999999999503e+00 6.246260000000000100e-10
8.460000000000000853e+00 6.156830000000000131e-10
8.480000000000000426e+00 6.067619999999999981e-10
8.500000000000000000e+00 5.978669999999999993e-10
