# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 7.006489999999999517e-45
4.889999999999999680e+00 2.592399999999999807e-43
4.910000000000000142e+00 7.468920000000000049e-42
4.929999999999999716e+00 1.854700000000000202e-40
4.950000000000000178e+00 3.987010000000000302e-39
4.969999999999999751e+00 7.469180000000000168e-38
4.990000000000000213e+00 1.227100000000000004e-36
5.009999999999999787e+00 1.778209999999999923e-35
5.030000000000000249e+00 2.286159999999999904e-34
5.049999999999999822e+00 2.621450000000000031e-33
5.070000000000000284e+00 2.695159999999999789e-32
5.089999999999999858e+00 2.496499999999999935e-31
5.110000000000000320e+00 2.093499999999999992e-30
5.129999999999999893e+00 1.596309999999999988e-29
5.150000000000000355e+00 1.111649999999999901e-28
5.169999999999999929e+00 7.098639999999999881e-28
5.190000000000000391e+00 4.173210000000000099e-27
5.209999999999999964e+00 2.266950000000000102e-26
5.230000000000000426e+00 1.142020000000000036e-25
5.250000000000000000e+00 5.353200000000000088e-25
5.269999999999999574e+00 2.342579999999999924e-24
5.290000000000000036e+00 9.600059999999999984e-24
5.309999999999999609e+00 3.695120000000000191e-23
5.330000000000000071e+00 1.339610000000000073e-22
5.349999999999999645e+00 4.586749999999999714e-22
5.370000000000000107e+00 1.487130000000000044e-21
5.389999999999999680e+00 4.576870000000000067e-21
5.410000000000000142e+00 1.340220000000000037e-20
5.429999999999999716e+00 3.742519999999999885e-20
5.450000000000000178e+00 9.988010000000000009e-20
5.469999999999999751e+00 2.552760000000000178e-19
5.490000000000000213e+00 6.260500000000000314e-19
5.509999999999999787e+00 1.476099999999999988e-18
5.530000000000000249e+00 3.352250000000000016e-18
5.549999999999999822e+00 7.345720000000000384e-18
5.570000000000000284e+00 1.555779999999999898e-17
5.589999999999999858e+00 3.190190000000000125e-17
5.610000000000000320e+00 6.343879999999999558e-17
5.629999999999999893e+00 1.225320000000000010e-16
5.650000000000000355e+00 2.302349999999999832e-16
5.669999999999999929e+00 4.214950000000000086e-16
5.690000000000000391e+00 7.529560000000000416e-16
5.709999999999999964e+00 1.314400000000000019e-15
5.730000000000000426e+00 2.245289999999999848e-15
5.750000000000000000e+00 3.758340000000000245e-15
5.769999999999999574e+00 6.088409999999999866e-15
5.790000000000000036e+00 9.678400000000000442e-15
5.809999999999999609e+00 1.518540000000000098e-14
5.830000000000000071e+00 2.352110000000000112e-14
5.849999999999999645e+00 3.597409999999999739e-14
5.870000000000000107e+00 5.433869999999999923e-14
5.889999999999999680e+00 8.107580000000000528e-14
5.910000000000000142e+00 1.195110000000000095e-13
5.929999999999999716e+00 1.740679999999999910e-13
5.950000000000000178e+00 2.505319999999999871e-13
5.969999999999999751e+00 3.563659999999999883e-13
5.990000000000000213e+00 5.010279999999999932e-13
6.009999999999999787e+00 6.963020000000000152e-13
6.030000000000000249e+00 9.566449999999999087e-13
6.049999999999999822e+00 1.299480000000000033e-12
6.070000000000000284e+00 1.745509999999999900e-12
6.089999999999999858e+00 2.318839999999999841e-12
6.110000000000000320e+00 3.047079999999999977e-12
6.129999999999999893e+00 3.961440000000000132e-12
6.150000000000000355e+00 5.096509999999999657e-12
6.169999999999999929e+00 6.489740000000000173e-12
6.190000000000000391e+00 8.181549999999999202e-12
6.209999999999999964e+00 1.021439999999999977e-11
6.230000000000000426e+00 1.263230000000000061e-11
6.250000000000000000e+00 1.547969999999999916e-11
6.269999999999999574e+00 1.880100000000000117e-11
6.290000000000000036e+00 2.263940000000000146e-11
6.309999999999999609e+00 2.703630000000000103e-11
6.330000000000000071e+00 3.202989999999999865e-11
6.349999999999999645e+00 3.765450000000000035e-11
6.370000000000000107e+00 4.393979999999999984e-11
6.389999999999999680e+00 5.091069999999999874e-11
6.410000000000000142e+00 5.858530000000000241e-11
6.429999999999999716e+00 6.697589999999999616e-11
6.450000000000000178e+00 7.608839999999999959e-11
6.469999999999999751e+00 8.592140000000000586e-11
6.490000000000000213e+00 9.646660000000000579e-11
6.509999999999999787e+00 1.077090000000000000e-10
6.530000000000000249e+00 1.196289999999999960e-10
6.549999999999999822e+00 1.321980000000000020e-10
6.570000000000000284e+00 1.453829999999999931e-10
6.589999999999999858e+00 1.591469999999999882e-10
6.610000000000000320e+00 1.734479999999999888e-10
6.629999999999999893e+00 1.882379999999999966e-10
6.650000000000000355e+00 2.034689999999999878e-10
6.669999999999999929e+00 2.190869999999999901e-10
6.690000000000000391e+00 2.350410000000000055e-10
6.709999999999999964e+00 2.512729999999999759e-10
6.730000000000000426e+00 2.677279999999999982e-10
6.750000000000000000e+00 2.843500000000000055e-10
6.769999999999999574e+00 3.010839999999999914e-10
6.790000000000000036e+00 3.178739999999999923e-10
6.809999999999999609e+00 3.346670000000000190e-10
6.830000000000000071e+00 3.514109999999999873e-10
6.849999999999999645e+00 3.680549999999999765e-10
6.870000000000000107e+00 3.845540000000000144e-10
6.889999999999999680e+00 4.008589999999999906e-10
6.910000000000000142e+00 4.169290000000000189e-10
6.929999999999999716e+00 4.327250000000000231e-10
6.950000000000000178e+00 4.482089999999999874e-10
6.969999999999999751e+00 4.633450000000000166e-10
6.990000000000000213e+00 4.781020000000000515e-10
7.009999999999999787e+00 4.924530000000000157e-10
7.030000000000000249e+00 5.063709999999999877e-10
7.049999999999999822e+00 5.198319999999999684e-10
7.070000000000000284e+00 5.328159999999999931e-10
7.089999999999999858e+00 5.453050000000000107e-10
7.110000000000000320e+00 5.572839999999999959e-10
7.129999999999999893e+00 5.687400000000000440e-10
7.150000000000000355e+00 5.796619999999999573e-10
7.169999999999999929e+00 5.900419999999999773e-10
7.190000000000000391e+00 5.998730000000000439e-10
7.209999999999999964e+00 6.091500000000000109e-10
7.230000000000000426e+00 6.178729999999999817e-10
7.259999999999999787e+00 6.260380000000000254e-10
7.280000000000000249e+00 6.336479999999999609e-10
7.299999999999999822e+00 6.407040000000000035e-10
7.320000000000000284e+00 6.472109999999999894e-10
7.339999999999999858e+00 6.531739999999999615e-10
7.360000000000000320e+00 6.585979999999999626e-10
7.379999999999999893e+00 6.634909999999999580e-10
7.400000000000000355e+00 6.678620000000000249e-10
7.419999999999999929e+00 6.717190000000000251e-10
7.440000000000000391e+00 6.750729999999999497e-10
7.459999999999999964e+00 6.779339999999999877e-10
7.480000000000000426e+00 6.803140000000000353e-10
7.500000000000000000e+00 6.822239999999999801e-10
7.519999999999999574e+00 6.836770000000000370e-10
7.540000000000000036e+00 6.846860000000000074e-10
7.559999999999999609e+00 6.852640000000000027e-10
7.580000000000000071e+00 6.854240000000000311e-10
7.599999999999999645e+00 6.851800000000000059e-10
7.620000000000000107e+00 6.845440000000000300e-10
7.639999999999999680e+00 6.835320000000000339e-10
7.660000000000000142e+00 6.821570000000000257e-10
7.679999999999999716e+00 6.804320000000000136e-10
7.700000000000000178e+00 6.783720000000000227e-10
7.719999999999999751e+00 6.759899999999999580e-10
7.740000000000000213e+00 6.732990000000000342e-10
7.759999999999999787e+00 6.703139999999999664e-10
7.780000000000000249e+00 6.670479999999999696e-10
7.799999999999999822e+00 6.635120000000000348e-10
7.820000000000000284e+00 6.597219999999999889e-10
7.839999999999999858e+00 6.556880000000000213e-10
7.860000000000000320e+00 6.514240000000000451e-10
7.879999999999999893e+00 6.469419999999999565e-10
7.900000000000000355e+00 6.422539999999999620e-10
7.919999999999999929e+00 6.373719999999999575e-10
7.940000000000000391e+00 6.323060000000000290e-10
7.959999999999999964e+00 6.270689999999999777e-10
7.980000000000000426e+00 6.216699999999999843e-10
8.000000000000000000e+00 6.161210000000000482e-10
8.019999999999999574e+00 6.104320000000000485e-10
8.039999999999999147e+00 6.046129999999999676e-10
8.060000000000000497e+00 5.986729999999999860e-10
8.080000000000000071e+00 5.926229999999999914e-10
8.099999999999999645e+00 5.864700000000000438e-10
8.119999999999999218e+00 5.802250000000000307e-10
8.140000000000000568e+00 5.738950000000000122e-10
8.160000000000000142e+00 5.674889999999999622e-10
8.179999999999999716e+00 5.610149999999999492e-10
8.199999999999999289e+00 5.544800000000000333e-10
8.220000000000000639e+00 5.478909999999999643e-10
8.240000000000000213e+00 5.412570000000000263e-10
8.259999999999999787e+00 5.345839999999999605e-10
8.279999999999999361e+00 5.278780000000000252e-10
8.300000000000000711e+00 5.211449999999999617e-10
8.320000000000000284e+00 5.143920000000000369e-10
8.339999999999999858e+00 5.076249999999999919e-10
8.359999999999999432e+00 5.008479999999999645e-10
8.380000000000000782e+00 4.940670000000000062e-10
8.400000000000000355e+00 4.872869999999999531e-10
8.419999999999999929e+00 4.805129999999999515e-10
8.439999999999999503e+00 4.737480000000000271e-10
8.460000000000000853e+00 4.669980000000000245e-10
8.480000000000000426e+00 4.602660000000000213e-10
8.500000000000000000e+00 4.535560000000000000e-10
