# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 9.410169999999999512e-33
3.520000000000000018e+00 1.154639999999999900e-31
3.540000000000000036e+00 1.266340000000000010e-30
3.560000000000000053e+00 1.247700000000000040e-29
3.580000000000000071e+00 1.109760000000000030e-28
3.600000000000000089e+00 8.952029999999999360e-28
3.620000000000000107e+00 6.578030000000000227e-27
3.640000000000000124e+00 4.421680000000000030e-26
3.660000000000000142e+00 2.729889999999999774e-25
3.680000000000000160e+00 1.553930000000000091e-24
3.700000000000000178e+00 8.185570000000000710e-24
3.720000000000000195e+00 4.004170000000000096e-23
3.740000000000000213e+00 1.825059999999999906e-22
3.759999999999999787e+00 7.775549999999999913e-22
3.779999999999999805e+00 3.105969999999999884e-21
3.799999999999999822e+00 1.166620000000000033e-20
3.819999999999999840e+00 4.132040000000000163e-20
3.839999999999999858e+00 1.383639999999999971e-19
3.859999999999999876e+00 4.391689999999999586e-19
3.879999999999999893e+00 1.324389999999999930e-18
3.899999999999999911e+00 3.803660000000000297e-18
3.919999999999999929e+00 1.042650000000000072e-17
3.939999999999999947e+00 2.733630000000000144e-17
3.959999999999999964e+00 6.868789999999999641e-17
3.979999999999999982e+00 1.657279999999999982e-16
4.000000000000000000e+00 3.846630000000000246e-16
4.019999999999999574e+00 8.603980000000000035e-16
4.040000000000000036e+00 1.857670000000000069e-15
4.059999999999999609e+00 3.877870000000000040e-15
4.080000000000000071e+00 7.838320000000000724e-15
4.099999999999999645e+00 1.536369999999999996e-14
4.120000000000000107e+00 2.924330000000000248e-14
4.139999999999999680e+00 5.412249999999999859e-14
4.160000000000000142e+00 9.752069999999999764e-14
4.179999999999999716e+00 1.712839999999999899e-13
4.200000000000000178e+00 2.935889999999999923e-13
4.219999999999999751e+00 4.916379999999999696e-13
4.240000000000000213e+00 8.027630000000000197e-13
4.259999999999999787e+00 1.262990000000000054e-12
4.280000000000000249e+00 1.954660000000000074e-12
4.299999999999999822e+00 2.976020000000000076e-12
4.320000000000000284e+00 4.458370000000000116e-12
4.339999999999999858e+00 6.573219999999999733e-12
4.360000000000000320e+00 9.540890000000000153e-12
4.379999999999999893e+00 1.363809999999999941e-11
4.400000000000000355e+00 1.920630000000000067e-11
4.419999999999999929e+00 2.665889999999999983e-11
4.440000000000000391e+00 3.648860000000000105e-11
4.459999999999999964e+00 4.927079999999999802e-11
4.480000000000000426e+00 6.566780000000000096e-11
4.500000000000000000e+00 8.642820000000000042e-11
4.519999999999999574e+00 1.123869999999999992e-10
4.540000000000000036e+00 1.444549999999999939e-10
4.559999999999999609e+00 1.836249999999999992e-10
4.580000000000000071e+00 2.309430000000000058e-10
4.599999999999999645e+00 2.875100000000000236e-10
4.620000000000000107e+00 3.544609999999999922e-10
4.639999999999999680e+00 4.329489999999999801e-10
4.660000000000000142e+00 5.241339999999999604e-10
4.679999999999999716e+00 6.291490000000000367e-10
4.700000000000000178e+00 7.490990000000000206e-10
4.719999999999999751e+00 8.850299999999999930e-10
4.740000000000000213e+00 1.037920000000000072e-09
4.769999999999999574e+00 1.208669999999999922e-09
4.790000000000000036e+00 1.398069999999999909e-09
4.809999999999999609e+00 1.606779999999999905e-09
4.830000000000000071e+00 1.835390000000000007e-09
4.849999999999999645e+00 2.084320000000000098e-09
4.870000000000000107e+00 2.353890000000000026e-09
4.889999999999999680e+00 2.644260000000000131e-09
4.910000000000000142e+00 2.955509999999999858e-09
4.929999999999999716e+00 3.287560000000000174e-09
4.950000000000000178e+00 3.640239999999999829e-09
4.969999999999999751e+00 4.013280000000000021e-09
4.990000000000000213e+00 4.406359999999999661e-09
5.009999999999999787e+00 4.819009999999999885e-09
5.030000000000000249e+00 5.250790000000000228e-09
5.049999999999999822e+00 5.701169999999999659e-09
5.070000000000000284e+00 6.169619999999999629e-09
5.089999999999999858e+00 6.655580000000000296e-09
5.110000000000000320e+00 7.158529999999999681e-09
5.129999999999999893e+00 7.677920000000000304e-09
5.150000000000000355e+00 8.213270000000000528e-09
5.169999999999999929e+00 8.764100000000000372e-09
5.190000000000000391e+00 9.329980000000000077e-09
5.209999999999999964e+00 9.910489999999999760e-09
5.230000000000000426e+00 1.050530000000000011e-08
5.250000000000000000e+00 1.111399999999999946e-08
5.269999999999999574e+00 1.173640000000000013e-08
5.290000000000000036e+00 1.237199999999999988e-08
5.309999999999999609e+00 1.302069999999999992e-08
5.330000000000000071e+00 1.368210000000000014e-08
5.349999999999999645e+00 1.435589999999999920e-08
5.370000000000000107e+00 1.504179999999999907e-08
5.389999999999999680e+00 1.573929999999999920e-08
5.410000000000000142e+00 1.644799999999999945e-08
5.429999999999999716e+00 1.716750000000000136e-08
5.450000000000000178e+00 1.789710000000000016e-08
5.469999999999999751e+00 1.863629999999999860e-08
5.490000000000000213e+00 1.938429999999999974e-08
5.509999999999999787e+00 2.014030000000000003e-08
5.530000000000000249e+00 2.090360000000000131e-08
5.549999999999999822e+00 2.167310000000000036e-08
5.570000000000000284e+00 2.244770000000000056e-08
5.589999999999999858e+00 2.322649999999999956e-08
5.610000000000000320e+00 2.400819999999999987e-08
5.629999999999999893e+00 2.479159999999999946e-08
5.650000000000000355e+00 2.557529999999999873e-08
5.669999999999999929e+00 2.635809999999999897e-08
5.690000000000000391e+00 2.713849999999999846e-08
5.709999999999999964e+00 2.791519999999999972e-08
5.730000000000000426e+00 2.868659999999999894e-08
5.750000000000000000e+00 2.945120000000000103e-08
5.769999999999999574e+00 3.020769999999999858e-08
5.790000000000000036e+00 3.095459999999999979e-08
5.809999999999999609e+00 3.169029999999999757e-08
5.830000000000000071e+00 3.241359999999999982e-08
5.849999999999999645e+00 3.312289999999999943e-08
5.870000000000000107e+00 3.381699999999999768e-08
5.889999999999999680e+00 3.449449999999999829e-08
5.910000000000000142e+00 3.515420000000000254e-08
5.929999999999999716e+00 3.579499999999999726e-08
5.950000000000000178e+00 3.641559999999999820e-08
5.969999999999999751e+00 3.701520000000000180e-08
5.990000000000000213e+00 3.759270000000000151e-08
6.009999999999999787e+00 3.814730000000000040e-08
6.030000000000000249e+00 3.867810000000000274e-08
6.049999999999999822e+00 3.918450000000000257e-08
6.070000000000000284e+00 3.966590000000000051e-08
6.089999999999999858e+00 4.012180000000000263e-08
6.110000000000000320e+00 4.055160000000000294e-08
6.129999999999999893e+00 4.095509999999999726e-08
6.150000000000000355e+00 4.133200000000000244e-08
6.169999999999999929e+00 4.168200000000000227e-08
6.190000000000000391e+00 4.200520000000000214e-08
6.209999999999999964e+00 4.230139999999999787e-08
6.230000000000000426e+00 4.257070000000000148e-08
6.250000000000000000e+00 4.281319999999999853e-08
