# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 1.401299999999999954e-45
4.059999999999999609e+00 4.904540000000000395e-44
4.080000000000000071e+00 1.894560000000000015e-42
4.099999999999999645e+00 6.231430000000000492e-41
4.120000000000000107e+00 1.752660000000000152e-39
4.139999999999999680e+00 4.244040000000000163e-38
4.160000000000000142e+00 8.907310000000000622e-37
4.179999999999999716e+00 1.630940000000000058e-35
4.200000000000000178e+00 2.621529999999999964e-34
4.219999999999999751e+00 3.720740000000000189e-33
4.240000000000000213e+00 4.688940000000000048e-32
4.259999999999999787e+00 5.275400000000000346e-31
4.280000000000000249e+00 5.326149999999999846e-30
4.299999999999999822e+00 4.848760000000000257e-29
4.320000000000000284e+00 3.999310000000000160e-28
4.339999999999999858e+00 3.001679999999999961e-27
4.360000000000000320e+00 2.059040000000000077e-26
4.379999999999999893e+00 1.296030000000000087e-25
4.400000000000000355e+00 7.515080000000000065e-25
4.419999999999999929e+00 4.029020000000000035e-24
4.440000000000000391e+00 2.004400000000000129e-23
4.459999999999999964e+00 9.283779999999999740e-23
4.480000000000000426e+00 4.016540000000000188e-22
4.500000000000000000e+00 1.628090000000000050e-21
4.519999999999999574e+00 6.201620000000000018e-21
4.540000000000000036e+00 2.226019999999999976e-20
4.559999999999999609e+00 7.549910000000000152e-20
4.580000000000000071e+00 2.425650000000000070e-19
4.599999999999999645e+00 7.400799999999999554e-19
4.620000000000000107e+00 2.149219999999999955e-18
4.639999999999999680e+00 5.954120000000000023e-18
4.660000000000000142e+00 1.576959999999999966e-17
4.679999999999999716e+00 4.000980000000000107e-17
4.700000000000000178e+00 9.742849999999999892e-17
4.719999999999999751e+00 2.281359999999999761e-16
4.740000000000000213e+00 5.146000000000000197e-16
4.769999999999999574e+00 1.120039999999999954e-15
4.790000000000000036e+00 2.356050000000000094e-15
4.809999999999999609e+00 4.797309999999999850e-15
4.830000000000000071e+00 9.469279999999999916e-15
4.849999999999999645e+00 1.814449999999999970e-14
4.870000000000000107e+00 3.379570000000000285e-14
4.889999999999999680e+00 6.126670000000000136e-14
4.910000000000000142e+00 1.082369999999999986e-13
4.929999999999999716e+00 1.865560000000000030e-13
4.950000000000000178e+00 3.140590000000000050e-13
4.969999999999999751e+00 5.169460000000000472e-13
4.990000000000000213e+00 8.207000000000000270e-13
5.009999999999999787e+00 1.278369999999999934e-12
5.030000000000000249e+00 1.957489999999999972e-12
5.049999999999999822e+00 2.947409999999999858e-12
5.070000000000000284e+00 4.365389999999999840e-12
5.089999999999999858e+00 6.362419999999999864e-12
5.110000000000000320e+00 9.129119999999999374e-12
5.129999999999999893e+00 1.290129999999999956e-11
5.150000000000000355e+00 1.796659999999999899e-11
5.169999999999999929e+00 2.466739999999999887e-11
5.190000000000000391e+00 3.340709999999999727e-11
5.209999999999999964e+00 4.465069999999999916e-11
5.230000000000000426e+00 5.892800000000000578e-11
5.250000000000000000e+00 7.683019999999999386e-11
5.269999999999999574e+00 9.901000000000000241e-11
5.290000000000000036e+00 1.261759999999999890e-10
5.309999999999999609e+00 1.590849999999999992e-10
5.330000000000000071e+00 1.985330000000000112e-10
5.349999999999999645e+00 2.453499999999999851e-10
5.370000000000000107e+00 3.003829999999999749e-10
5.389999999999999680e+00 3.644850000000000085e-10
5.410000000000000142e+00 4.384999999999999850e-10
5.429999999999999716e+00 5.232539999999999593e-10
5.450000000000000178e+00 6.195390000000000047e-10
5.469999999999999751e+00 7.280959999999999639e-10
5.490000000000000213e+00 8.496019999999999577e-10
5.509999999999999787e+00 9.846649999999999286e-10
5.530000000000000249e+00 1.133810000000000038e-09
5.549999999999999822e+00 1.297470000000000070e-09
5.570000000000000284e+00 1.475970000000000022e-09
5.589999999999999858e+00 1.669529999999999921e-09
5.610000000000000320e+00 1.878260000000000088e-09
5.629999999999999893e+00 2.102169999999999990e-09
5.650000000000000355e+00 2.341130000000000166e-09
5.669999999999999929e+00 2.594910000000000090e-09
5.690000000000000391e+00 2.863180000000000033e-09
5.709999999999999964e+00 3.145490000000000064e-09
5.730000000000000426e+00 3.441270000000000050e-09
5.750000000000000000e+00 3.749890000000000169e-09
5.769999999999999574e+00 4.070610000000000277e-09
5.790000000000000036e+00 4.402610000000000372e-09
5.809999999999999609e+00 4.744989999999999762e-09
5.830000000000000071e+00 5.096829999999999655e-09
5.849999999999999645e+00 5.457090000000000229e-09
5.870000000000000107e+00 5.824739999999999885e-09
5.889999999999999680e+00 6.198680000000000353e-09
5.910000000000000142e+00 6.577819999999999936e-09
5.929999999999999716e+00 6.961029999999999897e-09
5.950000000000000178e+00 7.347160000000000093e-09
5.969999999999999751e+00 7.735109999999999772e-09
5.990000000000000213e+00 8.123760000000000079e-09
6.009999999999999787e+00 8.512000000000000385e-09
6.030000000000000249e+00 8.898770000000000280e-09
6.049999999999999822e+00 9.283009999999999359e-09
6.070000000000000284e+00 9.663739999999999553e-09
6.089999999999999858e+00 1.003999999999999924e-08
6.110000000000000320e+00 1.041080000000000049e-08
6.129999999999999893e+00 1.077540000000000065e-08
6.150000000000000355e+00 1.113290000000000071e-08
6.169999999999999929e+00 1.148259999999999920e-08
6.190000000000000391e+00 1.182369999999999920e-08
6.209999999999999964e+00 1.215559999999999967e-08
6.230000000000000426e+00 1.247780000000000007e-08
6.250000000000000000e+00 1.278960000000000058e-08
6.269999999999999574e+00 1.309069999999999989e-08
6.290000000000000036e+00 1.338050000000000027e-08
6.309999999999999609e+00 1.365879999999999920e-08
6.330000000000000071e+00 1.392519999999999985e-08
6.349999999999999645e+00 1.417939999999999924e-08
6.370000000000000107e+00 1.442130000000000023e-08
6.389999999999999680e+00 1.465059999999999985e-08
6.410000000000000142e+00 1.486729999999999973e-08
6.429999999999999716e+00 1.507120000000000065e-08
6.450000000000000178e+00 1.526239999999999974e-08
6.469999999999999751e+00 1.544080000000000152e-08
6.490000000000000213e+00 1.560639999999999938e-08
6.509999999999999787e+00 1.575929999999999872e-08
6.530000000000000249e+00 1.589970000000000042e-08
6.549999999999999822e+00 1.602749999999999909e-08
6.570000000000000284e+00 1.614300000000000102e-08
6.589999999999999858e+00 1.624629999999999838e-08
6.610000000000000320e+00 1.633759999999999867e-08
6.629999999999999893e+00 1.641720000000000158e-08
6.650000000000000355e+00 1.648510000000000049e-08
6.669999999999999929e+00 1.654179999999999927e-08
6.690000000000000391e+00 1.658740000000000002e-08
6.709999999999999964e+00 1.662219999999999912e-08
6.730000000000000426e+00 1.664649999999999954e-08
6.750000000000000000e+00 1.666049999999999887e-08
6.769999999999999574e+00 1.666459999999999889e-08
6.790000000000000036e+00 1.665909999999999927e-08
6.809999999999999609e+00 1.664420000000000090e-08
6.830000000000000071e+00 1.662029999999999895e-08
6.849999999999999645e+00 1.658769999999999970e-08
6.870000000000000107e+00 1.654680000000000163e-08
6.889999999999999680e+00 1.649770000000000022e-08
6.910000000000000142e+00 1.644089999999999934e-08
6.929999999999999716e+00 1.637669999999999867e-08
6.950000000000000178e+00 1.630540000000000120e-08
6.969999999999999751e+00 1.622729999999999999e-08
6.990000000000000213e+00 1.614280000000000013e-08
7.009999999999999787e+00 1.605200000000000040e-08
7.030000000000000249e+00 1.595550000000000017e-08
7.049999999999999822e+00 1.585329999999999942e-08
7.070000000000000284e+00 1.574600000000000084e-08
7.089999999999999858e+00 1.563360000000000110e-08
7.110000000000000320e+00 1.551669999999999957e-08
7.129999999999999893e+00 1.539529999999999956e-08
7.150000000000000355e+00 1.526979999999999953e-08
7.169999999999999929e+00 1.514049999999999916e-08
7.190000000000000391e+00 1.500759999999999934e-08
7.209999999999999964e+00 1.487129999999999930e-08
7.230000000000000426e+00 1.473200000000000083e-08
7.259999999999999787e+00 1.458979999999999939e-08
7.280000000000000249e+00 1.444489999999999920e-08
7.299999999999999822e+00 1.429770000000000037e-08
7.320000000000000284e+00 1.414819999999999960e-08
7.339999999999999858e+00 1.399680000000000030e-08
7.360000000000000320e+00 1.384349999999999919e-08
7.379999999999999893e+00 1.368859999999999924e-08
7.400000000000000355e+00 1.353229999999999968e-08
7.419999999999999929e+00 1.337460000000000053e-08
7.440000000000000391e+00 1.321590000000000024e-08
7.459999999999999964e+00 1.305610000000000003e-08
7.480000000000000426e+00 1.289549999999999957e-08
7.500000000000000000e+00 1.273419999999999931e-08
7.519999999999999574e+00 1.257240000000000014e-08
7.540000000000000036e+00 1.241010000000000040e-08
7.559999999999999609e+00 1.224740000000000053e-08
7.580000000000000071e+00 1.208449999999999978e-08
7.599999999999999645e+00 1.192150000000000024e-08
7.620000000000000107e+00 1.175850000000000070e-08
7.639999999999999680e+00 1.159549999999999951e-08
7.660000000000000142e+00 1.143269999999999920e-08
7.679999999999999716e+00 1.127009999999999978e-08
7.700000000000000178e+00 1.110790000000000049e-08
7.719999999999999751e+00 1.094599999999999922e-08
7.740000000000000213e+00 1.078449999999999972e-08
7.759999999999999787e+00 1.062359999999999959e-08
7.780000000000000249e+00 1.046330000000000046e-08
7.799999999999999822e+00 1.030360000000000069e-08
7.820000000000000284e+00 1.014469999999999951e-08
7.839999999999999858e+00 9.986499999999999791e-09
7.860000000000000320e+00 9.829129999999999950e-09
7.879999999999999893e+00 9.672629999999999509e-09
7.900000000000000355e+00 9.517059999999999393e-09
7.919999999999999929e+00 9.362449999999999242e-09
7.940000000000000391e+00 9.208869999999999861e-09
7.959999999999999964e+00 9.056349999999999234e-09
7.980000000000000426e+00 8.904940000000000064e-09
8.000000000000000000e+00 8.754670000000000333e-09
8.019999999999999574e+00 8.605599999999999317e-09
8.039999999999999147e+00 8.457759999999999960e-09
8.060000000000000497e+00 8.311180000000000245e-09
8.080000000000000071e+00 8.165909999999999567e-09
8.099999999999999645e+00 8.021979999999999217e-09
8.119999999999999218e+00 7.879430000000000366e-09
8.140000000000000568e+00 7.738279999999999462e-09
8.160000000000000142e+00 7.598569999999999332e-09
8.179999999999999716e+00 7.460319999999999731e-09
8.199999999999999289e+00 7.323580000000000057e-09
8.220000000000000639e+00 7.188350000000000308e-09
8.240000000000000213e+00 7.054670000000000000e-09
8.259999999999999787e+00 6.922559999999999719e-09
8.279999999999999361e+00 6.792049999999999929e-09
8.300000000000000711e+00 6.663139999999999802e-09
8.320000000000000284e+00 6.535869999999999682e-09
8.339999999999999858e+00 6.410240000000000396e-09
8.359999999999999432e+00 6.286279999999999927e-09
8.380000000000000782e+00 6.163989999999999928e-09
8.400000000000000355e+00 6.043400000000000038e-09
8.419999999999999929e+00 5.924500000000000376e-09
8.439999999999999503e+00 5.807309999999999874e-09
8.460000000000000853e+00 5.691830000000000186e-09
8.480000000000000426e+00 5.578070000000000364e-09
8.500000000000000000e+00 5.466040000000000286e-09
