# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 2.802599999999999909e-45
4.200000000000000178e+00 9.388699999999999253e-44
4.219999999999999751e+00 3.419169999999999798e-42
4.240000000000000213e+00 1.065900000000000002e-40
4.259999999999999787e+00 2.847979999999999902e-39
4.280000000000000249e+00 6.567109999999999882e-38
4.299999999999999822e+00 1.315389999999999931e-36
4.320000000000000284e+00 2.303559999999999920e-35
4.339999999999999858e+00 3.548110000000000032e-34
4.360000000000000320e+00 4.835160000000000305e-33
4.379999999999999893e+00 5.861340000000000472e-32
4.400000000000000355e+00 6.354750000000000137e-31
4.419999999999999929e+00 6.192439999999999856e-30
4.440000000000000391e+00 5.450349999999999693e-29
4.459999999999999964e+00 4.352500000000000125e-28
4.480000000000000426e+00 3.167820000000000063e-27
4.500000000000000000e+00 2.109909999999999862e-26
4.519999999999999574e+00 1.291309999999999953e-25
4.540000000000000036e+00 7.289289999999999905e-25
4.559999999999999609e+00 3.809319999999999831e-24
4.580000000000000071e+00 1.849250000000000136e-23
4.599999999999999645e+00 8.367809999999999753e-23
4.620000000000000107e+00 3.540330000000000028e-22
4.639999999999999680e+00 1.404829999999999913e-21
4.660000000000000142e+00 5.243540000000000168e-21
4.679999999999999716e+00 1.846020000000000000e-20
4.700000000000000178e+00 6.145939999999999804e-20
4.719999999999999751e+00 1.939959999999999912e-19
4.740000000000000213e+00 5.819770000000000233e-19
4.769999999999999574e+00 1.663089999999999907e-18
4.790000000000000036e+00 4.536939999999999834e-18
4.809999999999999609e+00 1.184049999999999951e-17
4.830000000000000071e+00 2.962229999999999991e-17
4.849999999999999645e+00 7.117480000000000433e-17
4.870000000000000107e+00 1.645409999999999998e-16
4.889999999999999680e+00 3.666349999999999908e-16
4.910000000000000142e+00 7.887370000000000209e-16
4.929999999999999716e+00 1.640780000000000010e-15
4.950000000000000178e+00 3.305549999999999844e-15
4.969999999999999751e+00 6.458680000000000260e-15
4.990000000000000213e+00 1.225639999999999934e-14
5.009999999999999787e+00 2.261799999999999952e-14
5.030000000000000249e+00 4.064289999999999941e-14
5.049999999999999822e+00 7.119690000000000483e-14
5.070000000000000284e+00 1.217300000000000023e-13
5.089999999999999858e+00 2.033549999999999953e-13
5.110000000000000320e+00 3.308789999999999778e-13
5.129999999999999893e+00 5.214069999999999814e-13
5.150000000000000355e+00 8.075500000000000275e-13
5.169999999999999929e+00 1.229569999999999980e-12
5.190000000000000391e+00 1.841150000000000086e-12
5.209999999999999964e+00 2.712160000000000027e-12
5.230000000000000426e+00 3.932059999999999706e-12
5.250000000000000000e+00 5.612900000000000044e-12
5.269999999999999574e+00 7.892780000000000221e-12
5.290000000000000036e+00 1.093859999999999945e-11
5.309999999999999609e+00 1.494869999999999991e-11
5.330000000000000071e+00 2.015439999999999983e-11
5.349999999999999645e+00 2.682220000000000096e-11
5.370000000000000107e+00 3.525270000000000225e-11
5.389999999999999680e+00 4.578109999999999765e-11
5.410000000000000142e+00 5.877400000000000301e-11
5.429999999999999716e+00 7.462859999999999807e-11
5.450000000000000178e+00 9.376700000000000304e-11
5.469999999999999751e+00 1.166320000000000063e-10
5.490000000000000213e+00 1.436790000000000060e-10
5.509999999999999787e+00 1.753750000000000018e-10
5.530000000000000249e+00 2.121860000000000105e-10
5.549999999999999822e+00 2.545740000000000145e-10
5.570000000000000284e+00 3.029809999999999797e-10
5.589999999999999858e+00 3.578339999999999763e-10
5.610000000000000320e+00 4.195299999999999978e-10
5.629999999999999893e+00 4.884280000000000219e-10
5.650000000000000355e+00 5.648440000000000194e-10
5.669999999999999929e+00 6.490500000000000489e-10
5.690000000000000391e+00 7.412680000000000504e-10
5.709999999999999964e+00 8.416560000000000350e-10
5.730000000000000426e+00 9.503149999999999387e-10
5.750000000000000000e+00 1.067289999999999941e-09
5.769999999999999574e+00 1.192560000000000067e-09
5.790000000000000036e+00 1.326039999999999900e-09
5.809999999999999609e+00 1.467580000000000013e-09
5.830000000000000071e+00 1.616979999999999931e-09
5.849999999999999645e+00 1.773979999999999906e-09
5.870000000000000107e+00 1.938259999999999881e-09
5.889999999999999680e+00 2.109429999999999818e-09
5.910000000000000142e+00 2.287109999999999974e-09
5.929999999999999716e+00 2.470810000000000073e-09
5.950000000000000178e+00 2.660039999999999843e-09
5.969999999999999751e+00 2.854269999999999905e-09
5.990000000000000213e+00 3.052949999999999885e-09
6.009999999999999787e+00 3.255489999999999891e-09
6.030000000000000249e+00 3.461290000000000152e-09
6.049999999999999822e+00 3.669750000000000071e-09
6.070000000000000284e+00 3.880240000000000241e-09
6.089999999999999858e+00 4.092160000000000063e-09
6.110000000000000320e+00 4.304880000000000131e-09
6.129999999999999893e+00 4.517790000000000381e-09
6.150000000000000355e+00 4.730310000000000388e-09
6.169999999999999929e+00 4.941839999999999966e-09
6.190000000000000391e+00 5.151829999999999983e-09
6.209999999999999964e+00 5.359729999999999647e-09
6.230000000000000426e+00 5.565020000000000290e-09
6.250000000000000000e+00 5.767220000000000274e-09
6.269999999999999574e+00 5.965839999999999739e-09
6.290000000000000036e+00 6.160459999999999631e-09
6.309999999999999609e+00 6.350689999999999708e-09
6.330000000000000071e+00 6.536129999999999845e-09
6.349999999999999645e+00 6.716430000000000142e-09
6.370000000000000107e+00 6.891299999999999974e-09
6.389999999999999680e+00 7.060460000000000246e-09
6.410000000000000142e+00 7.223640000000000090e-09
6.429999999999999716e+00 7.380630000000000392e-09
6.450000000000000178e+00 7.531230000000000265e-09
6.469999999999999751e+00 7.675300000000000575e-09
6.490000000000000213e+00 7.812690000000000656e-09
6.509999999999999787e+00 7.943290000000000184e-09
6.530000000000000249e+00 8.067020000000000128e-09
6.549999999999999822e+00 8.183819999999999559e-09
6.570000000000000284e+00 8.293660000000000495e-09
6.589999999999999858e+00 8.396509999999999990e-09
6.610000000000000320e+00 8.492389999999999457e-09
6.629999999999999893e+00 8.581310000000000427e-09
6.650000000000000355e+00 8.663320000000000644e-09
6.669999999999999929e+00 8.738459999999999621e-09
6.690000000000000391e+00 8.806809999999999700e-09
6.709999999999999964e+00 8.868459999999999793e-09
6.730000000000000426e+00 8.923490000000000584e-09
6.750000000000000000e+00 8.972020000000000622e-09
6.769999999999999574e+00 9.014160000000000230e-09
6.790000000000000036e+00 9.050029999999999611e-09
6.809999999999999609e+00 9.079770000000000379e-09
6.830000000000000071e+00 9.103519999999999186e-09
6.849999999999999645e+00 9.121429999999999179e-09
6.870000000000000107e+00 9.133650000000000197e-09
6.889999999999999680e+00 9.140330000000000426e-09
6.910000000000000142e+00 9.141639999999999463e-09
6.929999999999999716e+00 9.137750000000000214e-09
6.950000000000000178e+00 9.128809999999999209e-09
6.969999999999999751e+00 9.115010000000000766e-09
6.990000000000000213e+00 9.096509999999999641e-09
7.009999999999999787e+00 9.073480000000000394e-09
7.030000000000000249e+00 9.046099999999999192e-09
7.049999999999999822e+00 9.014540000000000595e-09
7.070000000000000284e+00 8.978980000000000772e-09
7.089999999999999858e+00 8.939579999999999439e-09
7.110000000000000320e+00 8.896519999999999383e-09
7.129999999999999893e+00 8.849980000000000080e-09
7.150000000000000355e+00 8.800109999999999713e-09
7.169999999999999929e+00 8.747079999999999536e-09
7.190000000000000391e+00 8.691060000000000798e-09
7.209999999999999964e+00 8.632209999999999911e-09
7.230000000000000426e+00 8.570689999999999900e-09
7.259999999999999787e+00 8.506640000000000726e-09
7.280000000000000249e+00 8.440230000000000332e-09
7.299999999999999822e+00 8.371600000000000332e-09
7.320000000000000284e+00 8.300890000000000687e-09
7.339999999999999858e+00 8.228229999999999823e-09
7.360000000000000320e+00 8.153780000000000768e-09
7.379999999999999893e+00 8.077650000000000535e-09
7.400000000000000355e+00 7.999969999999999207e-09
7.419999999999999929e+00 7.920860000000000294e-09
7.440000000000000391e+00 7.840440000000000689e-09
7.459999999999999964e+00 7.758830000000000596e-09
7.480000000000000426e+00 7.676130000000000458e-09
7.500000000000000000e+00 7.592440000000000719e-09
7.519999999999999574e+00 7.507860000000000169e-09
7.540000000000000036e+00 7.422480000000000201e-09
7.559999999999999609e+00 7.336399999999999605e-09
7.580000000000000071e+00 7.249699999999999894e-09
7.599999999999999645e+00 7.162460000000000100e-09
7.620000000000000107e+00 7.074750000000000204e-09
7.639999999999999680e+00 6.986659999999999942e-09
7.660000000000000142e+00 6.898240000000000366e-09
7.679999999999999716e+00 6.809569999999999678e-09
7.700000000000000178e+00 6.720699999999999756e-09
7.719999999999999751e+00 6.631699999999999754e-09
7.740000000000000213e+00 6.542619999999999892e-09
7.759999999999999787e+00 6.453510000000000393e-09
7.780000000000000249e+00 6.364429999999999704e-09
7.799999999999999822e+00 6.275409999999999943e-09
7.820000000000000284e+00 6.186510000000000384e-09
7.839999999999999858e+00 6.097769999999999717e-09
7.860000000000000320e+00 6.009220000000000059e-09
7.879999999999999893e+00 5.920919999999999857e-09
7.900000000000000355e+00 5.832879999999999818e-09
7.919999999999999929e+00 5.745160000000000042e-09
7.940000000000000391e+00 5.657780000000000288e-09
7.959999999999999964e+00 5.570770000000000192e-09
7.980000000000000426e+00 5.484170000000000098e-09
8.000000000000000000e+00 5.398009999999999643e-09
8.019999999999999574e+00 5.312320000000000118e-09
8.039999999999999147e+00 5.227109999999999747e-09
8.060000000000000497e+00 5.142430000000000408e-09
8.080000000000000071e+00 5.058300000000000203e-09
8.099999999999999645e+00 4.974739999999999718e-09
8.119999999999999218e+00 4.891780000000000245e-09
8.140000000000000568e+00 4.809439999999999886e-09
8.160000000000000142e+00 4.727740000000000054e-09
8.179999999999999716e+00 4.646699999999999681e-09
8.199999999999999289e+00 4.566359999999999935e-09
8.220000000000000639e+00 4.486719999999999991e-09
8.240000000000000213e+00 4.407810000000000312e-09
8.259999999999999787e+00 4.329649999999999829e-09
8.279999999999999361e+00 4.252259999999999955e-09
8.300000000000000711e+00 4.175639999999999862e-09
8.320000000000000284e+00 4.099820000000000014e-09
8.339999999999999858e+00 4.024820000000000170e-09
8.359999999999999432e+00 3.950650000000000208e-09
8.380000000000000782e+00 3.877329999999999886e-09
8.400000000000000355e+00 3.804860000000000032e-09
8.419999999999999929e+00 3.733260000000000403e-09
8.439999999999999503e+00 3.662549999999999931e-09
8.460000000000000853e+00 3.592719999999999976e-09
8.480000000000000426e+00 3.523800000000000177e-09
8.500000000000000000e+00 3.455779999999999827e-09
