# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 8.407790000000000094e-45
4.700000000000000178e+00 2.872660000000000022e-43
4.719999999999999751e+00 8.692249999999999384e-42
4.740000000000000213e+00 2.262370000000000178e-40
4.769999999999999574e+00 5.087970000000000304e-39
4.790000000000000036e+00 9.950660000000000504e-38
4.809999999999999609e+00 1.703170000000000069e-36
4.830000000000000071e+00 2.566889999999999796e-35
4.849999999999999645e+00 3.425789999999999892e-34
4.870000000000000107e+00 4.070849999999999901e-33
4.889999999999999680e+00 4.329950000000000075e-32
4.910000000000000142e+00 4.143319999999999864e-31
4.929999999999999716e+00 3.583740000000000235e-30
4.950000000000000178e+00 2.814539999999999773e-29
4.969999999999999751e+00 2.015940000000000026e-28
4.990000000000000213e+00 1.322430000000000002e-27
5.009999999999999787e+00 7.975819999999999881e-27
5.030000000000000249e+00 4.439940000000000121e-26
5.049999999999999822e+00 2.289360000000000020e-25
5.070000000000000284e+00 1.097289999999999988e-24
5.089999999999999858e+00 4.904560000000000146e-24
5.110000000000000320e+00 2.050939999999999905e-23
5.129999999999999893e+00 8.047460000000000449e-23
5.150000000000000355e+00 2.971620000000000127e-22
5.169999999999999929e+00 1.035430000000000043e-21
5.190000000000000391e+00 3.413579999999999906e-21
5.209999999999999964e+00 1.067380000000000072e-20
5.230000000000000426e+00 3.173320000000000272e-20
5.250000000000000000e+00 8.990010000000000341e-20
5.269999999999999574e+00 2.432289999999999828e-19
5.290000000000000036e+00 6.297870000000000024e-19
5.309999999999999609e+00 1.563679999999999949e-18
5.330000000000000071e+00 3.729859999999999966e-18
5.349999999999999645e+00 8.562970000000000590e-18
5.370000000000000107e+00 1.895409999999999993e-17
5.389999999999999680e+00 4.051679999999999999e-17
5.410000000000000142e+00 8.377200000000000075e-17
5.429999999999999716e+00 1.677859999999999914e-16
5.450000000000000178e+00 3.260149999999999836e-16
5.469999999999999751e+00 6.153639999999999744e-16
5.490000000000000213e+00 1.129809999999999913e-15
5.509999999999999787e+00 2.020230000000000092e-15
5.530000000000000249e+00 3.522479999999999998e-15
5.549999999999999822e+00 5.995639999999999741e-15
5.570000000000000284e+00 9.970769999999999314e-15
5.589999999999999858e+00 1.612619999999999923e-14
5.610000000000000320e+00 2.538640000000000088e-14
5.629999999999999893e+00 3.926099999999999800e-14
5.650000000000000355e+00 5.967320000000000416e-14
5.669999999999999929e+00 8.917149999999999521e-14
5.690000000000000391e+00 1.310720000000000094e-13
5.709999999999999964e+00 1.895970000000000049e-13
5.730000000000000426e+00 2.700230000000000097e-13
5.750000000000000000e+00 3.788359999999999925e-13
5.769999999999999574e+00 5.238619999999999947e-13
5.790000000000000036e+00 7.143669999999999993e-13
5.809999999999999609e+00 9.611739999999999189e-13
5.830000000000000071e+00 1.276700000000000002e-12
5.849999999999999645e+00 1.674959999999999963e-12
5.870000000000000107e+00 2.171539999999999853e-12
5.889999999999999680e+00 2.783589999999999855e-12
5.910000000000000142e+00 3.529569999999999873e-12
5.929999999999999716e+00 4.429170000000000200e-12
5.950000000000000178e+00 5.503019999999999709e-12
5.969999999999999751e+00 6.772489999999999953e-12
5.990000000000000213e+00 8.259440000000000600e-12
6.009999999999999787e+00 9.985770000000000172e-12
6.030000000000000249e+00 1.197299999999999997e-11
6.049999999999999822e+00 1.424239999999999998e-11
6.070000000000000284e+00 1.681409999999999961e-11
6.089999999999999858e+00 1.970689999999999956e-11
6.110000000000000320e+00 2.293809999999999896e-11
6.129999999999999893e+00 2.652330000000000109e-11
6.150000000000000355e+00 3.047570000000000029e-11
6.169999999999999929e+00 3.480629999999999720e-11
6.190000000000000391e+00 3.952330000000000144e-11
6.209999999999999964e+00 4.463250000000000071e-11
6.230000000000000426e+00 5.013690000000000137e-11
6.250000000000000000e+00 5.603639999999999739e-11
6.269999999999999574e+00 6.232789999999999577e-11
6.290000000000000036e+00 6.900559999999999588e-11
6.309999999999999609e+00 7.606140000000000061e-11
6.330000000000000071e+00 8.348380000000000178e-11
6.349999999999999645e+00 9.125870000000000251e-11
6.370000000000000107e+00 9.937020000000000081e-11
6.389999999999999680e+00 1.078000000000000051e-10
6.410000000000000142e+00 1.165279999999999930e-10
6.429999999999999716e+00 1.255309999999999877e-10
6.450000000000000178e+00 1.347859999999999986e-10
6.469999999999999751e+00 1.442690000000000009e-10
6.490000000000000213e+00 1.539529999999999956e-10
6.509999999999999787e+00 1.638110000000000095e-10
6.530000000000000249e+00 1.738180000000000092e-10
6.549999999999999822e+00 1.839439999999999957e-10
6.570000000000000284e+00 1.941630000000000046e-10
6.589999999999999858e+00 2.044480000000000110e-10
6.610000000000000320e+00 2.147719999999999900e-10
6.629999999999999893e+00 2.251079999999999944e-10
6.650000000000000355e+00 2.354299999999999821e-10
6.669999999999999929e+00 2.457150000000000143e-10
6.690000000000000391e+00 2.559370000000000231e-10
6.709999999999999964e+00 2.660759999999999919e-10
6.730000000000000426e+00 2.761070000000000165e-10
6.750000000000000000e+00 2.860119999999999942e-10
6.769999999999999574e+00 2.957710000000000119e-10
6.790000000000000036e+00 3.053660000000000186e-10
6.809999999999999609e+00 3.147800000000000235e-10
6.830000000000000071e+00 3.239980000000000014e-10
6.849999999999999645e+00 3.330059999999999872e-10
6.870000000000000107e+00 3.417900000000000160e-10
6.889999999999999680e+00 3.503389999999999934e-10
6.910000000000000142e+00 3.586419999999999802e-10
6.929999999999999716e+00 3.666900000000000024e-10
6.950000000000000178e+00 3.744729999999999744e-10
6.969999999999999751e+00 3.819860000000000083e-10
6.990000000000000213e+00 3.892209999999999839e-10
7.009999999999999787e+00 3.961720000000000046e-10
7.030000000000000249e+00 4.028359999999999932e-10
7.049999999999999822e+00 4.092070000000000015e-10
7.070000000000000284e+00 4.152840000000000209e-10
7.089999999999999858e+00 4.210640000000000258e-10
7.110000000000000320e+00 4.265449999999999989e-10
7.129999999999999893e+00 4.317259999999999834e-10
7.150000000000000355e+00 4.366060000000000224e-10
7.169999999999999929e+00 4.411869999999999779e-10
7.190000000000000391e+00 4.454679999999999965e-10
7.209999999999999964e+00 4.494509999999999920e-10
7.230000000000000426e+00 4.531379999999999814e-10
7.259999999999999787e+00 4.565309999999999820e-10
7.280000000000000249e+00 4.596310000000000023e-10
7.299999999999999822e+00 4.624429999999999819e-10
7.320000000000000284e+00 4.649699999999999980e-10
7.339999999999999858e+00 4.672160000000000335e-10
7.360000000000000320e+00 4.691839999999999589e-10
7.379999999999999893e+00 4.708790000000000239e-10
7.400000000000000355e+00 4.723059999999999611e-10
7.419999999999999929e+00 4.734700000000000204e-10
7.440000000000000391e+00 4.743760000000000377e-10
7.459999999999999964e+00 4.750299999999999612e-10
7.480000000000000426e+00 4.754380000000000492e-10
7.500000000000000000e+00 4.756050000000000342e-10
7.519999999999999574e+00 4.755379999999999764e-10
7.540000000000000036e+00 4.752440000000000393e-10
7.559999999999999609e+00 4.747279999999999555e-10
7.580000000000000071e+00 4.739969999999999918e-10
7.599999999999999645e+00 4.730580000000000015e-10
7.620000000000000107e+00 4.719180000000000448e-10
7.639999999999999680e+00 4.705829999999999662e-10
7.660000000000000142e+00 4.690620000000000497e-10
7.679999999999999716e+00 4.673590000000000195e-10
7.700000000000000178e+00 4.654830000000000044e-10
7.719999999999999751e+00 4.634400000000000044e-10
7.740000000000000213e+00 4.612369999999999759e-10
7.759999999999999787e+00 4.588809999999999791e-10
7.780000000000000249e+00 4.563790000000000222e-10
7.799999999999999822e+00 4.537359999999999932e-10
7.820000000000000284e+00 4.509600000000000123e-10
7.839999999999999858e+00 4.480569999999999759e-10
7.860000000000000320e+00 4.450339999999999958e-10
7.879999999999999893e+00 4.418950000000000028e-10
7.900000000000000355e+00 4.386480000000000139e-10
7.919999999999999929e+00 4.352970000000000117e-10
7.940000000000000391e+00 4.318490000000000046e-10
7.959999999999999964e+00 4.283089999999999837e-10
7.980000000000000426e+00 4.246830000000000006e-10
8.000000000000000000e+00 4.209749999999999861e-10
8.019999999999999574e+00 4.171899999999999831e-10
8.039999999999999147e+00 4.133339999999999915e-10
8.060000000000000497e+00 4.094099999999999852e-10
8.080000000000000071e+00 4.054240000000000157e-10
8.099999999999999645e+00 4.013779999999999968e-10
8.119999999999999218e+00 3.972789999999999885e-10
8.140000000000000568e+00 3.931300000000000166e-10
8.160000000000000142e+00 3.889329999999999948e-10
8.179999999999999716e+00 3.846939999999999746e-10
8.199999999999999289e+00 3.804159999999999817e-10
8.220000000000000639e+00 3.761019999999999902e-10
8.240000000000000213e+00 3.717559999999999827e-10
8.259999999999999787e+00 3.673799999999999763e-10
8.279999999999999361e+00 3.629790000000000139e-10
8.300000000000000711e+00 3.585540000000000007e-10
8.320000000000000284e+00 3.541090000000000228e-10
8.339999999999999858e+00 3.496470000000000024e-10
8.359999999999999432e+00 3.451710000000000171e-10
8.380000000000000782e+00 3.406820000000000236e-10
8.400000000000000355e+00 3.361850000000000132e-10
8.419999999999999929e+00 3.316809999999999944e-10
8.439999999999999503e+00 3.271729999999999930e-10
8.460000000000000853e+00 3.226629999999999744e-10
8.480000000000000426e+00 3.181530000000000076e-10
8.500000000000000000e+00 3.136470000000000234e-10
