# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 2.802599999999999909e-45
4.440000000000000391e+00 9.528829999999999560e-44
4.459999999999999964e+00 3.291650000000000042e-42
4.480000000000000426e+00 9.753600000000000526e-41
4.500000000000000000e+00 2.481890000000000066e-39
4.519999999999999574e+00 5.462249999999999598e-38
4.540000000000000036e+00 1.046449999999999987e-36
4.559999999999999609e+00 1.756349999999999938e-35
4.580000000000000071e+00 2.597670000000000199e-34
4.599999999999999645e+00 3.405419999999999716e-33
4.620000000000000107e+00 3.978250000000000182e-32
4.639999999999999680e+00 4.163200000000000226e-31
4.660000000000000142e+00 3.922520000000000173e-30
4.679999999999999716e+00 3.343060000000000112e-29
4.700000000000000178e+00 2.588840000000000071e-28
4.719999999999999751e+00 1.829589999999999875e-27
4.740000000000000213e+00 1.184960000000000036e-26
4.769999999999999574e+00 7.060659999999999965e-26
4.790000000000000036e+00 3.885079999999999781e-25
4.809999999999999609e+00 1.981289999999999873e-24
4.830000000000000071e+00 9.397139999999999493e-24
4.849999999999999645e+00 4.158620000000000256e-23
4.870000000000000107e+00 1.722489999999999959e-22
4.889999999999999680e+00 6.697749999999999784e-22
4.910000000000000142e+00 2.451990000000000097e-21
4.929999999999999716e+00 8.474189999999999819e-21
4.950000000000000178e+00 2.771940000000000222e-20
4.969999999999999751e+00 8.603340000000000206e-20
4.990000000000000213e+00 2.539749999999999813e-19
5.009999999999999787e+00 7.146850000000000417e-19
5.030000000000000249e+00 1.921320000000000189e-18
5.049999999999999822e+00 4.944519999999999633e-18
5.070000000000000284e+00 1.220569999999999969e-17
5.089999999999999858e+00 2.895429999999999699e-17
5.110000000000000320e+00 6.612630000000000227e-17
5.129999999999999893e+00 1.456389999999999936e-16
5.150000000000000355e+00 3.098450000000000088e-16
5.169999999999999929e+00 6.377439999999999555e-16
5.190000000000000391e+00 1.271870000000000096e-15
5.209999999999999964e+00 2.461159999999999942e-15
5.230000000000000426e+00 4.627470000000000230e-15
5.250000000000000000e+00 8.464560000000000424e-15
5.269999999999999574e+00 1.508240000000000069e-14
5.290000000000000036e+00 2.620950000000000118e-14
5.309999999999999609e+00 4.446900000000000217e-14
5.330000000000000071e+00 7.374480000000000350e-14
5.349999999999999645e+00 1.185469999999999946e-13
5.370000000000000107e+00 1.858089999999999962e-13
5.389999999999999680e+00 2.862439999999999867e-13
5.410000000000000142e+00 4.335329999999999865e-13
5.429999999999999716e+00 6.457760000000000142e-13
5.450000000000000178e+00 9.464179999999999766e-13
5.469999999999999751e+00 1.365250000000000064e-12
5.490000000000000213e+00 1.939389999999999878e-12
5.509999999999999787e+00 2.714299999999999854e-12
5.530000000000000249e+00 3.744659999999999919e-12
5.549999999999999822e+00 5.095009999999999714e-12
5.570000000000000284e+00 6.840350000000000030e-12
5.589999999999999858e+00 9.066450000000000005e-12
5.610000000000000320e+00 1.187000000000000011e-11
5.629999999999999893e+00 1.535779999999999904e-11
5.650000000000000355e+00 1.964650000000000035e-11
5.669999999999999929e+00 2.486180000000000055e-11
5.690000000000000391e+00 3.113680000000000279e-11
5.709999999999999964e+00 3.861020000000000203e-11
5.730000000000000426e+00 4.742460000000000211e-11
5.750000000000000000e+00 5.772509999999999927e-11
5.769999999999999574e+00 6.965650000000000394e-11
5.790000000000000036e+00 8.336010000000000303e-11
5.809999999999999609e+00 9.897299999999999520e-11
5.830000000000000071e+00 1.166249999999999979e-10
5.849999999999999645e+00 1.364369999999999963e-10
5.870000000000000107e+00 1.585160000000000035e-10
5.889999999999999680e+00 1.829570000000000073e-10
5.910000000000000142e+00 2.098410000000000046e-10
5.929999999999999716e+00 2.392319999999999758e-10
5.950000000000000178e+00 2.711729999999999796e-10
5.969999999999999751e+00 3.056929999999999803e-10
5.990000000000000213e+00 3.427999999999999950e-10
6.009999999999999787e+00 3.824829999999999809e-10
6.030000000000000249e+00 4.247080000000000082e-10
6.049999999999999822e+00 4.694279999999999841e-10
6.070000000000000284e+00 5.165750000000000489e-10
6.089999999999999858e+00 5.660620000000000249e-10
6.110000000000000320e+00 6.177849999999999506e-10
6.129999999999999893e+00 6.716259999999999511e-10
6.150000000000000355e+00 7.274540000000000400e-10
6.169999999999999929e+00 7.851219999999999902e-10
6.190000000000000391e+00 8.444719999999999972e-10
6.209999999999999964e+00 9.053369999999999726e-10
6.230000000000000426e+00 9.675450000000000953e-10
6.250000000000000000e+00 1.030909999999999907e-09
6.269999999999999574e+00 1.095249999999999914e-09
6.290000000000000036e+00 1.160369999999999995e-09
6.309999999999999609e+00 1.226090000000000054e-09
6.330000000000000071e+00 1.292199999999999942e-09
6.349999999999999645e+00 1.358530000000000064e-09
6.370000000000000107e+00 1.424879999999999943e-09
6.389999999999999680e+00 1.491069999999999898e-09
6.410000000000000142e+00 1.556909999999999952e-09
6.429999999999999716e+00 1.622250000000000059e-09
6.450000000000000178e+00 1.686909999999999916e-09
6.469999999999999751e+00 1.750740000000000098e-09
6.490000000000000213e+00 1.813580000000000059e-09
6.509999999999999787e+00 1.875299999999999924e-09
6.530000000000000249e+00 1.935750000000000062e-09
6.549999999999999822e+00 1.994829999999999821e-09
6.570000000000000284e+00 2.052419999999999826e-09
6.589999999999999858e+00 2.108410000000000167e-09
6.610000000000000320e+00 2.162720000000000158e-09
6.629999999999999893e+00 2.215250000000000183e-09
6.650000000000000355e+00 2.265940000000000139e-09
6.669999999999999929e+00 2.314720000000000047e-09
6.690000000000000391e+00 2.361540000000000098e-09
6.709999999999999964e+00 2.406340000000000192e-09
6.730000000000000426e+00 2.449089999999999863e-09
6.750000000000000000e+00 2.489770000000000182e-09
6.769999999999999574e+00 2.528339999999999977e-09
6.790000000000000036e+00 2.564779999999999905e-09
6.809999999999999609e+00 2.599099999999999845e-09
6.830000000000000071e+00 2.631289999999999916e-09
6.849999999999999645e+00 2.661339999999999828e-09
6.870000000000000107e+00 2.689270000000000165e-09
6.889999999999999680e+00 2.715099999999999858e-09
6.910000000000000142e+00 2.738819999999999854e-09
6.929999999999999716e+00 2.760479999999999963e-09
6.950000000000000178e+00 2.780090000000000064e-09
6.969999999999999751e+00 2.797679999999999794e-09
6.990000000000000213e+00 2.813280000000000029e-09
7.009999999999999787e+00 2.826929999999999874e-09
7.030000000000000249e+00 2.838670000000000083e-09
7.049999999999999822e+00 2.848529999999999882e-09
7.070000000000000284e+00 2.856559999999999905e-09
7.089999999999999858e+00 2.862790000000000203e-09
7.110000000000000320e+00 2.867280000000000050e-09
7.129999999999999893e+00 2.870080000000000081e-09
7.150000000000000355e+00 2.871219999999999935e-09
7.169999999999999929e+00 2.870749999999999832e-09
7.190000000000000391e+00 2.868740000000000167e-09
7.209999999999999964e+00 2.865209999999999870e-09
7.230000000000000426e+00 2.860240000000000041e-09
7.259999999999999787e+00 2.853870000000000196e-09
7.280000000000000249e+00 2.846139999999999852e-09
7.299999999999999822e+00 2.837109999999999936e-09
7.320000000000000284e+00 2.826840000000000135e-09
7.339999999999999858e+00 2.815369999999999967e-09
7.360000000000000320e+00 2.802759999999999946e-09
7.379999999999999893e+00 2.789050000000000000e-09
7.400000000000000355e+00 2.774289999999999940e-09
7.419999999999999929e+00 2.758550000000000157e-09
7.440000000000000391e+00 2.741849999999999998e-09
7.459999999999999964e+00 2.724259999999999855e-09
7.480000000000000426e+00 2.705820000000000072e-09
7.500000000000000000e+00 2.686580000000000043e-09
7.519999999999999574e+00 2.666580000000000112e-09
7.540000000000000036e+00 2.645870000000000087e-09
7.559999999999999609e+00 2.624489999999999898e-09
7.580000000000000071e+00 2.602479999999999889e-09
7.599999999999999645e+00 2.579889999999999866e-09
7.620000000000000107e+00 2.556749999999999882e-09
7.639999999999999680e+00 2.533099999999999866e-09
7.660000000000000142e+00 2.508980000000000160e-09
7.679999999999999716e+00 2.484429999999999867e-09
7.700000000000000178e+00 2.459479999999999865e-09
7.719999999999999751e+00 2.434160000000000205e-09
7.740000000000000213e+00 2.408500000000000110e-09
7.759999999999999787e+00 2.382539999999999922e-09
7.780000000000000249e+00 2.356299999999999814e-09
7.799999999999999822e+00 2.329809999999999837e-09
7.820000000000000284e+00 2.303109999999999918e-09
7.839999999999999858e+00 2.276200000000000060e-09
7.860000000000000320e+00 2.249120000000000191e-09
7.879999999999999893e+00 2.221890000000000069e-09
7.900000000000000355e+00 2.194529999999999865e-09
7.919999999999999929e+00 2.167070000000000045e-09
7.940000000000000391e+00 2.139510000000000194e-09
7.959999999999999964e+00 2.111889999999999828e-09
7.980000000000000426e+00 2.084210000000000188e-09
8.000000000000000000e+00 2.056500000000000085e-09
8.019999999999999574e+00 2.028769999999999809e-09
8.039999999999999147e+00 2.001030000000000068e-09
8.060000000000000497e+00 1.973310000000000085e-09
8.080000000000000071e+00 1.945609999999999861e-09
8.099999999999999645e+00 1.917940000000000100e-09
8.119999999999999218e+00 1.890330000000000027e-09
8.140000000000000568e+00 1.862780000000000055e-09
8.160000000000000142e+00 1.835309999999999942e-09
8.179999999999999716e+00 1.807910000000000016e-09
8.199999999999999289e+00 1.780619999999999999e-09
8.220000000000000639e+00 1.753430000000000013e-09
8.240000000000000213e+00 1.726360000000000023e-09
8.259999999999999787e+00 1.699419999999999907e-09
8.279999999999999361e+00 1.672619999999999958e-09
8.300000000000000711e+00 1.645959999999999970e-09
8.320000000000000284e+00 1.619450000000000027e-09
8.339999999999999858e+00 1.593110000000000096e-09
8.359999999999999432e+00 1.566939999999999968e-09
8.380000000000000782e+00 1.540949999999999937e-09
8.400000000000000355e+00 1.515150000000000088e-09
8.419999999999999929e+00 1.489550000000000093e-09
8.439999999999999503e+00 1.464149999999999954e-09
8.460000000000000853e+00 1.438959999999999961e-09
8.480000000000000426e+00 1.413989999999999994e-09
8.500000000000000000e+00 1.389240000000000054e-09
