# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 2.802599999999999909e-45
3.839999999999999858e+00 1.303210000000000002e-43
3.859999999999999876e+00 4.757409999999999851e-42
3.879999999999999893e+00 1.481160000000000038e-40
3.899999999999999911e+00 3.951689999999999776e-39
3.919999999999999929e+00 9.098499999999999884e-38
3.939999999999999947e+00 1.819979999999999924e-36
3.959999999999999964e+00 3.182909999999999794e-35
3.979999999999999982e+00 4.896500000000000076e-34
4.000000000000000000e+00 6.664400000000000405e-33
4.019999999999999574e+00 8.070010000000000097e-32
4.040000000000000036e+00 8.739229999999999460e-31
4.059999999999999609e+00 8.507509999999999476e-30
4.080000000000000071e+00 7.480110000000000024e-29
4.099999999999999645e+00 5.967700000000000012e-28
4.120000000000000107e+00 4.339420000000000149e-27
4.139999999999999680e+00 2.887860000000000047e-26
4.160000000000000142e+00 1.765879999999999950e-25
4.179999999999999716e+00 9.960240000000000011e-25
4.200000000000000178e+00 5.201169999999999976e-24
4.219999999999999751e+00 2.523209999999999881e-23
4.240000000000000213e+00 1.140910000000000052e-22
4.259999999999999787e+00 4.823880000000000014e-22
4.280000000000000249e+00 1.913010000000000065e-21
4.299999999999999822e+00 7.135799999999999484e-21
4.320000000000000284e+00 2.510739999999999941e-20
4.339999999999999858e+00 8.354440000000000177e-20
4.360000000000000320e+00 2.635760000000000044e-19
4.379999999999999893e+00 7.902959999999999739e-19
4.400000000000000355e+00 2.257310000000000047e-18
4.419999999999999929e+00 6.155179999999999938e-18
4.440000000000000391e+00 1.605720000000000112e-17
4.459999999999999964e+00 4.015389999999999709e-17
4.480000000000000426e+00 9.644090000000000581e-17
4.500000000000000000e+00 2.228670000000000083e-16
4.519999999999999574e+00 4.964270000000000102e-16
4.540000000000000036e+00 1.067569999999999912e-15
4.559999999999999609e+00 2.220090000000000148e-15
4.580000000000000071e+00 4.471220000000000107e-15
4.599999999999999645e+00 8.733800000000000042e-15
4.620000000000000107e+00 1.656869999999999962e-14
4.639999999999999680e+00 3.056770000000000010e-14
4.660000000000000142e+00 5.491340000000000283e-14
4.679999999999999716e+00 9.617279999999999638e-14
4.700000000000000178e+00 1.643909999999999909e-13
4.719999999999999751e+00 2.745599999999999933e-13
4.740000000000000213e+00 4.467100000000000221e-13
4.769999999999999574e+00 7.046199999999999804e-13
4.790000000000000036e+00 1.092110000000000079e-12
4.809999999999999609e+00 1.663770000000000089e-12
4.830000000000000071e+00 2.492309999999999909e-12
4.849999999999999645e+00 3.672469999999999598e-12
4.870000000000000107e+00 5.325449999999999689e-12
4.889999999999999680e+00 7.603169999999999398e-12
4.910000000000000142e+00 1.069300000000000058e-11
4.929999999999999716e+00 1.482120000000000151e-11
4.950000000000000178e+00 2.025680000000000068e-11
4.969999999999999751e+00 2.731419999999999846e-11
4.990000000000000213e+00 3.635559999999999748e-11
5.009999999999999787e+00 4.778979999999999817e-11
5.030000000000000249e+00 6.207330000000000370e-11
5.049999999999999822e+00 7.970640000000000457e-11
5.070000000000000284e+00 1.012310000000000044e-10
5.089999999999999858e+00 1.272240000000000096e-10
5.110000000000000320e+00 1.582930000000000033e-10
5.129999999999999893e+00 1.950640000000000049e-10
5.150000000000000355e+00 2.381789999999999899e-10
5.169999999999999929e+00 2.882790000000000030e-10
5.190000000000000391e+00 3.460030000000000200e-10
5.209999999999999964e+00 4.119680000000000088e-10
5.230000000000000426e+00 4.867680000000000504e-10
5.250000000000000000e+00 5.709560000000000289e-10
5.269999999999999574e+00 6.650359999999999770e-10
5.290000000000000036e+00 7.694659999999999979e-10
5.309999999999999609e+00 8.846299999999999737e-10
5.330000000000000071e+00 1.010839999999999996e-09
5.349999999999999645e+00 1.148350000000000072e-09
5.370000000000000107e+00 1.297309999999999938e-09
5.389999999999999680e+00 1.457800000000000074e-09
5.410000000000000142e+00 1.629809999999999979e-09
5.429999999999999716e+00 1.813260000000000002e-09
5.450000000000000178e+00 2.007949999999999875e-09
5.469999999999999751e+00 2.213639999999999813e-09
5.490000000000000213e+00 2.429970000000000037e-09
5.509999999999999787e+00 2.656530000000000131e-09
5.530000000000000249e+00 2.892829999999999822e-09
5.549999999999999822e+00 3.138310000000000095e-09
5.570000000000000284e+00 3.392350000000000181e-09
5.589999999999999858e+00 3.654289999999999796e-09
5.610000000000000320e+00 3.923399999999999914e-09
5.629999999999999893e+00 4.198930000000000099e-09
5.650000000000000355e+00 4.480080000000000105e-09
5.669999999999999929e+00 4.766049999999999687e-09
5.690000000000000391e+00 5.055990000000000032e-09
5.709999999999999964e+00 5.349059999999999724e-09
5.730000000000000426e+00 5.644409999999999950e-09
5.750000000000000000e+00 5.941190000000000243e-09
5.769999999999999574e+00 6.238579999999999771e-09
5.790000000000000036e+00 6.535719999999999843e-09
5.809999999999999609e+00 6.831829999999999971e-09
5.830000000000000071e+00 7.126129999999999669e-09
5.849999999999999645e+00 7.417849999999999980e-09
5.870000000000000107e+00 7.706269999999999694e-09
5.889999999999999680e+00 7.990710000000000420e-09
5.910000000000000142e+00 8.270519999999999270e-09
5.929999999999999716e+00 8.545090000000000319e-09
5.950000000000000178e+00 8.813850000000000536e-09
5.969999999999999751e+00 9.076269999999999719e-09
5.990000000000000213e+00 9.331880000000000246e-09
6.009999999999999787e+00 9.580240000000000823e-09
6.030000000000000249e+00 9.820929999999999917e-09
6.049999999999999822e+00 1.005360000000000011e-08
6.070000000000000284e+00 1.027799999999999946e-08
6.089999999999999858e+00 1.049380000000000030e-08
6.110000000000000320e+00 1.070080000000000011e-08
6.129999999999999893e+00 1.089869999999999918e-08
6.150000000000000355e+00 1.108749999999999919e-08
6.169999999999999929e+00 1.126699999999999925e-08
6.190000000000000391e+00 1.143710000000000055e-08
6.209999999999999964e+00 1.159779999999999980e-08
6.230000000000000426e+00 1.174899999999999986e-08
6.250000000000000000e+00 1.189079999999999951e-08
6.269999999999999574e+00 1.202309999999999997e-08
6.290000000000000036e+00 1.214600000000000004e-08
6.309999999999999609e+00 1.225949999999999970e-08
6.330000000000000071e+00 1.236390000000000029e-08
6.349999999999999645e+00 1.245899999999999927e-08
6.370000000000000107e+00 1.254520000000000006e-08
6.389999999999999680e+00 1.262240000000000058e-08
6.410000000000000142e+00 1.269099999999999929e-08
6.429999999999999716e+00 1.275090000000000071e-08
6.450000000000000178e+00 1.280239999999999955e-08
6.469999999999999751e+00 1.284570000000000001e-08
6.490000000000000213e+00 1.288089999999999923e-08
6.509999999999999787e+00 1.290830000000000019e-08
6.530000000000000249e+00 1.292810000000000047e-08
6.549999999999999822e+00 1.294040000000000052e-08
6.570000000000000284e+00 1.294539999999999957e-08
6.589999999999999858e+00 1.294349999999999940e-08
6.610000000000000320e+00 1.293480000000000046e-08
6.629999999999999893e+00 1.291950000000000031e-08
6.650000000000000355e+00 1.289790000000000030e-08
6.669999999999999929e+00 1.287009999999999922e-08
6.690000000000000391e+00 1.283650000000000050e-08
6.709999999999999964e+00 1.279719999999999961e-08
6.730000000000000426e+00 1.275240000000000075e-08
6.750000000000000000e+00 1.270240000000000031e-08
6.769999999999999574e+00 1.264740000000000081e-08
6.790000000000000036e+00 1.258759999999999983e-08
6.809999999999999609e+00 1.252330000000000038e-08
6.830000000000000071e+00 1.245459999999999957e-08
6.849999999999999645e+00 1.238180000000000040e-08
6.870000000000000107e+00 1.230510000000000045e-08
6.889999999999999680e+00 1.222460000000000016e-08
6.910000000000000142e+00 1.214069999999999965e-08
6.929999999999999716e+00 1.205340000000000058e-08
6.950000000000000178e+00 1.196290000000000053e-08
6.969999999999999751e+00 1.186949999999999918e-08
6.990000000000000213e+00 1.177330000000000028e-08
7.009999999999999787e+00 1.167460000000000020e-08
7.030000000000000249e+00 1.157340000000000059e-08
7.049999999999999822e+00 1.146990000000000069e-08
7.070000000000000284e+00 1.136440000000000017e-08
7.089999999999999858e+00 1.125680000000000025e-08
7.110000000000000320e+00 1.114749999999999940e-08
7.129999999999999893e+00 1.103649999999999927e-08
7.150000000000000355e+00 1.092400000000000074e-08
7.169999999999999929e+00 1.081000000000000051e-08
7.190000000000000391e+00 1.069479999999999992e-08
7.209999999999999964e+00 1.057840000000000061e-08
7.230000000000000426e+00 1.046089999999999972e-08
7.259999999999999787e+00 1.034249999999999980e-08
7.280000000000000249e+00 1.022319999999999919e-08
7.299999999999999822e+00 1.010320000000000043e-08
7.320000000000000284e+00 9.982480000000000460e-09
7.339999999999999858e+00 9.861210000000000526e-09
7.360000000000000320e+00 9.739440000000000025e-09
7.379999999999999893e+00 9.617269999999999402e-09
7.400000000000000355e+00 9.494749999999999705e-09
7.419999999999999929e+00 9.371969999999999846e-09
7.440000000000000391e+00 9.248990000000000752e-09
7.459999999999999964e+00 9.125879999999999923e-09
7.480000000000000426e+00 9.002709999999999820e-09
7.500000000000000000e+00 8.879519999999999959e-09
7.519999999999999574e+00 8.756399999999999251e-09
7.540000000000000036e+00 8.633380000000000642e-09
7.559999999999999609e+00 8.510529999999999975e-09
7.580000000000000071e+00 8.387909999999999834e-09
7.599999999999999645e+00 8.265549999999999855e-09
7.620000000000000107e+00 8.143509999999999313e-09
7.639999999999999680e+00 8.021839999999999257e-09
7.660000000000000142e+00 7.900600000000000614e-09
7.679999999999999716e+00 7.779809999999999835e-09
7.700000000000000178e+00 7.659539999999999381e-09
7.719999999999999751e+00 7.539820000000000543e-09
7.740000000000000213e+00 7.420710000000000113e-09
7.759999999999999787e+00 7.302230000000000332e-09
7.780000000000000249e+00 7.184439999999999646e-09
7.799999999999999822e+00 7.067370000000000173e-09
7.820000000000000284e+00 6.951059999999999776e-09
7.839999999999999858e+00 6.835549999999999623e-09
7.860000000000000320e+00 6.720880000000000060e-09
7.879999999999999893e+00 6.607079999999999894e-09
7.900000000000000355e+00 6.494200000000000177e-09
7.919999999999999929e+00 6.382249999999999958e-09
7.940000000000000391e+00 6.271280000000000289e-09
7.959999999999999964e+00 6.161319999999999978e-09
7.980000000000000426e+00 6.052389999999999611e-09
8.000000000000000000e+00 5.944519999999999651e-09
8.019999999999999574e+00 5.837749999999999616e-09
8.039999999999999147e+00 5.732090000000000210e-09
8.060000000000000497e+00 5.627570000000000244e-09
8.080000000000000071e+00 5.524220000000000182e-09
8.099999999999999645e+00 5.422040000000000024e-09
8.119999999999999218e+00 5.321079999999999993e-09
8.140000000000000568e+00 5.221330000000000208e-09
8.160000000000000142e+00 5.122809999999999601e-09
8.179999999999999716e+00 5.025550000000000290e-09
8.199999999999999289e+00 4.929549999999999795e-09
8.220000000000000639e+00 4.834840000000000232e-09
8.240000000000000213e+00 4.741410000000000070e-09
8.259999999999999787e+00 4.649270000000000014e-09
8.279999999999999361e+00 4.558439999999999822e-09
8.300000000000000711e+00 4.468909999999999615e-09
8.320000000000000284e+00 4.380690000000000100e-09
8.339999999999999858e+00 4.293800000000000207e-09
8.359999999999999432e+00 4.208210000000000298e-09
8.380000000000000782e+00 4.123950000000000012e-09
8.400000000000000355e+00 4.041010000000000297e-09
8.419999999999999929e+00 3.959379999999999618e-09
8.439999999999999503e+00 3.879070000000000337e-09
8.460000000000000853e+00 3.800060000000000214e-09
8.480000000000000426e+00 3.722359999999999955e-09
8.500000000000000000e+00 3.645949999999999802e-09
