# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 4.203899999999999863e-45
4.059999999999999609e+00 1.513399999999999973e-43
4.080000000000000071e+00 5.219840000000000045e-42
4.099999999999999645e+00 1.534209999999999979e-40
4.120000000000000107e+00 3.875020000000000232e-39
4.139999999999999680e+00 8.467429999999999676e-38
4.160000000000000142e+00 1.611109999999999943e-36
4.179999999999999716e+00 2.686230000000000041e-35
4.200000000000000178e+00 3.948400000000000286e-34
4.219999999999999751e+00 5.145279999999999886e-33
4.240000000000000213e+00 5.976360000000000161e-32
4.259999999999999787e+00 6.220059999999999777e-31
4.280000000000000249e+00 5.829750000000000269e-30
4.299999999999999822e+00 4.943290000000000266e-29
4.320000000000000284e+00 3.809789999999999877e-28
4.339999999999999858e+00 2.680000000000000089e-27
4.360000000000000320e+00 1.728020000000000099e-26
4.379999999999999893e+00 1.025199999999999944e-25
4.400000000000000355e+00 5.618090000000000412e-25
4.419999999999999929e+00 2.853700000000000093e-24
4.440000000000000391e+00 1.348299999999999911e-23
4.459999999999999964e+00 5.944490000000000333e-23
4.480000000000000426e+00 2.453450000000000020e-22
4.500000000000000000e+00 9.506929999999999805e-22
4.519999999999999574e+00 3.468710000000000348e-21
4.540000000000000036e+00 1.194850000000000052e-20
4.559999999999999609e+00 3.896119999999999977e-20
4.580000000000000071e+00 1.205519999999999922e-19
4.599999999999999645e+00 3.548069999999999834e-19
4.620000000000000107e+00 9.955050000000000812e-19
4.639999999999999680e+00 2.668569999999999814e-18
4.660000000000000142e+00 6.848609999999999645e-18
4.679999999999999716e+00 1.686009999999999859e-17
4.700000000000000178e+00 3.988930000000000236e-17
4.719999999999999751e+00 9.086219999999999712e-17
4.740000000000000213e+00 1.996149999999999905e-16
4.769999999999999574e+00 4.236299999999999930e-16
4.790000000000000036e+00 8.698349999999999634e-16
4.809999999999999609e+00 1.730619999999999908e-15
4.830000000000000071e+00 3.341199999999999940e-15
4.849999999999999645e+00 6.267969999999999967e-15
4.870000000000000107e+00 1.144020000000000000e-14
4.889999999999999680e+00 2.034060000000000082e-14
4.910000000000000142e+00 3.527050000000000228e-14
4.929999999999999716e+00 5.967639999999999601e-14
4.950000000000000178e+00 9.870869999999999722e-14
4.969999999999999751e+00 1.584710000000000020e-13
4.990000000000000213e+00 2.484820000000000109e-13
5.009999999999999787e+00 3.827760000000000241e-13
5.030000000000000249e+00 5.795219999999999817e-13
5.049999999999999822e+00 8.626770000000000005e-13
5.070000000000000284e+00 1.263260000000000011e-12
5.089999999999999858e+00 1.820539999999999834e-12
5.110000000000000320e+00 2.583510000000000166e-12
5.129999999999999893e+00 3.611919999999999820e-12
5.150000000000000355e+00 4.977660000000000017e-12
5.169999999999999929e+00 6.765470000000000252e-12
5.190000000000000391e+00 9.073949999999999721e-12
5.209999999999999964e+00 1.201560000000000062e-11
5.230000000000000426e+00 1.571710000000000136e-11
5.250000000000000000e+00 2.031889999999999898e-11
5.269999999999999574e+00 2.597419999999999973e-11
5.290000000000000036e+00 3.284840000000000208e-11
5.309999999999999609e+00 4.111610000000000006e-11
5.330000000000000071e+00 5.096040000000000245e-11
5.349999999999999645e+00 6.256990000000000383e-11
5.370000000000000107e+00 7.613690000000000206e-11
5.389999999999999680e+00 9.185259999999999981e-11
5.410000000000000142e+00 1.099060000000000028e-10
5.429999999999999716e+00 1.304789999999999896e-10
5.450000000000000178e+00 1.537470000000000120e-10
5.469999999999999751e+00 1.798720000000000123e-10
5.490000000000000213e+00 2.090010000000000106e-10
5.509999999999999787e+00 2.412639999999999849e-10
5.530000000000000249e+00 2.767739999999999998e-10
5.549999999999999822e+00 3.156189999999999830e-10
5.570000000000000284e+00 3.578659999999999924e-10
5.589999999999999858e+00 4.035569999999999745e-10
5.610000000000000320e+00 4.527130000000000061e-10
5.629999999999999893e+00 5.053250000000000102e-10
5.650000000000000355e+00 5.613579999999999965e-10
5.669999999999999929e+00 6.207560000000000017e-10
5.690000000000000391e+00 6.834370000000000461e-10
5.709999999999999964e+00 7.492950000000000476e-10
5.730000000000000426e+00 8.181990000000000198e-10
5.750000000000000000e+00 8.900020000000000457e-10
5.769999999999999574e+00 9.645349999999999164e-10
5.790000000000000036e+00 1.041610000000000087e-09
5.809999999999999609e+00 1.121030000000000005e-09
5.830000000000000071e+00 1.202579999999999998e-09
5.849999999999999645e+00 1.286029999999999952e-09
5.870000000000000107e+00 1.371140000000000086e-09
5.889999999999999680e+00 1.457680000000000078e-09
5.910000000000000142e+00 1.545409999999999940e-09
5.929999999999999716e+00 1.634060000000000042e-09
5.950000000000000178e+00 1.723400000000000066e-09
5.969999999999999751e+00 1.813170000000000057e-09
5.990000000000000213e+00 1.903149999999999989e-09
6.009999999999999787e+00 1.993070000000000025e-09
6.030000000000000249e+00 2.082729999999999900e-09
6.049999999999999822e+00 2.171880000000000156e-09
6.070000000000000284e+00 2.260319999999999904e-09
6.089999999999999858e+00 2.347849999999999911e-09
6.110000000000000320e+00 2.434259999999999822e-09
6.129999999999999893e+00 2.519380000000000041e-09
6.150000000000000355e+00 2.603040000000000143e-09
6.169999999999999929e+00 2.685079999999999996e-09
6.190000000000000391e+00 2.765350000000000175e-09
6.209999999999999964e+00 2.843720000000000185e-09
6.230000000000000426e+00 2.920069999999999823e-09
6.250000000000000000e+00 2.994290000000000007e-09
6.269999999999999574e+00 3.066279999999999879e-09
6.290000000000000036e+00 3.135959999999999994e-09
6.309999999999999609e+00 3.203250000000000080e-09
6.330000000000000071e+00 3.268080000000000154e-09
6.349999999999999645e+00 3.330409999999999876e-09
6.370000000000000107e+00 3.390170000000000092e-09
6.389999999999999680e+00 3.447350000000000095e-09
6.410000000000000142e+00 3.501900000000000077e-09
6.429999999999999716e+00 3.553820000000000038e-09
6.450000000000000178e+00 3.603070000000000049e-09
6.469999999999999751e+00 3.649669999999999868e-09
6.490000000000000213e+00 3.693589999999999857e-09
6.509999999999999787e+00 3.734860000000000067e-09
6.530000000000000249e+00 3.773480000000000084e-09
6.549999999999999822e+00 3.809459999999999788e-09
6.570000000000000284e+00 3.842829999999999643e-09
6.589999999999999858e+00 3.873600000000000355e-09
6.610000000000000320e+00 3.901809999999999785e-09
6.629999999999999893e+00 3.927480000000000173e-09
6.650000000000000355e+00 3.950650000000000208e-09
6.669999999999999929e+00 3.971360000000000232e-09
6.690000000000000391e+00 3.989639999999999884e-09
6.709999999999999964e+00 4.005540000000000211e-09
6.730000000000000426e+00 4.019099999999999904e-09
6.750000000000000000e+00 4.030370000000000011e-09
6.769999999999999574e+00 4.039399999999999927e-09
6.790000000000000036e+00 4.046229999999999995e-09
6.809999999999999609e+00 4.050920000000000317e-09
6.830000000000000071e+00 4.053530000000000167e-09
6.849999999999999645e+00 4.054109999999999766e-09
6.870000000000000107e+00 4.052710000000000163e-09
6.889999999999999680e+00 4.049389999999999807e-09
6.910000000000000142e+00 4.044209999999999624e-09
6.929999999999999716e+00 4.037219999999999837e-09
6.950000000000000178e+00 4.028500000000000306e-09
6.969999999999999751e+00 4.018089999999999718e-09
6.990000000000000213e+00 4.006049999999999830e-09
7.009999999999999787e+00 3.992449999999999794e-09
7.030000000000000249e+00 3.977349999999999712e-09
7.049999999999999822e+00 3.960789999999999926e-09
7.070000000000000284e+00 3.942850000000000297e-09
7.089999999999999858e+00 3.923590000000000096e-09
7.110000000000000320e+00 3.903049999999999669e-09
7.129999999999999893e+00 3.881299999999999822e-09
7.150000000000000355e+00 3.858380000000000070e-09
7.169999999999999929e+00 3.834370000000000274e-09
7.190000000000000391e+00 3.809300000000000070e-09
7.209999999999999964e+00 3.783240000000000266e-09
7.230000000000000426e+00 3.756240000000000255e-09
7.259999999999999787e+00 3.728340000000000383e-09
7.280000000000000249e+00 3.699590000000000043e-09
7.299999999999999822e+00 3.670039999999999871e-09
7.320000000000000284e+00 3.639729999999999796e-09
7.339999999999999858e+00 3.608719999999999921e-09
7.360000000000000320e+00 3.577039999999999882e-09
7.379999999999999893e+00 3.544739999999999900e-09
7.400000000000000355e+00 3.511840000000000148e-09
7.419999999999999929e+00 3.478399999999999900e-09
7.440000000000000391e+00 3.444450000000000032e-09
7.459999999999999964e+00 3.410020000000000183e-09
7.480000000000000426e+00 3.375149999999999868e-09
7.500000000000000000e+00 3.339869999999999965e-09
7.519999999999999574e+00 3.304210000000000111e-09
7.540000000000000036e+00 3.268199999999999943e-09
7.559999999999999609e+00 3.231879999999999804e-09
7.580000000000000071e+00 3.195259999999999986e-09
7.599999999999999645e+00 3.158380000000000006e-09
7.620000000000000107e+00 3.121260000000000035e-09
7.639999999999999680e+00 3.083930000000000123e-09
7.660000000000000142e+00 3.046419999999999909e-09
7.679999999999999716e+00 3.008740000000000097e-09
7.700000000000000178e+00 2.970919999999999911e-09
7.719999999999999751e+00 2.932979999999999936e-09
7.740000000000000213e+00 2.894939999999999931e-09
7.759999999999999787e+00 2.856829999999999946e-09
7.780000000000000249e+00 2.818659999999999860e-09
7.799999999999999822e+00 2.780460000000000136e-09
7.820000000000000284e+00 2.742239999999999828e-09
7.839999999999999858e+00 2.704029999999999812e-09
7.860000000000000320e+00 2.665839999999999968e-09
7.879999999999999893e+00 2.627699999999999932e-09
7.900000000000000355e+00 2.589610000000000118e-09
7.919999999999999929e+00 2.551600000000000164e-09
7.940000000000000391e+00 2.513689999999999826e-09
7.959999999999999964e+00 2.475889999999999812e-09
7.980000000000000426e+00 2.438219999999999879e-09
8.000000000000000000e+00 2.400700000000000199e-09
8.019999999999999574e+00 2.363339999999999823e-09
8.039999999999999147e+00 2.326149999999999872e-09
8.060000000000000497e+00 2.289159999999999982e-09
8.080000000000000071e+00 2.252370000000000154e-09
8.099999999999999645e+00 2.215810000000000023e-09
8.119999999999999218e+00 2.179480000000000005e-09
8.140000000000000568e+00 2.143399999999999857e-09
8.160000000000000142e+00 2.107569999999999992e-09
8.179999999999999716e+00 2.072020000000000048e-09
8.199999999999999289e+00 2.036750000000000024e-09
8.220000000000000639e+00 2.001780000000000092e-09
8.240000000000000213e+00 1.967120000000000131e-09
8.259999999999999787e+00 1.932770000000000141e-09
8.279999999999999361e+00 1.898749999999999880e-09
8.300000000000000711e+00 1.865060000000000175e-09
8.320000000000000284e+00 1.831710000000000078e-09
8.339999999999999858e+00 1.798710000000000089e-09
8.359999999999999432e+00 1.766070000000000086e-09
8.380000000000000782e+00 1.733799999999999948e-09
8.400000000000000355e+00 1.701890000000000003e-09
8.419999999999999929e+00 1.670370000000000095e-09
8.439999999999999503e+00 1.639220000000000053e-09
8.460000000000000853e+00 1.608460000000000048e-09
8.480000000000000426e+00 1.578090000000000079e-09
8.500000000000000000e+00 1.548109999999999941e-09
