# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 1.401299999999999954e-45
4.160000000000000142e+00 3.082859999999999775e-44
4.179999999999999716e+00 1.064989999999999977e-42
4.200000000000000178e+00 3.156560000000000218e-41
4.219999999999999751e+00 8.036660000000000423e-40
4.240000000000000213e+00 1.769429999999999920e-38
4.259999999999999787e+00 3.391359999999999975e-37
4.280000000000000249e+00 5.694419999999999759e-36
4.299999999999999822e+00 8.425519999999999723e-35
4.320000000000000284e+00 1.104969999999999967e-33
4.339999999999999858e+00 1.291310000000000104e-32
4.360000000000000320e+00 1.351900000000000017e-31
4.379999999999999893e+00 1.274100000000000011e-30
4.400000000000000355e+00 1.086229999999999999e-29
4.419999999999999929e+00 8.414209999999999796e-29
4.440000000000000391e+00 5.948559999999999839e-28
4.459999999999999964e+00 3.853549999999999874e-27
4.480000000000000426e+00 2.296780000000000008e-26
4.500000000000000000e+00 1.264109999999999938e-25
4.519999999999999574e+00 6.448429999999999916e-25
4.540000000000000036e+00 3.059040000000000081e-24
4.559999999999999609e+00 1.354049999999999922e-23
4.580000000000000071e+00 5.609629999999999904e-23
4.599999999999999645e+00 2.181769999999999790e-22
4.620000000000000107e+00 7.988580000000000381e-22
4.639999999999999680e+00 2.761309999999999963e-21
4.660000000000000142e+00 9.034190000000000655e-21
4.679999999999999716e+00 2.804509999999999989e-20
4.700000000000000178e+00 8.280189999999999878e-20
4.719999999999999751e+00 2.330400000000000037e-19
4.740000000000000213e+00 6.265830000000000193e-19
4.769999999999999574e+00 1.612779999999999942e-18
4.790000000000000036e+00 3.981619999999999926e-18
4.809999999999999609e+00 9.446370000000000064e-18
4.830000000000000071e+00 2.157639999999999868e-17
4.849999999999999645e+00 4.752690000000000246e-17
4.870000000000000107e+00 1.011229999999999942e-16
4.889999999999999680e+00 2.081589999999999969e-16
4.910000000000000142e+00 4.151800000000000233e-16
4.929999999999999716e+00 8.034930000000000185e-16
4.950000000000000178e+00 1.510839999999999914e-15
4.969999999999999751e+00 2.763870000000000082e-15
4.990000000000000213e+00 4.925219999999999990e-15
5.009999999999999787e+00 8.559399999999999417e-15
5.030000000000000249e+00 1.452370000000000051e-14
5.049999999999999822e+00 2.408690000000000097e-14
5.070000000000000284e+00 3.863849999999999864e-14
5.089999999999999858e+00 6.041689999999999927e-14
5.110000000000000320e+00 9.300080000000000243e-14
5.129999999999999893e+00 1.409269999999999962e-13
5.150000000000000355e+00 2.102499999999999876e-13
5.169999999999999929e+00 3.088550000000000002e-13
5.190000000000000391e+00 4.468390000000000209e-13
5.209999999999999964e+00 6.368809999999999799e-13
5.230000000000000426e+00 8.946059999999999748e-13
5.250000000000000000e+00 1.238939999999999969e-12
5.269999999999999574e+00 1.692349999999999953e-12
5.290000000000000036e+00 2.281189999999999896e-12
5.309999999999999609e+00 3.035770000000000099e-12
5.330000000000000071e+00 3.990380000000000209e-12
5.349999999999999645e+00 5.183379999999999669e-12
5.370000000000000107e+00 6.656990000000000294e-12
5.389999999999999680e+00 8.456910000000000565e-12
5.410000000000000142e+00 1.063200000000000074e-11
5.429999999999999716e+00 1.323380000000000042e-11
5.450000000000000178e+00 1.631619999999999867e-11
5.469999999999999751e+00 1.993410000000000086e-11
5.490000000000000213e+00 2.414319999999999915e-11
5.509999999999999787e+00 2.899929999999999983e-11
5.530000000000000249e+00 3.455730000000000018e-11
5.549999999999999822e+00 4.087010000000000293e-11
5.570000000000000284e+00 4.798810000000000229e-11
5.589999999999999858e+00 5.595919999999999687e-11
5.610000000000000320e+00 6.482650000000000615e-11
5.629999999999999893e+00 7.462899999999999634e-11
5.650000000000000355e+00 8.539999999999999719e-11
5.669999999999999929e+00 9.716759999999999645e-11
5.690000000000000391e+00 1.099540000000000010e-10
5.709999999999999964e+00 1.237740000000000112e-10
5.730000000000000426e+00 1.386369999999999991e-10
5.750000000000000000e+00 1.545450000000000076e-10
5.769999999999999574e+00 1.714929999999999940e-10
5.790000000000000036e+00 1.894680000000000017e-10
5.809999999999999609e+00 2.084539999999999969e-10
5.830000000000000071e+00 2.284259999999999978e-10
5.849999999999999645e+00 2.493529999999999970e-10
5.870000000000000107e+00 2.711969999999999787e-10
5.889999999999999680e+00 2.939189999999999959e-10
5.910000000000000142e+00 3.174709999999999990e-10
5.929999999999999716e+00 3.418030000000000242e-10
5.950000000000000178e+00 3.668610000000000218e-10
5.969999999999999751e+00 3.925860000000000027e-10
5.990000000000000213e+00 4.189209999999999950e-10
6.009999999999999787e+00 4.458020000000000183e-10
6.030000000000000249e+00 4.731670000000000060e-10
6.049999999999999822e+00 5.009520000000000295e-10
6.070000000000000284e+00 5.290940000000000136e-10
6.089999999999999858e+00 5.575280000000000211e-10
6.110000000000000320e+00 5.861920000000000371e-10
6.129999999999999893e+00 6.150230000000000381e-10
6.150000000000000355e+00 6.439630000000000436e-10
6.169999999999999929e+00 6.729510000000000474e-10
6.190000000000000391e+00 7.019309999999999824e-10
6.209999999999999964e+00 7.308479999999999975e-10
6.230000000000000426e+00 7.596509999999999651e-10
6.250000000000000000e+00 7.882889999999999648e-10
6.269999999999999574e+00 8.167139999999999985e-10
6.290000000000000036e+00 8.448799999999999817e-10
6.309999999999999609e+00 8.727469999999999848e-10
6.330000000000000071e+00 9.002739999999999664e-10
6.349999999999999645e+00 9.274209999999999968e-10
6.370000000000000107e+00 9.541540000000000947e-10
6.389999999999999680e+00 9.804390000000000716e-10
6.410000000000000142e+00 1.006240000000000032e-09
6.429999999999999716e+00 1.031539999999999935e-09
6.450000000000000178e+00 1.056299999999999961e-09
6.469999999999999751e+00 1.080499999999999939e-09
6.490000000000000213e+00 1.104110000000000026e-09
6.509999999999999787e+00 1.127110000000000050e-09
6.530000000000000249e+00 1.149480000000000047e-09
6.549999999999999822e+00 1.171200000000000050e-09
6.570000000000000284e+00 1.192259999999999975e-09
6.589999999999999858e+00 1.212629999999999978e-09
6.610000000000000320e+00 1.232290000000000095e-09
6.629999999999999893e+00 1.251249999999999996e-09
6.650000000000000355e+00 1.269469999999999960e-09
6.669999999999999929e+00 1.286960000000000072e-09
6.690000000000000391e+00 1.303699999999999954e-09
6.709999999999999964e+00 1.319679999999999934e-09
6.730000000000000426e+00 1.334889999999999926e-09
6.750000000000000000e+00 1.349329999999999930e-09
6.769999999999999574e+00 1.362990000000000067e-09
6.790000000000000036e+00 1.375860000000000044e-09
6.809999999999999609e+00 1.387949999999999948e-09
6.830000000000000071e+00 1.399249999999999898e-09
6.849999999999999645e+00 1.409760000000000103e-09
6.870000000000000107e+00 1.419479999999999941e-09
6.889999999999999680e+00 1.428419999999999913e-09
6.910000000000000142e+00 1.436569999999999931e-09
6.929999999999999716e+00 1.443949999999999961e-09
6.950000000000000178e+00 1.450549999999999918e-09
6.969999999999999751e+00 1.456389999999999972e-09
6.990000000000000213e+00 1.461460000000000038e-09
7.009999999999999787e+00 1.465789999999999960e-09
7.030000000000000249e+00 1.469390000000000031e-09
7.049999999999999822e+00 1.472249999999999957e-09
7.070000000000000284e+00 1.474399999999999996e-09
7.089999999999999858e+00 1.475839999999999941e-09
7.110000000000000320e+00 1.476600000000000050e-09
7.129999999999999893e+00 1.476679999999999909e-09
7.150000000000000355e+00 1.476099999999999897e-09
7.169999999999999929e+00 1.474879999999999978e-09
7.190000000000000391e+00 1.473030000000000030e-09
7.209999999999999964e+00 1.470559999999999935e-09
7.230000000000000426e+00 1.467499999999999947e-09
7.259999999999999787e+00 1.463870000000000033e-09
7.280000000000000249e+00 1.459669999999999986e-09
7.299999999999999822e+00 1.454930000000000062e-09
7.320000000000000284e+00 1.449659999999999934e-09
7.339999999999999858e+00 1.443879999999999981e-09
7.360000000000000320e+00 1.437609999999999960e-09
7.379999999999999893e+00 1.430870000000000044e-09
7.400000000000000355e+00 1.423669999999999903e-09
7.419999999999999929e+00 1.416040000000000003e-09
7.440000000000000391e+00 1.407979999999999929e-09
7.459999999999999964e+00 1.399510000000000061e-09
7.480000000000000426e+00 1.390660000000000035e-09
7.500000000000000000e+00 1.381430000000000057e-09
7.519999999999999574e+00 1.371849999999999972e-09
7.540000000000000036e+00 1.361930000000000073e-09
7.559999999999999609e+00 1.351689999999999910e-09
7.580000000000000071e+00 1.341130000000000103e-09
7.599999999999999645e+00 1.330280000000000084e-09
7.620000000000000107e+00 1.319149999999999937e-09
7.639999999999999680e+00 1.307760000000000042e-09
7.660000000000000142e+00 1.296120000000000070e-09
7.679999999999999716e+00 1.284230000000000021e-09
7.700000000000000178e+00 1.272130000000000031e-09
7.719999999999999751e+00 1.259810000000000016e-09
7.740000000000000213e+00 1.247289999999999939e-09
7.759999999999999787e+00 1.234589999999999973e-09
7.780000000000000249e+00 1.221719999999999996e-09
7.799999999999999822e+00 1.208690000000000093e-09
7.820000000000000284e+00 1.195509999999999938e-09
7.839999999999999858e+00 1.182190000000000030e-09
7.860000000000000320e+00 1.168749999999999919e-09
7.879999999999999893e+00 1.155199999999999899e-09
7.900000000000000355e+00 1.141539999999999968e-09
7.919999999999999929e+00 1.127790000000000094e-09
7.940000000000000391e+00 1.113959999999999946e-09
7.959999999999999964e+00 1.100049999999999939e-09
7.980000000000000426e+00 1.086089999999999917e-09
8.000000000000000000e+00 1.072070000000000001e-09
8.019999999999999574e+00 1.058020000000000034e-09
8.039999999999999147e+00 1.043929999999999930e-09
8.060000000000000497e+00 1.029809999999999983e-09
8.080000000000000071e+00 1.015690000000000036e-09
8.099999999999999645e+00 1.001560000000000003e-09
8.119999999999999218e+00 9.874279999999999531e-10
8.140000000000000568e+00 9.733109999999999283e-10
8.160000000000000142e+00 9.592120000000000580e-10
8.179999999999999716e+00 9.451410000000000142e-10
8.199999999999999289e+00 9.311030000000000468e-10
8.220000000000000639e+00 9.171070000000000260e-10
8.240000000000000213e+00 9.031600000000000121e-10
8.259999999999999787e+00 8.892670000000000477e-10
8.279999999999999361e+00 8.754359999999999949e-10
8.300000000000000711e+00 8.616709999999999912e-10
8.320000000000000284e+00 8.479800000000000020e-10
8.339999999999999858e+00 8.343669999999999581e-10
8.359999999999999432e+00 8.208380000000000145e-10
8.380000000000000782e+00 8.073990000000000157e-10
8.400000000000000355e+00 7.940539999999999961e-10
8.419999999999999929e+00 7.808069999999999901e-10
8.439999999999999503e+00 7.676630000000000404e-10
8.460000000000000853e+00 7.546249999999999661e-10
8.480000000000000426e+00 7.416980000000000169e-10
8.500000000000000000e+00 7.288860000000000202e-10
