# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 1.256959999999999960e-42
3.520000000000000018e+00 4.599060000000000122e-41
3.540000000000000036e+00 1.432189999999999926e-39
3.560000000000000053e+00 3.822149999999999804e-38
3.580000000000000071e+00 8.802870000000000721e-37
3.600000000000000089e+00 1.761329999999999881e-35
3.620000000000000107e+00 3.081169999999999987e-34
3.640000000000000124e+00 4.741160000000000219e-33
3.660000000000000142e+00 6.454579999999999892e-32
3.680000000000000160e+00 7.817510000000000224e-31
3.700000000000000178e+00 8.467929999999999401e-30
3.720000000000000195e+00 8.244939999999999957e-29
3.740000000000000213e+00 7.250909999999999971e-28
3.759999999999999787e+00 5.786079999999999823e-27
3.779999999999999805e+00 4.208029999999999762e-26
3.799999999999999822e+00 2.800780000000000188e-25
3.819999999999999840e+00 1.713000000000000109e-24
3.839999999999999858e+00 9.663520000000000704e-24
3.859999999999999876e+00 5.046999999999999926e-23
3.879999999999999893e+00 2.448689999999999982e-22
3.899999999999999911e+00 1.107390000000000009e-21
3.919999999999999929e+00 4.682839999999999664e-21
3.939999999999999947e+00 1.857289999999999999e-20
3.959999999999999964e+00 6.928900000000000307e-20
3.979999999999999982e+00 2.438200000000000149e-19
4.000000000000000000e+00 8.114029999999999533e-19
4.019999999999999574e+00 2.560189999999999933e-18
4.040000000000000036e+00 7.677149999999999243e-18
4.059999999999999609e+00 2.193020000000000060e-17
4.080000000000000071e+00 5.980429999999999539e-17
4.099999999999999645e+00 1.560229999999999963e-16
4.120000000000000107e+00 3.902049999999999972e-16
4.139999999999999680e+00 9.372650000000000552e-16
4.160000000000000142e+00 2.166110000000000009e-15
4.179999999999999716e+00 4.825170000000000267e-15
4.200000000000000178e+00 1.037749999999999952e-14
4.219999999999999751e+00 2.158219999999999954e-14
4.240000000000000213e+00 4.346889999999999919e-14
4.259999999999999787e+00 8.491309999999999843e-14
4.280000000000000249e+00 1.610989999999999934e-13
4.299999999999999822e+00 2.972279999999999933e-13
4.320000000000000284e+00 5.339849999999999708e-13
4.339999999999999858e+00 9.352329999999999591e-13
4.360000000000000320e+00 1.598720000000000078e-12
4.379999999999999893e+00 2.670240000000000141e-12
4.400000000000000355e+00 4.343250000000000098e-12
4.419999999999999929e+00 6.842610000000000062e-12
4.440000000000000391e+00 1.059560000000000061e-11
4.459999999999999964e+00 1.612970000000000144e-11
4.480000000000000426e+00 2.414779999999999854e-11
4.500000000000000000e+00 3.556569999999999900e-11
4.519999999999999574e+00 5.155439999999999932e-11
4.540000000000000036e+00 7.358159999999999900e-11
4.559999999999999609e+00 1.034550000000000062e-10
4.580000000000000071e+00 1.433579999999999924e-10
4.599999999999999645e+00 1.958879999999999909e-10
4.620000000000000107e+00 2.640710000000000076e-10
4.639999999999999680e+00 3.513890000000000053e-10
4.660000000000000142e+00 4.617780000000000157e-10
4.679999999999999716e+00 5.996200000000000449e-10
4.700000000000000178e+00 7.697059999999999888e-10
4.719999999999999751e+00 9.772240000000000987e-10
4.740000000000000213e+00 1.227689999999999924e-09
4.769999999999999574e+00 1.526890000000000091e-09
4.790000000000000036e+00 1.880769999999999907e-09
4.809999999999999609e+00 2.295419999999999917e-09
4.830000000000000071e+00 2.776940000000000132e-09
4.849999999999999645e+00 3.331310000000000152e-09
4.870000000000000107e+00 3.964349999999999860e-09
4.889999999999999680e+00 4.681590000000000167e-09
4.910000000000000142e+00 5.488200000000000135e-09
4.929999999999999716e+00 6.388860000000000208e-09
4.950000000000000178e+00 7.387680000000000280e-09
4.969999999999999751e+00 8.488180000000000771e-09
4.990000000000000213e+00 9.693239999999999916e-09
5.009999999999999787e+00 1.100489999999999950e-08
5.030000000000000249e+00 1.242449999999999985e-08
5.049999999999999822e+00 1.395250000000000036e-08
5.070000000000000284e+00 1.558869999999999850e-08
5.089999999999999858e+00 1.733190000000000050e-08
5.110000000000000320e+00 1.918030000000000003e-08
5.129999999999999893e+00 2.113099999999999910e-08
5.150000000000000355e+00 2.318070000000000123e-08
5.169999999999999929e+00 2.532509999999999891e-08
5.190000000000000391e+00 2.755940000000000060e-08
5.209999999999999964e+00 2.987820000000000214e-08
5.230000000000000426e+00 3.227539999999999796e-08
5.250000000000000000e+00 3.474449999999999722e-08
5.269999999999999574e+00 3.727859999999999739e-08
5.290000000000000036e+00 3.987040000000000079e-08
5.309999999999999609e+00 4.251220000000000132e-08
5.330000000000000071e+00 4.519629999999999953e-08
5.349999999999999645e+00 4.791469999999999957e-08
5.370000000000000107e+00 5.065939999999999900e-08
5.389999999999999680e+00 5.342219999999999777e-08
5.410000000000000142e+00 5.619519999999999884e-08
5.429999999999999716e+00 5.897049999999999855e-08
5.450000000000000178e+00 6.174020000000000648e-08
5.469999999999999751e+00 6.449680000000000086e-08
5.490000000000000213e+00 6.723289999999999848e-08
5.509999999999999787e+00 6.994139999999999921e-08
5.530000000000000249e+00 7.261559999999999810e-08
5.549999999999999822e+00 7.524919999999999860e-08
5.570000000000000284e+00 7.783579999999999875e-08
5.589999999999999858e+00 8.036999999999999771e-08
5.610000000000000320e+00 8.284650000000000006e-08
5.629999999999999893e+00 8.526040000000000555e-08
5.650000000000000355e+00 8.760710000000000366e-08
5.669999999999999929e+00 8.988260000000000309e-08
5.690000000000000391e+00 9.208329999999999447e-08
5.709999999999999964e+00 9.420580000000000570e-08
5.730000000000000426e+00 9.624739999999999667e-08
5.750000000000000000e+00 9.820549999999999883e-08
5.769999999999999574e+00 1.000780000000000045e-07
5.790000000000000036e+00 1.018630000000000036e-07
5.809999999999999609e+00 1.035589999999999945e-07
5.830000000000000071e+00 1.051660000000000035e-07
5.849999999999999645e+00 1.066820000000000020e-07
5.870000000000000107e+00 1.081070000000000032e-07
5.889999999999999680e+00 1.094400000000000059e-07
5.910000000000000142e+00 1.106819999999999981e-07
5.929999999999999716e+00 1.118330000000000062e-07
5.950000000000000178e+00 1.128930000000000038e-07
5.969999999999999751e+00 1.138640000000000063e-07
5.990000000000000213e+00 1.147449999999999995e-07
6.009999999999999787e+00 1.155389999999999998e-07
6.030000000000000249e+00 1.162459999999999942e-07
6.049999999999999822e+00 1.168679999999999980e-07
6.070000000000000284e+00 1.174049999999999981e-07
6.089999999999999858e+00 1.178609999999999990e-07
6.110000000000000320e+00 1.182360000000000007e-07
6.129999999999999893e+00 1.185329999999999934e-07
6.150000000000000355e+00 1.187530000000000046e-07
6.169999999999999929e+00 1.188979999999999970e-07
6.190000000000000391e+00 1.189699999999999992e-07
6.209999999999999964e+00 1.189720000000000015e-07
6.230000000000000426e+00 1.189050000000000049e-07
6.250000000000000000e+00 1.187730000000000009e-07
6.269999999999999574e+00 1.185760000000000025e-07
6.290000000000000036e+00 1.183180000000000011e-07
6.309999999999999609e+00 1.179999999999999978e-07
6.330000000000000071e+00 1.176249999999999961e-07
6.349999999999999645e+00 1.171949999999999982e-07
6.370000000000000107e+00 1.167129999999999943e-07
6.389999999999999680e+00 1.161799999999999987e-07
6.410000000000000142e+00 1.155990000000000017e-07
6.429999999999999716e+00 1.149730000000000065e-07
6.450000000000000178e+00 1.143030000000000012e-07
6.469999999999999751e+00 1.135920000000000023e-07
6.490000000000000213e+00 1.128419999999999989e-07
6.509999999999999787e+00 1.120550000000000065e-07
6.530000000000000249e+00 1.112330000000000008e-07
6.549999999999999822e+00 1.103789999999999986e-07
6.570000000000000284e+00 1.094929999999999998e-07
6.589999999999999858e+00 1.085789999999999957e-07
6.610000000000000320e+00 1.076380000000000007e-07
6.629999999999999893e+00 1.066720000000000039e-07
6.650000000000000355e+00 1.056829999999999942e-07
6.669999999999999929e+00 1.046719999999999992e-07
6.690000000000000391e+00 1.036409999999999948e-07
