# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 2.522340000000000043e-44
4.280000000000000249e+00 9.220540000000000725e-43
4.299999999999999822e+00 2.935859999999999779e-41
4.320000000000000284e+00 8.006399999999999964e-40
4.339999999999999858e+00 1.882299999999999871e-38
4.360000000000000320e+00 3.841179999999999736e-37
4.379999999999999893e+00 6.846710000000000594e-36
4.400000000000000355e+00 1.072650000000000075e-34
4.419999999999999929e+00 1.485469999999999926e-33
4.440000000000000391e+00 1.828850000000000136e-32
4.459999999999999964e+00 2.012130000000000049e-31
4.480000000000000426e+00 1.988630000000000001e-30
4.500000000000000000e+00 1.773900000000000117e-29
4.519999999999999574e+00 1.434950000000000104e-28
4.540000000000000036e+00 1.057189999999999934e-27
4.559999999999999609e+00 7.124530000000000516e-27
4.580000000000000071e+00 4.409139999999999726e-26
4.599999999999999645e+00 2.515689999999999829e-25
4.620000000000000107e+00 1.328079999999999950e-24
4.639999999999999680e+00 6.510180000000000247e-24
4.660000000000000142e+00 2.973320000000000141e-23
4.679999999999999716e+00 1.269210000000000038e-22
4.700000000000000178e+00 5.079130000000000182e-22
4.719999999999999751e+00 1.911109999999999944e-21
4.740000000000000213e+00 6.780260000000000228e-21
4.769999999999999574e+00 2.274100000000000010e-20
4.790000000000000036e+00 7.228840000000000558e-20
4.809999999999999609e+00 2.183170000000000071e-19
4.830000000000000071e+00 6.278849999999999527e-19
4.849999999999999645e+00 1.723450000000000062e-18
4.870000000000000107e+00 4.524219999999999643e-18
4.889999999999999680e+00 1.138170000000000007e-17
4.910000000000000142e+00 2.749330000000000146e-17
4.929999999999999716e+00 6.388430000000000449e-17
4.950000000000000178e+00 1.430419999999999881e-16
4.969999999999999751e+00 3.091489999999999872e-16
4.990000000000000213e+00 6.459679999999999881e-16
5.009999999999999787e+00 1.306890000000000022e-15
5.030000000000000249e+00 2.563900000000000108e-15
5.049999999999999822e+00 4.884099999999999827e-15
5.070000000000000284e+00 9.046559999999999231e-15
5.089999999999999858e+00 1.631300000000000140e-14
5.110000000000000320e+00 2.867300000000000187e-14
5.129999999999999893e+00 4.918069999999999864e-14
5.150000000000000355e+00 8.241139999999999961e-14
5.169999999999999929e+00 1.348009999999999877e-13
5.190000000000000391e+00 2.130559999999999910e-13
5.209999999999999964e+00 3.309100000000000006e-13
5.230000000000000426e+00 5.052060000000000386e-13
5.250000000000000000e+00 7.584029999999999946e-13
5.269999999999999574e+00 1.119910000000000021e-12
5.290000000000000036e+00 1.627419999999999946e-12
5.309999999999999609e+00 2.328319999999999918e-12
5.330000000000000071e+00 3.281090000000000108e-12
5.349999999999999645e+00 4.556639999999999858e-12
5.370000000000000107e+00 6.239569999999999837e-12
5.389999999999999680e+00 8.428640000000000323e-12
5.410000000000000142e+00 1.123800000000000038e-11
5.429999999999999716e+00 1.479670000000000136e-11
5.450000000000000178e+00 1.924930000000000119e-11
5.469999999999999751e+00 2.475439999999999881e-11
5.490000000000000213e+00 3.148330000000000258e-11
5.509999999999999787e+00 3.961970000000000252e-11
5.530000000000000249e+00 4.935679999999999907e-11
5.549999999999999822e+00 6.089389999999999845e-11
5.570000000000000284e+00 7.443499999999999938e-11
5.589999999999999858e+00 9.018570000000000011e-11
5.610000000000000320e+00 1.083489999999999972e-10
5.629999999999999893e+00 1.291239999999999979e-10
5.650000000000000355e+00 1.526980000000000087e-10
5.669999999999999929e+00 1.792489999999999928e-10
5.690000000000000391e+00 2.089419999999999956e-10
5.709999999999999964e+00 2.419180000000000118e-10
5.730000000000000426e+00 2.783039999999999935e-10
5.750000000000000000e+00 3.181999999999999972e-10
5.769999999999999574e+00 3.616880000000000025e-10
5.790000000000000036e+00 4.088149999999999991e-10
5.809999999999999609e+00 4.596090000000000204e-10
5.830000000000000071e+00 5.140709999999999715e-10
5.849999999999999645e+00 5.721679999999999829e-10
5.870000000000000107e+00 6.338429999999999793e-10
5.889999999999999680e+00 6.990159999999999982e-10
5.910000000000000142e+00 7.675780000000000350e-10
5.929999999999999716e+00 8.393949999999999743e-10
5.950000000000000178e+00 9.143090000000000115e-10
5.969999999999999751e+00 9.921429999999999725e-10
5.990000000000000213e+00 1.072700000000000028e-09
6.009999999999999787e+00 1.155779999999999911e-09
6.030000000000000249e+00 1.241130000000000035e-09
6.049999999999999822e+00 1.328520000000000082e-09
6.070000000000000284e+00 1.417699999999999974e-09
6.089999999999999858e+00 1.508400000000000085e-09
6.110000000000000320e+00 1.600369999999999924e-09
6.129999999999999893e+00 1.693319999999999897e-09
6.150000000000000355e+00 1.786999999999999930e-09
6.169999999999999929e+00 1.881130000000000100e-09
6.190000000000000391e+00 1.975439999999999953e-09
6.209999999999999964e+00 2.069669999999999947e-09
6.230000000000000426e+00 2.163559999999999920e-09
6.250000000000000000e+00 2.256869999999999880e-09
6.269999999999999574e+00 2.349349999999999957e-09
6.290000000000000036e+00 2.440770000000000041e-09
6.309999999999999609e+00 2.530930000000000069e-09
6.330000000000000071e+00 2.619609999999999808e-09
6.349999999999999645e+00 2.706610000000000024e-09
6.370000000000000107e+00 2.791759999999999880e-09
6.389999999999999680e+00 2.874900000000000071e-09
6.410000000000000142e+00 2.955860000000000172e-09
6.429999999999999716e+00 3.034519999999999981e-09
6.450000000000000178e+00 3.110739999999999951e-09
6.469999999999999751e+00 3.184420000000000053e-09
6.490000000000000213e+00 3.255449999999999961e-09
6.509999999999999787e+00 3.323760000000000111e-09
6.530000000000000249e+00 3.389269999999999816e-09
6.549999999999999822e+00 3.451919999999999801e-09
6.570000000000000284e+00 3.511649999999999966e-09
6.589999999999999858e+00 3.568429999999999846e-09
6.610000000000000320e+00 3.622240000000000098e-09
6.629999999999999893e+00 3.673049999999999843e-09
6.650000000000000355e+00 3.720859999999999908e-09
6.669999999999999929e+00 3.765659999999999588e-09
6.690000000000000391e+00 3.807460000000000002e-09
6.709999999999999964e+00 3.846270000000000202e-09
6.730000000000000426e+00 3.882109999999999946e-09
6.750000000000000000e+00 3.915020000000000404e-09
6.769999999999999574e+00 3.945009999999999801e-09
6.790000000000000036e+00 3.972139999999999892e-09
6.809999999999999609e+00 3.996440000000000315e-09
6.830000000000000071e+00 4.017949999999999758e-09
6.849999999999999645e+00 4.036729999999999976e-09
6.870000000000000107e+00 4.052830000000000366e-09
6.889999999999999680e+00 4.066310000000000199e-09
6.910000000000000142e+00 4.077209999999999820e-09
6.929999999999999716e+00 4.085619999999999794e-09
6.950000000000000178e+00 4.091579999999999637e-09
6.969999999999999751e+00 4.095179999999999914e-09
6.990000000000000213e+00 4.096460000000000141e-09
7.009999999999999787e+00 4.095500000000000178e-09
7.030000000000000249e+00 4.092370000000000004e-09
7.049999999999999822e+00 4.087139999999999599e-09
7.070000000000000284e+00 4.079879999999999771e-09
7.089999999999999858e+00 4.070649999999999793e-09
7.110000000000000320e+00 4.059550000000000111e-09
7.129999999999999893e+00 4.046630000000000118e-09
7.150000000000000355e+00 4.031959999999999795e-09
7.169999999999999929e+00 4.015619999999999829e-09
7.190000000000000391e+00 3.997680000000000199e-09
7.209999999999999964e+00 3.978210000000000059e-09
7.230000000000000426e+00 3.957290000000000094e-09
7.259999999999999787e+00 3.934969999999999699e-09
7.280000000000000249e+00 3.911319999999999683e-09
7.299999999999999822e+00 3.886429999999999782e-09
7.320000000000000284e+00 3.860340000000000341e-09
7.339999999999999858e+00 3.833130000000000390e-09
7.360000000000000320e+00 3.804850000000000153e-09
7.379999999999999893e+00 3.775580000000000315e-09
7.400000000000000355e+00 3.745370000000000271e-09
7.419999999999999929e+00 3.714280000000000123e-09
7.440000000000000391e+00 3.682360000000000093e-09
7.459999999999999964e+00 3.649669999999999868e-09
7.480000000000000426e+00 3.616269999999999962e-09
7.500000000000000000e+00 3.582199999999999893e-09
7.519999999999999574e+00 3.547520000000000174e-09
7.540000000000000036e+00 3.512260000000000029e-09
7.559999999999999609e+00 3.476489999999999851e-09
7.580000000000000071e+00 3.440240000000000106e-09
7.599999999999999645e+00 3.403549999999999894e-09
7.620000000000000107e+00 3.366469999999999853e-09
7.639999999999999680e+00 3.329020000000000153e-09
7.660000000000000142e+00 3.291260000000000068e-09
7.679999999999999716e+00 3.253210000000000184e-09
7.700000000000000178e+00 3.214900000000000138e-09
7.719999999999999751e+00 3.176369999999999858e-09
7.740000000000000213e+00 3.137649999999999810e-09
7.759999999999999787e+00 3.098770000000000043e-09
7.780000000000000249e+00 3.059749999999999903e-09
7.799999999999999822e+00 3.020609999999999974e-09
7.820000000000000284e+00 2.981400000000000065e-09
7.839999999999999858e+00 2.942120000000000176e-09
7.860000000000000320e+00 2.902799999999999943e-09
7.879999999999999893e+00 2.863459999999999953e-09
7.900000000000000355e+00 2.824119999999999963e-09
7.919999999999999929e+00 2.784800000000000144e-09
7.940000000000000391e+00 2.745530000000000134e-09
7.959999999999999964e+00 2.706309999999999932e-09
7.980000000000000426e+00 2.667170000000000003e-09
8.000000000000000000e+00 2.628130000000000105e-09
8.019999999999999574e+00 2.589189999999999824e-09
8.039999999999999147e+00 2.550380000000000038e-09
8.060000000000000497e+00 2.511709999999999798e-09
8.080000000000000071e+00 2.473189999999999811e-09
8.099999999999999645e+00 2.434839999999999835e-09
8.119999999999999218e+00 2.396680000000000041e-09
8.140000000000000568e+00 2.358719999999999895e-09
8.160000000000000142e+00 2.320959999999999810e-09
8.179999999999999716e+00 2.283429999999999838e-09
8.199999999999999289e+00 2.246129999999999977e-09
8.220000000000000639e+00 2.209089999999999865e-09
8.240000000000000213e+00 2.172300000000000036e-09
8.259999999999999787e+00 2.135779999999999836e-09
8.279999999999999361e+00 2.099549999999999848e-09
8.300000000000000711e+00 2.063610000000000073e-09
8.320000000000000284e+00 2.027979999999999856e-09
8.339999999999999858e+00 1.992650000000000145e-09
8.359999999999999432e+00 1.957650000000000162e-09
8.380000000000000782e+00 1.922979999999999909e-09
8.400000000000000355e+00 1.888659999999999969e-09
8.419999999999999929e+00 1.854680000000000051e-09
8.439999999999999503e+00 1.821059999999999913e-09
8.460000000000000853e+00 1.787799999999999968e-09
8.480000000000000426e+00 1.754910000000000095e-09
8.500000000000000000e+00 1.722399999999999966e-09
