# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 1.261170000000000021e-44
4.500000000000000000e+00 4.932570000000000010e-43
4.519999999999999574e+00 1.504429999999999977e-41
4.540000000000000036e+00 3.942740000000000237e-40
4.559999999999999609e+00 8.924510000000000147e-39
4.580000000000000071e+00 1.756179999999999964e-37
4.599999999999999645e+00 3.023899999999999766e-36
4.620000000000000107e+00 4.582780000000000239e-35
4.639999999999999680e+00 6.148869999999999811e-34
4.660000000000000142e+00 7.344729999999999596e-33
4.679999999999999716e+00 7.851050000000000167e-32
4.700000000000000178e+00 7.547580000000000050e-31
4.719999999999999751e+00 6.557149999999999416e-30
4.740000000000000213e+00 5.172030000000000502e-29
4.769999999999999574e+00 3.719799999999999912e-28
4.790000000000000036e+00 2.449519999999999821e-27
4.809999999999999609e+00 1.482840000000000125e-26
4.830000000000000071e+00 8.283839999999999982e-26
4.849999999999999645e+00 4.285919999999999583e-25
4.870000000000000107e+00 2.060759999999999933e-24
4.889999999999999680e+00 9.239179999999999316e-24
4.910000000000000142e+00 3.874790000000000150e-23
4.929999999999999716e+00 1.524639999999999944e-22
4.950000000000000178e+00 5.644609999999999823e-22
4.969999999999999751e+00 1.971739999999999983e-21
4.990000000000000213e+00 6.515870000000000159e-21
5.009999999999999787e+00 2.042039999999999993e-20
5.030000000000000249e+00 6.084030000000000513e-20
5.049999999999999822e+00 1.727129999999999886e-19
5.070000000000000284e+00 4.682000000000000394e-19
5.089999999999999858e+00 1.214510000000000096e-18
5.110000000000000320e+00 3.020730000000000027e-18
5.129999999999999893e+00 7.217349999999999579e-18
5.150000000000000355e+00 1.659589999999999965e-17
5.169999999999999929e+00 3.678899999999999738e-17
5.190000000000000391e+00 7.875239999999999705e-17
5.209999999999999964e+00 1.630460000000000120e-16
5.230000000000000426e+00 3.269849999999999776e-16
5.250000000000000000e+00 6.361019999999999576e-16
5.269999999999999574e+00 1.202019999999999956e-15
5.290000000000000036e+00 2.209329999999999950e-15
5.309999999999999609e+00 3.954649999999999682e-15
5.330000000000000071e+00 6.901969999999999620e-15
5.349999999999999645e+00 1.175859999999999981e-14
5.370000000000000107e+00 1.956839999999999983e-14
5.389999999999999680e+00 3.169340000000000180e-14
5.410000000000000142e+00 4.992780000000000007e-14
5.429999999999999716e+00 7.726809999999999667e-14
5.450000000000000178e+00 1.175189999999999913e-13
5.469999999999999751e+00 1.757270000000000094e-13
5.490000000000000213e+00 2.584540000000000113e-13
5.509999999999999787e+00 3.740679999999999970e-13
5.530000000000000249e+00 5.330510000000000073e-13
5.549999999999999822e+00 7.482700000000000014e-13
5.570000000000000284e+00 1.035239999999999939e-12
5.589999999999999858e+00 1.412410000000000037e-12
5.610000000000000320e+00 1.901280000000000154e-12
5.629999999999999893e+00 2.526530000000000141e-12
5.650000000000000355e+00 3.316059999999999908e-12
5.669999999999999929e+00 4.300949999999999763e-12
5.690000000000000391e+00 5.515310000000000255e-12
5.709999999999999964e+00 6.995939999999999774e-12
5.730000000000000426e+00 8.782020000000000580e-12
5.750000000000000000e+00 1.091479999999999950e-11
5.769999999999999574e+00 1.343699999999999939e-11
5.790000000000000036e+00 1.639210000000000161e-11
5.809999999999999609e+00 1.982379999999999879e-11
5.830000000000000071e+00 2.377550000000000103e-11
5.849999999999999645e+00 2.828929999999999983e-11
5.870000000000000107e+00 3.340539999999999819e-11
5.889999999999999680e+00 3.916180000000000222e-11
5.910000000000000142e+00 4.559320000000000004e-11
5.929999999999999716e+00 5.273059999999999909e-11
5.950000000000000178e+00 6.060040000000000096e-11
5.969999999999999751e+00 6.922469999999999361e-11
5.990000000000000213e+00 7.862080000000000524e-11
6.009999999999999787e+00 8.879970000000000097e-11
6.030000000000000249e+00 9.976719999999999438e-11
6.049999999999999822e+00 1.115240000000000018e-10
6.070000000000000284e+00 1.240639999999999916e-10
6.089999999999999858e+00 1.373750000000000038e-10
6.110000000000000320e+00 1.514419999999999874e-10
6.129999999999999893e+00 1.662400000000000122e-10
6.150000000000000355e+00 1.817439999999999930e-10
6.169999999999999929e+00 1.979210000000000086e-10
6.190000000000000391e+00 2.147329999999999915e-10
6.209999999999999964e+00 2.321390000000000035e-10
6.230000000000000426e+00 2.500970000000000205e-10
6.250000000000000000e+00 2.685569999999999754e-10
6.269999999999999574e+00 2.874699999999999906e-10
6.290000000000000036e+00 3.067839999999999820e-10
6.309999999999999609e+00 3.264460000000000119e-10
6.330000000000000071e+00 3.464000000000000136e-10
6.349999999999999645e+00 3.665919999999999889e-10
6.370000000000000107e+00 3.869650000000000177e-10
6.389999999999999680e+00 4.074660000000000072e-10
6.410000000000000142e+00 4.280389999999999940e-10
6.429999999999999716e+00 4.486319999999999972e-10
6.450000000000000178e+00 4.691930000000000361e-10
6.469999999999999751e+00 4.896720000000000436e-10
6.490000000000000213e+00 5.100189999999999528e-10
6.509999999999999787e+00 5.301900000000000065e-10
6.530000000000000249e+00 5.501420000000000427e-10
6.549999999999999822e+00 5.698320000000000026e-10
6.570000000000000284e+00 5.892219999999999739e-10
6.589999999999999858e+00 6.082749999999999493e-10
6.610000000000000320e+00 6.269589999999999646e-10
6.629999999999999893e+00 6.452429999999999606e-10
6.650000000000000355e+00 6.630969999999999902e-10
6.669999999999999929e+00 6.804969999999999508e-10
6.690000000000000391e+00 6.974190000000000501e-10
6.709999999999999964e+00 7.138420000000000047e-10
6.730000000000000426e+00 7.297469999999999617e-10
6.750000000000000000e+00 7.451179999999999906e-10
6.769999999999999574e+00 7.599409999999999713e-10
6.790000000000000036e+00 7.742029999999999992e-10
6.809999999999999609e+00 7.878949999999999970e-10
6.830000000000000071e+00 8.010059999999999738e-10
6.849999999999999645e+00 8.135309999999999900e-10
6.870000000000000107e+00 8.254639999999999942e-10
6.889999999999999680e+00 8.368009999999999520e-10
6.910000000000000142e+00 8.475390000000000446e-10
6.929999999999999716e+00 8.576779999999999617e-10
6.950000000000000178e+00 8.672170000000000050e-10
6.969999999999999751e+00 8.761569999999999762e-10
6.990000000000000213e+00 8.844999999999999958e-10
7.009999999999999787e+00 8.922499999999999949e-10
7.030000000000000249e+00 8.994110000000000077e-10
7.049999999999999822e+00 9.059859999999999566e-10
7.070000000000000284e+00 9.119840000000000221e-10
7.089999999999999858e+00 9.174100000000000404e-10
7.110000000000000320e+00 9.222699999999999595e-10
7.129999999999999893e+00 9.265739999999999686e-10
7.150000000000000355e+00 9.303300000000000330e-10
7.169999999999999929e+00 9.335470000000000230e-10
7.190000000000000391e+00 9.362349999999999211e-10
7.209999999999999964e+00 9.384040000000000198e-10
7.230000000000000426e+00 9.400660000000000085e-10
7.259999999999999787e+00 9.412309999999999729e-10
7.280000000000000249e+00 9.419110000000000161e-10
7.299999999999999822e+00 9.421189999999999392e-10
7.320000000000000284e+00 9.418659999999999402e-10
7.339999999999999858e+00 9.411659999999999323e-10
7.360000000000000320e+00 9.400319999999999236e-10
7.379999999999999893e+00 9.384769999999999223e-10
7.400000000000000355e+00 9.365130000000000312e-10
7.419999999999999929e+00 9.341559999999999741e-10
7.440000000000000391e+00 9.314180000000000607e-10
7.459999999999999964e+00 9.283119999999999889e-10
7.480000000000000426e+00 9.248539999999999994e-10
7.500000000000000000e+00 9.210559999999999883e-10
7.519999999999999574e+00 9.169319999999999724e-10
7.540000000000000036e+00 9.124949999999999597e-10
7.559999999999999609e+00 9.077589999999999669e-10
7.580000000000000071e+00 9.027370000000000022e-10
7.599999999999999645e+00 8.974419999999999704e-10
7.620000000000000107e+00 8.918869999999999828e-10
7.639999999999999680e+00 8.860830000000000306e-10
7.660000000000000142e+00 8.800450000000000355e-10
7.679999999999999716e+00 8.737829999999999800e-10
7.700000000000000178e+00 8.673089999999999670e-10
7.719999999999999751e+00 8.606339999999999875e-10
7.740000000000000213e+00 8.537700000000000410e-10
7.759999999999999787e+00 8.467270000000000064e-10
7.780000000000000249e+00 8.395159999999999783e-10
7.799999999999999822e+00 8.321460000000000337e-10
7.820000000000000284e+00 8.246269999999999483e-10
7.839999999999999858e+00 8.169690000000000147e-10
7.860000000000000320e+00 8.091809999999999998e-10
7.879999999999999893e+00 8.012699999999999638e-10
7.900000000000000355e+00 7.932470000000000009e-10
7.919999999999999929e+00 7.851179999999999558e-10
7.940000000000000391e+00 7.768910000000000007e-10
7.959999999999999964e+00 7.685750000000000058e-10
7.980000000000000426e+00 7.601760000000000227e-10
8.000000000000000000e+00 7.517010000000000081e-10
8.019999999999999574e+00 7.431570000000000218e-10
8.039999999999999147e+00 7.345500000000000122e-10
8.060000000000000497e+00 7.258860000000000305e-10
8.080000000000000071e+00 7.171730000000000421e-10
8.099999999999999645e+00 7.084149999999999778e-10
8.119999999999999218e+00 6.996190000000000012e-10
8.140000000000000568e+00 6.907890000000000430e-10
8.160000000000000142e+00 6.819319999999999567e-10
8.179999999999999716e+00 6.730519999999999832e-10
8.199999999999999289e+00 6.641549999999999673e-10
8.220000000000000639e+00 6.552450000000000467e-10
8.240000000000000213e+00 6.463289999999999712e-10
8.259999999999999787e+00 6.374089999999999647e-10
8.279999999999999361e+00 6.284909999999999755e-10
8.300000000000000711e+00 6.195790000000000377e-10
8.320000000000000284e+00 6.106789999999999960e-10
8.339999999999999858e+00 6.017929999999999711e-10
8.359999999999999432e+00 5.929270000000000143e-10
8.380000000000000782e+00 5.840840000000000481e-10
8.400000000000000355e+00 5.752690000000000118e-10
8.419999999999999929e+00 5.664850000000000347e-10
8.439999999999999503e+00 5.577369999999999528e-10
8.460000000000000853e+00 5.490269999999999902e-10
8.480000000000000426e+00 5.403599999999999828e-10
8.500000000000000000e+00 5.317389999999999564e-10
