# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 1.259569999999999939e-29
3.520000000000000018e+00 1.225700000000000010e-28
3.540000000000000036e+00 1.077320000000000048e-27
3.560000000000000053e+00 8.592300000000000663e-27
3.580000000000000071e+00 6.245750000000000454e-26
3.600000000000000089e+00 4.155150000000000128e-25
3.620000000000000107e+00 2.540129999999999870e-24
3.640000000000000124e+00 1.432359999999999948e-23
3.660000000000000142e+00 7.477580000000000483e-23
3.680000000000000160e+00 3.626530000000000218e-22
3.700000000000000178e+00 1.639440000000000016e-21
3.720000000000000195e+00 6.930200000000000013e-21
3.740000000000000213e+00 2.747670000000000153e-20
3.759999999999999787e+00 1.024720000000000035e-19
3.779999999999999805e+00 3.604709999999999807e-19
3.799999999999999822e+00 1.199220000000000002e-18
3.819999999999999840e+00 3.782769999999999632e-18
3.839999999999999858e+00 1.134010000000000023e-17
3.859999999999999876e+00 3.238520000000000237e-17
3.879999999999999893e+00 8.829320000000000409e-17
3.899999999999999911e+00 2.302949999999999783e-16
3.919999999999999929e+00 5.758149999999999702e-16
3.939999999999999947e+00 1.382779999999999959e-15
3.959999999999999964e+00 3.195100000000000189e-15
3.979999999999999982e+00 7.115980000000000113e-15
4.000000000000000000e+00 1.530120000000000022e-14
4.019999999999999574e+00 3.181640000000000163e-14
4.040000000000000036e+00 6.407049999999999695e-14
4.059999999999999609e+00 1.251379999999999914e-13
4.080000000000000071e+00 2.373729999999999923e-13
4.099999999999999645e+00 4.378880000000000220e-13
4.120000000000000107e+00 7.865729999999999645e-13
4.139999999999999680e+00 1.377449999999999952e-12
4.160000000000000142e+00 2.354320000000000009e-12
4.179999999999999716e+00 3.931779999999999631e-12
4.200000000000000178e+00 6.394270000000000379e-12
4.219999999999999751e+00 1.007520000000000053e-11
4.240000000000000213e+00 1.560229999999999946e-11
4.259999999999999787e+00 2.375279999999999952e-11
4.280000000000000249e+00 3.556139999999999830e-11
4.299999999999999822e+00 5.237580000000000307e-11
4.320000000000000284e+00 7.592080000000000422e-11
4.339999999999999858e+00 1.083560000000000056e-10
4.360000000000000320e+00 1.523450000000000049e-10
4.379999999999999893e+00 2.110980000000000087e-10
4.400000000000000355e+00 2.884409999999999969e-10
4.419999999999999929e+00 3.888289999999999815e-10
4.440000000000000391e+00 5.173940000000000437e-10
4.459999999999999964e+00 6.799209999999999726e-10
4.480000000000000426e+00 8.828699999999999715e-10
4.500000000000000000e+00 1.133300000000000005e-09
4.519999999999999574e+00 1.438870000000000016e-09
4.540000000000000036e+00 1.807670000000000025e-09
4.559999999999999609e+00 2.248270000000000137e-09
4.580000000000000071e+00 2.769430000000000020e-09
4.599999999999999645e+00 3.380139999999999869e-09
4.620000000000000107e+00 4.089360000000000032e-09
4.639999999999999680e+00 4.905969999999999758e-09
4.660000000000000142e+00 5.838569999999999619e-09
4.679999999999999716e+00 6.895349999999999769e-09
4.700000000000000178e+00 8.083889999999999471e-09
4.719999999999999751e+00 9.411170000000000289e-09
4.740000000000000213e+00 1.088330000000000025e-08
4.769999999999999574e+00 1.250559999999999950e-08
4.790000000000000036e+00 1.428219999999999934e-08
4.809999999999999609e+00 1.621619999999999866e-08
4.830000000000000071e+00 1.830970000000000017e-08
4.849999999999999645e+00 2.056339999999999870e-08
4.870000000000000107e+00 2.297700000000000120e-08
4.889999999999999680e+00 2.554879999999999846e-08
4.910000000000000142e+00 2.827619999999999878e-08
4.929999999999999716e+00 3.115520000000000094e-08
4.950000000000000178e+00 3.418069999999999716e-08
4.969999999999999751e+00 3.734650000000000292e-08
4.990000000000000213e+00 4.064570000000000244e-08
