# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 7.006489999999999517e-45
4.059999999999999609e+00 2.634440000000000036e-43
4.080000000000000071e+00 9.020159999999999624e-42
4.099999999999999645e+00 2.639700000000000036e-40
4.120000000000000107e+00 6.639709999999999405e-39
4.139999999999999680e+00 1.445169999999999921e-37
4.160000000000000142e+00 2.739459999999999883e-36
4.179999999999999716e+00 4.551260000000000066e-35
4.200000000000000178e+00 6.667019999999999915e-34
4.219999999999999751e+00 8.659869999999999826e-33
4.240000000000000213e+00 1.002769999999999946e-31
4.259999999999999787e+00 1.040610000000000062e-30
4.280000000000000249e+00 9.726020000000000054e-30
4.299999999999999822e+00 8.225430000000000291e-29
4.320000000000000284e+00 6.323530000000000388e-28
4.339999999999999858e+00 4.437859999999999676e-27
4.360000000000000320e+00 2.855100000000000227e-26
4.379999999999999893e+00 1.690360000000000109e-25
4.400000000000000355e+00 9.245000000000000456e-25
4.419999999999999929e+00 4.687359999999999659e-24
4.440000000000000391e+00 2.210879999999999912e-23
4.459999999999999964e+00 9.732030000000000133e-23
4.480000000000000426e+00 4.010769999999999879e-22
4.500000000000000000e+00 1.552030000000000013e-21
4.519999999999999574e+00 5.655750000000000039e-21
4.540000000000000036e+00 1.946000000000000084e-20
4.559999999999999609e+00 6.338899999999999980e-20
4.580000000000000071e+00 1.959540000000000023e-19
4.599999999999999645e+00 5.762529999999999951e-19
4.620000000000000107e+00 1.615649999999999950e-18
4.639999999999999680e+00 4.328180000000000338e-18
4.660000000000000142e+00 1.110170000000000002e-17
4.679999999999999716e+00 2.731760000000000015e-17
4.700000000000000178e+00 6.460579999999999561e-17
4.719999999999999751e+00 1.471170000000000100e-16
4.740000000000000213e+00 3.231239999999999825e-16
4.769999999999999574e+00 6.856270000000000080e-16
4.790000000000000036e+00 1.407639999999999933e-15
4.809999999999999609e+00 2.800469999999999927e-15
4.830000000000000071e+00 5.406730000000000196e-15
4.849999999999999645e+00 1.014339999999999991e-14
4.870000000000000107e+00 1.851530000000000013e-14
4.889999999999999680e+00 3.292480000000000047e-14
4.910000000000000142e+00 5.710590000000000207e-14
4.929999999999999716e+00 9.671300000000000149e-14
4.950000000000000178e+00 1.601030000000000096e-13
4.969999999999999751e+00 2.567860000000000228e-13
4.990000000000000213e+00 4.022350000000000021e-13
5.009999999999999787e+00 6.191900000000000102e-13
5.030000000000000249e+00 9.370180000000000368e-13
5.049999999999999822e+00 1.394470000000000015e-12
5.070000000000000284e+00 2.041730000000000025e-12
5.089999999999999858e+00 2.942440000000000132e-12
5.110000000000000320e+00 4.175830000000000393e-12
5.129999999999999893e+00 5.838789999999999600e-12
5.150000000000000355e+00 8.047789999999999578e-12
5.169999999999999929e+00 1.094009999999999940e-11
5.190000000000000391e+00 1.467550000000000143e-11
5.209999999999999964e+00 1.943610000000000035e-11
5.230000000000000426e+00 2.542719999999999893e-11
5.250000000000000000e+00 3.287589999999999889e-11
5.269999999999999574e+00 4.203010000000000203e-11
5.290000000000000036e+00 5.315670000000000189e-11
5.309999999999999609e+00 6.653789999999999984e-11
5.330000000000000071e+00 8.246880000000000580e-11
5.349999999999999645e+00 1.012529999999999992e-10
5.370000000000000107e+00 1.231999999999999985e-10
5.389999999999999680e+00 1.486150000000000084e-10
5.410000000000000142e+00 1.778019999999999874e-10
5.429999999999999716e+00 2.110520000000000018e-10
5.450000000000000178e+00 2.486440000000000153e-10
5.469999999999999751e+00 2.908329999999999923e-10
5.490000000000000213e+00 3.378530000000000016e-10
5.509999999999999787e+00 3.899079999999999837e-10
5.530000000000000249e+00 4.471729999999999922e-10
5.549999999999999822e+00 5.097840000000000048e-10
5.570000000000000284e+00 5.778400000000000436e-10
5.589999999999999858e+00 6.514049999999999855e-10
5.610000000000000320e+00 7.305010000000000192e-10
5.629999999999999893e+00 8.151069999999999647e-10
5.650000000000000355e+00 9.051600000000000051e-10
5.669999999999999929e+00 1.000559999999999903e-09
5.690000000000000391e+00 1.101170000000000034e-09
5.709999999999999964e+00 1.206810000000000096e-09
5.730000000000000426e+00 1.317249999999999975e-09
5.750000000000000000e+00 1.432270000000000060e-09
5.769999999999999574e+00 1.551570000000000051e-09
5.790000000000000036e+00 1.674850000000000063e-09
5.809999999999999609e+00 1.801779999999999955e-09
5.830000000000000071e+00 1.932009999999999825e-09
5.849999999999999645e+00 2.065159999999999929e-09
5.870000000000000107e+00 2.200860000000000194e-09
5.889999999999999680e+00 2.338710000000000085e-09
5.910000000000000142e+00 2.478309999999999892e-09
5.929999999999999716e+00 2.619250000000000028e-09
5.950000000000000178e+00 2.761129999999999956e-09
5.969999999999999751e+00 2.903540000000000088e-09
5.990000000000000213e+00 3.046079999999999887e-09
6.009999999999999787e+00 3.188369999999999817e-09
6.030000000000000249e+00 3.330020000000000046e-09
6.049999999999999822e+00 3.470660000000000090e-09
6.070000000000000284e+00 3.609949999999999926e-09
6.089999999999999858e+00 3.747539999999999655e-09
6.110000000000000320e+00 3.883120000000000132e-09
6.129999999999999893e+00 4.016389999999999610e-09
6.150000000000000355e+00 4.147059999999999946e-09
6.169999999999999929e+00 4.274870000000000149e-09
6.190000000000000391e+00 4.399589999999999693e-09
6.209999999999999964e+00 4.520989999999999708e-09
6.230000000000000426e+00 4.638880000000000012e-09
6.250000000000000000e+00 4.753069999999999594e-09
6.269999999999999574e+00 4.863420000000000148e-09
6.290000000000000036e+00 4.969770000000000303e-09
6.309999999999999609e+00 5.072009999999999735e-09
6.330000000000000071e+00 5.170039999999999654e-09
6.349999999999999645e+00 5.263780000000000201e-09
6.370000000000000107e+00 5.353149999999999862e-09
6.389999999999999680e+00 5.438109999999999949e-09
6.410000000000000142e+00 5.518629999999999998e-09
6.429999999999999716e+00 5.594659999999999786e-09
6.450000000000000178e+00 5.666219999999999899e-09
6.469999999999999751e+00 5.733289999999999751e-09
6.490000000000000213e+00 5.795889999999999928e-09
6.509999999999999787e+00 5.854059999999999945e-09
6.530000000000000249e+00 5.907809999999999682e-09
6.549999999999999822e+00 5.957190000000000188e-09
6.570000000000000284e+00 6.002240000000000151e-09
6.589999999999999858e+00 6.043040000000000258e-09
6.610000000000000320e+00 6.079630000000000025e-09
6.629999999999999893e+00 6.112100000000000018e-09
6.650000000000000355e+00 6.140499999999999630e-09
6.669999999999999929e+00 6.164930000000000134e-09
6.690000000000000391e+00 6.185459999999999855e-09
6.709999999999999964e+00 6.202180000000000186e-09
6.730000000000000426e+00 6.215189999999999917e-09
6.750000000000000000e+00 6.224569999999999734e-09
6.769999999999999574e+00 6.230429999999999959e-09
6.790000000000000036e+00 6.232849999999999626e-09
6.809999999999999609e+00 6.231939999999999885e-09
6.830000000000000071e+00 6.227810000000000231e-09
6.849999999999999645e+00 6.220550000000000403e-09
6.870000000000000107e+00 6.210269999999999897e-09
6.889999999999999680e+00 6.197069999999999984e-09
6.910000000000000142e+00 6.181060000000000160e-09
6.929999999999999716e+00 6.162340000000000043e-09
6.950000000000000178e+00 6.141019999999999955e-09
6.969999999999999751e+00 6.117210000000000220e-09
6.990000000000000213e+00 6.090999999999999749e-09
7.009999999999999787e+00 6.062499999999999693e-09
7.030000000000000249e+00 6.031809999999999667e-09
7.049999999999999822e+00 5.999039999999999997e-09
7.070000000000000284e+00 5.964279999999999591e-09
7.089999999999999858e+00 5.927639999999999602e-09
7.110000000000000320e+00 5.889199999999999888e-09
7.129999999999999893e+00 5.849060000000000066e-09
7.150000000000000355e+00 5.807319999999999753e-09
7.169999999999999929e+00 5.764070000000000342e-09
7.190000000000000391e+00 5.719390000000000037e-09
7.209999999999999964e+00 5.673360000000000352e-09
7.230000000000000426e+00 5.626080000000000077e-09
7.259999999999999787e+00 5.577620000000000019e-09
7.280000000000000249e+00 5.528069999999999916e-09
7.299999999999999822e+00 5.477479999999999990e-09
7.320000000000000284e+00 5.425939999999999980e-09
7.339999999999999858e+00 5.373519999999999865e-09
7.360000000000000320e+00 5.320279999999999747e-09
7.379999999999999893e+00 5.266289999999999606e-09
7.400000000000000355e+00 5.211610000000000370e-09
7.419999999999999929e+00 5.156289999999999779e-09
7.440000000000000391e+00 5.100400000000000296e-09
7.459999999999999964e+00 5.043979999999999781e-09
7.480000000000000426e+00 4.987089999999999991e-09
7.500000000000000000e+00 4.929769999999999614e-09
7.519999999999999574e+00 4.872080000000000406e-09
7.540000000000000036e+00 4.814050000000000349e-09
7.559999999999999609e+00 4.755729999999999665e-09
7.580000000000000071e+00 4.697160000000000352e-09
7.599999999999999645e+00 4.638390000000000151e-09
7.620000000000000107e+00 4.579429999999999767e-09
7.639999999999999680e+00 4.520330000000000250e-09
7.660000000000000142e+00 4.461140000000000168e-09
7.679999999999999716e+00 4.401860000000000348e-09
7.700000000000000178e+00 4.342540000000000185e-09
7.719999999999999751e+00 4.283220000000000022e-09
7.740000000000000213e+00 4.223909999999999738e-09
7.759999999999999787e+00 4.164639999999999796e-09
7.780000000000000249e+00 4.105449999999999714e-09
7.799999999999999822e+00 4.046350000000000198e-09
7.820000000000000284e+00 3.987379999999999935e-09
7.839999999999999858e+00 3.928560000000000339e-09
7.860000000000000320e+00 3.869920000000000219e-09
7.879999999999999893e+00 3.811470000000000281e-09
7.900000000000000355e+00 3.753240000000000162e-09
7.919999999999999929e+00 3.695259999999999914e-09
7.940000000000000391e+00 3.637539999999999828e-09
7.959999999999999964e+00 3.580109999999999955e-09
7.980000000000000426e+00 3.522980000000000174e-09
8.000000000000000000e+00 3.466180000000000122e-09
8.019999999999999574e+00 3.409739999999999849e-09
8.039999999999999147e+00 3.353649999999999891e-09
8.060000000000000497e+00 3.297960000000000055e-09
8.080000000000000071e+00 3.242669999999999929e-09
8.099999999999999645e+00 3.187789999999999804e-09
8.119999999999999218e+00 3.133369999999999903e-09
8.140000000000000568e+00 3.079390000000000054e-09
8.160000000000000142e+00 3.025879999999999895e-09
8.179999999999999716e+00 2.972860000000000010e-09
8.199999999999999289e+00 2.920339999999999864e-09
8.220000000000000639e+00 2.868340000000000044e-09
8.240000000000000213e+00 2.816860000000000135e-09
8.259999999999999787e+00 2.765919999999999895e-09
8.279999999999999361e+00 2.715530000000000031e-09
8.300000000000000711e+00 2.665700000000000007e-09
8.320000000000000284e+00 2.616440000000000118e-09
8.339999999999999858e+00 2.567759999999999827e-09
8.359999999999999432e+00 2.519669999999999841e-09
8.380000000000000782e+00 2.472170000000000160e-09
8.400000000000000355e+00 2.425280000000000128e-09
8.419999999999999929e+00 2.379000000000000160e-09
8.439999999999999503e+00 2.333340000000000134e-09
8.460000000000000853e+00 2.288290000000000170e-09
8.480000000000000426e+00 2.243860000000000149e-09
8.500000000000000000e+00 2.200059999999999949e-09
