# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 2.307889999999999866e-24
3.520000000000000018e+00 1.321990000000000031e-23
3.540000000000000036e+00 7.005599999999999707e-23
3.560000000000000053e+00 3.446609999999999890e-22
3.580000000000000071e+00 1.579530000000000061e-21
3.600000000000000089e+00 6.764670000000000107e-21
3.620000000000000107e+00 2.715649999999999706e-20
3.640000000000000124e+00 1.024900000000000031e-19
3.660000000000000142e+00 3.646520000000000069e-19
3.680000000000000160e+00 1.226380000000000018e-18
3.700000000000000178e+00 3.908619999999999621e-18
3.720000000000000195e+00 1.183400000000000036e-17
3.740000000000000213e+00 3.411559999999999741e-17
3.759999999999999787e+00 9.385389999999999947e-17
3.779999999999999805e+00 2.469160000000000072e-16
3.799999999999999822e+00 6.224570000000000090e-16
3.819999999999999840e+00 1.506579999999999920e-15
3.839999999999999858e+00 3.507289999999999844e-15
3.859999999999999876e+00 7.867409999999999783e-15
3.879999999999999893e+00 1.703279999999999862e-14
3.899999999999999911e+00 3.564830000000000144e-14
3.919999999999999929e+00 7.223589999999999667e-14
3.939999999999999947e+00 1.419259999999999952e-13
3.959999999999999964e+00 2.707529999999999975e-13
3.979999999999999982e+00 5.021830000000000019e-13
4.000000000000000000e+00 9.067400000000000319e-13
4.019999999999999574e+00 1.595749999999999940e-12
4.040000000000000036e+00 2.740329999999999896e-12
4.059999999999999609e+00 4.597150000000000056e-12
4.080000000000000071e+00 7.532539999999999729e-12
4.099999999999999645e+00 1.188459999999999966e-11
4.120000000000000107e+00 1.844169999999999886e-11
4.139999999999999680e+00 2.814889999999999934e-11
4.160000000000000142e+00 4.226879999999999858e-11
4.179999999999999716e+00 6.246149999999999674e-11
4.200000000000000178e+00 9.086019999999999608e-11
4.219999999999999751e+00 1.301530000000000106e-10
4.240000000000000213e+00 1.836680000000000062e-10
4.259999999999999787e+00 2.554490000000000244e-10
4.280000000000000249e+00 3.503269999999999939e-10
4.299999999999999822e+00 4.739660000000000360e-10
4.320000000000000284e+00 6.329070000000000148e-10
4.339999999999999858e+00 8.345749999999999847e-10
4.360000000000000320e+00 1.087290000000000078e-09
4.379999999999999893e+00 1.400169999999999933e-09
4.400000000000000355e+00 1.783169999999999954e-09
4.419999999999999929e+00 2.246870000000000121e-09
4.440000000000000391e+00 2.802449999999999975e-09
4.459999999999999964e+00 3.461500000000000092e-09
4.480000000000000426e+00 4.235900000000000231e-09
4.500000000000000000e+00 5.137590000000000247e-09
4.519999999999999574e+00 6.178479999999999948e-09
4.540000000000000036e+00 7.370110000000000309e-09
4.559999999999999609e+00 8.723660000000000044e-09
4.580000000000000071e+00 1.024960000000000067e-08
4.599999999999999645e+00 1.195749999999999971e-08
4.620000000000000107e+00 1.385619999999999936e-08
4.639999999999999680e+00 1.595309999999999943e-08
4.660000000000000142e+00 1.825459999999999857e-08
4.679999999999999716e+00 2.076560000000000034e-08
4.700000000000000178e+00 2.348959999999999879e-08
4.719999999999999751e+00 2.642839999999999861e-08
4.740000000000000213e+00 2.958270000000000125e-08
4.769999999999999574e+00 3.295129999999999808e-08
4.790000000000000036e+00 3.653149999999999860e-08
4.809999999999999609e+00 4.031909999999999739e-08
4.830000000000000071e+00 4.430860000000000145e-08
4.849999999999999645e+00 4.849279999999999864e-08
4.870000000000000107e+00 5.286319999999999918e-08
4.889999999999999680e+00 5.741029999999999892e-08
4.910000000000000142e+00 6.212340000000000159e-08
4.929999999999999716e+00 6.699070000000000442e-08
4.950000000000000178e+00 7.199920000000000589e-08
4.969999999999999751e+00 7.713560000000000152e-08
4.990000000000000213e+00 8.238590000000000188e-08
5.009999999999999787e+00 8.773519999999999539e-08
5.030000000000000249e+00 9.316859999999999692e-08
5.049999999999999822e+00 9.867060000000000211e-08
5.070000000000000284e+00 1.042259999999999964e-07
5.089999999999999858e+00 1.098189999999999989e-07
5.110000000000000320e+00 1.154339999999999999e-07
5.129999999999999893e+00 1.210559999999999956e-07
5.150000000000000355e+00 1.266690000000000075e-07
5.169999999999999929e+00 1.322599999999999945e-07
5.190000000000000391e+00 1.378149999999999936e-07
5.209999999999999964e+00 1.433180000000000132e-07
5.230000000000000426e+00 1.487579999999999878e-07
5.250000000000000000e+00 1.541220000000000085e-07
5.269999999999999574e+00 1.593980000000000089e-07
5.290000000000000036e+00 1.645750000000000030e-07
5.309999999999999609e+00 1.696420000000000046e-07
5.330000000000000071e+00 1.745900000000000036e-07
5.349999999999999645e+00 1.794099999999999899e-07
5.370000000000000107e+00 1.840950000000000083e-07
5.389999999999999680e+00 1.886359999999999959e-07
5.410000000000000142e+00 1.930269999999999986e-07
5.429999999999999716e+00 1.972620000000000097e-07
5.450000000000000178e+00 2.013359999999999971e-07
5.469999999999999751e+00 2.052460000000000103e-07
5.490000000000000213e+00 2.089859999999999895e-07
5.509999999999999787e+00 2.125540000000000119e-07
5.530000000000000249e+00 2.159479999999999958e-07
5.549999999999999822e+00 2.191659999999999920e-07
5.570000000000000284e+00 2.222059999999999980e-07
5.589999999999999858e+00 2.250689999999999886e-07
5.610000000000000320e+00 2.277529999999999881e-07
5.629999999999999893e+00 2.302589999999999974e-07
5.650000000000000355e+00 2.325889999999999925e-07
5.669999999999999929e+00 2.347419999999999986e-07
5.690000000000000391e+00 2.367219999999999938e-07
5.709999999999999964e+00 2.385289999999999782e-07
5.730000000000000426e+00 2.401660000000000080e-07
5.750000000000000000e+00 2.416350000000000061e-07
5.769999999999999574e+00 2.429410000000000047e-07
5.790000000000000036e+00 2.440840000000000037e-07
5.809999999999999609e+00 2.450689999999999825e-07
5.830000000000000071e+00 2.458999999999999983e-07
5.849999999999999645e+00 2.465790000000000006e-07
5.870000000000000107e+00 2.471110000000000215e-07
5.889999999999999680e+00 2.475000000000000126e-07
5.910000000000000142e+00 2.477490000000000038e-07
5.929999999999999716e+00 2.478629999999999742e-07
5.950000000000000178e+00 2.478459999999999814e-07
5.969999999999999751e+00 2.477019999999999770e-07
5.990000000000000213e+00 2.474350000000000183e-07
