# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 1.401299999999999954e-45
3.520000000000000018e+00 3.923640000000000122e-44
3.540000000000000036e+00 1.650730000000000074e-42
3.560000000000000053e+00 5.780920000000000102e-41
3.580000000000000071e+00 1.725850000000000140e-39
3.600000000000000089e+00 4.424019999999999982e-38
3.620000000000000107e+00 9.804619999999999675e-37
3.640000000000000124e+00 1.891009999999999877e-35
3.660000000000000142e+00 3.194020000000000059e-34
3.680000000000000160e+00 4.753000000000000294e-33
3.700000000000000178e+00 6.267070000000000444e-32
3.720000000000000195e+00 7.362180000000000023e-31
3.740000000000000213e+00 7.745619999999999318e-30
3.759999999999999787e+00 7.334680000000000406e-29
3.779999999999999805e+00 6.281240000000000390e-28
3.799999999999999822e+00 4.886619999999999926e-27
3.819999999999999840e+00 3.468910000000000147e-26
3.839999999999999858e+00 2.256040000000000151e-25
3.859999999999999876e+00 1.349690000000000008e-24
3.879999999999999893e+00 7.455120000000000712e-24
3.899999999999999911e+00 3.815930000000000262e-23
3.919999999999999929e+00 1.816169999999999973e-22
3.939999999999999947e+00 8.064039999999999627e-22
3.959999999999999964e+00 3.350820000000000147e-21
3.979999999999999982e+00 1.306930000000000074e-20
4.000000000000000000e+00 4.798399999999999756e-20
4.019999999999999574e+00 1.662960000000000105e-19
4.040000000000000036e+00 5.454019999999999888e-19
4.059999999999999609e+00 1.697109999999999939e-18
4.080000000000000071e+00 5.021930000000000209e-18
4.099999999999999645e+00 1.416430000000000097e-17
4.120000000000000107e+00 3.816260000000000061e-17
4.139999999999999680e+00 9.842030000000000007e-17
4.160000000000000142e+00 2.434349999999999808e-16
4.179999999999999716e+00 5.785839999999999960e-16
4.200000000000000178e+00 1.323799999999999936e-15
4.219999999999999751e+00 2.920730000000000032e-15
4.240000000000000213e+00 6.224100000000000301e-15
4.259999999999999787e+00 1.283130000000000006e-14
4.280000000000000249e+00 2.562870000000000090e-14
4.299999999999999822e+00 4.966550000000000052e-14
4.320000000000000284e+00 9.351040000000000108e-14
4.339999999999999858e+00 1.712759999999999913e-13
4.360000000000000320e+00 3.055740000000000165e-13
4.379999999999999893e+00 5.316470000000000468e-13
4.400000000000000355e+00 9.030739999999999949e-13
4.419999999999999929e+00 1.499250000000000099e-12
4.440000000000000391e+00 2.411210000000000184e-12
4.459999999999999964e+00 3.774780000000000199e-12
4.480000000000000426e+00 5.812040000000000345e-12
4.500000000000000000e+00 8.802629999999999217e-12
4.519999999999999574e+00 1.311769999999999933e-11
4.540000000000000036e+00 1.923880000000000159e-11
4.559999999999999609e+00 2.777929999999999978e-11
4.580000000000000071e+00 3.950619999999999821e-11
4.599999999999999645e+00 5.535979999999999762e-11
4.620000000000000107e+00 7.647180000000000056e-11
4.639999999999999680e+00 1.041840000000000044e-10
4.660000000000000142e+00 1.400570000000000055e-10
4.679999999999999716e+00 1.858740000000000087e-10
4.700000000000000178e+00 2.436530000000000064e-10
4.719999999999999751e+00 3.156210000000000002e-10
4.740000000000000213e+00 4.042240000000000095e-10
4.769999999999999574e+00 5.120860000000000037e-10
4.790000000000000036e+00 6.419879999999999548e-10
4.809999999999999609e+00 7.968459999999999592e-10
4.830000000000000071e+00 9.796619999999999201e-10
4.849999999999999645e+00 1.193480000000000101e-09
4.870000000000000107e+00 1.441319999999999940e-09
4.889999999999999680e+00 1.726200000000000098e-09
4.910000000000000142e+00 2.051019999999999810e-09
4.929999999999999716e+00 2.418499999999999868e-09
4.950000000000000178e+00 2.831190000000000022e-09
4.969999999999999751e+00 3.291439999999999958e-09
4.990000000000000213e+00 3.801269999999999634e-09
5.009999999999999787e+00 4.362409999999999621e-09
5.030000000000000249e+00 4.976280000000000108e-09
5.049999999999999822e+00 5.643879999999999746e-09
5.070000000000000284e+00 6.365900000000000113e-09
5.089999999999999858e+00 7.142550000000000321e-09
5.110000000000000320e+00 7.973740000000000632e-09
5.129999999999999893e+00 8.858899999999999673e-09
5.150000000000000355e+00 9.797139999999999940e-09
5.169999999999999929e+00 1.078709999999999969e-08
5.190000000000000391e+00 1.182709999999999941e-08
5.209999999999999964e+00 1.291519999999999941e-08
5.230000000000000426e+00 1.404890000000000016e-08
5.250000000000000000e+00 1.522570000000000048e-08
5.269999999999999574e+00 1.644249999999999983e-08
5.290000000000000036e+00 1.769630000000000144e-08
5.309999999999999609e+00 1.898370000000000011e-08
5.330000000000000071e+00 2.030100000000000093e-08
5.349999999999999645e+00 2.164449999999999903e-08
5.370000000000000107e+00 2.301070000000000037e-08
5.389999999999999680e+00 2.439539999999999953e-08
5.410000000000000142e+00 2.579479999999999947e-08
5.429999999999999716e+00 2.720500000000000108e-08
5.450000000000000178e+00 2.862199999999999980e-08
5.469999999999999751e+00 3.004199999999999862e-08
5.490000000000000213e+00 3.146119999999999719e-08
5.509999999999999787e+00 3.287600000000000269e-08
5.530000000000000249e+00 3.428270000000000032e-08
5.549999999999999822e+00 3.567799999999999694e-08
5.570000000000000284e+00 3.705859999999999939e-08
5.589999999999999858e+00 3.842149999999999765e-08
5.610000000000000320e+00 3.976370000000000156e-08
5.629999999999999893e+00 4.108260000000000287e-08
5.650000000000000355e+00 4.237559999999999995e-08
5.669999999999999929e+00 4.364059999999999838e-08
5.690000000000000391e+00 4.487529999999999950e-08
5.709999999999999964e+00 4.607799999999999743e-08
5.730000000000000426e+00 4.724699999999999949e-08
5.750000000000000000e+00 4.838069999999999858e-08
5.769999999999999574e+00 4.947790000000000261e-08
5.790000000000000036e+00 5.053749999999999841e-08
5.809999999999999609e+00 5.155849999999999809e-08
5.830000000000000071e+00 5.254009999999999810e-08
5.849999999999999645e+00 5.348179999999999785e-08
5.870000000000000107e+00 5.438289999999999922e-08
5.889999999999999680e+00 5.524319999999999799e-08
5.910000000000000142e+00 5.606239999999999781e-08
5.929999999999999716e+00 5.684039999999999988e-08
5.950000000000000178e+00 5.757709999999999880e-08
5.969999999999999751e+00 5.827250000000000117e-08
5.990000000000000213e+00 5.892689999999999676e-08
6.009999999999999787e+00 5.954039999999999759e-08
6.030000000000000249e+00 6.011320000000000124e-08
6.049999999999999822e+00 6.064569999999999624e-08
6.070000000000000284e+00 6.113830000000000424e-08
6.089999999999999858e+00 6.159139999999999392e-08
6.110000000000000320e+00 6.200540000000000014e-08
6.129999999999999893e+00 6.238090000000000241e-08
6.150000000000000355e+00 6.271849999999999347e-08
6.169999999999999929e+00 6.301870000000000035e-08
6.190000000000000391e+00 6.328210000000000257e-08
6.209999999999999964e+00 6.350930000000000608e-08
6.230000000000000426e+00 6.370110000000000122e-08
6.250000000000000000e+00 6.385809999999999396e-08
6.269999999999999574e+00 6.398099999999999568e-08
6.290000000000000036e+00 6.407059999999999669e-08
6.309999999999999609e+00 6.412759999999999515e-08
6.330000000000000071e+00 6.415270000000000244e-08
6.349999999999999645e+00 6.414680000000000104e-08
6.370000000000000107e+00 6.411069999999999452e-08
6.389999999999999680e+00 6.404519999999999965e-08
6.410000000000000142e+00 6.395109999999999354e-08
6.429999999999999716e+00 6.382929999999999836e-08
6.450000000000000178e+00 6.368060000000000445e-08
6.469999999999999751e+00 6.350580000000000212e-08
6.490000000000000213e+00 6.330590000000000573e-08
6.509999999999999787e+00 6.308170000000000562e-08
6.530000000000000249e+00 6.283409999999999750e-08
6.549999999999999822e+00 6.256389999999999816e-08
6.570000000000000284e+00 6.227200000000000334e-08
6.589999999999999858e+00 6.195929999999999551e-08
6.610000000000000320e+00 6.162669999999999689e-08
6.629999999999999893e+00 6.127490000000000561e-08
6.650000000000000355e+00 6.090489999999999634e-08
6.669999999999999929e+00 6.051749999999999911e-08
6.690000000000000391e+00 6.011350000000000422e-08
