# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 2.802599999999999909e-45
3.839999999999999858e+00 1.499389999999999957e-43
3.859999999999999876e+00 5.466469999999999873e-42
3.879999999999999893e+00 1.689320000000000047e-40
3.899999999999999911e+00 4.476099999999999922e-39
3.919999999999999929e+00 1.023849999999999904e-37
3.939999999999999947e+00 2.035219999999999905e-36
3.959999999999999964e+00 3.538090000000000154e-35
3.979999999999999982e+00 5.411870000000000119e-34
4.000000000000000000e+00 7.325760000000000436e-33
4.019999999999999574e+00 8.824709999999999801e-32
4.040000000000000036e+00 9.509099999999999576e-31
4.059999999999999609e+00 9.213070000000000139e-30
4.080000000000000071e+00 8.063769999999999643e-29
4.099999999999999645e+00 6.405560000000000073e-28
4.120000000000000107e+00 4.638550000000000091e-27
4.139999999999999680e+00 3.074769999999999959e-26
4.160000000000000142e+00 1.873100000000000023e-25
4.179999999999999716e+00 1.052700000000000050e-24
4.200000000000000178e+00 5.478279999999999954e-24
4.219999999999999751e+00 2.648930000000000223e-23
4.240000000000000213e+00 1.194010000000000074e-22
4.259999999999999787e+00 5.033289999999999651e-22
4.280000000000000249e+00 1.990359999999999882e-21
4.299999999999999822e+00 7.404080000000000063e-21
4.320000000000000284e+00 2.598359999999999994e-20
4.339999999999999858e+00 8.624520000000000418e-20
4.360000000000000320e+00 2.714500000000000077e-19
4.379999999999999893e+00 8.120650000000000389e-19
4.400000000000000355e+00 2.314469999999999903e-18
4.419999999999999929e+00 6.297999999999999922e-18
4.440000000000000391e+00 1.639739999999999874e-17
4.459999999999999964e+00 4.092729999999999946e-17
4.480000000000000426e+00 9.812189999999999555e-17
4.500000000000000000e+00 2.263619999999999793e-16
4.519999999999999574e+00 5.033870000000000286e-16
4.540000000000000036e+00 1.080840000000000027e-15
4.559999999999999609e+00 2.244329999999999927e-15
4.580000000000000071e+00 4.513580000000000267e-15
4.599999999999999645e+00 8.804529999999999517e-15
4.620000000000000107e+00 1.668119999999999977e-14
4.639999999999999680e+00 3.073689999999999977e-14
4.660000000000000142e+00 5.515190000000000227e-14
4.679999999999999716e+00 9.648110000000000023e-14
4.700000000000000178e+00 1.647399999999999877e-13
4.719999999999999751e+00 2.748580000000000088e-13
4.740000000000000213e+00 4.453610000000000044e-13
4.769999999999999574e+00 6.971899999999999807e-13
4.790000000000000036e+00 1.074399999999999946e-12
4.809999999999999609e+00 1.629890000000000035e-12
4.830000000000000071e+00 2.434150000000000084e-12
4.849999999999999645e+00 3.579310000000000023e-12
4.870000000000000107e+00 5.183169999999999613e-12
4.889999999999999680e+00 7.393699999999999888e-12
4.910000000000000142e+00 1.039329999999999934e-11
4.929999999999999716e+00 1.440210000000000060e-11
4.950000000000000178e+00 1.968200000000000115e-11
4.969999999999999751e+00 2.653830000000000053e-11
4.990000000000000213e+00 3.532150000000000050e-11
5.009999999999999787e+00 4.642730000000000029e-11
5.030000000000000249e+00 6.029579999999999355e-11
5.049999999999999822e+00 7.740710000000000042e-11
5.070000000000000284e+00 9.828089999999999817e-11
5.089999999999999858e+00 1.234649999999999971e-10
5.110000000000000320e+00 1.535369999999999941e-10
5.129999999999999893e+00 1.890839999999999904e-10
5.150000000000000355e+00 2.307099999999999974e-10
5.169999999999999929e+00 2.790139999999999838e-10
5.190000000000000391e+00 3.345849999999999877e-10
5.209999999999999964e+00 3.979880000000000219e-10
5.230000000000000426e+00 4.697669999999999971e-10
5.250000000000000000e+00 5.504180000000000322e-10
5.269999999999999574e+00 6.403969999999999548e-10
5.290000000000000036e+00 7.401049999999999997e-10
5.309999999999999609e+00 8.498789999999999559e-10
5.330000000000000071e+00 9.699900000000000801e-10
5.349999999999999645e+00 1.100640000000000037e-09
5.370000000000000107e+00 1.241970000000000003e-09
5.389999999999999680e+00 1.394040000000000079e-09
5.410000000000000142e+00 1.556820000000000007e-09
5.429999999999999716e+00 1.730220000000000049e-09
5.450000000000000178e+00 1.914099999999999832e-09
5.469999999999999751e+00 2.108229999999999864e-09
5.490000000000000213e+00 2.312299999999999966e-09
5.509999999999999787e+00 2.526000000000000169e-09
5.530000000000000249e+00 2.748920000000000057e-09
5.549999999999999822e+00 2.980619999999999991e-09
5.570000000000000284e+00 3.220610000000000111e-09
5.589999999999999858e+00 3.468379999999999969e-09
5.610000000000000320e+00 3.723400000000000191e-09
5.629999999999999893e+00 3.985100000000000228e-09
5.650000000000000355e+00 4.252899999999999655e-09
5.669999999999999929e+00 4.526210000000000234e-09
5.690000000000000391e+00 4.804469999999999643e-09
5.709999999999999964e+00 5.087059999999999595e-09
5.730000000000000426e+00 5.373410000000000369e-09
5.750000000000000000e+00 5.662930000000000006e-09
5.769999999999999574e+00 5.955060000000000320e-09
5.790000000000000036e+00 6.249229999999999936e-09
5.809999999999999609e+00 6.544910000000000305e-09
5.830000000000000071e+00 6.841559999999999689e-09
5.849999999999999645e+00 7.138670000000000124e-09
5.870000000000000107e+00 7.435719999999999630e-09
5.889999999999999680e+00 7.732229999999999881e-09
5.910000000000000142e+00 8.027740000000000653e-09
5.929999999999999716e+00 8.321779999999999360e-09
5.950000000000000178e+00 8.613899999999999795e-09
5.969999999999999751e+00 8.903680000000000422e-09
5.990000000000000213e+00 9.190689999999999827e-09
6.009999999999999787e+00 9.474529999999999541e-09
6.030000000000000249e+00 9.754799999999999443e-09
6.049999999999999822e+00 1.003109999999999941e-08
6.070000000000000284e+00 1.030310000000000012e-08
6.089999999999999858e+00 1.057050000000000026e-08
6.110000000000000320e+00 1.083279999999999924e-08
6.129999999999999893e+00 1.108979999999999949e-08
6.150000000000000355e+00 1.134109999999999923e-08
6.169999999999999929e+00 1.158640000000000044e-08
6.190000000000000391e+00 1.182540000000000013e-08
6.209999999999999964e+00 1.205790000000000072e-08
6.230000000000000426e+00 1.228350000000000044e-08
6.250000000000000000e+00 1.250200000000000005e-08
6.269999999999999574e+00 1.271320000000000031e-08
6.290000000000000036e+00 1.291679999999999990e-08
6.309999999999999609e+00 1.311270000000000002e-08
6.330000000000000071e+00 1.330059999999999934e-08
6.349999999999999645e+00 1.348030000000000028e-08
6.370000000000000107e+00 1.365179999999999953e-08
6.389999999999999680e+00 1.381480000000000073e-08
6.410000000000000142e+00 1.396930000000000055e-08
6.429999999999999716e+00 1.411499999999999934e-08
6.450000000000000178e+00 1.425209999999999962e-08
6.469999999999999751e+00 1.438030000000000007e-08
6.490000000000000213e+00 1.449960000000000068e-08
6.509999999999999787e+00 1.460999999999999980e-08
6.530000000000000249e+00 1.471150000000000074e-08
6.549999999999999822e+00 1.480410000000000019e-08
6.570000000000000284e+00 1.488779999999999981e-08
6.589999999999999858e+00 1.496270000000000004e-08
6.610000000000000320e+00 1.502880000000000088e-08
6.629999999999999893e+00 1.508629999999999990e-08
6.650000000000000355e+00 1.513510000000000164e-08
6.669999999999999929e+00 1.517540000000000035e-08
6.690000000000000391e+00 1.520730000000000145e-08
6.709999999999999964e+00 1.523099999999999921e-08
6.730000000000000426e+00 1.524670000000000113e-08
6.750000000000000000e+00 1.525440000000000059e-08
6.769999999999999574e+00 1.525429999999999849e-08
6.790000000000000036e+00 1.524670000000000113e-08
6.809999999999999609e+00 1.523170000000000066e-08
6.830000000000000071e+00 1.520950000000000130e-08
6.849999999999999645e+00 1.518030000000000061e-08
6.870000000000000107e+00 1.514429999999999950e-08
6.889999999999999680e+00 1.510180000000000093e-08
6.910000000000000142e+00 1.505290000000000041e-08
6.929999999999999716e+00 1.499779999999999881e-08
6.950000000000000178e+00 1.493690000000000122e-08
6.969999999999999751e+00 1.487029999999999982e-08
6.990000000000000213e+00 1.479810000000000001e-08
7.009999999999999787e+00 1.472080000000000070e-08
7.030000000000000249e+00 1.463840000000000024e-08
7.049999999999999822e+00 1.455119999999999996e-08
7.070000000000000284e+00 1.445940000000000075e-08
7.089999999999999858e+00 1.436320000000000020e-08
7.110000000000000320e+00 1.426279999999999918e-08
7.129999999999999893e+00 1.415840000000000024e-08
7.150000000000000355e+00 1.405029999999999976e-08
7.169999999999999929e+00 1.393859999999999982e-08
7.190000000000000391e+00 1.382360000000000012e-08
7.209999999999999964e+00 1.370539999999999943e-08
7.230000000000000426e+00 1.358409999999999986e-08
7.259999999999999787e+00 1.345999999999999943e-08
7.280000000000000249e+00 1.333339999999999947e-08
7.299999999999999822e+00 1.320419999999999955e-08
7.320000000000000284e+00 1.307269999999999933e-08
7.339999999999999858e+00 1.293909999999999971e-08
7.360000000000000320e+00 1.280349999999999947e-08
7.379999999999999893e+00 1.266609999999999951e-08
7.400000000000000355e+00 1.252689999999999983e-08
7.419999999999999929e+00 1.238630000000000054e-08
7.440000000000000391e+00 1.224430000000000000e-08
7.459999999999999964e+00 1.210089999999999985e-08
7.480000000000000426e+00 1.195650000000000023e-08
7.500000000000000000e+00 1.181109999999999947e-08
7.519999999999999574e+00 1.166479999999999967e-08
7.540000000000000036e+00 1.151769999999999963e-08
7.559999999999999609e+00 1.137000000000000023e-08
7.580000000000000071e+00 1.122169999999999983e-08
7.599999999999999645e+00 1.107299999999999930e-08
7.620000000000000107e+00 1.092409999999999953e-08
7.639999999999999680e+00 1.077490000000000009e-08
7.660000000000000142e+00 1.062560000000000020e-08
7.679999999999999716e+00 1.047619999999999987e-08
7.700000000000000178e+00 1.032700000000000042e-08
7.719999999999999751e+00 1.017789999999999977e-08
7.740000000000000213e+00 1.002900000000000001e-08
7.759999999999999787e+00 9.880520000000000121e-09
7.780000000000000249e+00 9.732420000000000602e-09
7.799999999999999822e+00 9.584800000000000237e-09
7.820000000000000284e+00 9.437739999999999713e-09
7.839999999999999858e+00 9.291299999999999958e-09
7.860000000000000320e+00 9.145560000000000004e-09
7.879999999999999893e+00 9.000580000000000780e-09
7.900000000000000355e+00 8.856429999999999783e-09
7.919999999999999929e+00 8.713149999999999840e-09
7.940000000000000391e+00 8.570810000000000102e-09
7.959999999999999964e+00 8.429459999999999964e-09
7.980000000000000426e+00 8.289140000000000598e-09
8.000000000000000000e+00 8.149919999999999501e-09
8.019999999999999574e+00 8.011819999999999740e-09
8.039999999999999147e+00 7.874890000000000710e-09
8.060000000000000497e+00 7.739170000000000273e-09
8.080000000000000071e+00 7.604709999999999478e-09
8.099999999999999645e+00 7.471519999999999858e-09
8.119999999999999218e+00 7.339659999999999861e-09
8.140000000000000568e+00 7.209130000000000312e-09
8.160000000000000142e+00 7.079979999999999781e-09
8.179999999999999716e+00 6.952219999999999801e-09
8.199999999999999289e+00 6.825889999999999886e-09
8.220000000000000639e+00 6.700999999999999918e-09
8.240000000000000213e+00 6.577580000000000358e-09
8.259999999999999787e+00 6.455630000000000381e-09
8.279999999999999361e+00 6.335190000000000330e-09
8.300000000000000711e+00 6.216250000000000325e-09
8.320000000000000284e+00 6.098830000000000124e-09
8.339999999999999858e+00 5.982950000000000314e-09
8.359999999999999432e+00 5.868610000000000065e-09
8.380000000000000782e+00 5.755820000000000086e-09
8.400000000000000355e+00 5.644590000000000254e-09
8.419999999999999929e+00 5.534919999999999742e-09
8.439999999999999503e+00 5.426829999999999963e-09
8.460000000000000853e+00 5.320289999999999626e-09
8.480000000000000426e+00 5.215320000000000143e-09
8.500000000000000000e+00 5.111929999999999738e-09
