# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 1.401300000000000079e-44
4.769999999999999574e+00 5.268880000000000073e-43
4.790000000000000036e+00 1.632510000000000030e-41
4.809999999999999609e+00 4.330730000000000257e-40
4.830000000000000071e+00 9.918020000000000643e-39
4.849999999999999645e+00 1.973759999999999900e-37
4.870000000000000107e+00 3.434790000000000319e-36
4.889999999999999680e+00 5.259020000000000383e-35
4.910000000000000142e+00 7.126070000000000097e-34
4.929999999999999716e+00 8.592070000000000659e-33
4.950000000000000178e+00 9.266679999999999826e-32
4.969999999999999751e+00 8.985319999999999693e-31
4.990000000000000213e+00 7.871249999999999500e-30
5.009999999999999787e+00 6.257420000000000365e-29
5.030000000000000249e+00 4.534639999999999779e-28
5.049999999999999822e+00 3.007859999999999995e-27
5.070000000000000284e+00 1.833649999999999985e-26
5.089999999999999858e+00 1.031200000000000042e-25
5.110000000000000320e+00 5.369640000000000335e-25
5.129999999999999893e+00 2.597820000000000047e-24
5.150000000000000355e+00 1.171669999999999943e-23
5.169999999999999929e+00 4.941739999999999875e-23
5.190000000000000391e+00 1.955149999999999892e-22
5.209999999999999964e+00 7.276690000000000389e-22
5.230000000000000426e+00 2.554829999999999910e-21
5.250000000000000000e+00 8.483770000000000199e-21
5.269999999999999574e+00 2.671279999999999945e-20
5.290000000000000036e+00 7.994749999999999868e-20
5.309999999999999609e+00 2.279469999999999801e-19
5.330000000000000071e+00 6.205049999999999581e-19
5.349999999999999645e+00 1.616070000000000022e-18
5.370000000000000107e+00 4.035100000000000200e-18
5.389999999999999680e+00 9.677100000000000685e-18
5.410000000000000142e+00 2.233149999999999862e-17
5.429999999999999716e+00 4.967449999999999865e-17
5.450000000000000178e+00 1.066889999999999968e-16
5.469999999999999751e+00 2.215969999999999896e-16
5.490000000000000213e+00 4.457669999999999916e-16
5.509999999999999787e+00 8.697460000000000126e-16
5.530000000000000249e+00 1.648239999999999938e-15
5.549999999999999822e+00 3.037779999999999833e-15
5.570000000000000284e+00 5.451830000000000080e-15
5.589999999999999858e+00 9.539069999999999813e-15
5.610000000000000320e+00 1.629110000000000000e-14
5.629999999999999893e+00 2.718610000000000053e-14
5.650000000000000355e+00 4.415570000000000238e-14
5.669999999999999929e+00 6.953159999999999728e-14
5.690000000000000391e+00 1.076129999999999980e-13
5.709999999999999964e+00 1.637370000000000020e-13
5.730000000000000426e+00 2.449959999999999791e-13
5.750000000000000000e+00 3.606389999999999944e-13
5.769999999999999574e+00 5.224849999999999694e-13
5.790000000000000036e+00 7.453080000000000388e-13
5.809999999999999609e+00 1.047349999999999975e-12
5.830000000000000071e+00 1.450580000000000065e-12
5.849999999999999645e+00 1.981119999999999943e-12
5.870000000000000107e+00 2.669429999999999865e-12
5.889999999999999680e+00 3.550499999999999866e-12
5.910000000000000142e+00 4.663899999999999948e-12
5.929999999999999716e+00 6.053610000000000092e-12
5.950000000000000178e+00 7.767780000000000653e-12
5.969999999999999751e+00 9.858509999999999763e-12
5.990000000000000213e+00 1.238119999999999979e-11
6.009999999999999787e+00 1.539380000000000091e-11
6.030000000000000249e+00 1.895599999999999960e-11
6.049999999999999822e+00 2.312899999999999969e-11
6.070000000000000284e+00 2.797390000000000059e-11
6.089999999999999858e+00 3.355079999999999957e-11
6.110000000000000320e+00 3.991789999999999897e-11
6.129999999999999893e+00 4.713069999999999990e-11
6.150000000000000355e+00 5.524130000000000212e-11
6.169999999999999929e+00 6.429649999999999609e-11
6.190000000000000391e+00 7.433759999999999618e-11
6.209999999999999964e+00 8.539999999999999719e-11
6.230000000000000426e+00 9.751239999999999716e-11
6.250000000000000000e+00 1.106959999999999944e-10
6.269999999999999574e+00 1.249630000000000006e-10
6.290000000000000036e+00 1.403200000000000128e-10
6.309999999999999609e+00 1.567630000000000097e-10
6.330000000000000071e+00 1.742820000000000088e-10
6.349999999999999645e+00 1.928569999999999938e-10
6.370000000000000107e+00 2.124609999999999914e-10
6.389999999999999680e+00 2.330600000000000203e-10
6.410000000000000142e+00 2.546110000000000217e-10
6.429999999999999716e+00 2.770669999999999801e-10
6.450000000000000178e+00 3.003719999999999839e-10
6.469999999999999751e+00 3.244680000000000008e-10
6.490000000000000213e+00 3.492860000000000075e-10
6.509999999999999787e+00 3.747589999999999980e-10
6.530000000000000249e+00 4.008149999999999751e-10
6.549999999999999822e+00 4.273759999999999932e-10
6.570000000000000284e+00 4.543629999999999953e-10
6.589999999999999858e+00 4.816989999999999927e-10
6.610000000000000320e+00 5.093020000000000058e-10
6.629999999999999893e+00 5.370909999999999602e-10
6.650000000000000355e+00 5.649859999999999968e-10
6.669999999999999929e+00 5.929070000000000496e-10
6.690000000000000391e+00 6.207779999999999836e-10
6.709999999999999964e+00 6.485229999999999741e-10
6.730000000000000426e+00 6.760659999999999896e-10
6.750000000000000000e+00 7.033389999999999635e-10
6.769999999999999574e+00 7.302750000000000450e-10
6.790000000000000036e+00 7.568089999999999867e-10
6.809999999999999609e+00 7.828799999999999890e-10
6.830000000000000071e+00 8.084340000000000023e-10
6.849999999999999645e+00 8.334169999999999769e-10
6.870000000000000107e+00 8.577810000000000181e-10
6.889999999999999680e+00 8.814810000000000500e-10
6.910000000000000142e+00 9.044780000000000482e-10
6.929999999999999716e+00 9.267370000000000228e-10
6.950000000000000178e+00 9.482240000000000955e-10
6.969999999999999751e+00 9.689119999999999314e-10
6.990000000000000213e+00 9.887759999999999364e-10
7.009999999999999787e+00 1.007799999999999973e-09
7.030000000000000249e+00 1.025960000000000043e-09
7.049999999999999822e+00 1.043240000000000008e-09
7.070000000000000284e+00 1.059640000000000076e-09
7.089999999999999858e+00 1.075140000000000074e-09
7.110000000000000320e+00 1.089750000000000088e-09
7.129999999999999893e+00 1.103460000000000034e-09
7.150000000000000355e+00 1.116269999999999910e-09
7.169999999999999929e+00 1.128179999999999924e-09
7.190000000000000391e+00 1.139199999999999954e-09
7.209999999999999964e+00 1.149340000000000086e-09
7.230000000000000426e+00 1.158590000000000029e-09
7.259999999999999787e+00 1.166989999999999917e-09
7.280000000000000249e+00 1.174519999999999993e-09
7.299999999999999822e+00 1.181219999999999980e-09
7.320000000000000284e+00 1.187090000000000085e-09
7.339999999999999858e+00 1.192150000000000066e-09
7.360000000000000320e+00 1.196410000000000008e-09
7.379999999999999893e+00 1.199890000000000082e-09
7.400000000000000355e+00 1.202610000000000048e-09
7.419999999999999929e+00 1.204590000000000076e-09
7.440000000000000391e+00 1.205849999999999925e-09
7.459999999999999964e+00 1.206409999999999973e-09
7.480000000000000426e+00 1.206289999999999978e-09
7.500000000000000000e+00 1.205509999999999904e-09
7.519999999999999574e+00 1.204080000000000044e-09
7.540000000000000036e+00 1.202039999999999915e-09
7.559999999999999609e+00 1.199400000000000015e-09
7.580000000000000071e+00 1.196189999999999981e-09
7.599999999999999645e+00 1.192429999999999986e-09
7.620000000000000107e+00 1.188129999999999908e-09
7.639999999999999680e+00 1.183330000000000090e-09
7.660000000000000142e+00 1.178029999999999912e-09
7.679999999999999716e+00 1.172280000000000009e-09
7.700000000000000178e+00 1.166070000000000090e-09
7.719999999999999751e+00 1.159449999999999961e-09
7.740000000000000213e+00 1.152420000000000038e-09
7.759999999999999787e+00 1.145009999999999958e-09
7.780000000000000249e+00 1.137230000000000011e-09
7.799999999999999822e+00 1.129119999999999922e-09
7.820000000000000284e+00 1.120679999999999898e-09
7.839999999999999858e+00 1.111939999999999988e-09
7.860000000000000320e+00 1.102919999999999951e-09
7.879999999999999893e+00 1.093630000000000079e-09
7.900000000000000355e+00 1.084089999999999924e-09
7.919999999999999929e+00 1.074309999999999985e-09
7.940000000000000391e+00 1.064329999999999984e-09
7.959999999999999964e+00 1.054140000000000043e-09
7.980000000000000426e+00 1.043770000000000005e-09
8.000000000000000000e+00 1.033220000000000078e-09
8.019999999999999574e+00 1.022529999999999983e-09
8.039999999999999147e+00 1.011690000000000050e-09
8.060000000000000497e+00 1.000720000000000035e-09
8.080000000000000071e+00 9.896349999999999642e-10
8.099999999999999645e+00 9.784460000000000352e-10
8.119999999999999218e+00 9.671649999999999373e-10
8.140000000000000568e+00 9.557999999999999461e-10
8.160000000000000142e+00 9.443629999999999576e-10
8.179999999999999716e+00 9.328640000000000575e-10
8.199999999999999289e+00 9.213110000000000045e-10
8.220000000000000639e+00 9.097149999999999961e-10
8.240000000000000213e+00 8.980829999999999892e-10
8.259999999999999787e+00 8.864229999999999488e-10
8.279999999999999361e+00 8.747430000000000470e-10
8.300000000000000711e+00 8.630490000000000251e-10
8.320000000000000284e+00 8.513489999999999518e-10
8.339999999999999858e+00 8.396489999999999819e-10
8.359999999999999432e+00 8.279549999999999600e-10
8.380000000000000782e+00 8.162730000000000411e-10
8.400000000000000355e+00 8.046099999999999750e-10
8.419999999999999929e+00 7.929700000000000028e-10
8.439999999999999503e+00 7.813589999999999691e-10
8.460000000000000853e+00 7.697800000000000032e-10
8.480000000000000426e+00 7.582399999999999583e-10
8.500000000000000000e+00 7.467419999999999635e-10
