# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 3.923640000000000122e-44
4.040000000000000036e+00 1.510600000000000006e-42
4.059999999999999609e+00 4.962420000000000326e-41
4.080000000000000071e+00 1.393170000000000078e-39
4.099999999999999645e+00 3.367239999999999739e-38
4.120000000000000107e+00 7.054150000000000333e-37
4.139999999999999680e+00 1.289079999999999985e-35
4.160000000000000142e+00 2.067349999999999813e-34
4.179999999999999716e+00 2.927009999999999897e-33
4.200000000000000178e+00 3.679310000000000263e-32
4.219999999999999751e+00 4.127879999999999878e-31
4.240000000000000213e+00 4.154240000000000157e-30
4.259999999999999787e+00 3.768789999999999902e-29
4.280000000000000249e+00 3.096640000000000052e-28
4.299999999999999822e+00 2.314370000000000077e-27
4.320000000000000284e+00 1.580190000000000010e-26
4.339999999999999858e+00 9.895269999999999818e-26
4.360000000000000320e+00 5.705560000000000082e-25
4.379999999999999893e+00 3.040080000000000062e-24
4.400000000000000355e+00 1.502259999999999953e-23
4.419999999999999929e+00 6.907199999999999545e-23
4.440000000000000391e+00 2.964699999999999933e-22
4.459999999999999964e+00 1.191470000000000026e-21
4.480000000000000426e+00 4.496889999999999744e-21
4.500000000000000000e+00 1.598300000000000121e-20
4.519999999999999574e+00 5.364280000000000212e-20
4.540000000000000036e+00 1.704369999999999920e-19
4.559999999999999609e+00 5.139359999999999669e-19
4.580000000000000071e+00 1.474170000000000030e-18
4.599999999999999645e+00 4.031619999999999660e-18
4.620000000000000107e+00 1.053480000000000037e-17
4.639999999999999680e+00 2.635670000000000089e-17
4.660000000000000142e+00 6.326319999999999476e-17
4.679999999999999716e+00 1.459549999999999972e-16
4.700000000000000178e+00 3.242469999999999911e-16
4.719999999999999751e+00 6.948420000000000010e-16
4.740000000000000213e+00 1.438730000000000010e-15
4.769999999999999574e+00 2.882980000000000158e-15
4.790000000000000036e+00 5.599190000000000172e-15
4.809999999999999609e+00 1.055530000000000016e-14
4.830000000000000071e+00 1.934139999999999988e-14
4.849999999999999645e+00 3.449420000000000109e-14
4.870000000000000107e+00 5.967110000000000360e-14
4.889999999999999680e+00 9.953940000000000498e-14
4.910000000000000142e+00 1.628810000000000054e-13
4.929999999999999716e+00 2.615059999999999764e-13
4.950000000000000178e+00 4.066569999999999908e-13
4.969999999999999751e+00 6.220470000000000453e-13
4.990000000000000213e+00 9.371559999999999298e-13
5.009999999999999787e+00 1.390390000000000097e-12
5.030000000000000249e+00 2.031459999999999909e-12
5.049999999999999822e+00 2.923390000000000128e-12
5.070000000000000284e+00 4.144470000000000010e-12
5.089999999999999858e+00 5.789839999999999894e-12
5.110000000000000320e+00 7.973410000000000050e-12
5.129999999999999893e+00 1.082870000000000050e-11
5.150000000000000355e+00 1.450969999999999986e-11
5.169999999999999929e+00 1.919080000000000018e-11
5.190000000000000391e+00 2.506669999999999860e-11
5.209999999999999964e+00 3.235030000000000201e-11
5.230000000000000426e+00 4.127210000000000061e-11
5.250000000000000000e+00 5.207710000000000233e-11
5.269999999999999574e+00 6.502169999999999788e-11
5.290000000000000036e+00 8.037130000000000348e-11
5.309999999999999609e+00 9.839649999999999982e-11
5.330000000000000071e+00 1.193669999999999974e-10
5.349999999999999645e+00 1.435520000000000022e-10
5.370000000000000107e+00 1.712149999999999873e-10
5.389999999999999680e+00 2.026070000000000118e-10
5.410000000000000142e+00 2.379679999999999893e-10
5.429999999999999716e+00 2.775199999999999888e-10
5.450000000000000178e+00 3.214699999999999766e-10
5.469999999999999751e+00 3.699990000000000062e-10
5.490000000000000213e+00 4.232730000000000023e-10
5.509999999999999787e+00 4.814309999999999684e-10
5.530000000000000249e+00 5.445919999999999946e-10
5.549999999999999822e+00 6.128500000000000085e-10
5.570000000000000284e+00 6.862739999999999816e-10
5.589999999999999858e+00 7.649140000000000326e-10
5.610000000000000320e+00 8.487989999999999968e-10
5.629999999999999893e+00 9.379319999999998998e-10
5.650000000000000355e+00 1.032300000000000044e-09
5.669999999999999929e+00 1.131869999999999939e-09
5.690000000000000391e+00 1.236589999999999966e-09
5.709999999999999964e+00 1.346389999999999938e-09
5.730000000000000426e+00 1.461179999999999911e-09
5.750000000000000000e+00 1.580869999999999939e-09
5.769999999999999574e+00 1.705349999999999906e-09
5.790000000000000036e+00 1.834460000000000094e-09
5.809999999999999609e+00 1.968080000000000094e-09
5.830000000000000071e+00 2.106030000000000016e-09
5.849999999999999645e+00 2.248159999999999814e-09
5.870000000000000107e+00 2.394250000000000081e-09
5.889999999999999680e+00 2.544109999999999810e-09
5.910000000000000142e+00 2.697529999999999886e-09
5.929999999999999716e+00 2.854260000000000026e-09
5.950000000000000178e+00 3.014070000000000119e-09
5.969999999999999751e+00 3.176700000000000001e-09
5.990000000000000213e+00 3.341880000000000044e-09
6.009999999999999787e+00 3.509339999999999795e-09
6.030000000000000249e+00 3.678759999999999816e-09
6.049999999999999822e+00 3.849849999999999894e-09
6.070000000000000284e+00 4.022319999999999816e-09
6.089999999999999858e+00 4.195840000000000268e-09
6.110000000000000320e+00 4.370070000000000399e-09
6.129999999999999893e+00 4.544709999999999705e-09
6.150000000000000355e+00 4.719409999999999939e-09
6.169999999999999929e+00 4.893850000000000011e-09
6.190000000000000391e+00 5.067689999999999899e-09
6.209999999999999964e+00 5.240590000000000408e-09
6.230000000000000426e+00 5.412240000000000327e-09
6.250000000000000000e+00 5.582299999999999634e-09
6.269999999999999574e+00 5.750449999999999721e-09
6.290000000000000036e+00 5.916390000000000080e-09
6.309999999999999609e+00 6.079799999999999622e-09
6.330000000000000071e+00 6.240390000000000202e-09
6.349999999999999645e+00 6.397870000000000366e-09
6.370000000000000107e+00 6.551970000000000071e-09
6.389999999999999680e+00 6.702429999999999984e-09
6.410000000000000142e+00 6.848989999999999941e-09
6.429999999999999716e+00 6.991420000000000244e-09
6.450000000000000178e+00 7.129510000000000126e-09
6.469999999999999751e+00 7.263049999999999647e-09
6.490000000000000213e+00 7.391850000000000277e-09
6.509999999999999787e+00 7.515719999999999354e-09
6.530000000000000249e+00 7.634540000000000811e-09
6.549999999999999822e+00 7.748139999999999261e-09
6.570000000000000284e+00 7.856399999999999464e-09
6.589999999999999858e+00 7.959229999999999201e-09
6.610000000000000320e+00 8.056529999999999682e-09
6.629999999999999893e+00 8.148230000000000099e-09
6.650000000000000355e+00 8.234259999999999646e-09
6.669999999999999929e+00 8.314600000000000218e-09
6.690000000000000391e+00 8.389210000000000646e-09
6.709999999999999964e+00 8.458079999999999396e-09
6.730000000000000426e+00 8.521219999999999656e-09
6.750000000000000000e+00 8.578629999999999771e-09
6.769999999999999574e+00 8.630360000000000791e-09
6.790000000000000036e+00 8.676440000000000698e-09
6.809999999999999609e+00 8.716930000000000420e-09
6.830000000000000071e+00 8.751889999999999233e-09
6.849999999999999645e+00 8.781389999999999596e-09
6.870000000000000107e+00 8.805530000000000300e-09
6.889999999999999680e+00 8.824380000000000499e-09
6.910000000000000142e+00 8.838060000000000394e-09
6.929999999999999716e+00 8.846670000000000429e-09
6.950000000000000178e+00 8.850330000000000808e-09
6.969999999999999751e+00 8.849150000000000197e-09
6.990000000000000213e+00 8.843270000000000214e-09
7.009999999999999787e+00 8.832799999999999525e-09
7.030000000000000249e+00 8.817889999999999625e-09
7.049999999999999822e+00 8.798670000000000595e-09
7.070000000000000284e+00 8.775280000000000741e-09
7.089999999999999858e+00 8.747869999999999902e-09
7.110000000000000320e+00 8.716569999999999814e-09
7.129999999999999893e+00 8.681520000000000436e-09
7.150000000000000355e+00 8.642889999999999712e-09
7.169999999999999929e+00 8.600799999999999499e-09
7.190000000000000391e+00 8.555399999999999635e-09
7.209999999999999964e+00 8.506849999999999839e-09
7.230000000000000426e+00 8.455270000000000313e-09
7.259999999999999787e+00 8.400820000000000775e-09
7.280000000000000249e+00 8.343629999999999652e-09
7.299999999999999822e+00 8.283840000000000213e-09
7.320000000000000284e+00 8.221590000000000764e-09
7.339999999999999858e+00 8.157009999999999732e-09
7.360000000000000320e+00 8.090240000000000385e-09
7.379999999999999893e+00 8.021399999999999618e-09
7.400000000000000355e+00 7.950620000000000820e-09
7.419999999999999929e+00 7.878019999999999230e-09
7.440000000000000391e+00 7.803739999999999772e-09
7.459999999999999964e+00 7.727869999999999702e-09
7.480000000000000426e+00 7.650529999999999222e-09
7.500000000000000000e+00 7.571850000000000069e-09
7.519999999999999574e+00 7.491919999999999498e-09
7.540000000000000036e+00 7.410850000000000315e-09
7.559999999999999609e+00 7.328739999999999654e-09
7.580000000000000071e+00 7.245689999999999615e-09
7.599999999999999645e+00 7.161789999999999936e-09
7.620000000000000107e+00 7.077140000000000234e-09
7.639999999999999680e+00 6.991820000000000367e-09
7.660000000000000142e+00 6.905920000000000074e-09
7.679999999999999716e+00 6.819520000000000042e-09
7.700000000000000178e+00 6.732700000000000129e-09
7.719999999999999751e+00 6.645530000000000315e-09
7.740000000000000213e+00 6.558089999999999632e-09
7.759999999999999787e+00 6.470429999999999958e-09
7.780000000000000249e+00 6.382650000000000081e-09
7.799999999999999822e+00 6.294779999999999639e-09
7.820000000000000284e+00 6.206900000000000145e-09
7.839999999999999858e+00 6.119060000000000167e-09
7.860000000000000320e+00 6.031319999999999806e-09
7.879999999999999893e+00 5.943730000000000112e-09
7.900000000000000355e+00 5.856339999999999652e-09
7.919999999999999929e+00 5.769189999999999596e-09
7.940000000000000391e+00 5.682340000000000046e-09
7.959999999999999964e+00 5.595809999999999932e-09
7.980000000000000426e+00 5.509670000000000062e-09
8.000000000000000000e+00 5.423940000000000194e-09
8.019999999999999574e+00 5.338659999999999843e-09
8.039999999999999147e+00 5.253860000000000301e-09
8.060000000000000497e+00 5.169580000000000257e-09
8.080000000000000071e+00 5.085850000000000175e-09
8.099999999999999645e+00 5.002699999999999692e-09
8.119999999999999218e+00 4.920150000000000220e-09
8.140000000000000568e+00 4.838219999999999863e-09
8.160000000000000142e+00 4.756949999999999791e-09
8.179999999999999716e+00 4.676359999999999762e-09
8.199999999999999289e+00 4.596459999999999656e-09
8.220000000000000639e+00 4.517289999999999814e-09
8.240000000000000213e+00 4.438850000000000238e-09
8.259999999999999787e+00 4.361159999999999858e-09
8.279999999999999361e+00 4.284249999999999965e-09
8.300000000000000711e+00 4.208119999999999733e-09
8.320000000000000284e+00 4.132789999999999746e-09
8.339999999999999858e+00 4.058269999999999884e-09
8.359999999999999432e+00 3.984579999999999903e-09
8.380000000000000782e+00 3.911729999999999684e-09
8.400000000000000355e+00 3.839720000000000054e-09
8.419999999999999929e+00 3.768569999999999943e-09
8.439999999999999503e+00 3.698280000000000178e-09
8.460000000000000853e+00 3.628870000000000105e-09
8.480000000000000426e+00 3.560340000000000136e-09
8.500000000000000000e+00 3.492689999999999858e-09
