# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 4.203899999999999863e-45
4.120000000000000107e+00 1.639520000000000064e-43
4.139999999999999680e+00 5.430030000000000295e-42
4.160000000000000142e+00 1.534999999999999985e-40
4.179999999999999716e+00 3.735459999999999873e-39
4.200000000000000178e+00 7.878200000000000519e-38
4.219999999999999751e+00 1.449239999999999999e-36
4.240000000000000213e+00 2.339520000000000100e-35
4.259999999999999787e+00 3.334180000000000074e-34
4.280000000000000249e+00 4.218859999999999942e-33
4.299999999999999822e+00 4.764610000000000169e-32
4.320000000000000284e+00 4.827979999999999869e-31
4.339999999999999858e+00 4.410549999999999752e-30
4.360000000000000320e+00 3.649929999999999896e-29
4.379999999999999893e+00 2.748149999999999911e-28
4.400000000000000355e+00 1.890839999999999845e-27
4.419999999999999929e+00 1.193589999999999997e-26
4.440000000000000391e+00 6.940210000000000214e-26
4.459999999999999964e+00 3.730619999999999870e-25
4.480000000000000426e+00 1.860630000000000049e-24
4.500000000000000000e+00 8.638520000000000484e-24
4.519999999999999574e+00 3.745949999999999891e-23
4.540000000000000036e+00 1.521720000000000004e-22
4.559999999999999609e+00 5.808590000000000384e-22
4.580000000000000071e+00 2.089109999999999925e-21
4.599999999999999645e+00 7.099050000000000732e-21
4.620000000000000107e+00 2.284950000000000057e-20
4.639999999999999680e+00 6.983429999999999508e-20
4.660000000000000142e+00 2.031430000000000021e-19
4.679999999999999716e+00 5.636840000000000430e-19
4.700000000000000178e+00 1.495150000000000091e-18
4.719999999999999751e+00 3.798819999999999636e-18
4.740000000000000213e+00 9.263490000000000310e-18
4.769999999999999574e+00 2.172019999999999941e-17
4.790000000000000036e+00 4.905409999999999846e-17
4.809999999999999609e+00 1.068940000000000045e-16
4.830000000000000071e+00 2.251180000000000127e-16
4.849999999999999645e+00 4.588849999999999614e-16
4.870000000000000107e+00 9.067109999999999141e-16
4.889999999999999680e+00 1.739099999999999998e-15
4.910000000000000142e+00 3.242349999999999921e-15
4.929999999999999716e+00 5.883349999999999646e-15
4.950000000000000178e+00 1.040270000000000000e-14
4.969999999999999751e+00 1.794480000000000082e-14
4.990000000000000213e+00 3.023379999999999836e-14
5.009999999999999787e+00 4.980360000000000172e-14
5.030000000000000249e+00 7.892369999999999620e-14
5.049999999999999822e+00 1.226849999999999967e-13
5.070000000000000284e+00 1.876140000000000072e-13
5.089999999999999858e+00 2.822880000000000084e-13
5.110000000000000320e+00 4.180040000000000231e-13
5.129999999999999893e+00 6.093280000000000467e-13
5.150000000000000355e+00 8.746950000000000408e-13
5.169999999999999929e+00 1.237019999999999913e-12
5.190000000000000391e+00 1.724250000000000049e-12
5.209999999999999964e+00 2.369890000000000113e-12
5.230000000000000426e+00 3.213510000000000107e-12
5.250000000000000000e+00 4.301079999999999683e-12
5.269999999999999574e+00 5.685150000000000267e-12
5.290000000000000036e+00 7.425240000000000782e-12
5.309999999999999609e+00 9.587299999999999750e-12
5.330000000000000071e+00 1.224420000000000068e-11
5.349999999999999645e+00 1.547509999999999976e-11
5.370000000000000107e+00 1.936499999999999917e-11
5.389999999999999680e+00 2.400460000000000053e-11
5.410000000000000142e+00 2.948909999999999720e-11
5.429999999999999716e+00 3.591829999999999812e-11
5.450000000000000178e+00 4.339599999999999805e-11
5.469999999999999751e+00 5.202830000000000117e-11
5.490000000000000213e+00 6.192210000000000168e-11
5.509999999999999787e+00 7.318740000000000619e-11
5.530000000000000249e+00 8.593499999999999845e-11
5.549999999999999822e+00 1.002749999999999975e-10
5.570000000000000284e+00 1.163180000000000010e-10
5.589999999999999858e+00 1.341720000000000046e-10
5.610000000000000320e+00 1.539450000000000045e-10
5.629999999999999893e+00 1.757419999999999965e-10
5.650000000000000355e+00 1.996660000000000113e-10
5.669999999999999929e+00 2.258150000000000107e-10
5.690000000000000391e+00 2.542869999999999823e-10
5.709999999999999964e+00 2.851729999999999829e-10
5.730000000000000426e+00 3.185589999999999750e-10
5.750000000000000000e+00 3.545279999999999983e-10
5.769999999999999574e+00 3.931550000000000243e-10
5.790000000000000036e+00 4.345080000000000158e-10
5.809999999999999609e+00 4.786489999999999877e-10
5.830000000000000071e+00 5.256299999999999726e-10
5.849999999999999645e+00 5.754929999999999689e-10
5.870000000000000107e+00 6.282690000000000356e-10
5.889999999999999680e+00 6.839790000000000428e-10
5.910000000000000142e+00 7.426329999999999728e-10
5.929999999999999716e+00 8.042249999999999810e-10
5.950000000000000178e+00 8.687329999999999819e-10
5.969999999999999751e+00 9.361259999999999166e-10
5.990000000000000213e+00 1.006360000000000028e-09
6.009999999999999787e+00 1.079360000000000086e-09
6.030000000000000249e+00 1.155050000000000059e-09
6.049999999999999822e+00 1.233350000000000089e-09
6.070000000000000284e+00 1.314130000000000093e-09
6.089999999999999858e+00 1.397279999999999956e-09
6.110000000000000320e+00 1.482650000000000045e-09
6.129999999999999893e+00 1.570089999999999900e-09
6.150000000000000355e+00 1.659440000000000010e-09
6.169999999999999929e+00 1.750529999999999951e-09
6.190000000000000391e+00 1.843160000000000075e-09
6.209999999999999964e+00 1.937129999999999906e-09
6.230000000000000426e+00 2.032249999999999884e-09
6.250000000000000000e+00 2.128300000000000188e-09
6.269999999999999574e+00 2.225060000000000172e-09
6.290000000000000036e+00 2.322310000000000018e-09
6.309999999999999609e+00 2.419829999999999904e-09
6.330000000000000071e+00 2.517400000000000013e-09
6.349999999999999645e+00 2.614779999999999939e-09
6.370000000000000107e+00 2.711760000000000157e-09
6.389999999999999680e+00 2.808110000000000139e-09
6.410000000000000142e+00 2.903619999999999947e-09
6.429999999999999716e+00 2.998070000000000174e-09
6.450000000000000178e+00 3.091269999999999811e-09
6.469999999999999751e+00 3.182999999999999865e-09
6.490000000000000213e+00 3.273080000000000034e-09
6.509999999999999787e+00 3.361339999999999892e-09
6.530000000000000249e+00 3.447590000000000086e-09
6.549999999999999822e+00 3.531670000000000068e-09
6.570000000000000284e+00 3.613439999999999880e-09
6.589999999999999858e+00 3.692750000000000095e-09
6.610000000000000320e+00 3.769479999999999684e-09
6.629999999999999893e+00 3.843509999999999686e-09
6.650000000000000355e+00 3.914729999999999777e-09
6.669999999999999929e+00 3.983050000000000220e-09
6.690000000000000391e+00 4.048390000000000327e-09
6.709999999999999964e+00 4.110680000000000119e-09
6.730000000000000426e+00 4.169860000000000322e-09
6.750000000000000000e+00 4.225879999999999887e-09
6.769999999999999574e+00 4.278710000000000003e-09
6.790000000000000036e+00 4.328310000000000328e-09
6.809999999999999609e+00 4.374670000000000156e-09
6.830000000000000071e+00 4.417790000000000313e-09
6.849999999999999645e+00 4.457660000000000094e-09
6.870000000000000107e+00 4.494290000000000204e-09
6.889999999999999680e+00 4.527710000000000281e-09
6.910000000000000142e+00 4.557930000000000203e-09
6.929999999999999716e+00 4.584979999999999608e-09
6.950000000000000178e+00 4.608920000000000252e-09
6.969999999999999751e+00 4.629760000000000357e-09
6.990000000000000213e+00 4.647579999999999785e-09
7.009999999999999787e+00 4.662419999999999705e-09
7.030000000000000249e+00 4.674330000000000339e-09
7.049999999999999822e+00 4.683389999999999892e-09
7.070000000000000284e+00 4.689650000000000241e-09
7.089999999999999858e+00 4.693189999999999589e-09
7.110000000000000320e+00 4.694069999999999694e-09
7.129999999999999893e+00 4.692370000000000413e-09
7.150000000000000355e+00 4.688160000000000073e-09
7.169999999999999929e+00 4.681520000000000187e-09
7.190000000000000391e+00 4.672529999999999787e-09
7.209999999999999964e+00 4.661259999999999680e-09
7.230000000000000426e+00 4.647799999999999604e-09
7.259999999999999787e+00 4.632220000000000368e-09
7.280000000000000249e+00 4.614610000000000053e-09
7.299999999999999822e+00 4.595050000000000174e-09
7.320000000000000284e+00 4.573609999999999884e-09
7.339999999999999858e+00 4.550379999999999749e-09
7.360000000000000320e+00 4.525429999999999747e-09
7.379999999999999893e+00 4.498839999999999738e-09
7.400000000000000355e+00 4.470700000000000288e-09
7.419999999999999929e+00 4.441069999999999844e-09
7.440000000000000391e+00 4.410039999999999797e-09
7.459999999999999964e+00 4.377680000000000128e-09
7.480000000000000426e+00 4.344059999999999990e-09
7.500000000000000000e+00 4.309250000000000189e-09
7.519999999999999574e+00 4.273329999999999759e-09
7.540000000000000036e+00 4.236359999999999627e-09
7.559999999999999609e+00 4.198409999999999774e-09
7.580000000000000071e+00 4.159550000000000179e-09
7.599999999999999645e+00 4.119840000000000117e-09
7.620000000000000107e+00 4.079339999999999688e-09
7.639999999999999680e+00 4.038109999999999821e-09
7.660000000000000142e+00 3.996209999999999790e-09
7.679999999999999716e+00 3.953699999999999696e-09
7.700000000000000178e+00 3.910639999999999640e-09
7.719999999999999751e+00 3.867069999999999965e-09
7.740000000000000213e+00 3.823049999999999945e-09
7.759999999999999787e+00 3.778619999999999924e-09
7.780000000000000249e+00 3.733830000000000123e-09
7.799999999999999822e+00 3.688729999999999937e-09
7.820000000000000284e+00 3.643370000000000003e-09
7.839999999999999858e+00 3.597770000000000078e-09
7.860000000000000320e+00 3.551989999999999849e-09
7.879999999999999893e+00 3.506049999999999902e-09
7.900000000000000355e+00 3.460009999999999925e-09
7.919999999999999929e+00 3.413879999999999796e-09
7.940000000000000391e+00 3.367710000000000151e-09
7.959999999999999964e+00 3.321510000000000041e-09
7.980000000000000426e+00 3.275339999999999983e-09
8.000000000000000000e+00 3.229199999999999974e-09
8.019999999999999574e+00 3.183129999999999946e-09
8.039999999999999147e+00 3.137159999999999949e-09
8.060000000000000497e+00 3.091299999999999861e-09
8.080000000000000071e+00 3.045580000000000147e-09
8.099999999999999645e+00 3.000020000000000152e-09
8.119999999999999218e+00 2.954649999999999925e-09
8.140000000000000568e+00 2.909469999999999880e-09
8.160000000000000142e+00 2.864510000000000068e-09
8.179999999999999716e+00 2.819779999999999955e-09
8.199999999999999289e+00 2.775310000000000004e-09
8.220000000000000639e+00 2.731099999999999802e-09
8.240000000000000213e+00 2.687169999999999934e-09
8.259999999999999787e+00 2.643540000000000158e-09
8.279999999999999361e+00 2.600219999999999940e-09
8.300000000000000711e+00 2.557210000000000106e-09
8.320000000000000284e+00 2.514539999999999880e-09
8.339999999999999858e+00 2.472210000000000089e-09
8.359999999999999432e+00 2.430230000000000199e-09
8.380000000000000782e+00 2.388610000000000089e-09
8.400000000000000355e+00 2.347369999999999929e-09
8.419999999999999929e+00 2.306510000000000134e-09
8.439999999999999503e+00 2.266040000000000170e-09
8.460000000000000853e+00 2.225960000000000035e-09
8.480000000000000426e+00 2.186289999999999902e-09
8.500000000000000000e+00 2.147040000000000063e-09
