# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 1.401299999999999954e-45
4.679999999999999716e+00 3.363119999999999891e-44
4.700000000000000178e+00 1.202309999999999976e-42
4.719999999999999751e+00 3.647860000000000049e-41
4.740000000000000213e+00 9.496989999999999785e-40
4.769999999999999574e+00 2.136110000000000098e-38
4.790000000000000036e+00 4.178250000000000233e-37
4.809999999999999609e+00 7.152710000000000298e-36
4.830000000000000071e+00 1.078190000000000022e-34
4.849999999999999645e+00 1.439240000000000023e-33
4.870000000000000107e+00 1.710610000000000109e-32
4.889999999999999680e+00 1.819899999999999904e-31
4.910000000000000142e+00 1.741890000000000030e-30
4.929999999999999716e+00 1.507039999999999874e-29
4.950000000000000178e+00 1.183909999999999998e-28
4.969999999999999751e+00 8.482389999999999443e-28
4.990000000000000213e+00 5.566079999999999872e-27
5.009999999999999787e+00 3.358119999999999777e-26
5.030000000000000249e+00 1.870030000000000068e-25
5.049999999999999822e+00 9.645879999999999909e-25
5.070000000000000284e+00 4.624990000000000194e-24
5.089999999999999858e+00 2.068040000000000059e-23
5.110000000000000320e+00 8.651369999999999428e-23
5.129999999999999893e+00 3.396009999999999790e-22
5.150000000000000355e+00 1.254539999999999918e-21
5.169999999999999929e+00 4.373179999999999701e-21
5.190000000000000391e+00 1.442359999999999956e-20
5.209999999999999964e+00 4.512049999999999952e-20
5.230000000000000426e+00 1.342019999999999880e-19
5.250000000000000000e+00 3.803630000000000209e-19
5.269999999999999574e+00 1.029550000000000041e-18
5.290000000000000036e+00 2.666979999999999887e-18
5.309999999999999609e+00 6.624739999999999618e-18
5.330000000000000071e+00 1.580910000000000010e-17
5.349999999999999645e+00 3.631060000000000152e-17
5.370000000000000107e+00 8.040869999999999647e-17
5.389999999999999680e+00 1.719599999999999879e-16
5.410000000000000142e+00 3.556960000000000215e-16
5.429999999999999716e+00 7.127259999999999776e-16
5.450000000000000178e+00 1.385440000000000085e-15
5.469999999999999751e+00 2.616159999999999897e-15
5.490000000000000213e+00 4.805230000000000184e-15
5.509999999999999787e+00 8.595799999999999772e-15
5.530000000000000249e+00 1.499359999999999972e-14
5.549999999999999822e+00 2.553069999999999970e-14
5.570000000000000284e+00 4.248370000000000203e-14
5.589999999999999858e+00 6.866990000000000459e-14
5.610000000000000320e+00 1.078880000000000018e-13
5.629999999999999893e+00 1.665989999999999952e-13
5.650000000000000355e+00 2.529269999999999986e-13
5.669999999999999929e+00 3.776390000000000229e-13
5.690000000000000391e+00 5.547430000000000324e-13
5.709999999999999964e+00 8.020829999999999660e-13
5.730000000000000426e+00 1.141929999999999962e-12
5.750000000000000000e+00 1.601669999999999980e-12
5.769999999999999574e+00 2.214270000000000015e-12
5.790000000000000036e+00 3.018819999999999853e-12
5.809999999999999609e+00 4.060799999999999822e-12
5.830000000000000071e+00 5.392359999999999855e-12
5.849999999999999645e+00 7.072289999999999948e-12
5.870000000000000107e+00 9.165770000000000030e-12
5.889999999999999680e+00 1.174430000000000035e-11
5.910000000000000142e+00 1.488470000000000018e-11
5.929999999999999716e+00 1.866860000000000145e-11
5.950000000000000178e+00 2.318129999999999857e-11
5.969999999999999751e+00 2.851070000000000048e-11
5.990000000000000213e+00 3.474629999999999948e-11
6.009999999999999787e+00 4.197719999999999929e-11
6.030000000000000249e+00 5.029109999999999681e-11
6.049999999999999822e+00 5.977280000000000477e-11
6.070000000000000284e+00 7.050320000000000113e-11
6.089999999999999858e+00 8.255670000000000506e-11
6.110000000000000320e+00 9.600069999999999503e-11
6.129999999999999893e+00 1.108949999999999955e-10
6.150000000000000355e+00 1.272900000000000071e-10
6.169999999999999929e+00 1.452259999999999905e-10
6.190000000000000391e+00 1.647300000000000091e-10
6.209999999999999964e+00 1.858220000000000021e-10
6.230000000000000426e+00 2.085070000000000121e-10
6.250000000000000000e+00 2.327789999999999879e-10
6.269999999999999574e+00 2.586199999999999817e-10
6.290000000000000036e+00 2.859989999999999861e-10
6.309999999999999609e+00 3.148769999999999767e-10
6.330000000000000071e+00 3.452000000000000074e-10
6.349999999999999645e+00 3.769039999999999942e-10
6.370000000000000107e+00 4.099190000000000090e-10
6.389999999999999680e+00 4.441630000000000202e-10
6.410000000000000142e+00 4.795450000000000227e-10
6.429999999999999716e+00 5.159690000000000201e-10
6.450000000000000178e+00 5.533350000000000336e-10
6.469999999999999751e+00 5.915320000000000414e-10
6.490000000000000213e+00 6.304490000000000219e-10
6.509999999999999787e+00 6.699710000000000225e-10
6.530000000000000249e+00 7.099819999999999787e-10
6.549999999999999822e+00 7.503630000000000071e-10
6.570000000000000284e+00 7.909950000000000173e-10
6.589999999999999858e+00 8.317620000000000483e-10
6.610000000000000320e+00 8.725470000000000269e-10
6.629999999999999893e+00 9.132370000000000177e-10
6.650000000000000355e+00 9.537200000000000939e-10
6.669999999999999929e+00 9.938899999999999665e-10
6.690000000000000391e+00 1.033639999999999959e-09
6.709999999999999964e+00 1.072890000000000004e-09
6.730000000000000426e+00 1.111519999999999901e-09
6.750000000000000000e+00 1.149449999999999996e-09
6.769999999999999574e+00 1.186619999999999982e-09
6.790000000000000036e+00 1.222919999999999950e-09
6.809999999999999609e+00 1.258309999999999970e-09
6.830000000000000071e+00 1.292709999999999975e-09
6.849999999999999645e+00 1.326060000000000072e-09
6.870000000000000107e+00 1.358310000000000038e-09
6.889999999999999680e+00 1.389419999999999944e-09
6.910000000000000142e+00 1.419350000000000067e-09
6.929999999999999716e+00 1.448060000000000064e-09
6.950000000000000178e+00 1.475510000000000005e-09
6.969999999999999751e+00 1.501700000000000098e-09
6.990000000000000213e+00 1.526589999999999998e-09
7.009999999999999787e+00 1.550179999999999914e-09
7.030000000000000249e+00 1.572450000000000086e-09
7.049999999999999822e+00 1.593390000000000016e-09
7.070000000000000284e+00 1.613009999999999996e-09
7.089999999999999858e+00 1.631310000000000026e-09
7.110000000000000320e+00 1.648289999999999899e-09
7.129999999999999893e+00 1.663959999999999908e-09
7.150000000000000355e+00 1.678320000000000053e-09
7.169999999999999929e+00 1.691399999999999970e-09
7.190000000000000391e+00 1.703209999999999953e-09
7.209999999999999964e+00 1.713769999999999966e-09
7.230000000000000426e+00 1.723090000000000095e-09
7.259999999999999787e+00 1.731210000000000063e-09
7.280000000000000249e+00 1.738130000000000077e-09
7.299999999999999822e+00 1.743899999999999944e-09
7.320000000000000284e+00 1.748520000000000079e-09
7.339999999999999858e+00 1.752040000000000083e-09
7.360000000000000320e+00 1.754479999999999922e-09
7.379999999999999893e+00 1.755870000000000059e-09
7.400000000000000355e+00 1.756239999999999924e-09
7.419999999999999929e+00 1.755619999999999982e-09
7.440000000000000391e+00 1.754040000000000076e-09
7.459999999999999964e+00 1.751530000000000051e-09
7.480000000000000426e+00 1.748119999999999956e-09
7.500000000000000000e+00 1.743860000000000014e-09
7.519999999999999574e+00 1.738759999999999898e-09
7.540000000000000036e+00 1.732859999999999949e-09
7.559999999999999609e+00 1.726200000000000098e-09
7.580000000000000071e+00 1.718809999999999982e-09
7.599999999999999645e+00 1.710709999999999979e-09
7.620000000000000107e+00 1.701940000000000019e-09
7.639999999999999680e+00 1.692540000000000030e-09
7.660000000000000142e+00 1.682520000000000100e-09
7.679999999999999716e+00 1.671939999999999915e-09
7.700000000000000178e+00 1.660800000000000096e-09
7.719999999999999751e+00 1.649150000000000038e-09
7.740000000000000213e+00 1.637019999999999999e-09
7.759999999999999787e+00 1.624420000000000063e-09
7.780000000000000249e+00 1.611400000000000040e-09
7.799999999999999822e+00 1.597970000000000015e-09
7.820000000000000284e+00 1.584160000000000039e-09
7.839999999999999858e+00 1.569999999999999955e-09
7.860000000000000320e+00 1.555520000000000022e-09
7.879999999999999893e+00 1.540729999999999910e-09
7.900000000000000355e+00 1.525669999999999964e-09
7.919999999999999929e+00 1.510339999999999977e-09
7.940000000000000391e+00 1.494780000000000085e-09
7.959999999999999964e+00 1.479010000000000045e-09
7.980000000000000426e+00 1.463039999999999944e-09
8.000000000000000000e+00 1.446889999999999953e-09
8.019999999999999574e+00 1.430580000000000037e-09
8.039999999999999147e+00 1.414140000000000040e-09
8.060000000000000497e+00 1.397560000000000083e-09
8.080000000000000071e+00 1.380880000000000095e-09
8.099999999999999645e+00 1.364100000000000077e-09
8.119999999999999218e+00 1.347250000000000078e-09
8.140000000000000568e+00 1.330320000000000013e-09
8.160000000000000142e+00 1.313339999999999934e-09
8.179999999999999716e+00 1.296310000000000045e-09
8.199999999999999289e+00 1.279259999999999985e-09
8.220000000000000639e+00 1.262180000000000081e-09
8.240000000000000213e+00 1.245099999999999971e-09
8.259999999999999787e+00 1.228009999999999981e-09
8.279999999999999361e+00 1.210930000000000077e-09
8.300000000000000711e+00 1.193869999999999932e-09
8.320000000000000284e+00 1.176829999999999957e-09
8.339999999999999858e+00 1.159829999999999913e-09
8.359999999999999432e+00 1.142870000000000004e-09
8.380000000000000782e+00 1.125959999999999904e-09
8.400000000000000355e+00 1.109100000000000027e-09
8.419999999999999929e+00 1.092309999999999922e-09
8.439999999999999503e+00 1.075579999999999919e-09
8.460000000000000853e+00 1.058929999999999982e-09
8.480000000000000426e+00 1.042359999999999904e-09
8.500000000000000000e+00 1.025879999999999977e-09
