# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 0.000000000000000000e+00
4.910000000000000142e+00 0.000000000000000000e+00
4.929999999999999716e+00 0.000000000000000000e+00
4.950000000000000178e+00 0.000000000000000000e+00
4.969999999999999751e+00 0.000000000000000000e+00
4.990000000000000213e+00 4.203899999999999863e-45
5.009999999999999787e+00 1.653530000000000081e-43
5.030000000000000249e+00 4.898939999999999703e-42
5.049999999999999822e+00 1.248629999999999923e-40
5.070000000000000284e+00 2.752249999999999928e-39
5.089999999999999858e+00 5.280319999999999572e-38
5.110000000000000320e+00 8.874360000000000307e-37
5.129999999999999893e+00 1.314200000000000028e-35
5.150000000000000355e+00 1.724919999999999915e-34
5.169999999999999929e+00 2.017310000000000160e-33
5.190000000000000391e+00 2.113450000000000019e-32
5.209999999999999964e+00 1.993139999999999998e-31
5.230000000000000426e+00 1.700250000000000149e-30
5.250000000000000000e+00 1.317800000000000048e-29
5.269999999999999574e+00 9.320720000000000012e-29
5.290000000000000036e+00 6.041209999999999739e-28
5.309999999999999609e+00 3.602219999999999763e-27
5.330000000000000071e+00 1.983389999999999936e-26
5.349999999999999645e+00 1.012090000000000023e-25
5.370000000000000107e+00 4.802949999999999579e-25
5.389999999999999680e+00 2.126619999999999911e-24
5.410000000000000142e+00 8.812639999999999587e-24
5.429999999999999716e+00 3.428239999999999771e-23
5.450000000000000178e+00 1.255570000000000039e-22
5.469999999999999751e+00 4.340960000000000258e-22
5.490000000000000213e+00 1.420440000000000073e-21
5.509999999999999787e+00 4.410099999999999631e-21
5.530000000000000249e+00 1.302270000000000005e-20
5.549999999999999822e+00 3.665679999999999987e-20
5.570000000000000284e+00 9.856859999999999796e-20
5.589999999999999858e+00 2.537250000000000212e-19
5.610000000000000320e+00 6.264579999999999910e-19
5.629999999999999893e+00 1.486400000000000041e-18
5.650000000000000355e+00 3.395199999999999853e-18
5.669999999999999929e+00 7.478880000000000067e-18
5.690000000000000391e+00 1.591360000000000136e-17
5.709999999999999964e+00 3.275939999999999842e-17
5.730000000000000426e+00 6.533969999999999753e-17
5.750000000000000000e+00 1.264510000000000061e-16
5.769999999999999574e+00 2.377769999999999882e-16
5.790000000000000036e+00 4.349809999999999875e-16
5.809999999999999609e+00 7.751240000000000303e-16
5.830000000000000071e+00 1.347079999999999990e-15
5.849999999999999645e+00 2.285700000000000045e-15
5.870000000000000107e+00 3.790319999999999633e-15
5.889999999999999680e+00 6.101799999999999872e-15
5.910000000000000142e+00 9.582740000000000777e-15
5.929999999999999716e+00 1.478559999999999950e-14
5.950000000000000178e+00 2.242159999999999973e-14
5.969999999999999751e+00 3.343140000000000283e-14
5.990000000000000213e+00 4.903509999999999722e-14
6.009999999999999787e+00 7.078260000000000124e-14
6.030000000000000249e+00 1.006069999999999973e-13
6.049999999999999822e+00 1.408780000000000082e-13
6.070000000000000284e+00 1.944460000000000077e-13
6.089999999999999858e+00 2.646880000000000128e-13
6.110000000000000320e+00 3.555249999999999921e-13
6.129999999999999893e+00 4.714580000000000496e-13
6.150000000000000355e+00 6.175559999999999588e-13
6.169999999999999929e+00 7.994550000000000504e-13
6.190000000000000391e+00 1.023300000000000093e-12
6.209999999999999964e+00 1.295750000000000007e-12
6.230000000000000426e+00 1.623879999999999943e-12
6.250000000000000000e+00 2.015060000000000100e-12
6.269999999999999574e+00 2.476949999999999861e-12
6.290000000000000036e+00 3.017319999999999910e-12
6.309999999999999609e+00 3.643990000000000107e-12
6.330000000000000071e+00 4.364649999999999986e-12
6.349999999999999645e+00 5.186760000000000004e-12
6.370000000000000107e+00 6.117469999999999782e-12
6.389999999999999680e+00 7.163490000000000206e-12
6.410000000000000142e+00 8.330840000000000477e-12
6.429999999999999716e+00 9.624969999999999528e-12
6.450000000000000178e+00 1.105049999999999941e-11
6.469999999999999751e+00 1.261129999999999979e-11
6.490000000000000213e+00 1.431009999999999978e-11
6.509999999999999787e+00 1.614889999999999877e-11
6.530000000000000249e+00 1.812869999999999888e-11
6.549999999999999822e+00 2.024909999999999861e-11
6.570000000000000284e+00 2.250919999999999864e-11
6.589999999999999858e+00 2.490659999999999971e-11
6.610000000000000320e+00 2.743840000000000151e-11
6.629999999999999893e+00 3.010040000000000289e-11
6.650000000000000355e+00 3.288759999999999973e-11
6.669999999999999929e+00 3.579410000000000154e-11
6.690000000000000391e+00 3.881359999999999690e-11
6.709999999999999964e+00 4.193849999999999947e-11
6.730000000000000426e+00 4.516099999999999790e-11
6.750000000000000000e+00 4.847280000000000243e-11
6.769999999999999574e+00 5.186519999999999916e-11
6.790000000000000036e+00 5.532890000000000267e-11
6.809999999999999609e+00 5.885440000000000254e-11
6.830000000000000071e+00 6.243229999999999440e-11
6.849999999999999645e+00 6.605310000000000013e-11
6.870000000000000107e+00 6.970690000000000462e-11
6.889999999999999680e+00 7.338420000000000390e-11
6.910000000000000142e+00 7.707570000000000610e-11
6.929999999999999716e+00 8.077210000000000638e-11
6.950000000000000178e+00 8.446440000000000510e-11
6.969999999999999751e+00 8.814380000000000172e-11
6.990000000000000213e+00 9.180210000000000603e-11
7.009999999999999787e+00 9.543130000000000111e-11
7.030000000000000249e+00 9.902370000000000103e-11
7.049999999999999822e+00 1.025720000000000052e-10
7.070000000000000284e+00 1.060700000000000018e-10
7.089999999999999858e+00 1.095100000000000049e-10
7.110000000000000320e+00 1.128880000000000061e-10
7.129999999999999893e+00 1.161969999999999969e-10
7.150000000000000355e+00 1.194320000000000121e-10
7.169999999999999929e+00 1.225899999999999872e-10
7.190000000000000391e+00 1.256639999999999912e-10
7.209999999999999964e+00 1.286520000000000072e-10
7.230000000000000426e+00 1.315510000000000093e-10
7.259999999999999787e+00 1.343560000000000063e-10
7.280000000000000249e+00 1.370659999999999897e-10
7.299999999999999822e+00 1.396780000000000113e-10
7.320000000000000284e+00 1.421889999999999936e-10
7.339999999999999858e+00 1.445989999999999884e-10
7.360000000000000320e+00 1.469049999999999957e-10
7.379999999999999893e+00 1.491060000000000071e-10
7.400000000000000355e+00 1.512019999999999965e-10
7.419999999999999929e+00 1.531909999999999986e-10
7.440000000000000391e+00 1.550729999999999876e-10
7.459999999999999964e+00 1.568479999999999892e-10
7.480000000000000426e+00 1.585160000000000035e-10
7.500000000000000000e+00 1.600759999999999961e-10
7.519999999999999574e+00 1.615300000000000099e-10
7.540000000000000036e+00 1.628779999999999932e-10
7.559999999999999609e+00 1.641189999999999892e-10
7.580000000000000071e+00 1.652559999999999978e-10
7.599999999999999645e+00 1.662889999999999931e-10
7.620000000000000107e+00 1.672190000000000095e-10
7.639999999999999680e+00 1.680480000000000126e-10
7.660000000000000142e+00 1.687770000000000108e-10
7.679999999999999716e+00 1.694070000000000127e-10
7.700000000000000178e+00 1.699400000000000098e-10
7.719999999999999751e+00 1.703779999999999932e-10
7.740000000000000213e+00 1.707230000000000059e-10
7.759999999999999787e+00 1.709760000000000049e-10
7.780000000000000249e+00 1.711409999999999987e-10
7.799999999999999822e+00 1.712179999999999871e-10
7.820000000000000284e+00 1.712099999999999961e-10
7.839999999999999858e+00 1.711199999999999995e-10
7.860000000000000320e+00 1.709490000000000060e-10
7.879999999999999893e+00 1.706999999999999896e-10
7.900000000000000355e+00 1.703760000000000018e-10
7.919999999999999929e+00 1.699779999999999997e-10
7.940000000000000391e+00 1.695099999999999916e-10
7.959999999999999964e+00 1.689739999999999947e-10
7.980000000000000426e+00 1.683720000000000003e-10
8.000000000000000000e+00 1.677070000000000083e-10
8.019999999999999574e+00 1.669810000000000099e-10
8.039999999999999147e+00 1.661970000000000052e-10
8.060000000000000497e+00 1.653570000000000112e-10
8.080000000000000071e+00 1.644640000000000020e-10
8.099999999999999645e+00 1.635199999999999947e-10
8.119999999999999218e+00 1.625270000000000065e-10
8.140000000000000568e+00 1.614880000000000114e-10
8.160000000000000142e+00 1.604050000000000008e-10
8.179999999999999716e+00 1.592790000000000090e-10
8.199999999999999289e+00 1.581150000000000015e-10
8.220000000000000639e+00 1.569119999999999954e-10
8.240000000000000213e+00 1.556739999999999993e-10
8.259999999999999787e+00 1.544019999999999958e-10
8.279999999999999361e+00 1.530990000000000107e-10
8.300000000000000711e+00 1.517660000000000010e-10
8.320000000000000284e+00 1.504050000000000095e-10
8.339999999999999858e+00 1.490180000000000018e-10
8.359999999999999432e+00 1.476060000000000122e-10
8.380000000000000782e+00 1.461710000000000063e-10
8.400000000000000355e+00 1.447150000000000012e-10
8.419999999999999929e+00 1.432379999999999969e-10
8.439999999999999503e+00 1.417440000000000019e-10
8.460000000000000853e+00 1.402320000000000075e-10
8.480000000000000426e+00 1.387049999999999879e-10
8.500000000000000000e+00 1.371629999999999946e-10
