# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 2.496643770555492260e-48
3.520080321285140368e+00 1.461576704071327887e-46
3.540160642570281180e+00 7.128716909308647648e-45
3.560240963855421548e+00 2.920869510747896688e-43
3.580321285140562360e+00 1.013323910527893959e-41
3.600401606425702727e+00 2.999089428466972898e-40
3.620481927710843539e+00 7.627065555137207717e-39
3.640562248995983907e+00 1.678160122728071631e-37
3.660642570281124719e+00 3.215610354614304063e-36
3.680722891566265087e+00 5.399644894517133115e-35
3.700803212851405455e+00 7.993437832145483662e-34
3.720883534136546267e+00 1.049170879037736100e-32
3.740963855421686635e+00 1.227633433104207761e-31
3.761044176706827447e+00 1.287240638277738061e-30
3.781124497991967814e+00 1.215558658216013394e-29
3.801204819277108626e+00 1.038666967428004074e-28
3.821285140562248994e+00 8.067275517402468145e-28
3.841365461847389362e+00 5.720113480702480309e-27
3.861445783132530174e+00 3.717933918634661861e-26
3.881526104417670542e+00 2.223969965534631038e-25
3.901606425702811354e+00 1.228909467791655829e-24
3.921686746987951722e+00 6.295555864636647687e-24
3.941767068273092534e+00 3.000269875485262939e-23
3.961847389558232901e+00 1.334504172969138746e-22
3.981927710843373269e+00 5.557376002978871855e-22
4.002008032128514081e+00 2.173227189385337151e-21
4.022088353413654893e+00 8.003177160965824537e-21
4.042168674698794817e+00 2.783055992139758670e-20
4.062248995983935629e+00 9.162421273208884912e-20
4.082329317269076441e+00 2.862876945180055287e-19
4.102409638554217253e+00 8.509921518321800440e-19
4.122489959839357176e+00 2.411895149487795298e-18
4.142570281124497988e+00 6.531849039406079865e-18
4.162650602409638800e+00 1.693756014932187471e-17
4.182730923694778724e+00 4.213605951674385856e-17
4.202811244979919536e+00 1.007529419378994156e-16
4.222891566265060348e+00 2.319730163002704076e-16
4.242971887550201160e+00 5.151488378373479956e-16
4.263052208835341084e+00 1.105221015808231637e-15
4.283132530120481896e+00 2.294351119981048498e-15
4.303212851405622708e+00 4.615376683683594945e-15
4.323293172690762631e+00 9.009558916620366654e-15
4.343373493975903443e+00 1.708965592377786596e-14
4.363453815261044255e+00 3.153942772399061325e-14
4.383534136546185067e+00 5.670175341735218897e-14
4.403614457831324991e+00 9.941873582841879728e-14
4.423694779116465803e+00 1.701972234500892703e-13
4.443775100401606615e+00 2.847804341268958213e-13
4.463855421686746539e+00 4.662091167702807164e-13
4.483935742971887350e+00 7.474520202795020527e-13
4.504016064257028162e+00 1.174673856587016208e-12
4.524096385542168974e+00 1.811189434066452601e-12
4.544176706827309786e+00 2.742120692865982456e-12
4.564257028112449710e+00 4.079733935743461649e-12
4.584337349397590522e+00 5.969389069917165920e-12
4.604417670682730446e+00 8.595979144854177472e-12
4.624497991967871258e+00 1.219068580989787885e-11
4.644578313253012070e+00 1.703786537402885738e-11
4.664658634538152882e+00 2.348177302274053126e-11
4.684738955823293693e+00 3.193277107869048980e-11
4.704819277108433617e+00 4.287273887954008570e-11
4.724899598393574429e+00 5.685932955327560974e-11
4.744979919678714353e+00 7.452873464964868562e-11
4.765060240963855165e+00 9.659667178163660902e-11
4.785140562248995977e+00 1.238581415444545756e-10
4.805220883534136789e+00 1.571852135515763349e-10
4.825301204819277601e+00 1.975215871778040997e-10
4.845381526104417524e+00 2.458751865139324665e-10
4.865461847389558336e+00 3.033083463604927288e-10
4.885542168674698260e+00 3.709259210982388612e-10
4.905622489959839072e+00 4.498613637342962718e-10
4.925702811244979884e+00 5.412609563903556394e-10
4.945783132530120696e+00 6.462706431958364295e-10
4.965863453815261508e+00 7.660308527798536199e-10
4.985943775100401432e+00 9.016537495566730055e-10
5.006024096385542244e+00 1.054204809509615344e-09
5.026104417670682167e+00 1.224686929803366978e-09
5.046184738955822979e+00 1.414024204386197719e-09
5.066265060240963791e+00 1.623046314866972109e-09
5.086345381526104603e+00 1.852473798051160704e-09
5.106425702811245415e+00 2.102903461391025334e-09
5.126506024096385339e+00 2.374783397285118154e-09
5.146586345381526151e+00 2.668410085957278088e-09
5.166666666666666963e+00 2.983996829746771246e-09
5.186746987951806886e+00 3.321659461186269186e-09
5.206827309236947698e+00 3.681389271912189800e-09
5.226907630522088510e+00 4.063053717594061614e-09
5.246987951807229322e+00 4.466397453210241860e-09
5.267068273092369246e+00 4.891043719976436234e-09
5.287148594377510058e+00 5.336459851258107745e-09
5.307228915662650870e+00 5.801918861407955750e-09
5.327309236947790794e+00 6.286554055270691898e-09
5.347389558232931606e+00 6.789375361639644843e-09
5.367469879518072418e+00 7.309275542973907653e-09
5.387550200803213230e+00 7.845035239542205910e-09
5.407630522088353153e+00 8.395333019129688548e-09
5.427710843373493965e+00 8.958878615853611635e-09
5.447791164658634777e+00 9.534532288979395425e-09
5.467871485943774701e+00 1.012116815098861146e-08
5.487951807228915513e+00 1.071763149280981400e-08
5.508032128514056325e+00 1.132255658823341119e-08
5.528112449799197137e+00 1.193450378004287440e-08
5.548192771084337949e+00 1.255202735492254698e-08
5.568273092369477872e+00 1.317368479236728502e-08
5.588353413654618684e+00 1.379804505508370233e-08
5.608433734939758608e+00 1.442369587106010986e-08
5.628514056224899420e+00 1.504925006988316779e-08
5.648594377510040232e+00 1.567338317478023640e-08
5.668674698795181044e+00 1.629487833043367931e-08
5.688755020080321856e+00 1.691256320093629602e-08
5.708835341365461780e+00 1.752530030263842280e-08
5.728915662650602592e+00 1.813198715797665969e-08
5.748995983935742515e+00 1.873154133390172901e-08
5.769076305220883327e+00 1.932261212400034187e-08
5.789156626506024139e+00 1.990358724741873893e-08
5.809236947791164951e+00 2.047291482769241216e-08
5.829317269076305763e+00 2.102937746965123844e-08
5.849397590361445687e+00 2.157199090692861200e-08
5.869477911646586499e+00 2.210003158784571531e-08
5.889558232931726423e+00 2.261291802850975826e-08
5.909638554216867234e+00 2.311015137020799680e-08
5.929718875502008046e+00 2.359131396398946639e-08
5.949799196787148858e+00 2.405606728110028993e-08
5.969879518072289670e+00 2.450414915996279754e-08
5.989959839357429594e+00 2.493536941108766780e-08
6.010040160642570406e+00 2.534959259060556868e-08
6.030120481927710330e+00 2.574673928995104610e-08
6.050200803212851142e+00 2.612679291105665668e-08
