# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 4.326927166027022793e-86
3.520080321285140368e+00 1.243641741053968977e-82
3.540160642570281180e+00 2.496882667956447506e-79
3.560240963855421548e+00 3.559004026957242935e-76
3.580321285140562360e+00 3.657704146290276365e-73
3.600401606425702727e+00 2.750786814786801210e-70
3.620481927710843539e+00 1.535331138689067065e-67
3.640562248995983907e+00 6.446077730628093266e-65
3.660642570281124719e+00 2.062170489217047420e-62
3.680722891566265087e+00 5.088899662399284473e-60
3.700803212851405455e+00 9.801379294296570452e-58
3.720883534136546267e+00 1.489971746703303292e-55
3.740963855421686635e+00 1.806925249453650891e-53
3.761044176706827447e+00 1.766068789840008616e-51
3.781124497991967814e+00 1.404798172455382116e-49
3.801204819277108626e+00 9.179128687812959003e-48
3.821285140562248994e+00 4.970840827192181912e-46
3.841365461847389362e+00 2.250009718666593572e-44
3.861445783132530174e+00 8.581907229573614925e-43
3.881526104417670542e+00 2.779635619124795781e-41
3.901606425702811354e+00 7.702017202720196248e-40
3.921686746987951722e+00 1.838639725465911077e-38
3.941767068273092534e+00 3.807052800807404971e-37
3.961847389558232901e+00 6.881350490869165340e-36
3.981927710843373269e+00 1.092489318174516204e-34
4.002008032128514081e+00 1.532375505728030685e-33
4.022088353413654893e+00 1.909626264362729480e-32
4.042168674698794817e+00 2.125629551542394132e-31
4.062248995983935629e+00 2.124216417650189783e-30
4.082329317269076441e+00 1.915127684692955935e-29
4.102409638554217253e+00 1.564965188310630922e-28
4.122489959839357176e+00 1.164255974189583709e-27
4.142570281124497988e+00 7.919008377517119726e-27
4.162650602409638800e+00 4.944587881235508014e-26
4.182730923694778724e+00 2.845150954288929111e-25
4.202811244979919536e+00 1.514256633924726200e-24
4.222891566265060348e+00 7.480716206591628704e-24
4.242971887550201160e+00 3.441896096351502086e-23
4.263052208835341084e+00 1.479648267890515719e-22
4.283132530120481896e+00 5.961527575019064829e-22
4.303212851405622708e+00 2.257703349375208054e-21
4.323293172690762631e+00 8.059365179171094982e-21
4.343373493975903443e+00 2.719060506618904794e-20
4.363453815261044255e+00 8.692165136073295548e-20
4.383534136546185067e+00 2.639277198086611044e-19
4.403614457831324991e+00 7.629551783754927387e-19
