# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 0.000000000000000000e+00
3.620481927710843539e+00 0.000000000000000000e+00
3.640562248995983907e+00 0.000000000000000000e+00
3.660642570281124719e+00 0.000000000000000000e+00
3.680722891566265087e+00 0.000000000000000000e+00
3.700803212851405455e+00 0.000000000000000000e+00
3.720883534136546267e+00 0.000000000000000000e+00
3.740963855421686635e+00 0.000000000000000000e+00
3.761044176706827447e+00 0.000000000000000000e+00
3.781124497991967814e+00 0.000000000000000000e+00
3.801204819277108626e+00 9.881312916824930884e-324
3.821285140562248994e+00 1.495166319412474691e-309
3.841365461847389362e+00 4.555962323240083989e-296
3.861445783132530174e+00 3.417150310067273073e-283
3.881526104417670542e+00 6.721242005719571589e-271
3.901606425702811354e+00 3.682999754392115709e-259
3.921686746987951722e+00 5.956607606151558423e-248
3.941767068273092534e+00 3.004600418034493504e-237
3.961847389558232901e+00 4.982280979800739472e-227
3.981927710843373269e+00 2.855970619775716511e-217
4.002008032128514081e+00 5.937548314583876870e-208
4.022088353413654893e+00 4.686952316708053992e-199
4.042168674698794817e+00 1.467596479341745795e-190
4.062248995983935629e+00 1.900639238984123039e-182
4.082329317269076441e+00 1.059482880667147363e-174
4.102409638554217253e+00 2.640772225429263458e-167
4.122489959839357176e+00 3.052142388568000370e-160
4.142570281124497988e+00 1.693541837684380015e-153
4.162650602409638800e+00 4.663407851635269347e-147
4.182730923694778724e+00 6.577723537995447546e-141
4.202811244979919536e+00 4.898236763442675495e-135
4.222891566265060348e+00 1.982119853448760159e-129
4.242971887550201160e+00 4.480368303219289515e-124
4.263052208835341084e+00 5.807886346410040718e-119
4.283132530120481896e+00 4.427450168463605759e-114
4.303212851405622708e+00 2.033003021646015282e-109
4.323293172690762631e+00 5.753312973280511346e-105
4.343373493975903443e+00 1.025630707494925165e-100
4.363453815261044255e+00 1.176048757087038958e-96
4.383534136546185067e+00 8.848699226574232289e-93
4.403614457831324991e+00 4.452670779593678504e-89
4.423694779116465803e+00 1.525957604879533006e-85
4.443775100401606615e+00 3.623948985984175269e-82
4.463855421686746539e+00 6.063673804107439434e-79
4.483935742971887350e+00 7.262313111723837719e-76
4.504016064257028162e+00 6.320628097609628199e-73
4.524096385542168974e+00 4.055607481679742927e-70
4.544176706827309786e+00 1.945105744647499903e-67
4.564257028112449710e+00 7.065340134338612568e-65
4.584337349397590522e+00 1.968241369135648348e-62
4.604417670682730446e+00 4.255842248805966953e-60
4.624497991967871258e+00 7.224798832338722331e-58
4.644578313253012070e+00 9.735216462199874058e-56
4.664658634538152882e+00 1.052148725404436490e-53
4.684738955823293693e+00 9.211865158816983743e-52
4.704819277108433617e+00 6.596121275001146042e-50
4.724899598393574429e+00 3.898031134280006644e-48
4.744979919678714353e+00 1.917716051185752151e-46
4.765060240963855165e+00 7.919579582198684881e-45
4.785140562248995977e+00 2.767150267999525456e-43
4.805220883534136789e+00 8.242423729402324447e-42
4.825301204819277601e+00 2.108139375993460054e-40
4.845381526104417524e+00 4.661814947723867031e-39
4.865461847389558336e+00 8.971728487694988960e-38
4.885542168674698260e+00 1.512124929794793806e-36
4.905622489959839072e+00 2.245389117933418100e-35
4.925702811244979884e+00 2.954420367170261800e-34
4.945783132530120696e+00 3.463393016984059761e-33
4.965863453815261508e+00 3.636176566337843221e-32
4.985943775100401432e+00 3.436088853657182685e-31
5.006024096385542244e+00 2.936465206473898696e-30
5.026104417670682167e+00 2.279806029266144231e-29
5.046184738955822979e+00 1.614975470831157588e-28
5.066265060240963791e+00 1.048156978650048771e-27
5.086345381526104603e+00 6.257419357773948253e-27
5.106425702811245415e+00 3.449144201588322451e-26
5.126506024096385339e+00 1.761729393193465262e-25
5.146586345381526151e+00 8.367056980079432477e-25
5.166666666666666963e+00 3.707134715981645375e-24
5.186746987951806886e+00 1.537085890969300129e-23
5.206827309236947698e+00 5.982084296093885982e-23
5.226907630522088510e+00 2.191509297716258370e-22
5.246987951807229322e+00 7.578028024304288384e-22
5.267068273092369246e+00 2.479838351296965436e-21
5.287148594377510058e+00 7.698850459954279003e-21
5.307228915662650870e+00 2.272982147223108579e-20
5.327309236947790794e+00 6.396162601444164775e-20
5.347389558232931606e+00 1.719244053547598998e-19
5.367469879518072418e+00 4.423325628182542803e-19
5.387550200803213230e+00 1.091470222353832830e-18
5.407630522088353153e+00 2.587891313529793220e-18
5.427710843373493965e+00 5.906550852017793744e-18
5.447791164658634777e+00 1.299939020903205357e-17
5.467871485943774701e+00 2.763292223759090427e-17
5.487951807228915513e+00 5.682337142272696362e-17
5.508032128514056325e+00 1.132072901394442693e-16
5.528112449799197137e+00 2.188217756001120051e-16
5.548192771084337949e+00 4.109310218267034377e-16
5.568273092369477872e+00 7.507172057206292779e-16
5.588353413654618684e+00 1.335839197460127790e-15
5.608433734939758608e+00 2.318031628207876073e-15
5.628514056224899420e+00 3.927042939489350883e-15
5.648594377510040232e+00 6.502262421330310213e-15
5.668674698795181044e+00 1.053333332428464408e-14
5.688755020080321856e+00 1.671088087519557018e-14
5.708835341365461780e+00 2.598815396881094457e-14
5.728915662650602592e+00 3.965391240023403555e-14
5.748995983935742515e+00 5.941628991878536855e-14
5.769076305220883327e+00 8.749665211425231799e-14
5.789156626506024139e+00 1.267315934755206492e-13
5.809236947791164951e+00 1.806802796967803146e-13
5.829317269076305763e+00 2.537342179415013122e-13
5.849397590361445687e+00 3.512253023506708201e-13
5.869477911646586499e+00 4.795277704467687736e-13
5.889558232931726423e+00 6.461494491272484342e-13
5.909638554216867234e+00 8.598077150615393925e-13
5.929718875502008046e+00 1.130485863442726796e-12
5.949799196787148858e+00 1.469464798107630504e-12
