# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 0.000000000000000000e+00
3.620481927710843539e+00 0.000000000000000000e+00
3.640562248995983907e+00 0.000000000000000000e+00
3.660642570281124719e+00 0.000000000000000000e+00
3.680722891566265087e+00 0.000000000000000000e+00
3.700803212851405455e+00 0.000000000000000000e+00
3.720883534136546267e+00 0.000000000000000000e+00
3.740963855421686635e+00 0.000000000000000000e+00
3.761044176706827447e+00 0.000000000000000000e+00
3.781124497991967814e+00 0.000000000000000000e+00
3.801204819277108626e+00 0.000000000000000000e+00
3.821285140562248994e+00 0.000000000000000000e+00
3.841365461847389362e+00 0.000000000000000000e+00
3.861445783132530174e+00 0.000000000000000000e+00
3.881526104417670542e+00 0.000000000000000000e+00
3.901606425702811354e+00 1.818161576695787283e-321
3.921686746987951722e+00 1.840672761502619220e-307
3.941767068273092534e+00 4.343284652992398063e-294
3.961847389558232901e+00 2.551940706533590180e-281
3.981927710843373269e+00 3.975711644852587859e-269
4.002008032128514081e+00 1.743813070307243312e-257
4.022088353413654893e+00 2.280328815726479564e-246
4.042168674698794817e+00 9.389780651641694525e-236
4.062248995983935629e+00 1.282769825950520451e-225
4.082329317269076441e+00 6.111216636760953477e-216
4.102409638554217253e+00 1.064790962057751624e-206
4.122489959839357176e+00 7.100628402874811259e-198
4.142570281124497988e+00 1.892653580735407905e-189
4.162650602409638800e+00 2.101754561566832492e-181
4.182730923694778724e+00 1.011604875377744652e-173
4.202811244979919536e+00 2.191608907144173771e-166
4.222891566265060348e+00 2.215656048837792599e-159
4.242971887550201160e+00 1.081894501394349158e-152
4.263052208835341084e+00 2.636884558741380019e-146
4.283132530120481896e+00 3.310213780332480932e-140
4.303212851405622708e+00 2.205457402047617374e-134
4.323293172690762631e+00 8.025086634565505594e-129
4.343373493975903443e+00 1.638997305675073630e-123
4.363453815261044255e+00 1.928487934770475435e-118
4.383534136546185067e+00 1.340251908007127824e-113
4.403614457831324991e+00 5.634021102217771435e-109
4.423694779116465803e+00 1.465473228220088230e-104
4.443775100401606615e+00 2.410370458868201000e-100
4.463855421686746539e+00 2.559349985861216852e-96
4.483935742971887350e+00 1.789380258206521588e-92
4.504016064257028162e+00 8.394633995244020861e-89
4.524096385542168974e+00 2.690640293183478364e-85
4.544176706827309786e+00 5.994308743759249054e-82
4.564257028112449710e+00 9.436028314014834228e-79
4.584337349397590522e+00 1.066155585932010211e-75
4.604417670682730446e+00 8.776872488912711177e-73
4.624497991967871258e+00 5.340223656730063743e-70
4.644578313253012070e+00 2.434509224310743004e-67
4.664658634538152882e+00 8.424798732783466918e-65
4.684738955823293693e+00 2.240844107277403916e-62
4.704819277108433617e+00 4.635869929435365916e-60
4.724899598393574429e+00 7.544812974725429213e-58
4.744979919678714353e+00 9.764965382581606830e-56
4.765060240963855165e+00 1.015529526892247444e-53
4.785140562248995977e+00 8.570487520773567097e-52
4.805220883534136789e+00 5.925256953409386762e-50
4.825301204819277601e+00 3.386179117718331428e-48
4.845381526104417524e+00 1.613426987468758923e-46
4.865461847389558336e+00 6.462374308304807237e-45
4.885542168674698260e+00 2.193026394817880688e-43
4.905622489959839072e+00 6.352668710667897628e-42
4.925702811244979884e+00 1.582099665909999582e-40
4.945783132530120696e+00 3.410681113497519363e-39
4.965863453815261508e+00 6.406317000271103358e-38
4.985943775100401432e+00 1.054965417137286222e-36
5.006024096385542244e+00 1.532183653999758158e-35
5.026104417670682167e+00 1.973739877821933780e-34
5.046184738955822979e+00 2.267398344885646386e-33
5.066265060240963791e+00 2.334912212385461143e-32
5.086345381526104603e+00 2.166020646101572972e-31
5.106425702811245415e+00 1.818659848584971199e-30
5.126506024096385339e+00 1.388328409961714929e-29
5.146586345381526151e+00 9.677237730165574654e-29
5.166666666666666963e+00 6.184595771847822462e-28
5.186746987951806886e+00 3.638091484419475607e-27
5.206827309236947698e+00 1.977256682093045501e-26
5.226907630522088510e+00 9.963936038029333057e-26
5.246987951807229322e+00 4.671522302666051144e-25
5.267068273092369246e+00 2.044371188435847610e-24
5.287148594377510058e+00 8.376935761301132635e-24
5.307228915662650870e+00 3.223472427789407857e-23
5.327309236947790794e+00 1.168172619693622392e-22
5.347389558232931606e+00 3.997695104616048699e-22
5.367469879518072418e+00 1.295251349420705028e-21
5.387550200803213230e+00 3.983011850915030402e-21
5.407630522088353153e+00 1.165212891999431975e-20
5.427710843373493965e+00 3.250213002763191595e-20
5.447791164658634777e+00 8.662909626725030816e-20
5.467871485943774701e+00 2.210810665682672698e-19
5.487951807228915513e+00 5.412840753293890967e-19
5.508032128514056325e+00 1.273786262761115211e-18
5.528112449799197137e+00 2.886293250549217466e-18
5.548192771084337949e+00 6.308075006119440023e-18
5.568273092369477872e+00 1.331901772016616492e-17
5.588353413654618684e+00 2.721078002997726657e-17
5.608433734939758608e+00 5.387002924273139778e-17
5.628514056224899420e+00 1.034917416453344389e-16
5.648594377510040232e+00 1.931983709592812001e-16
5.668674698795181044e+00 3.509142064475068569e-16
5.688755020080321856e+00 6.209165575331342964e-16
5.708835341365461780e+00 1.071546881438351780e-15
5.728915662650602592e+00 1.805603822356892838e-15
5.748995983935742515e+00 2.973943540836493625e-15
5.769076305220883327e+00 4.792768464403231712e-15
5.789156626506024139e+00 7.564983980298124920e-15
5.809236947791164951e+00 1.170583834666905496e-14
5.829317269076305763e+00 1.777283498293339546e-14
5.849397590361445687e+00 2.649962608551746215e-14
5.869477911646586499e+00 3.883327710047927750e-14
5.889558232931726423e+00 5.597395415793705453e-14
5.909638554216867234e+00 7.941575687618044699e-14
5.929718875502008046e+00 1.109871248345258440e-13
5.949799196787148858e+00 1.528890146470565625e-13
