# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 5.252777059621775645e-49
3.520080321285140368e+00 3.175693020213844242e-47
3.540160642570281180e+00 1.597080377253690008e-45
3.560240963855421548e+00 6.737051661833495513e-44
3.580321285140562360e+00 2.402816849543031175e-42
3.600401606425702727e+00 7.300894605028869378e-41
3.620481927710843539e+00 1.903637169312052474e-39
3.640562248995983907e+00 4.288949067024242295e-38
3.660642570281124719e+00 8.405168637763413709e-37
3.680722891566265087e+00 1.441821288712570191e-35
3.700803212851405455e+00 2.178024680959546730e-34
3.720883534136546267e+00 2.914065319397442305e-33
3.740963855421686635e+00 3.472216920167149213e-32
3.761044176706827447e+00 3.703938336509196476e-31
3.781124497991967814e+00 3.555047322957068908e-30
3.801204819277108626e+00 3.084813919375067192e-29
3.821285140562248994e+00 2.431072701872941536e-28
3.841365461847389362e+00 1.747616833633210236e-27
3.861445783132530174e+00 1.150753237895006333e-26
3.881526104417670542e+00 6.968393807166406753e-26
3.901606425702811354e+00 3.895350032510962293e-25
3.921686746987951722e+00 2.017427818028543536e-24
3.941767068273092534e+00 9.713830984267490426e-24
3.961847389558232901e+00 4.362742018569639512e-23
3.981927710843373269e+00 1.833477498654855038e-22
4.002008032128514081e+00 7.231816627334787919e-22
4.022088353413654893e+00 2.684878189320520963e-21
4.042168674698794817e+00 9.408063993598060834e-21
4.062248995983935629e+00 3.119705856706897716e-20
4.082329317269076441e+00 9.814144808855910653e-20
4.102409638554217253e+00 2.935994499782947315e-19
4.122489959839357176e+00 8.371697605306828515e-19
4.142570281124497988e+00 2.280205730910619475e-18
4.162650602409638800e+00 5.944845372164678426e-18
4.182730923694778724e+00 1.486537967500583462e-17
4.202811244979919536e+00 3.571939828371238764e-17
4.222891566265060348e+00 8.262497817045324393e-17
4.242971887550201160e+00 1.843097847345708574e-16
4.263052208835341084e+00 3.971292272946394370e-16
4.283132530120481896e+00 8.278387803863191684e-16
4.303212851405622708e+00 1.672026068171676991e-15
4.323293172690762631e+00 3.276776649615824129e-15
4.343373493975903443e+00 6.239530222658625138e-15
4.363453815261044255e+00 1.155914684563781915e-14
4.383534136546185067e+00 2.085979965699656704e-14
4.403614457831324991e+00 3.671316090020072192e-14
4.423694779116465803e+00 6.308902931403259273e-14
4.443775100401606615e+00 1.059685081922706137e-13
4.463855421686746539e+00 1.741564427993757359e-13
4.483935742971887350e+00 2.803303909488863971e-13
4.504016064257028162e+00 4.423613061139160585e-13
4.524096385542168974e+00 6.849358657059548943e-13
4.544176706827309786e+00 1.041501699208769964e-12
4.564257028112449710e+00 1.556544661223356802e-12
4.584337349397590522e+00 2.288192068577910031e-12
4.604417670682730446e+00 3.311118112358482900e-12
4.624497991967871258e+00 4.719708384177262501e-12
4.644578313253012070e+00 6.631420757534550768e-12
4.664658634538152882e+00 9.190261009815449379e-12
4.684738955823293693e+00 1.257027482662011024e-11
4.704819277108433617e+00 1.697894439572953515e-11
4.724899598393574429e+00 2.266036862365391332e-11
4.744979919678714353e+00 2.989810196338725857e-11
4.765060240963855165e+00 3.901752829643182342e-11
4.785140562248995977e+00 5.038765293027497736e-11
4.805220883534136789e+00 6.442220790804551447e-11
4.825301204819277601e+00 8.157998102897307338e-11
4.845381526104417524e+00 1.023643021628310314e-10
4.865461847389558336e+00 1.273216449046066552e-10
4.885542168674698260e+00 1.570393213831813863e-10
4.905622489959839072e+00 1.921422773074751935e-10
4.925702811244979884e+00 2.332890094959252468e-10
4.945783132530120696e+00 2.811666387513952114e-10
4.965863453815261508e+00 3.364852912122546956e-10
4.985943775100401432e+00 3.999718326554802905e-10
5.006024096385542244e+00 4.723630627367180546e-10
5.026104417670682167e+00 5.543984972048621076e-10
5.046184738955822979e+00 6.468128038180248181e-10
5.066265060240963791e+00 7.503277412938017743e-10
5.086345381526104603e+00 8.656445493286030605e-10
5.106425702811245415e+00 9.934364778130526117e-10
5.126506024096385339e+00 1.134341425164178470e-09
5.146586345381526151e+00 1.288954922742889735e-09
5.166666666666666963e+00 1.457823566755883062e-09
5.186746987951806886e+00 1.641438656604088264e-09
5.206827309236947698e+00 1.840228145342896836e-09
5.226907630522088510e+00 2.054552485951647626e-09
5.246987951807229322e+00 2.284701702627949811e-09
5.267068273092369246e+00 2.530892158987342582e-09
5.287148594377510058e+00 2.793264118771486739e-09
5.307228915662650870e+00 3.071880111391146790e-09
5.327309236947790794e+00 3.366724085340188813e-09
5.347389558232931606e+00 3.677701126493203047e-09
5.367469879518072418e+00 4.004630066545446596e-09
5.387550200803213230e+00 4.347240489607401764e-09
5.407630522088353153e+00 4.705183504281111682e-09
5.427710843373493965e+00 5.078035377380826959e-09
5.447791164658634777e+00 5.465301108497501194e-09
5.467871485943774701e+00 5.866418484847842470e-09
5.487951807228915513e+00 6.280762406049764569e-09
5.508032128514056325e+00 6.707649922761559999e-09
5.528112449799197137e+00 7.146345510991238542e-09
5.548192771084337949e+00 7.596066449902339249e-09
5.568273092369477872e+00 8.055976406080199591e-09
5.588353413654618684e+00 8.525165065169818192e-09
5.608433734939758608e+00 9.002679684479621835e-09
5.628514056224899420e+00 9.487538788514728433e-09
5.648594377510040232e+00 9.978739582170771328e-09
5.668674698795181044e+00 1.047526445597646951e-08
5.688755020080321856e+00 1.097608726865563001e-08
5.708835341365461780e+00 1.148017935985206784e-08
5.728915662650602592e+00 1.198651484092785206e-08
5.748995983935742515e+00 1.249407114087131211e-08
5.769076305220883327e+00 1.300183589313955941e-08
5.789156626506024139e+00 1.350881531754477980e-08
5.809236947791164951e+00 1.401403850326383598e-08
5.829317269076305763e+00 1.451655711562833656e-08
5.849397590361445687e+00 1.501540087011424194e-08
5.869477911646586499e+00 1.550959561192343271e-08
5.889558232931726423e+00 1.599820132701459222e-08
5.909638554216867234e+00 1.648030757726113396e-08
5.929718875502008046e+00 1.695502989116714031e-08
5.949799196787148858e+00 1.742152843473264289e-08
5.969879518072289670e+00 1.787901214979728836e-08
5.989959839357429594e+00 1.832674047971131521e-08
6.010040160642570406e+00 1.876402462693378793e-08
6.030120481927710330e+00 1.919022836999452468e-08
6.050200803212851142e+00 1.960476846997963680e-08
6.070281124497991954e+00 2.000711469863602574e-08
6.090361445783132766e+00 2.039678952138842366e-08
6.110441767068273577e+00 2.077335936099135234e-08
6.130522088353413501e+00 2.113640695625940605e-08
6.150602409638554313e+00 2.148556019308655023e-08
6.170682730923694237e+00 2.182050165440909909e-08
6.190763052208835049e+00 2.214096692043239402e-08
6.210843373493975861e+00 2.244674261194992074e-08
6.230923694779116673e+00 2.273764396537646671e-08
6.251004016064257485e+00 2.301348090628094628e-08
6.271084337349397408e+00 2.327410168183715670e-08
6.291164658634538220e+00 2.351939986083761412e-08
6.311244979919678144e+00 2.374931265555721874e-08
6.331325301204818956e+00 2.396381912428356998e-08
6.351405622489959768e+00 2.416293826933688244e-08
6.371485943775100580e+00 2.434672547196538634e-08
6.391566265060241392e+00 2.451523802692555405e-08
6.411646586345381316e+00 2.466853902099583847e-08
6.431726907630522128e+00 2.480673053155341013e-08
6.451807228915662051e+00 2.492995248097731949e-08
6.471887550200802863e+00 2.503837990187427143e-08
6.491967871485943675e+00 2.513222016437664341e-08
6.512048192771084487e+00 2.521171018983691949e-08
6.532128514056225299e+00 2.527711367361078793e-08
6.552208835341365223e+00 2.532871833791976508e-08
6.572289156626506035e+00 2.536683323402217802e-08
6.592369477911645959e+00 2.539178611110692099e-08
6.612449799196786770e+00 2.540392086747058968e-08
6.632530120481927582e+00 2.540359509765738679e-08
6.652610441767068394e+00 2.539117774734911289e-08
6.672690763052209206e+00 2.536704688590459239e-08
6.692771084337350018e+00 2.533158760458200059e-08
6.712851405622489942e+00 2.528519004665213500e-08
6.732931726907629866e+00 2.522824757384074615e-08
6.753012048192770678e+00 2.516115507183656901e-08
6.773092369477911490e+00 2.508429817966990621e-08
6.793172690763052302e+00 2.499802783712804696e-08
6.813253012048193114e+00 2.490269033540265550e-08
6.833333333333333925e+00 2.479863502909236437e-08
6.853413654618473849e+00 2.468621282514560092e-08
6.873493975903614661e+00 2.456577479589089172e-08
6.893574297188754585e+00 2.443767091637342431e-08
6.913654618473895397e+00 2.430224892461696428e-08
6.933734939759036209e+00 2.415985327944843018e-08
6.953815261044177021e+00 2.401081792788739074e-08
6.973895582329317833e+00 2.385545729245851103e-08
6.993975903614457756e+00 2.369407916071999094e-08
7.014056224899598568e+00 2.352698648801309761e-08
7.034136546184738492e+00 2.335447703866381983e-08
7.054216867469879304e+00 2.317684309008193997e-08
7.074297188755020116e+00 2.299437119188792891e-08
7.094377510040160928e+00 2.280734197265039818e-08
7.114457831325301740e+00 2.261602998736345472e-08
7.134538152610441664e+00 2.242070359940752448e-08
7.154618473895582476e+00 2.222162489139221952e-08
7.174698795180722399e+00 2.201904959995225126e-08
7.194779116465863211e+00 2.181322707023639657e-08
7.214859437751004023e+00 2.160440022647864163e-08
7.234939759036144835e+00 2.139280555565283495e-08
7.255020080321285647e+00 2.117867310178098002e-08
7.275100401606425571e+00 2.096222646897785549e-08
7.295180722891566383e+00 2.074368283176944155e-08
7.315261044176706307e+00 2.052325295161660037e-08
7.335341365461847118e+00 2.030114119890648008e-08
7.355421686746987930e+00 2.007754557994731249e-08
7.375502008032128742e+00 1.985265776871760015e-08
7.395582329317269554e+00 1.962666314328454940e-08
7.415662650602409478e+00 1.939974082692436673e-08
7.435742971887550290e+00 1.917206373405250458e-08
7.455823293172690214e+00 1.894379862111287797e-08
7.475903614457831026e+00 1.871510614241769433e-08
7.495983935742971838e+00 1.848613826363984381e-08
7.516064257028112650e+00 1.825703235324332441e-08
7.536144578313252573e+00 1.802791967358238265e-08
7.556224899598393385e+00 1.779892753335557627e-08
7.576305220883534197e+00 1.757017921823069216e-08
7.596385542168675009e+00 1.734179393027349969e-08
7.616465863453814933e+00 1.711388673714669826e-08
7.636546184738955745e+00 1.688656853178465065e-08
7.656626506024096557e+00 1.665994600300971414e-08
7.676706827309237369e+00 1.643412161733679161e-08
7.696787148594377292e+00 1.620919361201821161e-08
7.716867469879518104e+00 1.598525599920898645e-08
7.736947791164658916e+00 1.576239858098600669e-08
7.757028112449798840e+00 1.554070697482993876e-08
7.777108433734939652e+00 1.532026264907702795e-08
7.797188755020080464e+00 1.510114296776741515e-08
7.817269076305221276e+00 1.488342124425393473e-08
7.837349397590361200e+00 1.466716680289230664e-08
7.857429718875502012e+00 1.445244504810326466e-08
7.877510040160642824e+00 1.423931754008427047e-08
7.897590361445782747e+00 1.402784207644343561e-08
7.917670682730923559e+00 1.381807277903703811e-08
7.937751004016064371e+00 1.361006018530660064e-08
7.957831325301205183e+00 1.340385134343484636e-08
7.977911646586345107e+00 1.319948991066794183e-08
7.997991967871485919e+00 1.299701625418371235e-08
8.018072289156627619e+00 1.279646755392157582e-08
8.038152610441766655e+00 1.259787790682777758e-08
8.058232931726907466e+00 1.240127843200826243e-08
8.078313253012048278e+00 1.220669737632251170e-08
8.098393574297189090e+00 1.201416021998957458e-08
8.118473895582329902e+00 1.182368978181839072e-08
8.138554216867468938e+00 1.163530632371167786e-08
8.158634538152611526e+00 1.144902765412963488e-08
8.178714859437750562e+00 1.126486923023554742e-08
8.198795180722891374e+00 1.108284425847745632e-08
8.218875502008032186e+00 1.090296379339360305e-08
8.238955823293172998e+00 1.072523683445696393e-08
8.259036144578313809e+00 1.054967042080308881e-08
8.279116465863452845e+00 1.037626972371016580e-08
8.299196787148595433e+00 1.020503813672406961e-08
8.319277108433734469e+00 1.003597736334273254e-08
8.339357429718875281e+00 9.869087502193057962e-09
8.359437751004016093e+00 9.704367129652600165e-09
8.379518072289156905e+00 9.541813379882891820e-09
8.399598393574297717e+00 9.381422022256540395e-09
8.419678714859436752e+00 9.223187536172971632e-09
8.439759036144579341e+00 9.067103183268069365e-09
8.459839357429718376e+00 8.913161077035168494e-09
8.479919678714859188e+00 8.761352249880292529e-09
8.500000000000000000e+00 8.611666717645917357e-09
