# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 2.472017384459443857e-56
3.520080321285140368e+00 3.424131746994246525e-54
3.540160642570281180e+00 3.799531955586392677e-52
3.560240963855421548e+00 3.411473372426667269e-50
3.580321285140562360e+00 2.502309552743650987e-48
3.600401606425702727e+00 1.513193263171282133e-46
3.620481927710843539e+00 7.610092874684164208e-45
3.640562248995983907e+00 3.209551910355120764e-43
3.660642570281124719e+00 1.144223840689712615e-41
3.680722891566265087e+00 3.474456763975169366e-40
3.700803212851405455e+00 9.051495541532377223e-39
3.720883534136546267e+00 2.037122676658021524e-37
3.740963855421686635e+00 3.987011469523030248e-36
3.761044176706827447e+00 6.828913032605136375e-35
3.781124497991967814e+00 1.029783560424059494e-33
3.801204819277108626e+00 1.375082716781554666e-32
3.821285140562248994e+00 1.634878540233286485e-31
3.841365461847389362e+00 1.739776464123083770e-30
3.861445783132530174e+00 1.665433284645858454e-29
3.881526104417670542e+00 1.440997097251748690e-28
3.901606425702811354e+00 1.132096482078700239e-27
3.921686746987951722e+00 8.111123630262731550e-27
3.941767068273092534e+00 5.321855220522023583e-26
3.961847389558232901e+00 3.210369728791269219e-25
3.981927710843373269e+00 1.787329014977003211e-24
4.002008032128514081e+00 9.216890466405131190e-24
4.022088353413654893e+00 4.417704888201396978e-23
4.042168674698794817e+00 1.974582603177323539e-22
4.062248995983935629e+00 8.256374420562689597e-22
4.082329317269076441e+00 3.239262512320626333e-21
4.102409638554217253e+00 1.195896822917724812e-20
4.122489959839357176e+00 4.166042988710567092e-20
4.142570281124497988e+00 1.373011018537719030e-19
4.162650602409638800e+00 4.291714795056302298e-19
4.182730923694778724e+00 1.275355977320704915e-18
4.202811244979919536e+00 3.611320217691775544e-18
4.222891566265060348e+00 9.765175772612993808e-18
4.242971887550201160e+00 2.526831793762503967e-17
4.263052208835341084e+00 6.269265811157224754e-17
4.283132530120481896e+00 1.494252579081972196e-16
4.303212851405622708e+00 3.427551561195295126e-16
4.323293172690762631e+00 7.579608372427384973e-16
4.343373493975903443e+00 1.618558980787503475e-15
4.363453815261044255e+00 3.342820808387558060e-15
4.383534136546185067e+00 6.687339191531805041e-15
4.403614457831324991e+00 1.297695061150669777e-14
4.423694779116465803e+00 2.446054702020317901e-14
4.443775100401606615e+00 4.484377332644875840e-14
4.463855421686746539e+00 8.006139774856890306e-14
4.483935742971887350e+00 1.393629279745495820e-13
4.504016064257028162e+00 2.367931074489299582e-13
4.524096385542168974e+00 3.931523051224241480e-13
4.544176706827309786e+00 6.385185350792598283e-13
4.564257028112449710e+00 1.015401203295251060e-12
4.584337349397590522e+00 1.582575541023440803e-12
4.604417670682730446e+00 2.419615755158549235e-12
4.624497991967871258e+00 3.632104950686277052e-12
4.644578313253012070e+00 5.357452715858902493e-12
4.664658634538152882e+00 7.771199805550162727e-12
4.684738955823293693e+00 1.109363733694274083e-11
4.704819277108433617e+00 1.559651955217893794e-11
4.724899598393574429e+00 2.160960875798147435e-11
4.744979919678714353e+00 2.952676245029069329e-11
4.765060240963855165e+00 3.981125884172742878e-11
4.785140562248995977e+00 5.300006056411762294e-11
4.805220883534136789e+00 6.970673731336933044e-11
4.825301204819277601e+00 9.062280565878340640e-11
4.845381526104417524e+00 1.165172968742834222e-10
4.865461847389558336e+00 1.482344234135714513e-10
4.885542168674698260e+00 1.866892980128914538e-10
4.905622489959839072e+00 2.328617310786839613e-10
4.925702811244979884e+00 2.877881985810686367e-10
4.945783132530120696e+00 3.525521495936509883e-10
4.965863453815261508e+00 4.282728360409386874e-10
4.985943775100401432e+00 5.160929158071653047e-10
5.006024096385542244e+00 6.171653462520250158e-10
5.026104417670682167e+00 7.326397316720908095e-10
5.046184738955822979e+00 8.636484869475635446e-10
5.066265060240963791e+00 1.011293161784345983e-09
5.086345381526104603e+00 1.176630875427265845e-09
5.106425702811245415e+00 1.360660536962968600e-09
5.126506024096385339e+00 1.564311803378588507e-09
5.146586345381526151e+00 1.788434953886822356e-09
5.166666666666666963e+00 2.033791895674093603e-09
5.186746987951806886e+00 2.301048656479398810e-09
5.206827309236947698e+00 2.590769424217530527e-09
5.226907630522088510e+00 2.903409985422381832e-09
5.246987951807229322e+00 3.239305425216178529e-09
5.267068273092369246e+00 3.598672847420402540e-09
5.287148594377510058e+00 3.981613751455094058e-09
5.307228915662650870e+00 4.388115379933558409e-09
5.327309236947790794e+00 4.818053360986117577e-09
5.347389558232931606e+00 5.271195489412165054e-09
5.367469879518072418e+00 5.747206481663588511e-09
5.387550200803213230e+00 6.245651273833615189e-09
5.407630522088353153e+00 6.765963972828028539e-09
5.427710843373493965e+00 7.307452574585875773e-09
5.447791164658634777e+00 7.869333076713551690e-09
5.467871485943774701e+00 8.450738951981346750e-09
5.487951807228915513e+00 9.050730154613332147e-09
5.508032128514056325e+00 9.668302175424902074e-09
5.528112449799197137e+00 1.030239530664038475e-08
5.548192771084337949e+00 1.095190397198951071e-08
5.568273092369477872e+00 1.161568566896683898e-08
5.588353413654618684e+00 1.229256884120053073e-08
5.608433734939758608e+00 1.298129080219901726e-08
5.628514056224899420e+00 1.368043587301209835e-08
5.648594377510040232e+00 1.438854944637605571e-08
5.668674698795181044e+00 1.510416308012995850e-08
5.688755020080321856e+00 1.582580521216438873e-08
5.708835341365461780e+00 1.655201123699009277e-08
5.728915662650602592e+00 1.728133292311353358e-08
5.748995983935742515e+00 1.801234703675777315e-08
5.769076305220883327e+00 1.874365993995610062e-08
5.789156626506024139e+00 1.947391242205631583e-08
5.809236947791164951e+00 2.020179112722892867e-08
5.829317269076305763e+00 2.092603437369063648e-08
5.849397590361445687e+00 2.164543647391262081e-08
5.869477911646586499e+00 2.235881692544419287e-08
5.889558232931726423e+00 2.306481717505432354e-08
5.909638554216867234e+00 2.376203404188552997e-08
5.929718875502008046e+00 2.444912108139366067e-08
5.949799196787148858e+00 2.512478091844087635e-08
5.969879518072289670e+00 2.578778513809991422e-08
5.989959839357429594e+00 2.643698520684313518e-08
6.010040160642570406e+00 2.707131621098016375e-08
6.030120481927710330e+00 2.768979958687306134e-08
6.050200803212851142e+00 2.829154487415671873e-08
6.070281124497991954e+00 2.887575053465182158e-08
6.090361445783132766e+00 2.944170389174430713e-08
6.110441767068273577e+00 2.998878025528751880e-08
6.130522088353413501e+00 3.051643898564527746e-08
6.150602409638554313e+00 3.102419239282570590e-08
6.170682730923694237e+00 3.151161527809232926e-08
6.190763052208835049e+00 3.197836592759596223e-08
6.210843373493975861e+00 3.242418285960423784e-08
6.230923694779116673e+00 3.284888062095663755e-08
6.251004016064257485e+00 3.325234333585016407e-08
6.271084337349397408e+00 3.363439795663226690e-08
6.291164658634538220e+00 3.399474019587436149e-08
6.311244979919678144e+00 3.433311441769616984e-08
6.331325301204818956e+00 3.464933009742215030e-08
6.351405622489959768e+00 3.494326045336522064e-08
6.371485943775100580e+00 3.521484083501235525e-08
6.391566265060241392e+00 3.546406682251931115e-08
6.411646586345381316e+00 3.569097229262806832e-08
6.431726907630522128e+00 3.589560218976649356e-08
6.451807228915662051e+00 3.607805660763780399e-08
6.471887550200802863e+00 3.623849565549263807e-08
6.491967871485943675e+00 3.637713625898811808e-08
6.512048192771084487e+00 3.649424878549971807e-08
6.532128514056225299e+00 3.659015352646684117e-08
6.552208835341365223e+00 3.666521706854388217e-08
6.572289156626506035e+00 3.671984858436880300e-08
6.592369477911645959e+00 3.675449607265274761e-08
6.612449799196786770e+00 3.676964257603731841e-08
6.632530120481927582e+00 3.676580240377074882e-08
6.652610441767068394e+00 3.674351738472926289e-08
6.672690763052209206e+00 3.670335317467411979e-08
6.692771084337350018e+00 3.664589563989958875e-08
6.712851405622489942e+00 3.657174733761636132e-08
6.732931726907629866e+00 3.648152411154217804e-08
6.753012048192770678e+00 3.637585181925790619e-08
6.773092369477911490e+00 3.625536320594861911e-08
6.793172690763052302e+00 3.612069199870907289e-08
6.813253012048193114e+00 3.597244091845655943e-08
6.833333333333333925e+00 3.581119609718170317e-08
6.853413654618473849e+00 3.563754693270952793e-08
6.873493975903614661e+00 3.545208370279175504e-08
6.893574297188754585e+00 3.525539500059020054e-08
6.913654618473895397e+00 3.504806536263005275e-08
6.933734939759036209e+00 3.483067309562469369e-08
6.953815261044177021e+00 3.460378830600198320e-08
6.973895582329317833e+00 3.436797037461015193e-08
6.993975903614457756e+00 3.412372878483539836e-08
7.014056224899598568e+00 3.387150663062687044e-08
7.034136546184738492e+00 3.361173353439571461e-08
7.054216867469879304e+00 3.334482986594365286e-08
7.074297188755020116e+00 3.307120653635565345e-08
7.094377510040160928e+00 3.279126487058019557e-08
7.114457831325301740e+00 3.250539654494511127e-08
7.134538152610441664e+00 3.221398357687062837e-08
7.154618473895582476e+00 3.191739835521433246e-08
7.174698795180722399e+00 3.161600370096099812e-08
7.194779116465863211e+00 3.131015294930440933e-08
7.214859437751004023e+00 3.100019004551976301e-08
7.234939759036144835e+00 3.068644964834703789e-08
7.255020080321285647e+00 3.036925723587538045e-08
7.275100401606425571e+00 3.004892921009999824e-08
7.295180722891566383e+00 2.972577299740456009e-08
7.315261044176706307e+00 2.940008714318266761e-08
7.335341365461847118e+00 2.907216139964833809e-08
7.355421686746987930e+00 2.874227680659076579e-08
7.375502008032128742e+00 2.841070576540569969e-08
7.395582329317269554e+00 2.807771210718912024e-08
7.415662650602409478e+00 2.774355115601491513e-08
7.435742971887550290e+00 2.740846978874996038e-08
7.455823293172690214e+00 2.707270649289435744e-08
7.475903614457831026e+00 2.673649142398981251e-08
7.495983935742971838e+00 2.640004646412216069e-08
7.516064257028112650e+00 2.606358439375808272e-08
7.536144578313252573e+00 2.572730119453084333e-08
7.556224899598393385e+00 2.539138123109467671e-08
7.576305220883534197e+00 2.505600286570223184e-08
7.596385542168675009e+00 2.472133845112243082e-08
7.616465863453814933e+00 2.438755426267986229e-08
7.636546184738955745e+00 2.405481044189555497e-08
7.656626506024096557e+00 2.372326095317542697e-08
7.676706827309237369e+00 2.339305355460280297e-08
7.696787148594377292e+00 2.306432978353383817e-08
7.716867469879518104e+00 2.273722495736848035e-08
7.736947791164658916e+00 2.241186818957957581e-08
7.757028112449798840e+00 2.208838242082878349e-08
7.777108433734939652e+00 2.176688446477993019e-08
7.797188755020080464e+00 2.144748506803802984e-08
7.817269076305221276e+00 2.113028898349294989e-08
7.837349397590361200e+00 2.081539505622923164e-08
7.857429718875502012e+00 2.050289632107399780e-08
7.877510040160642824e+00 2.019288011079345702e-08
7.897590361445782747e+00 1.988542817390763303e-08
7.917670682730923559e+00 1.958061680107514492e-08
7.937751004016064371e+00 1.927851695899814762e-08
7.957831325301205183e+00 1.897919443081144534e-08
7.977911646586345107e+00 1.868270996194591936e-08
7.997991967871485919e+00 1.838911941049271172e-08
8.018072289156627619e+00 1.809847390113986963e-08
8.038152610441766655e+00 1.781081998180189616e-08
8.058232931726907466e+00 1.752619978211951340e-08
8.078313253012048278e+00 1.724465117306365866e-08
8.098393574297189090e+00 1.696620792693682194e-08
8.118473895582329902e+00 1.669089987712581890e-08
8.138554216867468938e+00 1.641875307701889635e-08
8.158634538152611526e+00 1.614978995755812204e-08
8.178714859437750562e+00 1.588402948295576775e-08
8.198795180722891374e+00 1.562148730415624794e-08
8.218875502008032186e+00 1.536217590967819879e-08
8.238955823293172998e+00 1.510610477351920903e-08
8.259036144578313809e+00 1.485328049985246486e-08
8.279116465863452845e+00 1.460370696428611361e-08
8.299196787148595433e+00 1.435738545149695246e-08
8.319277108433734469e+00 1.411431478908573492e-08
8.339357429718875281e+00 1.387449147753442327e-08
8.359437751004016093e+00 1.363790981617683255e-08
8.379518072289156905e+00 1.340456202512077634e-08
8.399598393574297717e+00 1.317443836308487496e-08
8.419678714859436752e+00 1.294752724113478465e-08
8.439759036144579341e+00 1.272381533232355747e-08
8.459839357429718376e+00 1.250328767725823433e-08
8.479919678714859188e+00 1.228592778562870642e-08
8.500000000000000000e+00 1.207171773375009380e-08
