# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 4.300019551117689865e-85
3.520080321285140368e+00 1.148542390304302682e-81
3.540160642570281180e+00 2.149953161191712208e-78
3.560240963855421548e+00 2.866102592861632190e-75
3.580321285140562360e+00 2.763092426037122430e-72
3.600401606425702727e+00 1.954786155386138976e-69
3.620481927710843539e+00 1.029141526659483434e-66
3.640562248995983907e+00 4.086207475195433371e-64
3.660642570281124719e+00 1.239283463600120068e-61
3.680722891566265087e+00 2.906103899155015987e-59
3.700803212851405455e+00 5.330750064097914298e-57
3.720883534136546267e+00 7.734292697451899121e-55
3.740963855421686635e+00 8.970334228799789884e-53
3.761044176706827447e+00 8.401273123716138468e-51
3.781124497991967814e+00 6.415407268333911045e-49
3.801204819277108626e+00 4.031351273272221520e-47
3.821285140562248994e+00 2.103042130562736580e-45
3.841365461847389362e+00 9.184743750848760343e-44
3.861445783132530174e+00 3.385272742992893383e-42
3.881526104417670542e+00 1.061099440855414458e-40
3.901606425702811354e+00 2.849260259843955100e-39
3.921686746987951722e+00 6.600182428365943024e-38
3.941767068273092534e+00 1.327775215253258456e-36
3.961847389558232901e+00 2.334554583887007475e-35
3.981927710843373269e+00 3.609403035460357649e-34
4.002008032128514081e+00 4.935602994073128477e-33
4.022088353413654893e+00 6.002417131523392098e-32
4.042168674698794817e+00 6.526675368284310060e-31
4.062248995983935629e+00 6.377237231358807734e-30
4.082329317269076441e+00 5.626566496711513327e-29
4.102409638554217253e+00 4.503244270883067303e-28
4.122489959839357176e+00 3.283893703564214770e-27
4.142570281124497988e+00 2.191079807494200883e-26
4.162650602409638800e+00 1.342994767879367231e-25
4.182730923694778724e+00 7.591021210770392309e-25
4.202811244979919536e+00 3.971214916893717132e-24
4.222891566265060348e+00 1.929565918920889152e-23
4.242971887550201160e+00 8.736874030267539209e-23
4.263052208835341084e+00 3.698234773598314730e-22
4.283132530120481896e+00 1.467891832811906471e-21
4.303212851405622708e+00 5.479164626343317961e-21
4.323293172690762631e+00 1.928670026614036731e-20
4.343373493975903443e+00 6.419082592031667362e-20
4.363453815261044255e+00 2.025142868859940508e-19
4.383534136546185067e+00 6.070894230267089639e-19
4.403614457831324991e+00 1.733258084240426858e-18
4.423694779116465803e+00 4.723255434047147945e-18
4.443775100401606615e+00 1.231113681509642219e-17
4.463855421686746539e+00 3.075410496492562425e-17
4.483935742971887350e+00 7.377115317576673986e-17
4.504016064257028162e+00 1.702320647107183756e-16
4.524096385542168974e+00 3.785509828940423120e-16
4.544176706827309786e+00 8.125652917443017893e-16
4.564257028112449710e+00 1.686292876413124907e-15
4.584337349397590522e+00 3.388498916015347936e-15
4.604417670682730446e+00 6.602528265829810616e-15
4.624497991967871258e+00 1.249229636928621079e-14
4.644578313253012070e+00 2.298141389772030373e-14
4.664658634538152882e+00 4.115864851720523801e-14
4.684738955823293693e+00 7.184855781028201829e-14
4.704819277108433617e+00 1.223902041989455809e-13
4.724899598393574429e+00 2.036682973702668246e-13
4.744979919678714353e+00 3.314388093996817474e-13
4.765060240963855165e+00 5.279841359205375998e-13
4.785140562248995977e+00 8.241206304822583398e-13
4.805220883534136789e+00 1.261563694970011270e-12
4.825301204819277601e+00 1.895633042415595317e-12
4.845381526104417524e+00 2.798254363620575892e-12
4.865461847389558336e+00 4.061185080970002365e-12
4.885542168674698260e+00 5.799363550938196156e-12
4.905622489959839072e+00 8.154255023703078126e-12
4.925702811244979884e+00 1.129704655799715332e-11
4.945783132530120696e+00 1.543152910028320845e-11
4.965863453815261508e+00 2.079649831375390678e-11
4.985943775100401432e+00 2.766751179934275466e-11
5.006024096385542244e+00 3.635785770470610699e-11
5.026104417670682167e+00 4.721860849557084931e-11
5.046184738955822979e+00 6.063766905038211252e-11
5.066265060240963791e+00 7.703776622411987201e-11
5.086345381526104603e+00 9.687334739985640410e-11
5.106425702811245415e+00 1.206264149326062412e-10
5.126506024096385339e+00 1.488014475155271927e-10
5.146586345381526151e+00 1.819194593423397162e-10
5.166666666666666963e+00 2.205113548168950766e-10
5.186746987951806886e+00 2.651107555469433812e-10
5.206827309236947698e+00 3.162464894767224391e-10
5.226907630522088510e+00 3.744347162886695692e-10
5.246987951807229322e+00 4.401707976923121272e-10
5.267068273092369246e+00 5.139221100745484224e-10
5.287148594377510058e+00 5.961211002099255605e-10
5.307228915662650870e+00 6.871588709778874036e-10
5.327309236947790794e+00 7.873794934230202273e-10
5.347389558232931606e+00 8.970751459464969193e-10
5.367469879518072418e+00 1.016482159623161840e-09
5.387550200803213230e+00 1.145777539096380401e-09
5.407630522088353153e+00 1.285073192592799835e-09
5.427710843373493965e+00 1.434415441310487200e-09
5.447791164658634777e+00 1.593786106199334188e-09
5.467871485943774701e+00 1.763103087696521356e-09
5.487951807228915513e+00 1.942221957944038848e-09
5.508032128514056325e+00 2.130938347324538465e-09
5.528112449799197137e+00 2.328990987966583987e-09
5.548192771084337949e+00 2.536065351215546953e-09
5.568273092369477872e+00 2.751797702680501564e-09
5.588353413654618684e+00 2.975778413827428786e-09
5.608433734939758608e+00 3.207545430334157252e-09
5.628514056224899420e+00 3.446586338117580135e-09
5.648594377510040232e+00 3.692353352114604731e-09
5.668674698795181044e+00 3.944269300043959120e-09
5.688755020080321856e+00 4.201733152524205640e-09
5.708835341365461780e+00 4.464125255276141454e-09
5.728915662650602592e+00 4.730809219213041420e-09
5.748995983935742515e+00 5.001137846472266280e-09
5.769076305220883327e+00 5.274460823671833166e-09
5.789156626506024139e+00 5.550129570444317264e-09
5.809236947791164951e+00 5.827501670780445510e-09
5.829317269076305763e+00 6.105944921388557185e-09
5.849397590361445687e+00 6.384840974208745443e-09
5.869477911646586499e+00 6.663578321056323106e-09
5.889558232931726423e+00 6.941519962311727511e-09
5.909638554216867234e+00 7.218024566472769259e-09
5.929718875502008046e+00 7.492470492701176270e-09
5.949799196787148858e+00 7.764260660087800539e-09
5.969879518072289670e+00 8.032825250527762321e-09
5.989959839357429594e+00 8.297624000833854478e-09
6.010040160642570406e+00 8.558148086192324514e-09
6.030120481927710330e+00 8.813921602610029656e-09
6.050200803212851142e+00 9.064502660949004192e-09
6.070281124497991954e+00 9.309484109476227064e-09
6.090361445783132766e+00 9.548486611792409369e-09
6.110441767068273577e+00 9.781131233410482221e-09
6.130522088353413501e+00 1.000706636173232484e-08
6.150602409638554313e+00 1.022597894925499560e-08
6.170682730923694237e+00 1.043759410131864853e-08
6.190763052208835049e+00 1.064167433085934819e-08
6.210843373493975861e+00 1.083801852355182896e-08
6.230923694779116673e+00 1.102646065454554544e-08
6.251004016064257485e+00 1.120686673012884238e-08
6.271084337349397408e+00 1.137910471404013935e-08
6.291164658634538220e+00 1.154304558457596927e-08
6.311244979919678144e+00 1.169858782329322112e-08
6.331325301204818956e+00 1.184565723982744012e-08
6.351405622489959768e+00 1.198420433112342883e-08
6.371485943775100580e+00 1.211416865678776153e-08
6.391566265060241392e+00 1.223548023946187461e-08
6.411646586345381316e+00 1.234809757280017111e-08
