# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 1.383885003021117610e-166
3.520080321285140368e+00 1.585539485601807470e-159
3.540160642570281180e+00 8.724565634605249199e-153
3.560240963855421548e+00 2.383370367517586588e-146
3.580321285140562360e+00 3.336270323730046179e-140
3.600401606425702727e+00 2.466454019339849374e-134
3.620481927710843539e+00 9.911837946562818524e-129
3.640562248995983907e+00 2.225696670008021372e-123
3.660642570281124719e+00 2.867009523710596891e-118
3.680722891566265087e+00 2.172442956489102163e-113
3.700803212851405455e+00 9.918264552040861136e-109
3.720883534136546267e+00 2.791467371648653403e-104
3.740963855421686635e+00 4.950297161377408222e-100
3.761044176706827447e+00 5.648006605670953779e-96
3.781124497991967814e+00 4.229394145232893664e-92
3.801204819277108626e+00 2.118570648793298615e-88
3.821285140562248994e+00 7.229012767429364811e-85
3.841365461847389362e+00 1.709697215063471861e-81
3.861445783132530174e+00 2.849417712382164187e-78
3.881526104417670542e+00 3.399830427120216470e-75
3.901606425702811354e+00 2.948355209979377313e-72
3.921686746987951722e+00 1.885318151898195879e-69
3.941767068273092534e+00 9.012592847344717244e-67
3.961847389558232901e+00 3.263494911292881676e-64
3.981927710843373269e+00 9.064296571614000534e-62
4.002008032128514081e+00 1.954370355792633069e-59
4.022088353413654893e+00 3.308793634893274999e-57
4.042168674698794817e+00 4.446993404065437970e-55
4.062248995983935629e+00 4.794317886709476514e-53
4.082329317269076441e+00 4.187699935299909462e-51
4.102409638554217253e+00 2.991865532610175925e-49
4.122489959839357176e+00 1.764286660032420235e-47
4.142570281124497988e+00 8.662063892935280264e-46
4.162650602409638800e+00 3.570205512356233375e-44
4.182730923694778724e+00 1.245135585568560969e-42
4.202811244979919536e+00 3.702273943978136955e-41
4.222891566265060348e+00 9.453175167062948481e-40
4.242971887550201160e+00 2.087043337455815648e-38
4.263052208835341084e+00 4.010348973602569092e-37
4.283132530120481896e+00 6.749214066441453245e-36
4.303212851405622708e+00 1.000794424580603560e-34
4.323293172690762631e+00 1.315042972192389130e-33
4.343373493975903443e+00 1.539603638818483146e-32
4.363453815261044255e+00 1.614415025372484504e-31
4.383534136546185067e+00 1.523771232643265428e-30
4.403614457831324991e+00 1.300726556278407235e-29
4.423694779116465803e+00 1.008750947814581115e-28
4.443775100401606615e+00 7.138296759152369853e-28
4.463855421686746539e+00 4.628218679213340253e-27
4.483935742971887350e+00 2.760301364848785329e-26
4.504016064257028162e+00 1.520056314985338440e-25
4.524096385542168974e+00 7.756870848913929701e-25
4.544176706827309786e+00 3.680693160794207438e-24
4.564257028112449710e+00 1.629347838636241306e-23
4.584337349397590522e+00 6.749936191981089419e-23
4.604417670682730446e+00 2.624739322200906883e-22
4.624497991967871258e+00 9.607570330870930120e-22
4.644578313253012070e+00 3.319448875704594898e-21
4.664658634538152882e+00 1.085360422626859116e-20
4.684738955823293693e+00 3.366797422704181356e-20
4.704819277108433617e+00 9.931745658423260027e-20
4.724899598393574429e+00 2.792439380174912616e-19
4.744979919678714353e+00 7.499476092584041925e-19
4.765060240963855165e+00 1.927809165489461388e-18
4.785140562248995977e+00 4.752689644345262177e-18
4.805220883534136789e+00 1.125835069455024195e-17
4.825301204819277601e+00 2.567146148338415845e-17
4.845381526104417524e+00 5.644327354090615631e-17
4.865461847389558336e+00 1.198591298257061607e-16
4.885542168674698260e+00 2.462105863587033606e-16
4.905622489959839072e+00 4.899678722193695769e-16
4.925702811244979884e+00 9.459604868823073205e-16
4.945783132530120696e+00 1.774246997471380063e-15
4.965863453815261508e+00 3.237093734845284288e-15
4.985943775100401432e+00 5.752219703405605093e-15
5.006024096385542244e+00 9.967107531286609270e-15
5.026104417670682167e+00 1.685960992202372587e-14
5.046184738955822979e+00 2.787016393319624285e-14
5.066265060240963791e+00 4.507053542072934819e-14
5.086345381526104603e+00 7.137307457556404100e-14
5.106425702811245415e+00 1.107828554079786332e-13
5.126506024096385339e+00 1.686928490154650533e-13
5.146586345381526151e+00 2.522194931980548205e-13
5.166666666666666963e+00 3.705728108908369587e-13
5.186746987951806886e+00 5.354516232610772625e-13
5.206827309236947698e+00 7.614507714737978069e-13
5.226907630522088510e+00 1.066465343622034934e-12
5.246987951807229322e+00 1.472073344992892506e-12
5.267068273092369246e+00 2.003877142337227926e-12
5.287148594377510058e+00 2.691783517053748497e-12
5.307228915662650870e+00 3.570202895471697815e-12
5.327309236947790794e+00 4.678150218014064254e-12
5.347389558232931606e+00 6.059230760848826588e-12
5.367469879518072418e+00 7.761488305533640094e-12
5.387550200803213230e+00 9.837129555307677760e-12
5.407630522088353153e+00 1.234212042120558497e-11
5.427710843373493965e+00 1.533565076668277612e-11
5.447791164658634777e+00 1.887948089910540857e-11
5.467871485943774701e+00 2.303718421955230906e-11
5.487951807228915513e+00 2.787329565182261564e-11
5.508032128514056325e+00 3.345239165522522959e-11
5.528112449799197137e+00 3.983815197191495091e-11
5.548192771084337949e+00 4.709239610914512076e-11
5.568273092369477872e+00 5.527402353966668330e-11
5.588353413654618684e+00 6.443800158988081118e-11
5.608433734939758608e+00 7.463456056758573312e-11
5.628514056224899420e+00 8.590843036595943927e-11
5.648594377510040232e+00 9.829799416518189812e-11
5.668674698795181044e+00 1.118346895836170378e-10
5.688755020080321856e+00 1.265425645314058124e-10
5.708835341365461780e+00 1.424381602009925577e-10
5.728915662650602592e+00 1.595305402293572723e-10
5.748995983935742515e+00 1.778198099776397246e-10
5.769076305220883327e+00 1.972988193088767401e-10
5.789156626506024139e+00 2.179528036999741447e-10
5.809236947791164951e+00 2.397597381210886936e-10
5.829317269076305763e+00 2.626972298230198986e-10
5.849397590361445687e+00 2.867254675774392779e-10
5.869477911646586499e+00 3.117993505267161971e-10
5.889558232931726423e+00 3.378693247016993197e-10
5.909638554216867234e+00 3.648804781390900734e-10
5.929718875502008046e+00 3.927731447021044773e-10
5.949799196787148858e+00 4.215218263151977568e-10
5.969879518072289670e+00 4.510492225322354445e-10
5.989959839357429594e+00 4.812638131005742005e-10
6.010040160642570406e+00 5.120927188899081655e-10
6.030120481927710330e+00 5.434612054122278307e-10
6.050200803212851142e+00 5.752932103043060113e-10
6.070281124497991954e+00 6.075118302338987477e-10
6.090361445783132766e+00 6.402052340551858007e-10
6.110441767068273577e+00 6.732832373742605579e-10
6.130522088353413501e+00 7.065436314728087927e-10
6.150602409638554313e+00 7.399076267122989711e-10
6.170682730923694237e+00 7.732965439491524611e-10
6.190763052208835049e+00 8.066327000971944121e-10
6.210843373493975861e+00 8.398399006122766454e-10
6.230923694779116673e+00 8.728427990703195295e-10
6.251004016064257485e+00 9.057471870529147032e-10
6.271084337349397408e+00 9.391307936056793038e-10
6.291164658634538220e+00 9.721577878132011847e-10
6.311244979919678144e+00 1.004759031918274413e-09
6.331325301204818956e+00 1.036867384437831504e-09
