# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 0.000000000000000000e+00
3.620481927710843539e+00 0.000000000000000000e+00
3.640562248995983907e+00 0.000000000000000000e+00
3.660642570281124719e+00 0.000000000000000000e+00
3.680722891566265087e+00 0.000000000000000000e+00
3.700803212851405455e+00 0.000000000000000000e+00
3.720883534136546267e+00 0.000000000000000000e+00
3.740963855421686635e+00 0.000000000000000000e+00
3.761044176706827447e+00 0.000000000000000000e+00
3.781124497991967814e+00 0.000000000000000000e+00
3.801204819277108626e+00 0.000000000000000000e+00
3.821285140562248994e+00 0.000000000000000000e+00
3.841365461847389362e+00 0.000000000000000000e+00
3.861445783132530174e+00 0.000000000000000000e+00
3.881526104417670542e+00 0.000000000000000000e+00
3.901606425702811354e+00 0.000000000000000000e+00
3.921686746987951722e+00 0.000000000000000000e+00
3.941767068273092534e+00 0.000000000000000000e+00
3.961847389558232901e+00 0.000000000000000000e+00
3.981927710843373269e+00 0.000000000000000000e+00
4.002008032128514081e+00 0.000000000000000000e+00
4.022088353413654893e+00 0.000000000000000000e+00
4.042168674698794817e+00 5.384472169612136324e-317
4.062248995983935629e+00 3.352588765932432593e-303
4.082329317269076441e+00 4.974939280596271322e-290
4.102409638554217253e+00 1.877186424342300038e-277
4.122489959839357176e+00 1.916061007040484274e-265
4.142570281124497988e+00 5.612413275233742237e-254
4.162650602409638800e+00 4.991431970700306357e-243
4.182730923694778724e+00 1.422413344921424549e-232
4.202811244979919536e+00 1.367365796404363984e-222
4.222891566265060348e+00 4.657209910032392650e-213
4.242971887550201160e+00 5.889922507024215574e-204
4.263052208835341084e+00 2.892520844941387038e-195
4.283132530120481896e+00 5.756899297724848397e-187
4.303212851405622708e+00 4.836924799065297981e-179
4.323293172690762631e+00 1.783779337520489631e-171
4.343373493975903443e+00 2.996828537694245846e-164
4.363453815261044255e+00 2.376618238108317367e-157
4.383534136546185067e+00 9.203741330534320206e-151
4.403614457831324991e+00 1.797802214833097435e-144
4.423694779116465803e+00 1.826928252823871335e-138
4.443775100401606615e+00 9.947773223184210225e-133
4.463855421686746539e+00 2.985371573009839660e-127
4.483935742971887350e+00 5.072582881898588375e-122
4.504016064257028162e+00 5.007028193764803666e-117
4.524096385542168974e+00 2.942446499720882490e-112
4.544176706827309786e+00 1.053878935181131211e-107
4.564257028112449710e+00 2.352570406730450237e-103
4.584337349397590522e+00 3.343808543374470796e-99
4.604417670682730446e+00 3.088481157079437631e-95
4.624497991967871258e+00 1.890213854546217204e-91
4.644578313253012070e+00 7.809349156794357077e-88
4.664658634538152882e+00 2.217007818575171011e-84
4.684738955823293693e+00 4.398759806553393122e-81
4.704819277108433617e+00 6.199167731704276753e-78
4.724899598393574429e+00 6.302146185078916735e-75
4.744979919678714353e+00 4.690336926917374277e-72
4.765060240963855165e+00 2.591785387345982525e-69
4.785140562248995977e+00 1.077744707486057527e-66
4.805220883534136789e+00 3.416119473116111572e-64
4.825301204819277601e+00 8.355584438536158463e-62
4.845381526104417524e+00 1.595632545705609645e-59
4.865461847389558336e+00 2.405786222994344690e-57
4.885542168674698260e+00 2.894580683799995354e-55
4.905622489959839072e+00 2.807667181659478043e-53
4.925702811244979884e+00 2.216990010550159115e-51
4.945783132530120696e+00 1.438387096179148639e-49
4.965863453815261508e+00 7.736332931100212759e-48
4.985943775100401432e+00 3.478733081443776224e-46
5.006024096385542244e+00 1.318398255061890658e-44
5.026104417670682167e+00 4.243907362497400667e-43
5.046184738955822979e+00 1.168911277912877940e-41
5.066265060240963791e+00 2.774287404243835807e-40
5.086345381526104603e+00 5.712092945240043153e-39
5.106425702811245415e+00 1.026835090530422069e-37
5.126506024096385339e+00 1.621546725185365995e-36
5.146586345381526151e+00 2.262679111820860439e-35
5.166666666666666963e+00 2.805483622592570714e-34
5.186746987951806886e+00 3.107424853803480925e-33
5.206827309236947698e+00 3.090393582968416302e-32
5.226907630522088510e+00 2.773060571768703893e-31
5.246987951807229322e+00 2.255557967769924805e-30
5.267068273092369246e+00 1.670410516640137044e-29
5.287148594377510058e+00 1.131111702038836996e-28
5.307228915662650870e+00 7.031633029838509560e-28
5.327309236947790794e+00 4.028573906972525980e-27
5.347389558232931606e+00 2.134966957056828569e-26
5.367469879518072418e+00 1.050276314050191917e-25
5.387550200803213230e+00 4.812241459381459124e-25
5.407630522088353153e+00 2.060229295842639177e-24
5.427710843373493965e+00 8.266809467108340229e-24
5.447791164658634777e+00 3.118058848269360145e-23
5.467871485943774701e+00 1.108580095844496244e-22
5.487951807228915513e+00 3.725150320793269750e-22
5.508032128514056325e+00 1.186095655747647109e-21
5.528112449799197137e+00 3.587154431664818757e-21
5.548192771084337949e+00 1.032862297519478130e-20
5.568273092369477872e+00 2.837649529569037284e-20
5.588353413654618684e+00 7.454483493005868555e-20
5.608433734939758608e+00 1.876271947615199879e-19
5.628514056224899420e+00 4.533469924861977148e-19
5.648594377510040232e+00 1.053469220013696789e-18
5.668674698795181044e+00 2.358481092390486575e-18
5.688755020080321856e+00 5.095550814006858666e-18
5.708835341365461780e+00 1.064127960265661330e-17
5.728915662650602592e+00 2.151319260440349002e-17
5.748995983935742515e+00 4.216561380596368837e-17
5.769076305220883327e+00 8.023430515187423840e-17
5.789156626506024139e+00 1.484184953753295452e-16
5.809236947791164951e+00 2.672355273276260001e-16
5.829317269076305763e+00 4.689273860026126153e-16
5.849397590361445687e+00 8.028332641148532724e-16
5.869477911646586499e+00 1.342560347126821859e-15
5.889558232931726423e+00 2.195278086549699891e-15
5.909638554216867234e+00 3.513422070439854865e-15
5.929718875502008046e+00 5.509016872290483179e-15
5.949799196787148858e+00 8.470710797526471998e-15
