# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 1.306248320586274380e-164
3.520080321285140368e+00 1.316569389895883653e-157
3.540160642570281180e+00 6.410129106275051843e-151
3.560240963855421548e+00 1.558017931570585408e-144
3.580321285140562360e+00 1.950712564617555687e-138
3.600401606425702727e+00 1.296420179607449612e-132
3.620481927710843539e+00 4.706069310113005923e-127
3.640562248995983907e+00 9.589537811184669501e-122
3.660642570281124719e+00 1.125886035006671501e-116
3.680722891566265087e+00 7.808492362045972755e-112
3.700803212851405455e+00 3.276013659276271137e-107
3.720883534136546267e+00 8.505365311351594354e-103
3.740963855421686635e+00 1.396452991472007136e-98
3.761044176706827447e+00 1.480258439348528048e-94
3.781124497991967814e+00 1.033265989589385595e-90
3.801204819277108626e+00 4.840025233267662755e-87
3.821285140562248994e+00 1.549070333821811028e-83
3.841365461847389362e+00 3.446323965904513607e-80
3.861445783132530174e+00 5.417990545176308405e-77
3.881526104417670542e+00 6.114076162930082779e-74
3.901606425702811354e+00 5.027352126698904238e-71
3.921686746987951722e+00 3.055449120013284646e-68
3.941767068273092534e+00 1.391453957050282365e-65
3.961847389558232901e+00 4.810424398720458535e-63
3.981927710843373269e+00 1.278278705539208718e-60
4.002008032128514081e+00 2.642152144916083438e-58
4.022088353413654893e+00 4.296446411779951454e-56
4.042168674698794817e+00 5.556313322794873385e-54
4.062248995983935629e+00 5.774090074874088854e-52
4.082329317269076441e+00 4.869569174270869603e-50
4.102409638554217253e+00 3.364375259137257034e-48
4.122489959839357176e+00 1.921484223626526619e-46
4.142570281124497988e+00 9.150030122318785040e-45
4.162650602409638800e+00 3.662920876997377351e-43
4.182730923694778724e+00 1.242386409092298370e-41
4.202811244979919536e+00 3.597169626411644988e-40
4.222891566265060348e+00 8.954558974325113633e-39
4.242971887550201160e+00 1.929613017588843245e-37
4.263052208835341084e+00 3.623002917156316201e-36
4.283132530120481896e+00 5.964051437140646639e-35
4.303212851405622708e+00 8.659004352193857783e-34
4.323293172690762631e+00 1.115093897215332216e-32
4.343373493975903443e+00 1.280629460341319764e-31
4.363453815261044255e+00 1.318406824317739324e-30
4.383534136546185067e+00 1.222737158760874438e-29
4.403614457831324991e+00 1.026411149278587103e-28
4.423694779116465803e+00 7.833728168499514486e-28
4.443775100401606615e+00 5.459343744553201090e-27
4.463855421686746539e+00 3.488339269277017496e-26
4.483935742971887350e+00 2.051654717052620934e-25
4.504016064257028162e+00 1.114861995254428148e-24
4.524096385542168974e+00 5.617198411233494322e-24
4.544176706827309786e+00 2.633180410659657217e-23
4.564257028112449710e+00 1.152171327283853869e-22
4.584337349397590522e+00 4.720397234529810880e-22
4.604417670682730446e+00 1.816157198733576467e-21
4.624497991967871258e+00 6.580695364944990309e-21
4.644578313253012070e+00 2.251686762079888123e-20
4.664658634538152882e+00 7.294293113918017919e-20
4.684738955823293693e+00 2.242683271919285556e-19
