# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 3.187421916814241145e-262
3.520080321285140368e+00 7.694337627111736520e-251
3.540160642570281180e+00 5.689042007306635715e-240
3.560240963855421548e+00 1.359132169669505081e-229
3.580321285140562360e+00 1.104099528638732004e-219
3.600401606425702727e+00 3.202184631453597342e-210
3.620481927710843539e+00 3.473660073938382506e-201
3.640562248995983907e+00 1.473428401665996470e-192
3.660642570281124719e+00 2.549749627409761072e-184
3.680722891566265087e+00 1.874503531033364563e-176
3.700803212851405455e+00 6.085464273399556120e-169
3.720883534136546267e+00 9.052309152573330853e-162
3.740963855421686635e+00 6.391429347208185695e-155
3.761044176706827447e+00 2.215298877682269869e-148
3.781124497991967814e+00 3.892462445843133793e-142
3.801204819277108626e+00 3.575242377400679427e-136
3.821285140562248994e+00 1.767682772364616491e-130
3.841365461847389362e+00 4.838097731656161136e-125
3.861445783132530174e+00 7.528716501841666495e-120
3.881526104417670542e+00 6.833189098589273475e-115
3.901606425702811354e+00 3.706480017624321802e-110
3.921686746987951722e+00 1.229807466665252822e-105
3.941767068273092534e+00 2.552083660046752345e-101
3.961847389558232901e+00 3.383329384562464528e-97
3.981927710843373269e+00 2.924006973411154120e-93
4.002008032128514081e+00 1.679550706016796916e-89
4.022088353413654893e+00 6.531379338989086486e-86
4.042168674698794817e+00 1.750120801489092891e-82
4.062248995983935629e+00 3.286176440873970802e-79
4.082329317269076441e+00 4.393914823381565121e-76
4.102409638554217253e+00 4.248280249473253174e-73
4.122489959839357176e+00 3.013958392948262628e-70
4.142570281124497988e+00 1.591102863251676132e-67
4.162650602409638800e+00 6.334262258698478963e-65
4.182730923694778724e+00 1.926053735621977856e-62
4.202811244979919536e+00 4.527963317250928365e-60
4.222891566265060348e+00 8.326225750511397319e-58
4.242971887550201160e+00 1.210945937851837853e-55
4.263052208835341084e+00 1.407781660404041224e-53
4.283132530120481896e+00 1.321522399441752358e-51
4.303212851405622708e+00 1.011436320665149132e-49
4.323293172690762631e+00 6.369918128343260376e-48
4.343373493975903443e+00 3.330319443935617610e-46
4.363453815261044255e+00 1.457629838262320490e-44
4.383534136546185067e+00 5.384004776168932671e-43
4.403614457831324991e+00 1.691182057407887405e-41
4.423694779116465803e+00 4.550733997067902648e-40
4.443775100401606615e+00 1.056366049275714178e-38
4.463855421686746539e+00 2.129550042395464815e-37
4.483935742971887350e+00 3.752055277360818694e-36
4.504016064257028162e+00 5.813009260747513251e-35
4.524096385542168974e+00 7.965374865881894467e-34
4.544176706827309786e+00 9.707196184731875504e-33
4.564257028112449710e+00 1.057703274704438870e-31
4.584337349397590522e+00 1.035648641609417371e-30
4.604417670682730446e+00 9.156645302992608918e-30
4.624497991967871258e+00 7.344085341344810937e-29
4.644578313253012070e+00 5.366954340148696847e-28
4.664658634538152882e+00 3.588657432356698205e-27
4.684738955823293693e+00 2.204410870461450513e-26
4.704819277108433617e+00 1.248743480824430289e-25
4.724899598393574429e+00 6.547304373644085469e-25
4.744979919678714353e+00 3.188431086355329017e-24
4.765060240963855165e+00 1.446987328507787891e-23
4.785140562248995977e+00 6.139147556906320799e-23
4.805220883534136789e+00 2.442457195075151745e-22
4.825301204819277601e+00 9.138639488960933905e-22
4.845381526104417524e+00 3.224593104243181538e-21
4.865461847389558336e+00 1.075859864217313686e-20
4.885542168674698260e+00 3.402675184982313765e-20
4.905622489959839072e+00 1.022624509481078895e-19
4.925702811244979884e+00 2.927131870131058482e-19
4.945783132530120696e+00 7.997475791665409626e-19
4.965863453815261508e+00 2.090061373360911067e-18
4.985943775100401432e+00 5.235162806382545682e-18
5.006024096385542244e+00 1.259205256972878387e-17
5.026104417670682167e+00 2.913738038616965609e-17
5.046184738955822979e+00 6.497534499468081960e-17
5.066265060240963791e+00 1.398662442276293233e-16
5.086345381526104603e+00 2.910936686710690854e-16
5.106425702811245415e+00 5.866324667657212470e-16
5.126506024096385339e+00 1.146412609621794788e-15
5.146586345381526151e+00 2.175488505050120325e-15
5.166666666666666963e+00 4.014077690575551695e-15
5.186746987951806886e+00 7.210643043847447596e-15
5.206827309236947698e+00 1.262532807426635930e-14
5.226907630522088510e+00 2.157194194824825752e-14
5.246987951807229322e+00 3.600712568335697806e-14
5.267068273092369246e+00 5.877510049800597262e-14
5.287148594377510058e+00 9.391531069735627534e-14
