# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 4.694435721465758860e-312
3.560240963855421548e+00 1.946604783306228018e-298
3.580321285140562360e+00 1.959390558593979050e-285
3.600401606425702727e+00 5.103808783456101318e-273
3.620481927710843539e+00 3.656991778048395732e-261
3.640562248995983907e+00 7.640772419253624380e-250
3.660642570281124719e+00 4.921724716229610267e-239
3.680722891566265087e+00 1.030752826871073434e-228
3.700803212851405455e+00 7.384072886698812526e-219
3.720883534136546267e+00 1.899295421673505719e-209
3.740963855421686635e+00 1.837146900658476546e-200
3.761044176706827447e+00 6.984600665258398008e-192
3.781124497991967814e+00 1.088704378854670247e-183
3.801204819277108626e+00 7.243449430772399508e-176
3.821285140562248994e+00 2.137734594801621661e-168
3.841365461847389362e+00 2.903260459258050172e-161
3.861445783132530174e+00 1.879196980604983157e-154
3.881526104417670542e+00 5.994524838386297921e-148
3.901606425702811354e+00 9.730123502645358573e-142
3.921686746987951722e+00 8.285536996439657830e-136
3.941767068273092534e+00 3.810835782635233545e-130
3.961847389558232901e+00 9.734275721005349875e-125
3.981927710843373269e+00 1.418114588927263809e-119
4.002008032128514081e+00 1.208543424160535437e-114
4.022088353413654893e+00 6.172733577375065817e-110
4.042168674698794817e+00 1.933761144592146456e-105
4.062248995983935629e+00 3.798655564334671025e-101
4.082329317269076441e+00 4.778781230521304585e-97
4.102409638554217253e+00 3.928339880043428597e-93
4.122489959839357176e+00 2.151072432858706420e-89
4.142570281124497988e+00 7.991479804016628089e-86
4.162650602409638800e+00 2.049922587402545375e-82
4.182730923694778724e+00 3.691932337962925082e-79
4.202811244979919536e+00 4.743681733771039060e-76
4.222891566265060348e+00 4.415184286472718383e-73
4.242971887550201160e+00 3.020509072815292727e-70
4.263052208835341084e+00 1.540104270717552013e-67
4.283132530120481896e+00 5.930980100516301621e-65
4.303212851405622708e+00 1.747093820393203559e-62
4.323293172690762631e+00 3.984534656199684962e-60
4.343373493975903443e+00 7.117561000517290416e-58
4.363453815261044255e+00 1.006863751894737299e-55
4.383534136546185067e+00 1.139916961351018467e-53
4.403614457831324991e+00 1.043299427462007805e-51
4.423694779116465803e+00 7.793826115700779299e-50
4.443775100401606615e+00 4.796038031787132636e-48
4.463855421686746539e+00 2.452498816147088435e-46
4.483935742971887350e+00 1.050900203231777159e-44
4.504016064257028162e+00 3.803721172440464547e-43
4.524096385542168974e+00 1.171822169615430601e-41
4.544176706827309786e+00 3.095153829444994361e-40
4.564257028112449710e+00 7.058119664412484242e-39
4.584337349397590522e+00 1.398828155225813738e-37
4.604417670682730446e+00 2.424712906844038636e-36
4.624497991967871258e+00 3.698320505929543082e-35
4.644578313253012070e+00 4.992360148578915658e-34
4.664658634538152882e+00 5.997356745055460483e-33
4.684738955823293693e+00 6.445456169755141057e-32
4.704819277108433617e+00 6.228321647608909597e-31
4.724899598393574429e+00 5.437472531066616388e-30
4.744979919678714353e+00 4.308465307458046143e-29
4.765060240963855165e+00 3.112063222635826254e-28
4.785140562248995977e+00 2.057734672133053012e-27
4.805220883534136789e+00 1.250484467096720308e-26
4.825301204819277601e+00 7.010833409288032490e-26
4.845381526104417524e+00 3.639511193449163143e-25
4.865461847389558336e+00 1.755523914615038790e-24
4.885542168674698260e+00 7.894065509216824769e-24
4.905622489959839072e+00 3.319707875552250421e-23
4.925702811244979884e+00 1.309534291286068882e-22
4.945783132530120696e+00 4.859650850394471199e-22
4.965863453815261508e+00 1.701222332198093742e-21
4.985943775100401432e+00 5.632839720958558876e-21
5.006024096385542244e+00 1.768458338796176332e-20
5.026104417670682167e+00 5.277215752578883046e-20
5.046184738955822979e+00 1.500209040098334456e-19
5.066265060240963791e+00 4.071786104630108919e-19
5.086345381526104603e+00 1.057330501294038769e-18
5.106425702811245415e+00 2.632052505617324163e-18
5.126506024096385339e+00 6.293069211742165902e-18
5.146586345381526151e+00 1.447782845941479899e-17
5.166666666666666963e+00 3.210483039143482071e-17
5.186746987951806886e+00 6.873569840550520107e-17
5.206827309236947698e+00 1.423068364580672325e-16
5.226907630522088510e+00 2.853356057139712043e-16
5.246987951807229322e+00 5.548794249935057625e-16
5.267068273092369246e+00 1.047975233458319067e-15
5.287148594377510058e+00 1.924790206419794842e-15
5.307228915662650870e+00 3.442232273805029074e-15
5.327309236947790794e+00 6.001241166706819939e-15
5.347389558232931606e+00 1.021133019859203965e-14
5.367469879518072418e+00 1.697608655530022699e-14
5.387550200803213230e+00 2.760317105756059658e-14
5.407630522088353153e+00 4.394182640624469176e-14
5.427710843373493965e+00 6.854992718884992059e-14
5.447791164658634777e+00 1.048911904642335943e-13
5.467871485943774701e+00 1.575613451166919816e-13
5.487951807228915513e+00 2.325399092271693696e-13
5.508032128514056325e+00 3.374618349981658916e-13
5.528112449799197137e+00 4.819006744721263742e-13
5.548192771084337949e+00 6.776532950276553066e-13
5.568273092369477872e+00 9.390139143173793097e-13
5.588353413654618684e+00 1.283023997959142073e-12
5.608433734939758608e+00 1.729684021590298970e-12
5.628514056224899420e+00 2.302113313797705892e-12
5.648594377510040232e+00 3.026645231386977663e-12
5.668674698795181044e+00 3.932846148462268361e-12
5.688755020080321856e+00 5.053443877789272956e-12
5.708835341365461780e+00 6.424166349392747641e-12
5.728915662650602592e+00 8.083492633495956140e-12
5.748995983935742515e+00 1.007231080453871092e-11
5.769076305220883327e+00 1.243349024544577731e-11
5.789156626506024139e+00 1.521137731549309470e-11
5.809236947791164951e+00 1.845122207239666894e-11
5.829317269076305763e+00 2.219854505124752097e-11
5.849397590361445687e+00 2.649848464550339273e-11
5.869477911646586499e+00 3.139512502372632491e-11
5.889558232931726423e+00 3.693078285269970417e-11
5.909638554216867234e+00 4.314527521267944505e-11
5.929718875502008046e+00 5.007531690529643520e-11
5.949799196787148858e+00 5.775395082757659932e-11
