# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 1.606482216629172080e-65
3.520080321285140368e+00 5.561905620083838102e-63
3.540160642570281180e+00 1.480241988527742366e-60
3.560240963855421548e+00 3.064551266411625988e-58
3.580321285140562360e+00 4.991792654738691985e-56
3.600401606425702727e+00 6.467096748176867800e-54
3.620481927710843539e+00 6.733182816822249418e-52
3.640562248995983907e+00 5.689599558994924205e-50
3.660642570281124719e+00 3.939049154258879765e-48
3.680722891566265087e+00 2.254563958309665304e-46
3.700803212851405455e+00 1.076047642364258522e-44
3.720883534136546267e+00 4.317832487248084603e-43
3.740963855421686635e+00 1.468154871283143215e-41
3.761044176706827447e+00 4.261891006497457612e-40
3.781124497991967814e+00 1.063807127733102349e-38
3.801204819277108626e+00 2.298894193814951534e-37
3.821285140562248994e+00 4.329144888316790551e-36
3.841365461847389362e+00 7.148517021196184936e-35
3.861445783132530174e+00 1.041218885955222082e-33
3.881526104417670542e+00 1.345381131337642872e-32
3.901606425702811354e+00 1.550527569873684803e-31
3.921686746987951722e+00 1.602108326196931273e-30
3.941767068273092534e+00 1.491517504043376152e-29
3.961847389558232901e+00 1.257007537703245351e-28
3.981927710843373269e+00 9.633339856022718319e-28
4.002008032128514081e+00 6.742382972716499784e-27
4.022088353413654893e+00 4.327441205440459002e-26
4.042168674698794817e+00 2.557015026901534357e-25
4.062248995983935629e+00 1.396194481046648403e-24
4.082329317269076441e+00 7.070038969170605435e-24
4.102409638554217253e+00 3.331528391505925882e-23
4.122489959839357176e+00 1.465637683911779911e-22
4.142570281124497988e+00 6.038411641198134791e-22
4.162650602409638800e+00 2.336804047532725122e-21
4.182730923694778724e+00 8.518389923026319151e-21
4.202811244979919536e+00 2.932950967746406688e-20
4.222891566265060348e+00 9.562850522526518135e-20
4.242971887550201160e+00 2.959903780849342509e-19
4.263052208835341084e+00 8.717647821321837275e-19
4.283132530120481896e+00 2.448668652852083973e-18
4.303212851405622708e+00 6.573594118527498923e-18
4.323293172690762631e+00 1.690085980542918666e-17
4.343373493975903443e+00 4.169636973528264116e-17
4.363453815261044255e+00 9.889699789543533860e-17
4.383534136546185067e+00 2.259115343374595655e-16
4.403614457831324991e+00 4.978562121923826642e-16
4.423694779116465803e+00 1.060195197841591590e-15
4.443775100401606615e+00 2.185033581398604705e-15
4.463855421686746539e+00 4.364797252700779643e-15
4.483935742971887350e+00 8.462869949853347805e-15
4.504016064257028162e+00 1.594794823727675538e-14
4.524096385542168974e+00 2.924722539770945342e-14
4.544176706827309786e+00 5.226257339832528628e-14
4.564257028112449710e+00 9.110291772164576234e-14
4.584337349397590522e+00 1.550939713569724305e-13
4.604417670682730446e+00 2.581321656432858410e-13
4.624497991967871258e+00 4.204516244425546041e-13
4.644578313253012070e+00 6.708700469476646410e-13
4.664658634538152882e+00 1.049570279577625888e-12
4.684738955823293693e+00 1.611458449784824186e-12
4.704819277108433617e+00 2.430116635961058568e-12
4.724899598393574429e+00 3.602338645760176925e-12
4.744979919678714353e+00 5.253202749313904819e-12
4.765060240963855165e+00 7.541596982634690419e-12
4.785140562248995977e+00 1.066607323869677592e-11
4.805220883534136789e+00 1.487086848657433518e-11
4.825301204819277601e+00 2.045189786731585936e-11
4.845381526104417524e+00 2.776249781816399166e-11
4.865461847389558336e+00 3.721867945060753223e-11
4.885542168674698260e+00 4.930364583872670104e-11
4.905622489959839072e+00 6.457133180200309813e-11
4.925702811244979884e+00 8.364874224900923084e-11
4.945783132530120696e+00 1.072368958965347377e-10
4.965863453815261508e+00 1.361102076313082039e-10
4.985943775100401432e+00 1.711142001264234273e-10
5.006024096385542244e+00 2.131614845900922645e-10
5.026104417670682167e+00 2.632260050044493200e-10
5.046184738955822979e+00 3.223356516937476413e-10
5.066265060240963791e+00 3.915632826395237926e-10
5.086345381526104603e+00 4.720162342035538713e-10
5.106425702811245415e+00 5.648246207539407217e-10
5.126506024096385339e+00 6.711286189056531730e-10
5.146586345381526151e+00 7.920649957185580180e-10
5.166666666666666963e+00 9.287536971596754619e-10
5.186746987951806886e+00 1.082284363237758722e-09
5.206827309236947698e+00 1.253701788798419694e-09
5.226907630522088510e+00 1.443992159718888253e-09
5.246987951807229322e+00 1.654069919605227548e-09
5.267068273092369246e+00 1.884765435442407137e-09
5.287148594377510058e+00 2.136813694966662352e-09
5.307228915662650870e+00 2.410847751073987226e-09
5.327309236947790794e+00 2.707394947052937065e-09
5.347389558232931606e+00 3.026865223024197257e-09
5.367469879518072418e+00 3.369544579348191252e-09
5.387550200803213230e+00 3.735590638610659873e-09
5.407630522088353153e+00 4.125029680563340183e-09
5.427710843373493965e+00 4.537755121138561203e-09
5.447791164658634777e+00 4.973527411406468565e-09
5.467871485943774701e+00 5.431981224300884803e-09
5.487951807228915513e+00 5.912659263814608890e-09
5.508032128514056325e+00 6.415000274683206741e-09
5.528112449799197137e+00 6.938332210925611474e-09
5.548192771084337949e+00 7.481877030542892306e-09
5.568273092369477872e+00 8.044755998363292678e-09
5.588353413654618684e+00 8.625994646754435831e-09
5.608433734939758608e+00 9.224530088741134484e-09
5.628514056224899420e+00 9.839218685612642325e-09
5.648594377510040232e+00 1.046884356916513445e-08
5.668674698795181044e+00 1.111212742693197811e-08
5.688755020080321856e+00 1.176781877623242924e-08
5.708835341365461780e+00 1.243468806538630964e-08
5.728915662650602592e+00 1.311147548554904066e-08
5.748995983935742515e+00 1.379689877577265267e-08
5.769076305220883327e+00 1.448965829680688231e-08
5.789156626506024139e+00 1.518844185226535270e-08
5.809236947791164951e+00 1.589192935499015641e-08
5.829317269076305763e+00 1.659879542192195671e-08
5.849397590361445687e+00 1.730768707646160593e-08
5.869477911646586499e+00 1.801723634690634802e-08
5.889558232931726423e+00 1.872608738222751479e-08
