# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 4.845977746290408295e-97
3.520080321285140368e+00 4.479926154541731994e-93
3.540160642570281180e+00 2.744151979606576611e-89
3.560240963855421548e+00 1.134669976768569041e-85
3.580321285140562360e+00 3.223787145042286933e-82
3.600401606425702727e+00 6.401199898607622960e-79
3.620481927710843539e+00 9.027859472637503196e-76
3.640562248995983907e+00 9.184362578946791908e-73
3.660642570281124719e+00 6.840112063218514418e-70
3.680722891566265087e+00 3.782220968591453605e-67
3.700803212851405455e+00 1.573776472163776870e-64
3.720883534136546267e+00 4.991494682154961144e-62
3.740963855421686635e+00 1.221620819100494216e-59
3.761044176706827447e+00 2.334245875433631243e-57
3.781124497991967814e+00 3.521416585036393276e-55
3.801204819277108626e+00 4.239217006092728715e-53
3.821285140562248994e+00 4.114135504242188992e-51
3.841365461847389362e+00 3.250299760688981840e-49
3.861445783132530174e+00 2.109872748895684599e-47
3.881526104417670542e+00 1.135352874667842450e-45
3.901606425702811354e+00 5.107716466140993738e-44
3.921686746987951722e+00 1.936677359619659266e-42
3.941767068273092534e+00 6.237015442362719091e-41
3.961847389558232901e+00 1.718653273510263057e-39
3.981927710843373269e+00 4.080841406223496150e-38
4.002008032128514081e+00 8.405838195287656969e-37
4.022088353413654893e+00 1.511715540698737841e-35
4.042168674698794817e+00 2.388244208524884479e-34
4.062248995983935629e+00 3.333868959221400470e-33
4.082329317269076441e+00 4.135291175618781248e-32
4.102409638554217253e+00 4.582140253438492029e-31
4.122489959839357176e+00 4.558768788662233919e-30
4.142570281124497988e+00 4.092190404062202925e-29
4.162650602409638800e+00 3.329736396050603170e-28
4.182730923694778724e+00 2.466806699719095157e-27
4.202811244979919536e+00 1.670975399867889463e-26
4.222891566265060348e+00 1.039130175941927720e-25
4.242971887550201160e+00 5.955397244596762839e-25
4.263052208835341084e+00 3.157130368576599880e-24
4.283132530120481896e+00 1.553613732896119148e-23
4.303212851405622708e+00 7.120672273770989994e-23
4.323293172690762631e+00 3.049432559152120932e-22
4.343373493975903443e+00 1.223958907269243510e-21
4.363453815261044255e+00 4.617787466906777960e-21
4.383534136546185067e+00 1.642224173251682214e-20
4.403614457831324991e+00 5.519752391684577132e-20
4.423694779116465803e+00 1.757924859976607575e-19
4.443775100401606615e+00 5.317769169673297236e-19
4.463855421686746539e+00 1.531490445275745364e-18
4.483935742971887350e+00 4.208393441637647390e-18
4.504016064257028162e+00 1.105741717947397756e-17
4.524096385542168974e+00 2.783574874133218223e-17
4.544176706827309786e+00 6.726681126703296263e-17
4.564257028112449710e+00 1.563314979345904193e-16
4.584337349397590522e+00 3.500279209799982736e-16
4.604417670682730446e+00 7.563063576930655440e-16
4.624497991967871258e+00 1.579526913910015124e-15
4.644578313253012070e+00 3.193408021788963693e-15
4.664658634538152882e+00 6.259126665163916830e-15
4.684738955823293693e+00 1.190995664204221394e-14
4.704819277108433617e+00 2.203035608236563373e-14
4.724899598393574429e+00 3.966426365751330599e-14
4.744979919678714353e+00 6.959379401740012117e-14
4.765060240963855165e+00 1.191345539155894030e-13
4.785140562248995977e+00 1.991962790895534278e-13
4.805220883534136789e+00 3.256562223909724740e-13
4.825301204819277601e+00 5.210866323890782190e-13
4.845381526104417524e+00 8.168659823566752019e-13
4.865461847389558336e+00 1.255686058372617365e-12
4.885542168674698260e+00 1.894443922872895763e-12
4.905622489959839072e+00 2.807480144691198605e-12
4.925702811244979884e+00 4.090094190329668136e-12
4.945783132530120696e+00 5.862236701563098307e-12
4.965863453815261508e+00 8.272249148034611121e-12
4.985943775100401432e+00 1.150049656233426757e-11
5.006024096385542244e+00 1.576272129641274028e-11
5.026104417670682167e+00 2.131293675327169562e-11
5.046184738955822979e+00 2.844568128237116956e-11
5.066265060240963791e+00 3.749746637502385424e-11
5.086345381526104603e+00 4.884727439674104555e-11
5.106425702811245415e+00 6.291599385641796531e-11
5.126506024096385339e+00 8.016471903153073026e-11
5.146586345381526151e+00 1.010918731454665725e-10
5.166666666666666963e+00 1.262291915280715778e-10
5.186746987951806886e+00 1.561366351029320219e-10
5.206827309236947698e+00 1.913963278934185853e-10
5.226907630522088510e+00 2.326056698302047972e-10
5.246987951807229322e+00 2.803697954362597094e-10
5.267068273092369246e+00 3.352934123339310215e-10
5.287148594377510058e+00 3.979724266026723314e-10
5.307228915662650870e+00 4.689857460369542558e-10
5.327309236947790794e+00 5.488871679808697658e-10
5.347389558232931606e+00 6.381976408666078259e-10
5.367469879518072418e+00 7.373980822848661902e-10
5.387550200803213230e+00 8.469228701270052826e-10
5.407630522088353153e+00 9.671527937536814462e-10
5.427710843373493965e+00 1.098409140129860356e-09
5.447791164658634777e+00 1.240950953465574127e-09
5.467871485943774701e+00 1.394972280729887438e-09
5.487951807228915513e+00 1.560600374781620889e-09
5.508032128514056325e+00 1.737894924953413189e-09
5.528112449799197137e+00 1.926848267198306350e-09
5.548192771084337949e+00 2.127386495831957820e-09
5.568273092369477872e+00 2.339368058023150833e-09
5.588353413654618684e+00 2.562575942854364717e-09
5.608433734939758608e+00 2.796727535246361682e-09
5.628514056224899420e+00 3.041480930012671510e-09
5.648594377510040232e+00 3.296439399744787957e-09
5.668674698795181044e+00 3.561156215853377348e-09
5.688755020080321856e+00 3.835140001469324286e-09
5.708835341365461780e+00 4.117860239296330191e-09
5.728915662650602592e+00 4.408752843743140271e-09
5.748995983935742515e+00 4.707225733956844818e-09
5.769076305220883327e+00 5.012660257283452694e-09
5.789156626506024139e+00 5.324381184781532891e-09
5.809236947791164951e+00 5.641673691262184678e-09
5.829317269076305763e+00 5.963807728106716677e-09
5.849397590361445687e+00 6.290044084165921346e-09
5.869477911646586499e+00 6.619640036660112152e-09
5.889558232931726423e+00 6.951854717028263148e-09
5.909638554216867234e+00 7.285953638206773486e-09
5.929718875502008046e+00 7.621209722221793460e-09
5.949799196787148858e+00 7.956909675968408755e-09
5.969879518072289670e+00 8.292359897415185968e-09
5.989959839357429594e+00 8.626889902372889746e-09
6.010040160642570406e+00 8.959855251031120183e-09
6.030120481927710330e+00 9.290639576227579820e-09
6.050200803212851142e+00 9.618617480060480929e-09
6.070281124497991954e+00 9.943121074219537121e-09
6.090361445783132766e+00 1.026349456515708745e-08
6.110441767068273577e+00 1.057910218713831204e-08
6.130522088353413501e+00 1.088934198163378354e-08
6.150602409638554313e+00 1.119364890996286085e-08
6.170682730923694237e+00 1.149149670735700688e-08
6.190763052208835049e+00 1.178239928834441383e-08
6.210843373493975861e+00 1.206591171356108711e-08
6.230923694779116673e+00 1.234163073376290071e-08
6.251004016064257485e+00 1.260919493190476969e-08
6.271084337349397408e+00 1.286828448327615785e-08
6.291164658634538220e+00 1.311861092446833332e-08
6.311244979919678144e+00 1.335989778461632231e-08
6.331325301204818956e+00 1.359190574575943124e-08
6.351405622489959768e+00 1.381443729963206601e-08
6.371485943775100580e+00 1.402733518994038835e-08
6.391566265060241392e+00 1.423048060863812476e-08
6.411646586345381316e+00 1.442379119300699055e-08
6.431726907630522128e+00 1.460720967417941528e-08
6.451807228915662051e+00 1.478063880143012495e-08
6.471887550200802863e+00 1.494397797577593398e-08
6.491967871485943675e+00 1.509715613791201144e-08
6.512048192771084487e+00 1.524013098624358429e-08
6.532128514056225299e+00 1.537288791662464989e-08
6.552208835341365223e+00 1.549543622352307857e-08
6.572289156626506035e+00 1.560777706437335082e-08
6.592369477911645959e+00 1.570991704074507706e-08
6.612449799196786770e+00 1.580189216134390134e-08
6.632530120481927582e+00 1.588376685615861554e-08
6.652610441767068394e+00 1.595563238172443303e-08
6.672690763052209206e+00 1.601760515445050360e-08
6.692771084337350018e+00 1.606982503011027239e-08
6.712851405622489942e+00 1.611245354632074408e-08
6.732931726907629866e+00 1.614567214355713819e-08
6.753012048192770678e+00 1.616968037897840504e-08
6.773092369477911490e+00 1.618469414608936795e-08
6.793172690763052302e+00 1.619094391204761382e-08
6.813253012048193114e+00 1.618867298324520380e-08
6.833333333333333925e+00 1.617813580866316971e-08
6.853413654618473849e+00 1.615959632941595786e-08
6.873493975903614661e+00 1.613332638187612976e-08
6.893574297188754585e+00 1.609960416079866815e-08
6.913654618473895397e+00 1.605871274795090685e-08
6.933734939759036209e+00 1.601093868846585199e-08
6.953815261044177021e+00 1.595655905358484306e-08
6.973895582329317833e+00 1.589582364168283102e-08
6.993975903614457756e+00 1.582898284660095702e-08
7.014056224899598568e+00 1.575629161313863501e-08
7.034136546184738492e+00 1.567800806755805986e-08
7.054216867469879304e+00 1.559439221443681284e-08
7.074297188755020116e+00 1.550570470683668103e-08
7.094377510040160928e+00 1.541220569543613390e-08
7.114457831325301740e+00 1.531415376099107559e-08
7.134538152610441664e+00 1.521180493325770296e-08
7.154618473895582476e+00 1.510540863609625262e-08
7.174698795180722399e+00 1.499518798365947049e-08
7.194779116465863211e+00 1.488135274942157592e-08
7.214859437751004023e+00 1.476410881838346608e-08
7.234939759036144835e+00 1.464365793224529404e-08
7.255020080321285647e+00 1.452019744956858352e-08
7.275100401606425571e+00 1.439392015414892114e-08
7.295180722891566383e+00 1.426501410620235265e-08
7.315261044176706307e+00 1.413366253114231376e-08
7.335341365461847118e+00 1.400004374098187134e-08
7.355421686746987930e+00 1.386433108372272396e-08
7.375502008032128742e+00 1.372669291646713690e-08
7.395582329317269554e+00 1.358729259839678349e-08
7.415662650602409478e+00 1.344628850018620935e-08
7.435742971887550290e+00 1.330383402684564178e-08
7.455823293172690214e+00 1.316007765140608378e-08
7.475903614457831026e+00 1.301516295725875397e-08
7.495983935742971838e+00 1.286922868733474588e-08
7.516064257028112650e+00 1.272240879865192322e-08
7.536144578313252573e+00 1.257483252106210751e-08
7.556224899598393385e+00 1.242662441929999684e-08
7.576305220883534197e+00 1.227790445766510816e-08
7.596385542168675009e+00 1.212878806686080463e-08
7.616465863453814933e+00 1.197938621267089155e-08
7.636546184738955745e+00 1.182980546627806485e-08
7.656626506024096557e+00 1.168014806505748740e-08
7.676706827309237369e+00 1.153050864525734063e-08
7.696787148594377292e+00 1.138097034297155630e-08
7.716867469879518104e+00 1.123161267840252254e-08
7.736947791164658916e+00 1.108251280137618295e-08
7.757028112449798840e+00 1.093374544654379580e-08
7.777108433734939652e+00 1.078538289071364851e-08
7.797188755020080464e+00 1.063749491360705671e-08
7.817269076305221276e+00 1.049014876312025438e-08
7.837349397590361200e+00 1.034340912596657594e-08
7.857429718875502012e+00 1.019733810437534257e-08
7.877510040160642824e+00 1.005199519933770600e-08
7.897590361445782747e+00 9.907437300719175052e-09
7.917670682730923559e+00 9.763718684404148409e-09
7.937751004016064371e+00 9.620891016500698704e-09
7.957831325301205183e+00 9.479003364514985171e-09
7.977911646586345107e+00 9.338102215302442756e-09
7.997991967871485919e+00 9.198231499518908500e-09
8.018072289156627619e+00 9.059432622225688774e-09
8.038152610441766655e+00 8.921744499249328665e-09
8.058232931726907466e+00 8.785203598856633868e-09
8.078313253012048278e+00 8.649843988278406955e-09
8.098393574297189090e+00 8.515697384598331541e-09
8.118473895582329902e+00 8.382793209516754252e-09
8.138554216867468938e+00 8.251158647500315460e-09
8.158634538152611526e+00 8.120818706836233018e-09
8.178714859437750562e+00 7.991796283124455998e-09
8.198795180722891374e+00 7.864112224758696459e-09
8.218875502008032186e+00 7.737785399969879662e-09
8.238955823293172998e+00 7.612832765030012880e-09
8.259036144578313809e+00 7.489269433240992357e-09
8.279116465863452845e+00 7.367108744360907749e-09
8.299196787148595433e+00 7.246362334148104830e-09
8.319277108433734469e+00 7.127040203732763657e-09
8.339357429718875281e+00 7.009150788552133185e-09
8.359437751004016093e+00 6.892701026614869458e-09
8.379518072289156905e+00 6.777696425884652265e-09
8.399598393574297717e+00 6.664141130599456936e-09
8.419678714859436752e+00 6.552037986366494585e-09
8.439759036144579341e+00 6.441388603895294620e-09
8.459839357429718376e+00 6.332193421252581573e-09
8.479919678714859188e+00 6.224451764541702909e-09
8.500000000000000000e+00 6.118161906927799014e-09
