# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 3.910657034379404490e-133
3.520080321285140368e+00 1.502119293868415908e-127
3.540160642570281180e+00 3.230470696350442505e-122
3.560240963855421548e+00 3.993140245408207486e-117
3.580321285140562360e+00 2.908821846133033420e-112
3.600401606425702727e+00 1.278936206074054315e-107
3.620481927710843539e+00 3.472293236214221795e-103
3.640562248995983907e+00 5.949473749566557027e-99
3.660642570281124719e+00 6.568509232293708385e-95
3.680722891566265087e+00 4.766553961416208753e-91
3.700803212851405455e+00 2.316996080261303429e-87
3.720883534136546267e+00 7.682290738613184588e-84
3.740963855421686635e+00 1.767694188220666143e-80
3.761044176706827447e+00 2.869733483574362777e-77
3.781124497991967814e+00 3.339159927107201107e-74
3.801204819277108626e+00 2.827014432021580927e-71
3.821285140562248994e+00 1.766658552977076552e-68
3.841365461847389362e+00 8.261667135269853359e-66
3.861445783132530174e+00 2.929278889739600894e-63
3.881526104417670542e+00 7.973741172349632294e-61
3.901606425702811354e+00 1.686385741719756674e-58
3.921686746987951722e+00 2.802823335816582163e-56
3.941767068273092534e+00 3.700883563262947461e-54
3.961847389558232901e+00 3.922827719123331233e-52
3.981927710843373269e+00 3.371214497214152999e-50
4.002008032128514081e+00 2.371271625791887872e-48
4.022088353413654893e+00 1.377566060640451315e-46
4.042168674698794817e+00 6.667002690726757812e-45
4.062248995983935629e+00 2.710298857049246083e-43
4.082329317269076441e+00 9.328063036159003636e-42
4.102409638554217253e+00 2.738534973404949080e-40
4.122489959839357176e+00 6.907403406588810268e-39
4.142570281124497988e+00 1.507152842124723617e-37
4.162650602409638800e+00 2.863435355750394103e-36
4.182730923694778724e+00 4.766704656328262498e-35
4.202811244979919536e+00 6.994237123061654002e-34
4.222891566265060348e+00 9.097603987512077136e-33
4.242971887550201160e+00 1.054726203943552902e-31
4.263052208835341084e+00 1.095552341278627024e-30
4.283132530120481896e+00 1.024613067461560191e-29
4.303212851405622708e+00 8.669125993206350930e-29
4.323293172690762631e+00 6.665638114778711269e-28
4.343373493975903443e+00 4.677703533823863667e-27
4.363453815261044255e+00 3.008409765234861824e-26
4.383534136546185067e+00 1.780174096593131321e-25
4.403614457831324991e+00 9.728362329971995063e-25
4.423694779116465803e+00 4.927487922203695957e-24
4.443775100401606615e+00 2.321166645720790762e-23
4.463855421686746539e+00 1.020237033888063050e-22
4.483935742971887350e+00 4.197248897642762157e-22
4.504016064257028162e+00 1.621029022945638524e-21
4.524096385542168974e+00 5.894056463762550777e-21
4.544176706827309786e+00 2.023085985933810322e-20
4.564257028112449710e+00 6.572289564351814302e-20
4.584337349397590522e+00 2.025797997161296890e-19
4.604417670682730446e+00 5.938528533890545491e-19
4.624497991967871258e+00 1.659375011756720208e-18
4.644578313253012070e+00 4.429234023599076598e-18
4.664658634538152882e+00 1.131681370568508111e-17
4.684738955823293693e+00 2.773216904140496310e-17
4.704819277108433617e+00 6.530128882348393235e-17
4.724899598393574429e+00 1.480182294121396311e-16
4.744979919678714353e+00 3.235238866027841382e-16
4.765060240963855165e+00 6.829734283989409291e-16
4.785140562248995977e+00 1.394710836389472959e-15
4.805220883534136789e+00 2.759265567500478027e-15
4.825301204819277601e+00 5.296008477151380794e-15
4.845381526104417524e+00 9.875037207709045512e-15
4.865461847389558336e+00 1.791126275962890028e-14
4.885542168674698260e+00 3.164085547863182685e-14
4.905622489959839072e+00 5.450266579659706958e-14
4.925702811244979884e+00 9.164835595311148243e-14
4.945783132530120696e+00 1.506041334564056285e-13
4.965863453815261508e+00 2.421036008844377844e-13
4.985943775100401432e+00 3.811049364094059676e-13
5.006024096385542244e+00 5.879962691700293152e-13
5.026104417670682167e+00 8.899809184104908621e-13
5.046184738955822979e+00 1.322619733863456465e-12
5.066265060240963791e+00 1.931492070308872821e-12
5.086345381526104603e+00 2.773921106895097067e-12
5.106425702811245415e+00 3.920694797278801838e-12
5.126506024096385339e+00 5.457702081359515248e-12
5.146586345381526151e+00 7.487396159886673498e-12
5.166666666666666963e+00 1.012999410257474150e-11
5.186746987951806886e+00 1.352432653975817643e-11
5.206827309236947698e+00 1.782825862570946593e-11
5.226907630522088510e+00 2.321861889391764972e-11
5.246987951807229322e+00 2.989059174528481885e-11
5.267068273092369246e+00 3.805655175802649259e-11
5.287148594377510058e+00 4.794433781429477433e-11
5.307228915662650870e+00 5.979498682017574053e-11
5.327309236947790794e+00 7.386000454144092483e-11
5.347389558232931606e+00 9.039822964613657219e-11
5.367469879518072418e+00 1.096723794903254262e-10
5.387550200803213230e+00 1.319453811908691442e-10
5.407630522088353153e+00 1.574765701193085307e-10
5.427710843373493965e+00 1.865178771700696280e-10
5.447791164658634777e+00 2.193101726758985187e-10
5.467871485943774701e+00 2.560796816970641452e-10
5.487951807228915513e+00 2.970348060458821604e-10
5.508032128514056325e+00 3.423633568082886276e-10
5.528112449799197137e+00 3.922299533956479487e-10
5.548192771084337949e+00 4.467736113230432867e-10
5.568273092369477872e+00 5.061065999753283813e-10
5.588353413654618684e+00 5.703135749554484353e-10
5.608433734939758608e+00 6.394511326820578294e-10
5.628514056224899420e+00 7.135478376367961469e-10
5.648594377510040232e+00 7.926046668684566929e-10
5.668674698795181044e+00 8.765940125130878651e-10
5.688755020080321856e+00 9.654570573202942534e-10
5.708835341365461780e+00 1.059108113573202215e-09
5.728915662650602592e+00 1.157437154216881985e-09
5.748995983935742515e+00 1.260311809363398866e-09
5.769076305220883327e+00 1.367579528530847328e-09
5.789156626506024139e+00 1.479069850211336473e-09
5.809236947791164951e+00 1.594596713616832422e-09
5.829317269076305763e+00 1.713959129986492550e-09
5.849397590361445687e+00 1.836927286922953374e-09
5.869477911646586499e+00 1.963249321357214052e-09
5.889558232931726423e+00 2.092663186374233317e-09
5.909638554216867234e+00 2.224899470789779596e-09
5.929718875502008046e+00 2.359683365929609417e-09
5.949799196787148858e+00 2.496735168536999146e-09
5.969879518072289670e+00 2.635773901833607428e-09
5.989959839357429594e+00 2.776519907019566567e-09
6.010040160642570406e+00 2.918696862308714375e-09
6.030120481927710330e+00 3.062032633833247555e-09
6.050200803212851142e+00 3.206226736195837263e-09
6.070281124497991954e+00 3.350938698050880005e-09
6.090361445783132766e+00 3.495830983107968751e-09
6.110441767068273577e+00 3.640574599704736009e-09
6.130522088353413501e+00 3.784851449185391976e-09
6.150602409638554313e+00 3.928356921060026784e-09
6.170682730923694237e+00 4.070801951814939570e-09
6.190763052208835049e+00 4.211913531076684749e-09
6.210843373493975861e+00 4.351435686746189573e-09
6.230923694779116673e+00 4.489130258229594958e-09
6.251004016064257485e+00 4.624777380757307571e-09
6.271084337349397408e+00 4.758175699482231338e-09
6.291164658634538220e+00 4.889142335666677064e-09
6.311244979919678144e+00 5.017493134367324928e-09
6.331325301204818956e+00 5.142968299127638731e-09
6.351405622489959768e+00 5.265298738447001256e-09
6.371485943775100580e+00 5.384236653626603593e-09
6.391566265060241392e+00 5.499556647169332262e-09
6.411646586345381316e+00 5.611056402262089527e-09
6.431726907630522128e+00 5.718557038138563411e-09
6.451807228915662051e+00 5.821903163442798853e-09
6.471887550200802863e+00 5.920962653724515756e-09
6.491967871485943675e+00 6.015626182172968087e-09
6.512048192771084487e+00 6.105806957446116807e-09
6.532128514056225299e+00 6.191444855873085095e-09
6.552208835341365223e+00 6.272503043110045143e-09
6.572289156626506035e+00 6.348962680429604844e-09
6.592369477911645959e+00 6.420821644071002087e-09
6.612449799196786770e+00 6.488093283716964423e-09
6.632530120481927582e+00 6.550805155078535910e-09
6.652610441767068394e+00 6.608997747860610601e-09
6.672690763052209206e+00 6.662723227761739053e-09
6.692771084337350018e+00 6.712042259230821346e-09
6.712851405622489942e+00 6.756967647682380710e-09
6.732931726907629866e+00 6.797459854092920039e-09
6.753012048192770678e+00 6.833492078011162407e-09
6.773092369477911490e+00 6.865053748592260548e-09
6.793172690763052302e+00 6.892153705269269509e-09
6.813253012048193114e+00 6.914823834400146543e-09
6.833333333333333925e+00 6.933110259980697097e-09
6.853413654618473849e+00 6.947071428299816319e-09
6.873493975903614661e+00 6.956777446781251695e-09
6.893574297188754585e+00 6.962309354997823524e-09
6.913654618473895397e+00 6.963758338312069717e-09
6.933734939759036209e+00 6.961224894816985531e-09
6.953815261044177021e+00 6.954817966281004685e-09
6.973895582329317833e+00 6.944654043659224732e-09
6.993975903614457756e+00 6.930856257436621542e-09
7.014056224899598568e+00 6.913553462639552858e-09
7.034136546184738492e+00 6.892879284607851769e-09
7.054216867469879304e+00 6.868970449970734194e-09
7.074297188755020116e+00 6.841965992130387356e-09
7.094377510040160928e+00 6.812007106001318427e-09
7.114457831325301740e+00 6.779236372787233476e-09
7.134538152610441664e+00 6.743796999403574336e-09
7.154618473895582476e+00 6.705832102070236246e-09
7.174698795180722399e+00 6.665484580361707630e-09
7.194779116465863211e+00 6.622901631426867918e-09
7.214859437751004023e+00 6.578230961731098848e-09
7.234939759036144835e+00 6.531616425547854882e-09
7.255020080321285647e+00 6.483197636910656126e-09
7.275100401606425571e+00 6.433109691003799382e-09
7.295180722891566383e+00 6.381482935278245894e-09
7.315261044176706307e+00 6.328442788373284326e-09
7.335341365461847118e+00 6.274109604614371456e-09
7.355421686746987930e+00 6.218598581586313929e-09
7.375502008032128742e+00 6.162019708050377004e-09
7.395582329317269554e+00 6.104477749285445511e-09
