# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 7.872923386417899653e-25
3.520080321285140368e+00 4.467906618383945861e-24
3.540160642570281180e+00 2.345852707741860805e-23
3.560240963855421548e+00 1.143534388076155782e-22
3.580321285140562360e+00 5.192831534336288075e-22
3.600401606425702727e+00 2.203712829724020611e-21
3.620481927710843539e+00 8.766542498273637129e-21
3.640562248995983907e+00 3.278623185438922252e-20
3.660642570281124719e+00 1.155992200018771959e-19
3.680722891566265087e+00 3.852784674365879026e-19
3.700803212851405455e+00 1.216901704132343418e-18
3.720883534136546267e+00 3.651340733527249742e-18
3.740963855421686635e+00 1.043214126893329846e-17
3.761044176706827447e+00 2.844343633932396868e-17
3.781124497991967814e+00 7.416494643621360248e-17
3.801204819277108626e+00 1.853118029111923354e-16
3.821285140562248994e+00 4.445658908148485417e-16
3.841365461847389362e+00 1.025891976187730703e-15
3.861445783132530174e+00 2.281223973453261583e-15
3.881526104417670542e+00 4.896319381253208856e-15
3.901606425702811354e+00 1.016037491410578728e-14
3.921686746987951722e+00 2.041550050152514150e-14
3.941767068273092534e+00 3.977988055994818578e-14
3.961847389558232901e+00 7.527215311196570533e-14
3.981927710843373269e+00 1.385033297131895208e-13
4.002008032128514081e+00 2.481438418500700741e-13
4.022088353413654893e+00 4.334136484880066403e-13
4.042168674698794817e+00 7.388783403229676305e-13
4.062248995983935629e+00 1.230857409209898998e-12
4.082329317269076441e+00 2.005746354993160984e-12
4.102409638554217253e+00 3.200555316583152089e-12
4.122489959839357176e+00 5.005925560276324973e-12
4.142570281124497988e+00 7.681814761383932903e-12
4.162650602409638800e+00 1.157596247026544284e-11
4.182730923694778724e+00 1.714514226672576553e-11
4.202811244979919536e+00 2.497904271888024289e-11
4.222891566265060348e+00 3.582585648631263249e-11
4.242971887550201160e+00 5.061968994659655157e-11
4.263052208835341084e+00 7.050950368050056620e-11
4.283132530120481896e+00 9.688833983523046785e-11
4.303212851405622708e+00 1.314223241829283502e-10
4.323293172690762631e+00 1.760787213053384261e-10
4.343373493975903443e+00 2.331523442350705388e-10
4.363453815261044255e+00 3.052900022939222691e-10
4.383534136546185067e+00 3.955033224720928322e-10
4.403614457831324991e+00 5.071657805432875074e-10
4.423694779116465803e+00 6.440203466542121273e-10
4.443775100401606615e+00 8.101752046843950585e-10
4.463855421686746539e+00 1.010091407102760250e-09
4.483935742971887350e+00 1.248563652753281426e-09
4.504016064257028162e+00 1.530699905684758711e-09
4.524096385542168974e+00 1.861922658557506176e-09
4.544176706827309786e+00 2.247937867748663166e-09
4.564257028112449710e+00 2.694698075751343057e-09
4.584337349397590522e+00 3.208310178664876346e-09
4.604417670682730446e+00 3.794771325603163276e-09
4.624497991967871258e+00 4.459954095377968013e-09
4.644578313253012070e+00 5.209551638963607556e-09
4.664658634538152882e+00 6.049005974439254201e-09
4.684738955823293693e+00 6.983607522869845393e-09
4.704819277108433617e+00 8.018502051211328047e-09
4.724899598393574429e+00 9.158517083124057427e-09
4.744979919678714353e+00 1.040810726009247026e-08
4.765060240963855165e+00 1.177131186321646118e-08
4.785140562248995977e+00 1.325172429437038075e-08
4.805220883534136789e+00 1.485253780627599364e-08
4.825301204819277601e+00 1.657653779253140780e-08
4.845381526104417524e+00 1.842599219198791520e-08
4.865461847389558336e+00 2.040177722139431328e-08
4.885542168674698260e+00 2.250366504474842631e-08
4.905622489959839072e+00 2.473157594551285854e-08
4.925702811244979884e+00 2.708486811889054862e-08
4.945783132530120696e+00 2.956220130843268276e-08
4.965863453815261508e+00 3.216170402045158273e-08
4.985943775100401432e+00 3.488122673737455879e-08
5.006024096385542244e+00 3.771800866880249454e-08
5.026104417670682167e+00 4.066864087937137094e-08
5.046184738955822979e+00 4.372908423510834873e-08
5.066265060240963791e+00 4.689468439853529742e-08
5.086345381526104603e+00 5.016019593263448050e-08
5.106425702811245415e+00 5.351981570908125326e-08
5.126506024096385339e+00 5.696720817466126750e-08
5.146586345381526151e+00 6.049573384643656869e-08
5.166666666666666963e+00 6.410113202703440824e-08
5.186746987951806886e+00 6.778169127465870016e-08
5.206827309236947698e+00 7.153635135912229152e-08
5.226907630522088510e+00 7.536425491445299192e-08
5.246987951807229322e+00 7.926404038722849733e-08
5.267068273092369246e+00 8.323221501644143839e-08
5.287148594377510058e+00 8.726444982415110056e-08
5.307228915662650870e+00 9.135560385732677002e-08
5.327309236947790794e+00 9.549962253661560173e-08
5.347389558232931606e+00 9.968992572095922060e-08
5.367469879518072418e+00 1.039194421874331125e-07
5.387550200803213230e+00 1.081806203533826012e-07
5.407630522088353153e+00 1.124654570879268225e-07
5.427710843373493965e+00 1.167655812615242054e-07
5.447791164658634777e+00 1.210736304700377174e-07
5.467871485943774701e+00 1.253834879702416963e-07
5.487951807228915513e+00 1.296887629815122930e-07
5.508032128514056325e+00 1.339823367881246541e-07
5.528112449799197137e+00 1.382557403998823491e-07
5.548192771084337949e+00 1.425017251361943179e-07
5.568273092369477872e+00 1.467159231204452134e-07
5.588353413654618684e+00 1.508943807111968706e-07
5.608433734939758608e+00 1.550332460050372536e-07
5.628514056224899420e+00 1.591287586265879548e-07
5.648594377510040232e+00 1.631771512705709879e-07
5.668674698795181044e+00 1.671746609700513511e-07
5.688755020080321856e+00 1.711176378173978758e-07
5.708835341365461780e+00 1.750025508531841048e-07
5.728915662650602592e+00 1.788259903525122224e-07
5.748995983935742515e+00 1.825846714575471219e-07
5.769076305220883327e+00 1.862753373957796356e-07
5.789156626506024139e+00 1.898936048648741204e-07
5.809236947791164951e+00 1.934344049801612412e-07
5.829317269076305763e+00 1.968931209975466787e-07
5.849397590361445687e+00 2.002673805428071192e-07
5.869477911646586499e+00 2.035556734754064578e-07
5.889558232931726423e+00 2.067567523397222604e-07
5.909638554216867234e+00 2.098696032562651348e-07
5.929718875502008046e+00 2.128934194230501924e-07
5.949799196787148858e+00 2.158275768269537029e-07
5.969879518072289670e+00 2.186712994247564893e-07
5.989959839357429594e+00 2.214230337513827550e-07
6.010040160642570406e+00 2.240810188370064783e-07
6.030120481927710330e+00 2.266428750935189455e-07
6.050200803212851142e+00 2.291060968238107361e-07
