# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 8.741187757089877635e-65
3.520080321285140368e+00 2.861197779392319959e-62
3.540160642570281180e+00 7.216671050296094707e-60
3.560240963855421548e+00 1.419258177145227254e-57
3.580321285140562360e+00 2.200984284061654724e-55
3.600401606425702727e+00 2.720706281219910967e-53
3.620481927710843539e+00 2.708485863687921748e-51
3.640562248995983907e+00 2.192932769862444610e-49
3.660642570281124719e+00 1.457683702051377295e-47
3.680722891566265087e+00 8.026870052223891908e-46
3.700803212851405455e+00 3.693244469713461583e-44
3.720883534136546267e+00 1.431588499253552606e-42
3.740963855421686635e+00 4.711815165086722003e-41
3.761044176706827447e+00 1.326716058983637138e-39
3.781124497991967814e+00 3.218851693520881491e-38
3.801204819277108626e+00 6.775316108416088330e-37
3.821285140562248994e+00 1.245373691631358960e-35
3.841365461847389362e+00 2.011477870975515782e-34
3.861445783132530174e+00 2.871788926740366466e-33
3.881526104417670542e+00 3.644721099512637188e-32
3.901606425702811354e+00 4.134132660931068227e-31
3.921686746987951722e+00 4.212423674931347434e-30
3.941767068273092534e+00 3.874507471448062826e-29
3.961847389558232901e+00 3.231781567101726495e-28
3.981927710843373269e+00 2.455346561256805598e-27
4.002008032128514081e+00 1.706231861288862760e-26
4.022088353413654893e+00 1.088772741227282031e-25
4.042168674698794817e+00 6.403912017051980206e-25
4.062248995983935629e+00 3.484322943011528939e-24
4.082329317269076441e+00 1.759696334710301624e-23
4.102409638554217253e+00 8.275865873587715675e-23
4.122489959839357176e+00 3.635726000785144897e-22
4.142570281124497988e+00 1.496425172782878854e-21
4.162650602409638800e+00 5.786766933115168690e-21
4.182730923694778724e+00 2.108177271367404353e-20
4.202811244979919536e+00 7.254091297272385086e-20
4.222891566265060348e+00 2.363394644173815697e-19
4.242971887550201160e+00 7.307914807906539818e-19
4.263052208835341084e+00 2.149501307966912726e-18
4.283132530120481896e+00 6.027871027500657597e-18
4.303212851405622708e+00 1.614791879457467470e-17
4.323293172690762631e+00 4.140555434672749937e-17
4.343373493975903443e+00 1.018164541287115051e-16
4.363453815261044255e+00 2.405402040425131958e-16
4.383534136546185067e+00 5.469244241820064740e-16
4.403614457831324991e+00 1.199338188076383400e-15
4.423694779116465803e+00 2.539619161124571107e-15
4.443775100401606615e+00 5.200453866600166897e-15
4.463855421686746539e+00 1.031335350193822612e-14
4.483935742971887350e+00 1.983615495915362342e-14
4.504016064257028162e+00 3.705106791665732572e-14
4.524096385542168974e+00 6.729630594831168492e-14
4.544176706827309786e+00 1.191307684985563120e-13
4.564257028112449710e+00 2.056169709846922439e-13
4.584337349397590522e+00 3.462956627218014019e-13
4.604417670682730446e+00 5.697215050265905652e-13
4.624497991967871258e+00 9.165567977862682403e-13
4.644578313253012070e+00 1.443349387345812760e-12
4.664658634538152882e+00 2.226969223860679177e-12
4.684738955823293693e+00 3.369651518671413554e-12
4.704819277108433617e+00 5.010178551548584226e-12
4.724899598393574429e+00 7.329894869991791733e-12
4.744979919678714353e+00 1.054123080137071377e-11
4.765060240963855165e+00 1.491322956544328271e-11
4.785140562248995977e+00 2.077120744448068305e-11
4.805220883534136789e+00 2.850165781019297742e-11
4.825301204819277601e+00 3.855600353297091889e-11
4.845381526104417524e+00 5.145288005366755808e-11
4.865461847389558336e+00 6.777868145519706973e-11
4.885542168674698260e+00 8.818616522814342862e-11
4.905622489959839072e+00 1.134337898637309701e-10
4.925702811244979884e+00 1.448150095636025137e-10
4.945783132530120696e+00 1.828603349547567056e-10
4.965863453815261508e+00 2.284969995345078450e-10
4.985943775100401432e+00 2.826876820245044773e-10
5.006024096385542244e+00 3.464172726407080008e-10
5.026104417670682167e+00 4.206784628383153351e-10
5.046184738955822979e+00 5.064559276247916012e-10
5.066265060240963791e+00 6.047107076538951658e-10
5.086345381526104603e+00 7.163652994714257254e-10
5.106425702811245415e+00 8.422886897967844193e-10
5.126506024096385339e+00 9.832793944010979034e-10
5.146586345381526151e+00 1.140053107116826826e-09
5.166666666666666963e+00 1.313232639843925491e-09
5.186746987951806886e+00 1.507250687984274289e-09
5.206827309236947698e+00 1.721976456019253926e-09
5.226907630522088510e+00 1.955809485376430636e-09
5.246987951807229322e+00 2.209015916313530128e-09
5.267068273092369246e+00 2.481728189825882485e-09
5.287148594377510058e+00 2.773945243753632930e-09
5.307228915662650870e+00 3.085535595660263422e-09
5.327309236947790794e+00 3.416241525041540858e-09
5.347389558232931606e+00 3.765685440564863861e-09
5.367469879518072418e+00 4.133378941874128930e-09
5.387550200803213230e+00 4.518722650141355966e-09
5.407630522088353153e+00 4.921001177183386889e-09
5.427710843373493965e+00 5.339373273321108060e-09
5.447791164658634777e+00 5.772897206014547824e-09
5.467871485943774701e+00 6.220553742622861616e-09
5.487951807228915513e+00 6.681257614437606073e-09
5.508032128514056325e+00 7.153864271903919281e-09
5.528112449799197137e+00 7.637185695739322165e-09
5.548192771084337949e+00 8.130005760498839399e-09
5.568273092369477872e+00 8.633898176392206154e-09
5.588353413654618684e+00 9.162861144337659494e-09
5.608433734939758608e+00 9.699106384466559439e-09
5.628514056224899420e+00 1.024134029293054868e-08
5.648594377510040232e+00 1.078826847853283994e-08
5.668674698795181044e+00 1.133860777655214332e-08
5.688755020080321856e+00 1.189103862257955527e-08
5.708835341365461780e+00 1.244419269836197461e-08
5.728915662650602592e+00 1.299671913846492449e-08
5.748995983935742515e+00 1.354730307229354847e-08
5.769076305220883327e+00 1.409466656392898225e-08
5.789156626506024139e+00 1.463754748797928541e-08
5.809236947791164951e+00 1.517472061577123947e-08
5.829317269076305763e+00 1.570501104137572069e-08
5.849397590361445687e+00 1.622730168951771139e-08
5.869477911646586499e+00 1.674053365313428517e-08
5.889558232931726423e+00 1.724368773352184518e-08
