# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 9.529516271720706092e-85
3.520080321285140368e+00 2.451731229777633922e-81
3.540160642570281180e+00 4.428371505803268466e-78
3.560240963855421548e+00 5.706057150200513334e-75
3.580321285140562360e+00 5.325860897032813979e-72
3.600401606425702727e+00 3.653840015632109112e-69
3.620481927710843539e+00 1.868431128487860821e-66
3.640562248995983907e+00 7.217137464111984435e-64
3.660642570281124719e+00 2.132792635791792357e-61
3.680722891566265087e+00 4.881104920505425841e-59
3.700803212851405455e+00 8.752438912494999457e-57
3.720883534136546267e+00 1.243405118959256945e-54
3.740963855421686635e+00 1.414441474293219856e-52
3.761044176706827447e+00 1.301535036417877593e-50
3.781124497991967814e+00 9.782204164124338196e-49
3.801204819277108626e+00 6.061053037199174613e-47
3.821285140562248994e+00 3.123392395732335243e-45
3.841365461847389362e+00 1.349992668003388877e-43
3.861445783132530174e+00 4.933453348503841079e-42
3.881526104417670542e+00 1.536063081157175483e-40
3.901606425702811354e+00 4.104598006402481483e-39
3.921686746987951722e+00 9.478696689767116806e-38
3.941767068273092534e+00 1.904188526467774017e-36
3.961847389558232901e+00 3.348744015862171351e-35
3.981927710843373269e+00 5.186316323813401102e-34
4.002008032128514081e+00 7.113920778194272289e-33
4.022088353413654893e+00 8.689206193958231956e-32
4.042168674698794817e+00 9.499636734859908311e-31
4.062248995983935629e+00 9.341519501482620022e-30
4.082329317269076441e+00 8.301158719030023962e-29
4.102409638554217253e+00 6.695803877375877075e-28
4.122489959839357176e+00 4.923255526586689567e-27
4.142570281124497988e+00 3.313190522281840980e-26
4.162650602409638800e+00 2.048633696639501323e-25
4.182730923694778724e+00 1.168182779721908719e-24
4.202811244979919536e+00 6.164813464667521620e-24
4.222891566265060348e+00 3.021056996880068746e-23
4.242971887550201160e+00 1.379213499983438926e-22
4.263052208835341084e+00 5.884115492339240758e-22
4.283132530120481896e+00 2.352849475112635286e-21
4.303212851405622708e+00 8.843045370256991408e-21
4.323293172690762631e+00 3.132446123982514916e-20
4.343373493975903443e+00 1.048500918378039507e-19
4.363453815261044255e+00 3.324597881370059793e-19
4.383534136546185067e+00 1.000991664287517900e-18
4.403614457831324991e+00 2.868368337221310193e-18
4.423694779116465803e+00 7.839756228943384841e-18
4.443775100401606615e+00 2.048062040290481064e-17
4.463855421686746539e+00 5.124217994461820858e-17
4.483935742971887350e+00 1.230240184424778765e-16
4.504016064257028162e+00 2.839411050150163945e-16
4.524096385542168974e+00 6.311123413580332057e-16
4.544176706827309786e+00 1.353182163165919335e-15
4.564257028112449710e+00 2.803345654417340314e-15
4.584337349397590522e+00 5.620011070605830374e-15
4.604417670682730446e+00 1.091888090680834320e-14
4.624497991967871258e+00 2.058789579762935060e-14
4.644578313253012070e+00 3.772457690728054433e-14
4.664658634538152882e+00 6.726287914233996761e-14
4.684738955823293693e+00 1.168424569995265477e-13
4.704819277108433617e+00 1.979757451106592701e-13
4.724899598393574429e+00 3.275659119283321161e-13
4.744979919678714353e+00 5.298201843807824525e-13
4.765060240963855165e+00 8.385873515520316013e-13
4.785140562248995977e+00 1.300125183544881222e-12
4.805220883534136789e+00 1.976273681584928100e-12
4.825301204819277601e+00 2.947975125185697745e-12
4.845381526104417524e+00 4.319044170963071974e-12
4.865461847389558336e+00 6.220053886523141459e-12
4.885542168674698260e+00 8.812169961027799436e-12
4.905622489959839072e+00 1.229073918323016732e-11
4.925702811244979884e+00 1.688842222727127208e-11
4.945783132530120696e+00 2.287765870932367466e-11
4.965863453815261508e+00 3.057226131123350124e-11
4.985943775100401432e+00 4.032796087654703237e-11
5.006024096385542244e+00 5.254176125790405405e-11
5.026104417670682167e+00 6.765000281170160262e-11
5.046184738955822979e+00 8.612508318783237617e-11
5.066265060240963791e+00 1.084708893861380081e-10
5.086345381526104603e+00 1.352170009679160358e-10
5.106425702811245415e+00 1.669117950991632173e-10
5.126506024096385339e+00 2.041146403114932870e-10
5.146586345381526151e+00 2.473874014939208694e-10
5.166666666666666963e+00 2.972854251060758878e-10
5.186746987951806886e+00 3.543481596299546983e-10
5.206827309236947698e+00 4.190901801730620276e-10
5.226907630522088510e+00 4.919925453691642331e-10
5.246987951807229322e+00 5.734947075321128915e-10
5.267068273092369246e+00 6.639872687944690823e-10
5.287148594377510058e+00 7.638058414610939383e-10
5.307228915662650870e+00 8.732260799331221415e-10
5.327309236947790794e+00 9.924597630207861206e-10
5.347389558232931606e+00 1.121650360777242375e-09
5.367469879518072418e+00 1.260872059768766297e-09
5.387550200803213230e+00 1.410130646415536861e-09
5.407630522088353153e+00 1.569364858442275168e-09
5.427710843373493965e+00 1.738449382369308791e-09
5.447791164658634777e+00 1.917196823940888054e-09
5.467871485943774701e+00 2.105361977916016868e-09
5.487951807228915513e+00 2.302646877046213164e-09
5.508032128514056325e+00 2.508705836119203359e-09
5.528112449799197137e+00 2.723150214953835336e-09
5.548192771084337949e+00 2.945550873792520927e-09
5.568273092369477872e+00 3.175432420791247566e-09
5.588353413654618684e+00 3.412285135211750328e-09
5.608433734939758608e+00 3.655574918085622841e-09
5.628514056224899420e+00 3.904743144842021894e-09
5.648594377510040232e+00 4.159209634036138007e-09
5.668674698795181044e+00 4.418378426587763789e-09
5.688755020080321856e+00 4.681657392031410308e-09
5.708835341365461780e+00 4.948432828349337963e-09
5.728915662650602592e+00 5.218066441220389826e-09
5.748995983935742515e+00 5.489933060506663704e-09
5.769076305220883327e+00 5.763407434570619957e-09
5.789156626506024139e+00 6.037866727365860780e-09
5.809236947791164951e+00 6.312687408102683717e-09
5.829317269076305763e+00 6.587225214514603069e-09
5.849397590361445687e+00 6.860839275723060737e-09
5.869477911646586499e+00 7.132974805931250925e-09
5.889558232931726423e+00 7.402900530773564657e-09
5.909638554216867234e+00 7.669998418723274204e-09
5.929718875502008046e+00 7.933668307773980957e-09
5.949799196787148858e+00 8.193331319578234215e-09
5.969879518072289670e+00 8.448431617173261354e-09
5.989959839357429594e+00 8.698439526080298971e-09
6.010040160642570406e+00 8.942855235848405904e-09
6.030120481927710330e+00 9.181211839586037780e-09
6.050200803212851142e+00 9.413077061162929977e-09
6.070281124497991954e+00 9.638272915799595701e-09
6.090361445783132766e+00 9.856277074940879028e-09
6.110441767068273577e+00 1.006670161888203621e-08
6.130522088353413501e+00 1.026923784014484914e-08
6.150602409638554313e+00 1.046361514986325961e-08
6.170682730923694237e+00 1.064959923358687206e-08
6.190763052208835049e+00 1.082698968523985363e-08
6.210843373493975861e+00 1.099560449212697035e-08
6.230923694779116673e+00 1.115527661655844207e-08
6.251004016064257485e+00 1.130587243812682021e-08
6.271084337349397408e+00 1.144729208225785135e-08
6.291164658634538220e+00 1.157946835205189949e-08
6.311244979919678144e+00 1.170236491143755539e-08
6.331325301204818956e+00 1.181611615980073818e-08
6.351405622489959768e+00 1.192085890026072835e-08
6.371485943775100580e+00 1.201639126059783272e-08
6.391566265060241392e+00 1.210278850691973606e-08
6.411646586345381316e+00 1.218014954668505325e-08
6.431726907630522128e+00 1.224859428289545415e-08
6.451807228915662051e+00 1.230825721508373379e-08
6.471887550200802863e+00 1.235928958983891140e-08
6.491967871485943675e+00 1.240185557280204448e-08
6.512048192771084487e+00 1.243613010837708613e-08
6.532128514056225299e+00 1.246230960965966344e-08
6.552208835341365223e+00 1.248060504431015384e-08
6.572289156626506035e+00 1.249123917932647278e-08
6.592369477911645959e+00 1.249444453362939374e-08
6.612449799196786770e+00 1.249046252912991787e-08
6.632530120481927582e+00 1.247954174508681707e-08
6.652610441767068394e+00 1.246193622095778436e-08
6.672690763052209206e+00 1.243790424464852395e-08
6.692771084337350018e+00 1.240770701540360871e-08
6.712851405622489942e+00 1.237160712342298260e-08
6.732931726907629866e+00 1.233014163324591649e-08
6.753012048192770678e+00 1.228334060373820381e-08
6.773092369477911490e+00 1.223142067302036173e-08
6.793172690763052302e+00 1.217463986119292167e-08
6.813253012048193114e+00 1.211325264492501465e-08
6.833333333333333925e+00 1.204750683520724179e-08
6.853413654618473849e+00 1.197764207710495241e-08
6.873493975903614661e+00 1.190389309928459060e-08
6.893574297188754585e+00 1.182648950512027282e-08
6.913654618473895397e+00 1.174565495329841226e-08
6.933734939759036209e+00 1.166160059503163448e-08
6.953815261044177021e+00 1.157452477358930109e-08
6.973895582329317833e+00 1.148461874398092267e-08
6.993975903614457756e+00 1.139206735598143681e-08
7.014056224899598568e+00 1.129704935731418428e-08
7.034136546184738492e+00 1.119973739714135483e-08
7.054216867469879304e+00 1.110029806163205036e-08
7.074297188755020116e+00 1.099889193792050042e-08
7.094377510040160928e+00 1.089567368021039435e-08
7.114457831325301740e+00 1.079079186362229931e-08
7.134538152610441664e+00 1.068438924099835331e-08
7.154618473895582476e+00 1.057660309194400386e-08
7.174698795180722399e+00 1.046756535181011710e-08
7.194779116465863211e+00 1.035740275117236957e-08
7.214859437751004023e+00 1.024623538491193131e-08
7.234939759036144835e+00 1.013417482384696136e-08
7.255020080321285647e+00 1.002132784079727851e-08
7.275100401606425571e+00 9.907797158519062789e-09
7.295180722891566383e+00 9.793681545503358626e-09
7.315261044176706307e+00 9.679075937810115994e-09
7.335341365461847118e+00 9.564071643693572681e-09
7.355421686746987930e+00 9.448756490998025906e-09
7.375502008032128742e+00 9.333214878945775780e-09
7.395582329317269554e+00 9.217527860392236737e-09
7.415662650602409478e+00 9.101773229256526146e-09
7.435742971887550290e+00 8.986025601534635187e-09
7.455823293172690214e+00 8.870434419339751245e-09
7.475903614457831026e+00 8.754998592595013839e-09
7.495983935742971838e+00 8.639774519052996185e-09
7.516064257028112650e+00 8.524825000973181999e-09
7.536144578313252573e+00 8.410209959530269238e-09
7.556224899598393385e+00 8.295985816653427835e-09
7.576305220883534197e+00 8.182205399520466233e-09
7.596385542168675009e+00 8.068919016550209822e-09
7.616465863453814933e+00 7.956174577928364176e-09
7.636546184738955745e+00 7.844017634749921670e-09
7.656626506024096557e+00 7.732491419540739563e-09
7.676706827309237369e+00 7.621636858422053130e-09
7.696787148594377292e+00 7.511492461587396693e-09
7.716867469879518104e+00 7.402094513527285133e-09
7.736947791164658916e+00 7.293477202165168686e-09
7.757028112449798840e+00 7.185672665231352744e-09
7.777108433734939652e+00 7.078711037967908333e-09
7.797188755020080464e+00 6.972620502351717922e-09
7.817269076305221276e+00 6.867427331264770355e-09
7.837349397590361200e+00 6.763155873503224508e-09
7.857429718875502012e+00 6.659828647812949071e-09
7.877510040160642824e+00 6.557466450625238741e-09
7.897590361445782747e+00 6.456088409838021425e-09
7.917670682730923559e+00 6.355712038362377762e-09
7.937751004016064371e+00 6.256353288225990599e-09
7.957831325301205183e+00 6.158026605055056062e-09
7.977911646586345107e+00 6.060744982754776712e-09
7.997991967871485919e+00 5.964520017901267095e-09
8.018072289156627619e+00 5.869361952483376407e-09
8.038152610441766655e+00 5.775279727274856546e-09
8.058232931726907466e+00 5.682281057172863874e-09
8.078313253012048278e+00 5.590372492737970855e-09
8.098393574297189090e+00 5.499559459169929688e-09
8.118473895582329902e+00 5.409846304800556692e-09
8.138554216867468938e+00 5.321236351519231548e-09
8.158634538152611526e+00 5.233731944147246023e-09
8.178714859437750562e+00 5.147334498679400812e-09
8.198795180722891374e+00 5.062044549322613761e-09
8.218875502008032186e+00 4.977861794273640965e-09
8.238955823293172998e+00 4.894785140188010369e-09
8.259036144578313809e+00 4.812812745301446717e-09
8.279116465863452845e+00 4.731942060287404083e-09
8.299196787148595433e+00 4.652169867439309503e-09
8.319277108433734469e+00 4.573492321970911756e-09
8.339357429718875281e+00 4.495904989901315547e-09
8.359437751004016093e+00 4.419402884111804260e-09
8.379518072289156905e+00 4.343980499017849871e-09
8.399598393574297717e+00 4.269631843869800504e-09
8.419678714859436752e+00 4.196350474700272384e-09
8.439759036144579341e+00 4.124129524939936512e-09
8.459839357429718376e+00 4.052961734727332740e-09
8.479919678714859188e+00 3.982839478940646778e-09
8.500000000000000000e+00 3.913754793982322187e-09
