# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 9.239052552669880551e-126
3.520080321285140368e+00 1.595995892262804598e-120
3.540160642570281180e+00 1.600396646867251510e-115
3.560240963855421548e+00 9.547445515522318469e-111
3.580321285140562360e+00 3.468968501949476843e-106
3.600401606425702727e+00 7.850487081674291609e-102
3.620481927710843539e+00 1.130487455082242058e-97
3.640562248995983907e+00 1.057250312795040936e-93
3.660642570281124719e+00 6.547900073359486496e-90
3.680722891566265087e+00 2.736055580916253267e-86
3.700803212851405455e+00 7.851769236549401760e-83
3.720883534136546267e+00 1.573990320697628225e-79
3.740963855421686635e+00 2.240100692214024310e-76
3.761044176706827447e+00 2.298713873888816519e-73
3.781124497991967814e+00 1.726121677314570345e-70
3.801204819277108626e+00 9.619538297316698350e-68
3.821285140562248994e+00 4.032586592073207158e-65
3.841365461847389362e+00 1.288088670809952719e-62
3.861445783132530174e+00 3.173758614942208706e-60
3.881526104417670542e+00 6.103241410714271519e-58
3.901606425702811354e+00 9.263349049559516975e-56
3.921686746987951722e+00 1.121602278407683842e-53
3.941767068273092534e+00 1.094474974918760158e-51
3.961847389558232901e+00 8.691630773154219791e-50
3.981927710843373269e+00 5.669780799834658950e-48
4.002008032128514081e+00 3.065203207357042044e-46
4.022088353413654893e+00 1.385046363526380772e-44
4.042168674698794817e+00 5.273499423042782533e-43
4.062248995983935629e+00 1.704988919344530073e-41
4.082329317269076441e+00 4.715621998295363197e-40
4.102409638554217253e+00 1.123603071075961121e-38
4.122489959839357176e+00 2.322023936663606802e-37
4.142570281124497988e+00 4.188817966383392803e-36
4.162650602409638800e+00 6.636701677460961585e-35
4.182730923694778724e+00 9.289527554567554838e-34
4.202811244979919536e+00 1.155167463528315237e-32
4.222891566265060348e+00 1.282997715269237644e-31
4.242971887550201160e+00 1.279237482057887545e-30
4.263052208835341084e+00 1.150629300010596532e-29
4.283132530120481896e+00 9.379887449717855821e-29
4.303212851405622708e+00 6.960901053446659124e-28
4.323293172690762631e+00 4.722581347815330393e-27
4.343373493975903443e+00 2.941012542325719365e-26
4.363453815261044255e+00 1.687701230879507119e-25
4.383534136546185067e+00 8.957307046608564303e-25
4.403614457831324991e+00 4.412371349595322577e-24
4.423694779116465803e+00 2.024135934733497658e-23
4.443775100401606615e+00 8.675102209955836208e-23
4.463855421686746539e+00 3.484239958694905648e-22
4.483935742971887350e+00 1.315258346472094576e-21
4.504016064257028162e+00 4.679475407270647709e-21
4.524096385542168974e+00 1.573348850125879205e-20
4.544176706827309786e+00 5.011882800059820917e-20
4.564257028112449710e+00 1.516285744934195650e-19
4.584337349397590522e+00 4.366907061904338339e-19
4.604417670682730446e+00 1.199892916406574633e-18
4.624497991967871258e+00 3.152143907282810899e-18
4.644578313253012070e+00 7.933090331085034451e-18
4.664658634538152882e+00 1.916415690619220435e-17
4.684738955823293693e+00 4.451929282990608473e-17
4.704819277108433617e+00 9.962816306255684155e-17
4.724899598393574429e+00 2.151398745498151799e-16
4.744979919678714353e+00 4.490154407264767789e-16
4.765060240963855165e+00 9.071276959792525155e-16
4.785140562248995977e+00 1.776550479481428043e-15
4.805220883534136789e+00 3.377498316489075602e-15
4.825301204819277601e+00 6.241663036833786045e-15
4.845381526104417524e+00 1.122654482001587850e-14
4.865461847389558336e+00 1.967707997815603118e-14
4.885542168674698260e+00 3.364714995684776476e-14
4.905622489959839072e+00 5.619409399493281158e-14
4.925702811244979884e+00 9.175878552629412182e-14
4.945783132530120696e+00 1.466419830589967961e-13
4.965863453815261508e+00 2.295842606025452200e-13
4.985943775100401432e+00 3.524517905100841973e-13
5.006024096385542244e+00 5.310238649754293660e-13
5.026104417670682167e+00 7.858705558103975097e-13
5.046184738955822979e+00 1.143300785898841307e-12
5.066265060240963791e+00 1.636351427559616100e-12
5.086345381526104603e+00 2.305783592558583804e-12
5.106425702811245415e+00 3.201047377587452133e-12
5.126506024096385339e+00 4.381171231996604926e-12
5.146586345381526151e+00 5.915534068278533369e-12
5.166666666666666963e+00 7.884482022864960710e-12
5.186746987951806886e+00 1.037975878273003785e-11
5.206827309236947698e+00 1.350472786866793881e-11
5.226907630522088510e+00 1.737434558192152026e-11
5.246987951807229322e+00 2.211488145286145079e-11
5.267068273092369246e+00 2.786348769248315929e-11
5.287148594377510058e+00 3.476757070714811666e-11
5.307228915662650870e+00 4.298401910445692662e-11
5.327309236947790794e+00 5.267828806940097013e-11
5.347389558232931606e+00 6.402341598725425501e-11
5.367469879518072418e+00 7.719891731320999123e-11
5.387550200803213230e+00 9.238969003373551993e-11
5.407630522088353153e+00 1.097849679925786839e-10
5.427710843373493965e+00 1.295771711794455202e-10
5.447791164658634777e+00 1.519594483762641971e-10
5.467871485943774701e+00 1.771249562425142041e-10
5.487951807228915513e+00 2.052652485646408040e-10
5.508032128514056325e+00 2.365685264031691028e-10
5.528112449799197137e+00 2.712173541807322745e-10
5.548192771084337949e+00 3.093889003490012674e-10
5.568273092369477872e+00 3.512451616790486370e-10
5.588353413654618684e+00 3.969380756901444262e-10
5.608433734939758608e+00 4.466046668030301243e-10
5.628514056224899420e+00 5.003645197080038897e-10
5.648594377510040232e+00 5.583171357401946592e-10
5.668674698795181044e+00 6.205395079842528695e-10
5.688755020080321856e+00 6.871025812753226156e-10
5.708835341365461780e+00 7.580147785490662122e-10
5.728915662650602592e+00 8.332663981949965173e-10
5.748995983935742515e+00 9.128139426937836123e-10
5.769076305220883327e+00 9.965805820627770870e-10
5.789156626506024139e+00 1.084456508040172514e-09
5.809236947791164951e+00 1.176298999362604867e-09
5.829317269076305763e+00 1.271932618554658484e-09
5.849397590361445687e+00 1.371199381901824413e-09
5.869477911646586499e+00 1.473857148898535434e-09
5.889558232931726423e+00 1.579613367393600839e-09
5.909638554216867234e+00 1.688186442059899343e-09
5.929718875502008046e+00 1.799275636786980931e-09
5.949799196787148858e+00 1.912564469700797728e-09
5.969879518072289670e+00 2.027724350291943724e-09
5.989959839357429594e+00 2.144417553931012874e-09
6.010040160642570406e+00 2.262294048879510345e-09
6.030120481927710330e+00 2.380993804740395525e-09
6.050200803212851142e+00 2.500218227901899028e-09
6.070281124497991954e+00 2.619715854971093314e-09
