# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 0.000000000000000000e+00
3.620481927710843539e+00 0.000000000000000000e+00
3.640562248995983907e+00 0.000000000000000000e+00
3.660642570281124719e+00 0.000000000000000000e+00
3.680722891566265087e+00 0.000000000000000000e+00
3.700803212851405455e+00 0.000000000000000000e+00
3.720883534136546267e+00 0.000000000000000000e+00
3.740963855421686635e+00 1.248517419460332489e-311
3.761044176706827447e+00 4.997164834786435895e-298
3.781124497991967814e+00 4.863025258999856184e-285
3.801204819277108626e+00 1.226572197051945466e-272
3.821285140562248994e+00 8.522746450516871432e-261
3.841365461847389362e+00 1.729278005899710536e-249
3.861445783132530174e+00 1.083190168333366440e-238
3.881526104417670542e+00 2.208836894200684770e-228
3.901606425702811354e+00 1.542637601022900740e-218
3.921686746987951722e+00 3.872868479878059718e-209
3.941767068273092534e+00 3.660558264760629771e-200
3.961847389558232901e+00 1.361374649017702956e-191
3.981927710843373269e+00 2.077914234175973073e-183
4.002008032128514081e+00 1.355108420856774768e-175
4.022088353413654893e+00 3.923775295251396620e-168
4.042168674698794817e+00 5.233004299427039760e-161
4.062248995983935629e+00 3.329110806423940115e-154
4.082329317269076441e+00 1.044627725350826121e-147
4.102409638554217253e+00 1.669247031174281417e-141
4.122489959839357176e+00 1.400388100001739447e-135
4.142570281124497988e+00 6.350231678718095704e-130
4.162650602409638800e+00 1.600358958166720675e-124
4.182730923694778724e+00 2.301758422754295834e-119
4.202811244979919536e+00 1.937865171661193586e-114
4.222891566265060348e+00 9.784046861384424489e-110
4.242971887550201160e+00 3.031652867711607391e-105
4.263052208835341084e+00 5.893697595472444477e-101
4.283132530120481896e+00 7.341625117851621171e-97
4.303212851405622708e+00 5.978988998743160810e-93
4.323293172690762631e+00 3.245152066021549783e-89
4.343373493975903443e+00 1.195577756170098762e-85
4.363453815261044255e+00 3.042706088947454115e-82
4.383534136546185067e+00 5.439286927795697181e-79
4.403614457831324991e+00 6.939945935810051764e-76
4.423694779116465803e+00 6.416844644597957021e-73
4.443775100401606615e+00 4.362730654775072634e-70
4.463855421686746539e+00 2.211573111881067737e-67
4.483935742971887350e+00 8.470561008586510273e-65
4.504016064257028162e+00 2.482519436334006655e-62
4.524096385542168974e+00 5.635024779717266507e-60
4.544176706827309786e+00 1.002160889992523522e-57
4.564257028112449710e+00 1.411908888393060333e-55
4.584337349397590522e+00 1.592488435994588131e-53
4.604417670682730446e+00 1.452487810883672084e-51
4.624497991967871258e+00 1.081643747508834645e-49
4.644578313253012070e+00 6.637004754627743016e-48
4.664658634538152882e+00 3.385142153557232432e-46
4.684738955823293693e+00 1.447196942915706876e-44
4.704819277108433617e+00 5.227444040554248392e-43
4.724899598393574429e+00 1.607573032144157089e-41
4.744979919678714353e+00 4.239656243917536227e-40
4.765060240963855165e+00 9.655738757798702233e-39
4.785140562248995977e+00 1.911680570422232885e-37
4.805220883534136789e+00 3.311082441216821205e-36
4.825301204819277601e+00 5.047486228281732684e-35
4.845381526104417524e+00 6.811421427961835066e-34
4.865461847389558336e+00 8.181849801477470411e-33
4.885542168674698260e+00 8.794312525643079469e-32
4.905622489959839072e+00 8.501021677285470957e-31
4.925702811244979884e+00 7.425791296784665783e-30
4.945783132530120696e+00 5.888519237146937534e-29
4.965863453815261508e+00 4.257558359906754045e-28
4.985943775100401432e+00 2.818511362886268723e-27
5.006024096385542244e+00 1.715201445226436815e-26
5.026104417670682167e+00 9.631630436755136760e-26
5.046184738955822979e+00 5.009013370471291695e-25
5.066265060240963791e+00 2.420913194697127421e-24
5.086345381526104603e+00 1.090987107595483098e-23
5.106425702811245415e+00 4.598826006910964771e-23
5.126506024096385339e+00 1.818748591157659422e-22
5.146586345381526151e+00 6.767817657975268942e-22
5.166666666666666963e+00 2.376129631553528660e-21
5.186746987951806886e+00 7.891837487952839490e-21
5.206827309236947698e+00 2.485775603197304367e-20
5.226907630522088510e+00 7.443227999765383362e-20
5.246987951807229322e+00 2.123581598908221291e-19
5.267068273092369246e+00 5.785385968112739548e-19
5.287148594377510058e+00 1.508189553876736290e-18
5.307228915662650870e+00 3.769667446137573997e-18
5.327309236947790794e+00 9.051023491261703699e-18
5.347389558232931606e+00 2.091348417528052416e-17
5.367469879518072418e+00 4.658432489667442662e-17
5.387550200803213230e+00 1.001969172011759703e-16
5.407630522088353153e+00 2.084269015782875792e-16
5.427710843373493965e+00 4.199431728746038112e-16
5.447791164658634777e+00 8.207054118251089023e-16
5.467871485943774701e+00 1.557895628624294749e-15
5.487951807228915513e+00 2.876144933323942467e-15
5.508032128514056325e+00 5.170655146564232660e-15
5.528112449799197137e+00 9.062728983648420778e-15
5.548192771084337949e+00 1.550399130627605852e-14
5.568273092369477872e+00 2.591606624061881382e-14
5.588353413654618684e+00 4.237252727813329593e-14
5.608433734939758608e+00 6.782931965099062705e-14
5.628514056224899420e+00 1.064085890036009729e-13
5.648594377510040232e+00 1.637387551275791247e-13
5.668674698795181044e+00 2.473507815032399489e-13
5.688755020080321856e+00 3.671269949616628381e-13
5.708835341365461780e+00 5.357949514830460940e-13
5.728915662650602592e+00 7.694556825740007839e-13
5.748995983935742515e+00 1.088128013253492465e-12
5.769076305220883327e+00 1.516289162377735512e-12
5.789156626506024139e+00 2.083388634952217971e-12
5.809236947791164951e+00 2.824309216378427404e-12
5.829317269076305763e+00 3.779748203647556001e-12
5.849397590361445687e+00 4.996492368262168823e-12
5.869477911646586499e+00 6.527562049365082009e-12
5.889558232931726423e+00 8.432232172529213480e-12
5.909638554216867234e+00 1.077589178533292196e-11
5.929718875502008046e+00 1.362970353943331294e-11
5.949799196787148858e+00 1.707009669110575000e-11
