# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 0.000000000000000000e+00
3.620481927710843539e+00 0.000000000000000000e+00
3.640562248995983907e+00 0.000000000000000000e+00
3.660642570281124719e+00 0.000000000000000000e+00
3.680722891566265087e+00 0.000000000000000000e+00
3.700803212851405455e+00 0.000000000000000000e+00
3.720883534136546267e+00 0.000000000000000000e+00
3.740963855421686635e+00 0.000000000000000000e+00
3.761044176706827447e+00 0.000000000000000000e+00
3.781124497991967814e+00 0.000000000000000000e+00
3.801204819277108626e+00 0.000000000000000000e+00
3.821285140562248994e+00 0.000000000000000000e+00
3.841365461847389362e+00 0.000000000000000000e+00
3.861445783132530174e+00 2.509853480873532444e-321
3.881526104417670542e+00 2.681735173748479102e-307
3.901606425702811354e+00 6.662421916629035530e-294
3.921686746987951722e+00 4.112022824160931509e-281
3.941767068273092534e+00 6.714491968719880529e-269
3.961847389558232901e+00 3.080331327414358959e-257
3.981927710843373269e+00 4.204571680434641403e-246
4.002008032128514081e+00 1.803739779322439346e-235
4.022088353413654893e+00 2.562516799139352649e-225
4.042168674698794817e+00 1.267321906154012780e-215
4.062248995983935629e+00 2.288449478071247663e-206
4.082329317269076441e+00 1.579068819242322674e-197
4.102409638554217253e+00 4.348545020480810753e-189
4.122489959839357176e+00 4.981899250349327455e-181
4.142570281124497988e+00 2.470383696758207240e-173
4.162650602409638800e+00 5.506621212985833648e-166
4.182730923694778724e+00 5.720679771797802414e-159
4.202811244979919536e+00 2.867035676926893439e-152
4.222891566265060348e+00 7.163842903744555379e-146
4.242971887550201160e+00 9.209682419732683513e-140
4.263052208835341084e+00 6.277257256348626329e-134
4.283132530120481896e+00 2.334391339500655705e-128
4.303212851405622708e+00 4.867938038089885790e-123
4.323293172690762631e+00 5.843002215048645597e-118
4.343373493975903443e+00 4.138907894043017164e-113
4.363453815261044255e+00 1.771917522043223065e-108
4.383534136546185067e+00 4.690195964485136509e-104
4.403614457831324991e+00 7.844467167820306303e-100
4.423694779116465803e+00 8.463886000135132368e-96
4.443775100401606615e+00 6.009134526644419527e-92
4.463855421686746539e+00 2.860902315283059842e-88
4.483935742971887350e+00 9.300048916283797194e-85
4.504016064257028162e+00 2.100130732080970208e-81
4.524096385542168974e+00 3.349159231067306156e-78
4.544176706827309786e+00 3.831599196733220278e-75
4.564257028112449710e+00 3.192252021110763591e-72
4.584337349397590522e+00 1.964764918702653751e-69
4.604417670682730446e+00 9.056547341248511341e-67
4.624497991967871258e+00 3.167577113444642585e-64
4.644578313253012070e+00 8.511805047168764785e-62
4.664658634538152882e+00 1.778356269308223943e-59
4.684738955823293693e+00 2.921847069424027425e-57
4.704819277108433617e+00 3.816397668368307954e-55
4.724899598393574429e+00 4.004146326555299996e-53
4.744979919678714353e+00 3.408205197118481253e-51
4.765060240963855165e+00 2.375779048632184851e-49
4.785140562248995977e+00 1.368580800210375581e-47
4.805220883534136789e+00 6.571452597428612457e-46
4.825301204819277601e+00 2.651869917869250894e-44
4.845381526104417524e+00 9.064729557873811241e-43
4.865461847389558336e+00 2.644399166090917612e-41
4.885542168674698260e+00 6.631002909190417423e-40
4.905622489959839072e+00 1.439068402333676419e-38
4.925702811244979884e+00 2.720629638062467437e-37
4.945783132530120696e+00 4.508694288991027543e-36
4.965863453815261508e+00 6.588867550303135240e-35
4.985943775100401432e+00 8.539212111476235584e-34
5.006024096385542244e+00 9.867990251434572447e-33
5.026104417670682167e+00 1.022101051062323141e-31
5.046184738955822979e+00 9.535902051644721260e-31
5.066265060240963791e+00 8.051634237854803447e-30
5.086345381526104603e+00 6.180439349291058424e-29
5.106425702811245415e+00 4.331495852045507420e-28
5.126506024096385339e+00 2.783077672487958202e-27
5.146586345381526151e+00 1.645835792711640624e-26
5.166666666666666963e+00 8.991853169173908976e-26
5.186746987951806886e+00 4.554781911312227924e-25
5.206827309236947698e+00 2.146473277774560239e-24
5.226907630522088510e+00 9.441469747816126498e-24
5.246987951807229322e+00 3.888324808868083764e-23
5.267068273092369246e+00 1.503784634790630582e-22
5.287148594377510058e+00 5.476988458938179430e-22
5.307228915662650870e+00 1.883684444473726029e-21
5.327309236947790794e+00 6.133499970129948638e-21
5.347389558232931606e+00 1.895462963390012737e-20
5.367469879518072418e+00 5.572539544825417297e-20
5.387550200803213230e+00 1.562067148951193418e-19
5.407630522088353153e+00 4.183967820149436535e-19
5.427710843373493965e+00 1.073025703480560357e-18
5.447791164658634777e+00 2.640071402058804796e-18
5.467871485943774701e+00 6.243339494266107222e-18
5.487951807228915513e+00 1.421638073649124143e-17
5.508032128514056325e+00 3.122279702771552772e-17
5.528112449799197137e+00 6.624779427302087613e-17
5.548192771084337949e+00 1.360072143872868773e-16
5.568273092369477872e+00 2.705744124490628283e-16
5.588353413654618684e+00 5.223478656327898904e-16
5.608433734939758608e+00 9.798674862850939999e-16
5.628514056224899420e+00 1.788416408386097315e-15
5.648594377510040232e+00 3.179783318973174040e-15
5.668674698795181044e+00 5.513957293444512886e-15
5.688755020080321856e+00 9.335817814247724008e-15
5.708835341365461780e+00 1.544999752842848677e-14
5.728915662650602592e+00 2.501695467781476647e-14
5.748995983935742515e+00 3.967281906180496759e-14
5.769076305220883327e+00 6.167476256809557291e-14
5.789156626506024139e+00 9.407243772508600070e-14
5.809236947791164951e+00 1.409044773171868648e-13
5.829317269076305763e+00 2.074172082880748234e-13
5.849397590361445687e+00 3.003009274752101715e-13
5.869477911646586499e+00 4.279370783384749210e-13
5.889558232931726423e+00 6.006469184415980565e-13
5.909638554216867234e+00 8.309316909233615237e-13
5.929718875502008046e+00 1.133692669001711822e-12
5.949799196787148858e+00 1.526418748632084957e-12
