# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.908380968455709602e-11
3.520080321285140368e+00 1.850472159018918158e-11
3.540160642570281180e+00 1.794184269958618892e-11
3.560240963855421548e+00 1.739476603724110816e-11
3.580321285140562360e+00 1.686309346517520123e-11
3.600401606425702727e+00 1.634643551517217042e-11
3.620481927710843539e+00 1.584441122481048500e-11
3.640562248995983907e+00 1.535664797714575219e-11
3.660642570281124719e+00 1.488278134389860523e-11
3.680722891566265087e+00 1.442245493200982721e-11
3.700803212851405455e+00 1.397532023342842316e-11
3.720883534136546267e+00 1.354103647800404110e-11
3.740963855421686635e+00 1.311927048936002221e-11
3.761044176706827447e+00 1.270969654362812584e-11
3.781124497991967814e+00 1.231199623093157998e-11
3.801204819277108626e+00 1.192585831950756322e-11
3.821285140562248994e+00 1.155097862236571584e-11
3.841365461847389362e+00 1.118705986638368822e-11
3.861445783132530174e+00 1.083381156374620651e-11
3.881526104417670542e+00 1.049094988563843344e-11
3.901606425702811354e+00 1.015819753810939045e-11
3.921686746987951722e+00 9.835283640025870470e-12
3.941767068273092534e+00 9.521943603041587313e-12
3.961847389558232901e+00 9.217919013511117026e-12
3.981927710843373269e+00 8.922957516281977152e-12
4.002008032128514081e+00 8.636812700302907011e-12
4.022088353413654893e+00 8.359243985990118422e-12
4.042168674698794817e+00 8.090016514297339779e-12
4.062248995983935629e+00 7.828901037439111435e-12
4.082329317269076441e+00 7.575673811220819658e-12
4.102409638554217253e+00 7.330116488931780436e-12
4.122489959839357176e+00 7.092016016761620002e-12
4.142570281124497988e+00 6.861164530702993911e-12
4.162650602409638800e+00 6.637359254906945126e-12
4.182730923694778724e+00 6.420402401459726756e-12
4.202811244979919536e+00 6.210101071552945909e-12
4.222891566265060348e+00 6.006267158021302054e-12
4.242971887550201160e+00 5.808717249224363826e-12
4.263052208835341084e+00 5.617272534251413949e-12
4.283132530120481896e+00 5.431758709430129520e-12
4.303212851405622708e+00 5.252005886122032213e-12
4.323293172690762631e+00 5.077848499789211680e-12
4.343373493975903443e+00 4.909125220318514551e-12
4.363453815261044255e+00 4.745678863591029599e-12
4.383534136546185067e+00 4.587356304285736085e-12
4.403614457831324991e+00 4.434008389907696868e-12
4.423694779116465803e+00 4.285489856032047871e-12
4.443775100401606615e+00 4.141659242756197133e-12
4.463855421686746539e+00 4.002378812353301737e-12
4.483935742971887350e+00 3.867514468120924602e-12
4.504016064257028162e+00 3.736935674419499303e-12
4.524096385542168974e+00 3.610515377895561490e-12
4.544176706827309786e+00 3.488129929885294728e-12
4.564257028112449710e+00 3.369659009994267408e-12
4.584337349397590522e+00 3.254985550849429169e-12
4.604417670682730446e+00 3.143995664019771359e-12
4.624497991967871258e+00 3.036578567101949413e-12
4.644578313253012070e+00 2.932626511967513993e-12
4.664658634538152882e+00 2.832034714168061701e-12
4.684738955823293693e+00 2.734701283494835888e-12
4.704819277108433617e+00 2.640527155689014865e-12
4.724899598393574429e+00 2.549416025298802420e-12
4.744979919678714353e+00 2.461274279679333782e-12
4.765060240963855165e+00 2.376010934130940042e-12
4.785140562248995977e+00 2.293537568171363281e-12
4.805220883534136789e+00 2.213768262936878564e-12
4.825301204819277601e+00 2.136619539707226021e-12
4.845381526104417524e+00 2.062010299548765087e-12
4.865461847389558336e+00 1.989861764069929806e-12
4.885542168674698260e+00 1.920097417282771618e-12
4.905622489959839072e+00 1.852642948563846594e-12
4.925702811244979884e+00 1.787426196707581263e-12
4.945783132530120696e+00 1.724377095064760476e-12
4.965863453815261508e+00 1.663427617759066051e-12
4.985943775100401432e+00 1.604511726975456323e-12
5.006024096385542244e+00 1.547565321317589182e-12
5.026104417670682167e+00 1.492526185240782261e-12
5.046184738955822979e+00 1.439333939589487044e-12
5.066265060240963791e+00 1.387929993319402126e-12
5.086345381526104603e+00 1.338257496591804199e-12
5.106425702811245415e+00 1.290261295641348407e-12
5.126506024096385339e+00 1.243887890218274079e-12
5.146586345381526151e+00 1.199085395114154984e-12
5.166666666666666963e+00 1.155803508469824181e-12
5.186746987951806886e+00 1.113993491460600121e-12
5.206827309236947698e+00 1.073608166826457987e-12
5.226907630522088510e+00 1.034601947844302871e-12
5.246987951807229322e+00 9.969309149608928122e-13
5.267068273092369246e+00 9.605529645145909857e-13
5.287148594377510058e+00 9.254280626028348657e-13
5.307228915662650870e+00 8.915186466179418594e-13
5.327309236947790794e+00 8.587902261377180153e-13
5.347389558232931606e+00 8.272122419323789987e-13
5.367469879518072418e+00 7.967592444174275171e-13
5.387550200803213230e+00 7.674124480801702017e-13
5.407630522088353153e+00 7.391617033172052164e-13
5.427710843373493965e+00 7.120078993546009218e-13
5.447791164658634777e+00 6.859657703390557956e-13
5.467871485943774701e+00 6.610670220931416505e-13
5.487951807228915513e+00 6.373636326956263560e-13
5.508032128514056325e+00 6.149311118770027643e-13
5.528112449799197137e+00 5.938714403913487365e-13
5.548192771084337949e+00 5.743153606278320517e-13
5.568273092369477872e+00 5.564236634347853394e-13
5.588353413654618684e+00 5.403871216425977274e-13
5.608433734939758608e+00 5.264247632732506129e-13
5.628514056224899420e+00 5.147802578927324310e-13
5.648594377510040232e+00 5.057163041651481935e-13
5.668674698795181044e+00 4.995070468890113519e-13
5.688755020080321856e+00 4.964287053088259791e-13
5.708835341365461780e+00 4.967487466325621294e-13
5.728915662650602592e+00 5.007140742836189014e-13
