# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 3.570225711588841182e-11
3.520080321285140368e+00 3.466827578241313990e-11
3.540160642570281180e+00 3.366291052246086156e-11
3.560240963855421548e+00 3.268541522407637969e-11
3.580321285140562360e+00 3.173506154765684205e-11
3.600401606425702727e+00 3.081113855718213894e-11
3.620481927710843539e+00 2.991295235794649456e-11
3.640562248995983907e+00 2.903982574065770769e-11
3.660642570281124719e+00 2.819109783177488837e-11
3.680722891566265087e+00 2.736612374996329857e-11
3.700803212851405455e+00 2.656427426854971940e-11
3.720883534136546267e+00 2.578493548386781924e-11
3.740963855421686635e+00 2.502750848938797006e-11
3.761044176706827447e+00 2.429140905553050862e-11
3.781124497991967814e+00 2.357606731506679010e-11
3.801204819277108626e+00 2.288092745401536094e-11
3.821285140562248994e+00 2.220544740794606718e-11
3.841365461847389362e+00 2.154909856360686006e-11
3.861445783132530174e+00 2.091136546579303973e-11
3.881526104417670542e+00 2.029174552938083949e-11
3.901606425702811354e+00 1.968974875645022585e-11
3.921686746987951722e+00 1.910489745842511449e-11
3.941767068273092534e+00 1.853672598316064001e-11
3.961847389558232901e+00 1.798478044691039387e-11
3.981927710843373269e+00 1.744861847110760787e-11
4.002008032128514081e+00 1.692780892389690712e-11
4.022088353413654893e+00 1.642193166635445146e-11
4.042168674698794817e+00 1.593057730333585847e-11
4.062248995983935629e+00 1.545334693889271611e-11
4.082329317269076441e+00 1.498985193620002781e-11
4.102409638554217253e+00 1.453971368193708816e-11
4.122489959839357176e+00 1.410256335506640689e-11
4.142570281124497988e+00 1.367804169995515162e-11
4.162650602409638800e+00 1.326579880378508760e-11
4.182730923694778724e+00 1.286549387819697931e-11
4.202811244979919536e+00 1.247679504511635462e-11
4.222891566265060348e+00 1.209937912670818288e-11
4.242971887550201160e+00 1.173293143940778444e-11
4.263052208835341084e+00 1.137714559197633567e-11
4.283132530120481896e+00 1.103172328752914645e-11
4.303212851405622708e+00 1.069637412948549587e-11
4.323293172690762631e+00 1.037081543138866344e-11
4.343373493975903443e+00 1.005477203054510655e-11
4.363453815261044255e+00 9.747976105432167785e-12
4.383534136546185067e+00 9.450166996823170645e-12
4.403614457831324991e+00 9.161091032579499049e-12
4.423694779116465803e+00 8.880501356058872963e-12
4.443775100401606615e+00 8.608157758089459107e-12
4.463855421686746539e+00 8.343826512459169677e-12
4.483935742971887350e+00 8.087280214869770239e-12
4.504016064257028162e+00 7.838297625305537491e-12
4.524096385542168974e+00 7.596663513765997578e-12
4.544176706827309786e+00 7.362168509312555103e-12
4.564257028112449710e+00 7.134608952378878777e-12
4.584337349397590522e+00 6.913786750294819115e-12
4.604417670682730446e+00 6.699509235974033483e-12
4.624497991967871258e+00 6.491589029715137551e-12
4.644578313253012070e+00 6.289843904066889638e-12
4.664658634538152882e+00 6.094096651707458848e-12
4.684738955823293693e+00 5.904174956288498338e-12
4.704819277108433617e+00 5.719911266194491469e-12
4.724899598393574429e+00 5.541142671168311070e-12
4.744979919678714353e+00 5.367710781754060563e-12
4.765060240963855165e+00 5.199461611508266448e-12
4.785140562248995977e+00 5.036245461931196884e-12
4.805220883534136789e+00 4.877916810069815312e-12
4.825301204819277601e+00 4.724334198744554224e-12
4.845381526104417524e+00 4.575360129352203195e-12
4.865461847389558336e+00 4.430860957197521973e-12
4.885542168674698260e+00 4.290706789306683792e-12
4.905622489959839072e+00 4.154771384675698497e-12
4.925702811244979884e+00 4.022932056907758312e-12
4.945783132530120696e+00 3.895069579193386096e-12
4.965863453815261508e+00 3.771068091588072103e-12
4.985943775100401432e+00 3.650815010542305764e-12
5.006024096385542244e+00 3.534200940639600529e-12
5.026104417670682167e+00 3.421119588499052862e-12
5.046184738955822979e+00 3.311467678800611880e-12
5.066265060240963791e+00 3.205144872395345374e-12
5.086345381526104603e+00 3.102053686471425347e-12
5.106425702811245415e+00 3.002099416766129044e-12
5.126506024096385339e+00 2.905190061854717231e-12
5.146586345381526151e+00 2.811236249629164088e-12
5.166666666666666963e+00 2.720151166236865300e-12
5.186746987951806886e+00 2.631850488036442599e-12
5.206827309236947698e+00 2.546252317630523633e-12
5.226907630522088510e+00 2.463277125881065227e-12
5.246987951807229322e+00 2.382847703184896960e-12
5.267068273092369246e+00 2.304889125436922400e-12
5.287148594377510058e+00 2.229328743359190720e-12
5.307228915662650870e+00 2.156096208607220088e-12
5.327309236947790794e+00 2.085123556665707269e-12
5.347389558232931606e+00 2.016345375295599678e-12
5.367469879518072418e+00 1.949699098191526250e-12
5.387550200803213230e+00 1.885125476031282056e-12
5.407630522088353153e+00 1.822569289948173875e-12
5.427710843373493965e+00 1.761980383356217670e-12
5.447791164658634777e+00 1.703315093718540935e-12
5.467871485943774701e+00 1.646538162199289474e-12
5.487951807228915513e+00 1.591625181889358712e-12
5.508032128514056325e+00 1.538565610816978934e-12
5.528112449799197137e+00 1.487366322352572959e-12
5.548192771084337949e+00 1.438055593787158216e-12
5.568273092369477872e+00 1.390687348233470468e-12
5.588353413654618684e+00 1.345345373714977416e-12
5.608433734939758608e+00 1.302147157674392125e-12
5.628514056224899420e+00 1.261246908295531356e-12
5.648594377510040232e+00 1.222837299064489145e-12
5.668674698795181044e+00 1.187149480710755535e-12
5.688755020080321856e+00 1.154450961567151450e-12
5.708835341365461780e+00 1.125041064151708055e-12
5.728915662650602592e+00 1.099243816627367158e-12
5.748995983935742515e+00 1.077398320866021986e-12
5.769076305220883327e+00 1.059846837502431019e-12
5.789156626506024139e+00 1.046921023295891143e-12
5.809236947791164951e+00 1.038926927784568771e-12
5.829317269076305763e+00 1.036129487307707221e-12
5.849397590361445687e+00 1.038737331965372036e-12
5.869477911646586499e+00 1.046888737658420308e-12
5.889558232931726423e+00 1.060639509959338309e-12
5.909638554216867234e+00 1.079953484212410289e-12
5.929718875502008046e+00 1.104696177063342000e-12
5.949799196787148858e+00 1.134631942351912389e-12
5.969879518072289670e+00 1.169424784701685970e-12
5.989959839357429594e+00 1.208642783176590462e-12
6.010040160642570406e+00 1.251765889710435084e-12
6.030120481927710330e+00 1.298196704816857868e-12
6.050200803212851142e+00 1.347273705238893367e-12
6.070281124497991954e+00 1.398286309960598317e-12
6.090361445783132766e+00 1.450491124069140351e-12
6.110441767068273577e+00 1.503128692818285378e-12
6.130522088353413501e+00 1.555440126799656384e-12
6.150602409638554313e+00 1.606683017396994750e-12
6.170682730923694237e+00 1.656146142579588670e-12
6.190763052208835049e+00 1.703162559070394120e-12
6.210843373493975861e+00 1.747120780684647475e-12
6.230923694779116673e+00 1.787473847533701487e-12
6.251004016064257485e+00 1.823746191189554707e-12
6.271084337349397408e+00 1.855538292369431127e-12
6.291164658634538220e+00 1.882529207049214197e-12
6.311244979919678144e+00 1.904477102195789227e-12
6.331325301204818956e+00 1.921217992675313074e-12
6.351405622489959768e+00 1.932662906442765221e-12
6.371485943775100580e+00 1.938793726692841472e-12
6.391566265060241392e+00 1.939657968647760472e-12
6.411646586345381316e+00 1.935362746828119716e-12
6.431726907630522128e+00 1.926068177942076509e-12
6.451807228915662051e+00 1.911980446925245217e-12
6.471887550200802863e+00 1.893344741090221137e-12
6.491967871485943675e+00 1.870438231570207597e-12
6.512048192771084487e+00 1.843563253827214576e-12
6.532128514056225299e+00 1.813040811263430195e-12
6.552208835341365223e+00 1.779204498995092791e-12
6.572289156626506035e+00 1.742394919445109618e-12
6.592369477911645959e+00 1.702954638177092749e-12
6.612449799196786770e+00 1.661223707716004750e-12
6.632530120481927582e+00 1.617535769188247572e-12
6.652610441767068394e+00 1.572214726528116746e-12
6.672690763052209206e+00 1.525571975682510500e-12
6.692771084337350018e+00 1.477904161557135244e-12
6.712851405622489942e+00 1.429491428177744595e-12
6.732931726907629866e+00 1.380596122441108878e-12
6.753012048192770678e+00 1.331461908632468131e-12
6.773092369477911490e+00 1.282313249312417701e-12
6.793172690763052302e+00 1.233355207955065586e-12
6.813253012048193114e+00 1.184773529593209162e-12
6.833333333333333925e+00 1.136734957457507977e-12
6.853413654618473849e+00 1.089387745971391087e-12
6.873493975903614661e+00 1.042862333293588269e-12
6.893574297188754585e+00 9.972721397240611446e-13
6.913654618473895397e+00 9.527144615704455255e-13
6.933734939759036209e+00 9.092714333994529951e-13
6.953815261044177021e+00 8.670110348812279207e-13
6.973895582329317833e+00 8.259881216054943416e-13
6.993975903614457756e+00 7.862454622545577943e-13
7.014056224899598568e+00 7.478147673236411825e-13
7.034136546184738492e+00 7.107176971601323561e-13
7.054216867469879304e+00 6.749668394371622734e-13
7.074297188755020116e+00 6.405666482795707029e-13
7.094377510040160928e+00 6.075143391240328005e-13
7.114457831325301740e+00 5.758007350280453106e-13
7.134538152610441664e+00 5.454110615560205185e-13
7.154618473895582476e+00 5.163256885793167306e-13
7.174698795180722399e+00 4.885208183466584641e-13
7.194779116465863211e+00 4.619691200288311182e-13
7.214859437751004023e+00 4.366403116342166737e-13
7.234939759036144835e+00 4.125016907462952788e-13
7.255020080321285647e+00 3.895186159674049106e-13
7.275100401606425571e+00 3.676549412801320212e-13
7.295180722891566383e+00 3.468734057733465248e-13
7.315261044176706307e+00 3.271359813374832961e-13
7.335341365461847118e+00 3.084041810253270817e-13
7.355421686746987930e+00 2.906393308114206292e-13
7.375502008032128742e+00 2.738028074749107089e-13
7.395582329317269554e+00 2.578562452860254517e-13
7.415662650602409478e+00 2.427617141028928565e-13
7.435742971887550290e+00 2.284818713897136445e-13
7.455823293172690214e+00 2.149800905550543774e-13
7.475903614457831026e+00 2.022205678849854880e-13
7.495983935742971838e+00 1.901684102141155122e-13
7.516064257028112650e+00 1.787897053415175101e-13
7.536144578313252573e+00 1.680515770610185939e-13
7.556224899598393385e+00 1.579222265384782343e-13
7.576305220883534197e+00 1.483709616343930293e-13
7.596385542168675009e+00 1.393682156397721672e-13
7.616465863453814933e+00 1.308855567678650913e-13
7.636546184738955745e+00 1.228956896247055129e-13
7.656626506024096557e+00 1.153724497681554640e-13
7.676706827309237369e+00 1.082907923584841006e-13
7.696787148594377292e+00 1.016267758037206449e-13
7.716867469879518104e+00 9.535754121007067203e-14
7.736947791164658916e+00 8.946128836155551356e-14
7.757028112449798840e+00 8.391724887353418088e-14
7.777108433734939652e+00 7.870565709172192321e-14
7.797188755020080464e+00 7.380771924143122435e-14
7.817269076305221276e+00 6.920558127073914185e-14
7.837349397590361200e+00 6.488229577582640553e-14
7.857429718875502012e+00 6.082178834647268865e-14
7.877510040160642824e+00 5.700882362431675598e-14
7.897590361445782747e+00 5.342897132563449412e-14
7.917670682730923559e+00 5.006857244373947181e-14
7.937751004016064371e+00 4.691470581332953794e-14
7.957831325301205183e+00 4.395515518987284133e-14
7.977911646586345107e+00 4.117837697116423380e-14
7.997991967871485919e+00 3.857346866518345697e-14
8.018072289156627619e+00 3.613013818809745224e-14
8.038152610441766655e+00 3.383867405840763036e-14
8.058232931726907466e+00 3.168991653762133297e-14
8.078313253012048278e+00 2.967522975421252518e-14
8.098393574297189090e+00 2.778647483580431507e-14
8.118473895582329902e+00 2.601598406430719279e-14
8.138554216867468938e+00 2.435653605997631710e-14
8.158634538152611526e+00 2.280133199287346659e-14
8.178714859437750562e+00 2.134397281388951645e-14
8.198795180722891374e+00 1.997843749215624965e-14
8.218875502008032186e+00 1.869906224126844117e-14
8.238955823293172998e+00 1.750052071309596716e-14
8.259036144578313809e+00 1.637780513504092006e-14
8.279116465863452845e+00 1.532620836426663991e-14
8.299196787148595433e+00 1.434130683063375044e-14
8.319277108433734469e+00 1.341894433874984666e-14
8.339357429718875281e+00 1.255521669860353350e-14
8.359437751004016093e+00 1.174645715367480054e-14
8.379518072289156905e+00 1.098922257511487496e-14
8.399598393574297717e+00 1.028028039055350722e-14
8.419678714859436752e+00 9.616596216261873738e-15
8.439759036144579341e+00 8.995322161749579109e-15
8.459839357429718376e+00 8.413785776374438436e-15
8.479919678714859188e+00 7.869479608159889940e-15
8.500000000000000000e+00 7.360051345738174136e-15
