# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 5.608740296100893908e-11
3.520080321285140368e+00 5.450955380312898059e-11
3.540160642570281180e+00 5.297465553087220426e-11
3.560240963855421548e+00 5.148158251514866774e-11
3.580321285140562360e+00 5.002923695389395399e-11
3.600401606425702727e+00 4.861654824781905943e-11
3.620481927710843539e+00 4.724247238812711045e-11
3.640562248995983907e+00 4.590599135600653399e-11
3.660642570281124719e+00 4.460611253371463118e-11
3.680722891566265087e+00 4.334186812706951613e-11
3.700803212851405455e+00 4.211231459917195560e-11
3.720883534136546267e+00 4.091653211518303983e-11
3.740963855421686635e+00 3.975362399798594757e-11
3.761044176706827447e+00 3.862271619456392640e-11
3.781124497991967814e+00 3.752295675292912332e-11
3.801204819277108626e+00 3.645351530943967293e-11
3.821285140562248994e+00 3.541358258634536504e-11
3.841365461847389362e+00 3.440236989940345424e-11
3.861445783132530174e+00 3.341910867541007096e-11
3.881526104417670542e+00 3.246304997949321023e-11
3.901606425702811354e+00 3.153346405201587907e-11
3.921686746987951722e+00 3.062963985494020600e-11
3.941767068273092534e+00 2.975088462750391125e-11
3.961847389558232901e+00 2.889652345106368613e-11
3.981927710843373269e+00 2.806589882296003359e-11
4.002008032128514081e+00 2.725837023926083290e-11
4.022088353413654893e+00 2.647331378624166015e-11
4.042168674698794817e+00 2.571012174046239601e-11
4.062248995983935629e+00 2.496820217730096344e-11
4.082329317269076441e+00 2.424697858780671895e-11
4.102409638554217253e+00 2.354588950373639509e-11
4.122489959839357176e+00 2.286438813063760888e-11
4.142570281124497988e+00 2.220194198884554189e-11
4.162650602409638800e+00 2.155803256226016835e-11
4.182730923694778724e+00 2.093215495477172127e-11
4.202811244979919536e+00 2.032381755420402826e-11
4.222891566265060348e+00 1.973254170364642178e-11
4.242971887550201160e+00 1.915786138004536119e-11
4.263052208835341084e+00 1.859932287992907557e-11
4.283132530120481896e+00 1.805648451213883671e-11
4.303212851405622708e+00 1.752891629744233602e-11
4.323293172690762631e+00 1.701619967490522718e-11
4.343373493975903443e+00 1.651792721489824386e-11
4.363453815261044255e+00 1.603370233861906911e-11
4.383534136546185067e+00 1.556313904400822042e-11
4.403614457831324991e+00 1.510586163794050857e-11
4.423694779116465803e+00 1.466150447457418398e-11
4.443775100401606615e+00 1.422971169974148721e-11
4.463855421686746539e+00 1.381013700126534263e-11
4.483935742971887350e+00 1.340244336508834822e-11
4.504016064257028162e+00 1.300630283710151144e-11
4.524096385542168974e+00 1.262139629056132698e-11
4.544176706827309786e+00 1.224741319898529258e-11
4.564257028112449710e+00 1.188405141441717448e-11
4.584337349397590522e+00 1.153101695095465380e-11
4.604417670682730446e+00 1.118802377343355052e-11
4.624497991967871258e+00 1.085479359116367996e-11
4.644578313253012070e+00 1.053105565661354495e-11
4.664658634538152882e+00 1.021654656894158274e-11
4.684738955823293693e+00 9.911010082273782259e-12
4.704819277108433617e+00 9.614196918628456964e-12
4.724899598393574429e+00 9.325864585390520842e-12
4.744979919678714353e+00 9.045777197239185198e-12
4.765060240963855165e+00 8.773705302433843946e-12
4.785140562248995977e+00 8.509425713365212312e-12
4.805220883534136789e+00 8.252721341279312249e-12
4.825301204819277601e+00 8.003381035083957665e-12
4.845381526104417524e+00 7.761199424148515464e-12
4.865461847389558336e+00 7.525976765009191759e-12
4.885542168674698260e+00 7.297518791893675943e-12
4.905622489959839072e+00 7.075636570980039115e-12
4.925702811244979884e+00 6.860146358306701918e-12
4.945783132530120696e+00 6.650869461251201234e-12
4.965863453815261508e+00 6.447632103497280919e-12
4.985943775100401432e+00 6.250265293411050721e-12
5.006024096385542244e+00 6.058604695748342078e-12
5.026104417670682167e+00 5.872490506616993785e-12
5.046184738955822979e+00 5.691767331618828813e-12
5.066265060240963791e+00 5.516284067097916474e-12
5.086345381526104603e+00 5.345893784422596224e-12
5.106425702811245415e+00 5.180453617230552895e-12
5.126506024096385339e+00 5.019824651567267921e-12
5.146586345381526151e+00 4.863871818849618712e-12
5.166666666666666963e+00 4.712463791587857986e-12
5.186746987951806886e+00 4.565472881800213826e-12
5.206827309236947698e+00 4.422774942055967600e-12
5.226907630522088510e+00 4.284249269084035795e-12
5.246987951807229322e+00 4.149778509885279725e-12
5.267068273092369246e+00 4.019248570288191267e-12
5.287148594377510058e+00 3.892548525888699712e-12
5.307228915662650870e+00 3.769570535316276271e-12
5.327309236947790794e+00 3.650209755769492594e-12
5.347389558232931606e+00 3.534364260765579904e-12
5.367469879518072418e+00 3.421934960049726415e-12
5.387550200803213230e+00 3.312825521610877425e-12
5.407630522088353153e+00 3.206942295752131680e-12
5.427710843373493965e+00 3.104194241164878579e-12
5.447791164658634777e+00 3.004492852957005782e-12
5.467871485943774701e+00 2.907752092586564210e-12
5.487951807228915513e+00 2.813888319653391773e-12
5.508032128514056325e+00 2.722820225502370487e-12
5.528112449799197137e+00 2.634468768592877767e-12
5.548192771084337949e+00 2.548757111590201175e-12
5.568273092369477872e+00 2.465610560135654018e-12
5.588353413654618684e+00 2.384956503253109061e-12
5.608433734939758608e+00 2.306724355350775087e-12
