# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 4.671886174569664144e-12
3.520080321285140368e+00 4.534076488994407592e-12
3.540160642570281180e+00 4.400169981390354142e-12
3.560240963855421548e+00 4.270058865648633752e-12
3.580321285140562360e+00 4.143638260232288500e-12
3.600401606425702727e+00 4.020806113269096910e-12
3.620481927710843539e+00 3.901463129423843104e-12
3.640562248995983907e+00 3.785512698514225329e-12
3.660642570281124719e+00 3.672860825834841560e-12
3.680722891566265087e+00 3.563416064154370036e-12
3.700803212851405455e+00 3.457089447351294018e-12
3.720883534136546267e+00 3.353794425654266462e-12
3.740963855421686635e+00 3.253446802453456275e-12
3.761044176706827447e+00 3.155964672649792963e-12
3.781124497991967814e+00 3.061268362509573368e-12
3.801204819277108626e+00 2.969280370992201143e-12
3.821285140562248994e+00 2.879925312519536435e-12
3.841365461847389362e+00 2.793129861155585285e-12
3.861445783132530174e+00 2.708822696165953345e-12
3.881526104417670542e+00 2.626934448926827404e-12
3.901606425702811354e+00 2.547397651153794257e-12
3.921686746987951722e+00 2.470146684421305691e-12
3.941767068273092534e+00 2.395117730944018803e-12
3.961847389558232901e+00 2.322248725591825308e-12
3.981927710843373269e+00 2.251479309110733283e-12
4.002008032128514081e+00 2.182750782522392413e-12
4.022088353413654893e+00 2.116006062675402414e-12
4.042168674698794817e+00 2.051189638922105287e-12
4.062248995983935629e+00 1.988247530894987777e-12
4.082329317269076441e+00 1.927127247357349104e-12
4.102409638554217253e+00 1.867777746103271948e-12
4.122489959839357176e+00 1.810149394882484949e-12
4.142570281124497988e+00 1.754193933326099814e-12
4.162650602409638800e+00 1.699864435849745724e-12
4.182730923694778724e+00 1.647115275510967854e-12
4.202811244979919536e+00 1.595902088798302470e-12
4.222891566265060348e+00 1.546181741329868021e-12
4.242971887550201160e+00 1.497912294439700143e-12
4.263052208835341084e+00 1.451052972630572904e-12
4.283132530120481896e+00 1.405564131872417951e-12
4.303212851405622708e+00 1.361407228725953851e-12
4.323293172690762631e+00 1.318544790271466715e-12
4.343373493975903443e+00 1.276940384823183994e-12
4.363453815261044255e+00 1.236558593410087262e-12
4.383534136546185067e+00 1.197364982004353890e-12
4.403614457831324991e+00 1.159326074479114538e-12
4.423694779116465803e+00 1.122409326277530448e-12
4.443775100401606615e+00 1.086583098775660181e-12
4.463855421686746539e+00 1.051816634321904366e-12
4.483935742971887350e+00 1.018080031936241494e-12
4.504016064257028162e+00 9.853442236528613843e-13
4.524096385542168974e+00 9.535809514901069097e-13
4.544176706827309786e+00 9.227627450320792267e-13
4.564257028112449710e+00 8.928628996065584403e-13
4.584337349397590522e+00 8.638554550442933995e-13
