# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 3.079268738335737633e-11
3.520080321285140368e+00 3.082101787682523567e-11
3.540160642570281180e+00 3.089389283267960636e-11
3.560240963855421548e+00 3.100469949145230154e-11
3.580321285140562360e+00 3.114612858445202713e-11
3.600401606425702727e+00 3.131035985757168074e-11
3.620481927710843539e+00 3.148925918256699875e-11
3.640562248995983907e+00 3.167457971983309260e-11
3.660642570281124719e+00 3.185816023620242359e-11
3.680722891566265087e+00 3.203211457128482968e-11
3.700803212851405455e+00 3.218900727152499206e-11
3.720883534136546267e+00 3.232201146692283008e-11
3.740963855421686635e+00 3.242504606883173559e-11
3.761044176706827447e+00 3.249289026986064714e-11
3.781124497991967814e+00 3.252127411929551610e-11
3.801204819277108626e+00 3.250694465744447514e-11
3.821285140562248994e+00 3.244770777452380974e-11
3.841365461847389362e+00 3.234244667743439202e-11
3.861445783132530174e+00 3.219111864968340176e-11
3.881526104417670542e+00 3.199473268592179236e-11
3.901606425702811354e+00 3.175531152622300834e-11
3.921686746987951722e+00 3.147584249544654353e-11
3.941767068273092534e+00 3.116022220393107038e-11
3.961847389558232901e+00 3.081320039282113922e-11
3.981927710843373269e+00 3.044032782805961645e-11
4.002008032128514081e+00 3.004791203868547837e-11
4.022088353413654893e+00 2.964298283858757832e-11
4.042168674698794817e+00 2.923326708045128687e-11
4.062248995983935629e+00 2.882716921895481444e-11
4.082329317269076441e+00 2.843375137543023779e-11
4.102409638554217253e+00 2.806270413212364463e-11
4.122489959839357176e+00 2.772429767246186332e-11
4.142570281124497988e+00 2.742930247957419052e-11
4.162650602409638800e+00 2.718886982200211141e-11
4.182730923694778724e+00 2.701436472018989053e-11
4.202811244979919536e+00 2.691714782673683354e-11
4.222891566265060348e+00 2.690830731217859887e-11
4.242971887550201160e+00 2.699834693601482610e-11
4.263052208835341084e+00 2.719684144191199386e-11
4.283132530120481896e+00 2.751207469635327674e-11
4.303212851405622708e+00 2.795067912039011730e-11
4.323293172690762631e+00 2.851729660900383403e-11
4.343373493975903443e+00 2.921428112640531891e-11
4.363453815261044255e+00 3.004146152268851808e-11
4.383534136546185067e+00 3.099598001787050261e-11
4.403614457831324991e+00 3.207221755691375755e-11
4.423694779116465803e+00 3.326181225529884883e-11
4.443775100401606615e+00 3.455377186859443609e-11
4.463855421686746539e+00 3.593467606076778026e-11
4.483935742971887350e+00 3.738895959362793050e-11
4.504016064257028162e+00 3.889926371260645317e-11
4.524096385542168974e+00 4.044684016371286432e-11
4.544176706827309786e+00 4.201199054267431978e-11
4.564257028112449710e+00 4.357452305359165351e-11
4.584337349397590522e+00 4.511420916219881518e-11
4.604417670682730446e+00 4.661122392585836389e-11
4.624497991967871258e+00 4.804655578432092114e-11
4.644578313253012070e+00 4.940237409615301158e-11
4.664658634538152882e+00 5.066234549715974242e-11
4.684738955823293693e+00 5.181189304354463627e-11
4.704819277108433617e+00 5.283839491293171780e-11
4.724899598393574429e+00 5.373132203174534897e-11
4.744979919678714353e+00 5.448231627467402208e-11
4.765060240963855165e+00 5.508521277426964525e-11
4.785140562248995977e+00 5.553601135357500608e-11
4.805220883534136789e+00 5.583280314950456440e-11
4.825301204819277601e+00 5.597565915153047167e-11
4.845381526104417524e+00 5.596648767938690475e-11
4.865461847389558336e+00 5.580886781731037456e-11
4.885542168674698260e+00 5.550786556907396552e-11
4.905622489959839072e+00 5.506983905680854886e-11
4.925702811244979884e+00 5.450223851298872173e-11
4.945783132530120696e+00 5.381340615831713587e-11
4.965863453815261508e+00 5.301238035984212990e-11
4.985943775100401432e+00 5.210870775615054055e-11
5.006024096385542244e+00 5.111226634428855353e-11
5.026104417670682167e+00 5.003310186332078693e-11
5.046184738955822979e+00 4.888127919340448048e-11
5.066265060240963791e+00 4.766674992380182786e-11
5.086345381526104603e+00 4.639923673220420740e-11
5.106425702811245415e+00 4.508813476301860183e-11
5.126506024096385339e+00 4.374242979464657364e-11
5.146586345381526151e+00 4.237063264539036790e-11
5.166666666666666963e+00 4.098072898409279765e-11
5.186746987951806886e+00 3.958014348410537820e-11
5.206827309236947698e+00 3.817571708623707530e-11
5.226907630522088510e+00 3.677369601574383242e-11
5.246987951807229322e+00 3.537973112709266091e-11
5.267068273092369246e+00 3.399888612418197141e-11
5.287148594377510058e+00 3.263565321806282115e-11
5.307228915662650870e+00 3.129397483343084992e-11
5.327309236947790794e+00 2.997727005318405929e-11
5.347389558232931606e+00 2.868846459089171934e-11
5.367469879518072418e+00 2.743002319784453505e-11
5.387550200803213230e+00 2.620398353851069193e-11
5.407630522088353153e+00 2.501199070027171099e-11
5.427710843373493965e+00 2.385533163546649524e-11
5.447791164658634777e+00 2.273496896198917136e-11
5.467871485943774701e+00 2.165157366965812466e-11
5.487951807228915513e+00 2.060555639070877217e-11
5.508032128514056325e+00 1.959709699209426659e-11
5.528112449799197137e+00 1.862617233340879592e-11
5.548192771084337949e+00 1.769258210630201456e-11
5.568273092369477872e+00 1.679597272885641975e-11
5.588353413654618684e+00 1.593585931173084554e-11
5.608433734939758608e+00 1.511164574270654347e-11
5.628514056224899420e+00 1.432264295401600159e-11
5.648594377510040232e+00 1.356808544454085635e-11
5.668674698795181044e+00 1.284714612921426633e-11
5.688755020080321856e+00 1.215894958371318469e-11
5.708835341365461780e+00 1.150258374680905485e-11
5.728915662650602592e+00 1.087711013836965598e-11
5.748995983935742515e+00 1.028157265021329839e-11
5.769076305220883327e+00 9.715004971220378478e-12
5.789156626506024139e+00 9.176436717731458694e-12
5.809236947791164951e+00 8.664898354701971899e-12
5.829317269076305763e+00 8.179425010854981678e-12
5.849397590361445687e+00 7.719059310030174032e-12
5.869477911646586499e+00 7.282853358613278770e-12
5.889558232931726423e+00 6.869870042928894716e-12
5.909638554216867234e+00 6.479183798748070662e-12
5.929718875502008046e+00 6.109881016195268627e-12
5.949799196787148858e+00 5.761060236714097464e-12
5.969879518072289670e+00 5.431832284578827819e-12
5.989959839357429594e+00 5.121320454680059153e-12
6.010040160642570406e+00 4.828660852532996098e-12
6.030120481927710330e+00 4.553002953605873932e-12
6.050200803212851142e+00 4.293510419247546299e-12
6.070281124497991954e+00 4.049362177745360822e-12
6.090361445783132766e+00 3.819753753144958763e-12
6.110441767068273577e+00 3.603898802806145742e-12
6.130522088353413501e+00 3.401030808175974905e-12
6.150602409638554313e+00 3.210404852372032601e-12
6.170682730923694237e+00 3.031299412869909558e-12
6.190763052208835049e+00 2.863018097474530516e-12
6.210843373493975861e+00 2.704891256125924844e-12
6.230923694779116673e+00 2.556277409046784899e-12
6.251004016064257485e+00 2.416564442288575315e-12
6.271084337349397408e+00 2.285170533870153710e-12
6.291164658634538220e+00 2.161544786489031844e-12
6.311244979919678144e+00 2.045167555398578574e-12
6.331325301204818956e+00 1.935550471813503218e-12
6.351405622489959768e+00 1.832236172628428441e-12
6.371485943775100580e+00 1.734797755973093774e-12
6.391566265060241392e+00 1.642837989003771283e-12
6.411646586345381316e+00 1.555988299298937112e-12
6.431726907630522128e+00 1.473907584355675807e-12
6.451807228915662051e+00 1.396280875123398226e-12
6.471887550200802863e+00 1.322817889472910785e-12
6.491967871485943675e+00 1.253251510226647770e-12
6.512048192771084487e+00 1.187336220127167979e-12
6.532128514056225299e+00 1.124846523151322227e-12
6.552208835341365223e+00 1.065575378125193514e-12
6.572289156626506035e+00 1.009332666874267015e-12
6.592369477911645959e+00 9.559437153382499326e-13
6.612449799196786770e+00 9.052478823414727888e-13
6.632530120481927582e+00 8.570972271566919629e-13
6.652610441767068394e+00 8.113552637191666613e-13
6.672690763052209206e+00 7.678958063985114255e-13
6.692771084337350018e+00 7.266019096520035671e-13
6.712851405622489942e+00 6.873649016784948785e-13
6.732931726907629866e+00 6.500835103636493569e-13
6.753012048192770678e+00 6.146630783390227729e-13
6.773092369477911490e+00 5.810148628441149553e-13
6.793172690763052302e+00 5.490554152505863328e-13
6.813253012048193114e+00 5.187060345461541407e-13
6.833333333333333925e+00 4.898922887457033603e-13
6.853413654618473849e+00 4.625435980625540062e-13
6.873493975903614661e+00 4.365928736987905766e-13
6.893574297188754585e+00 4.119762062676813982e-13
6.913654618473895397e+00 3.886325981140163060e-13
