# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 3.197950574150251219e-11
3.520080321285140368e+00 3.103257851163531048e-11
3.540160642570281180e+00 3.011141672863623051e-11
3.560240963855421548e+00 2.921539224125911589e-11
3.580321285140562360e+00 2.834389031963298894e-11
3.600401606425702727e+00 2.749630938853274756e-11
3.620481927710843539e+00 2.667206076738756162e-11
3.640562248995983907e+00 2.587056841679045658e-11
3.660642570281124719e+00 2.509126869127606175e-11
3.680722891566265087e+00 2.433361009813990487e-11
3.700803212851405455e+00 2.359705306207752968e-11
3.720883534136546267e+00 2.288106969542795605e-11
3.740963855421686635e+00 2.218514357381131416e-11
3.761044176706827447e+00 2.150876951695656193e-11
3.781124497991967814e+00 2.085145337452152196e-11
3.801204819277108626e+00 2.021271181671305063e-11
3.821285140562248994e+00 1.959207212952203501e-11
3.841365461847389362e+00 1.898907201439347048e-11
3.861445783132530174e+00 1.840325939215888370e-11
3.881526104417670542e+00 1.783419221106437557e-11
3.901606425702811354e+00 1.728143825873369817e-11
3.921686746987951722e+00 1.674457497791301392e-11
3.941767068273092534e+00 1.622318928584930419e-11
3.961847389558232901e+00 1.571687739716161908e-11
3.981927710843373269e+00 1.522524465007013114e-11
4.002008032128514081e+00 1.474790533585449587e-11
4.022088353413654893e+00 1.428448253141913318e-11
4.042168674698794817e+00 1.383460793484898810e-11
4.062248995983935629e+00 1.339792170384547633e-11
4.082329317269076441e+00 1.297407229693842036e-11
4.102409638554217253e+00 1.256271631737496178e-11
4.122489959839357176e+00 1.216351835959260203e-11
4.142570281124497988e+00 1.177615085818873238e-11
4.162650602409638800e+00 1.140029393930459420e-11
4.182730923694778724e+00 1.103563527434631054e-11
4.202811244979919536e+00 1.068186993597110160e-11
4.222891566265060348e+00 1.033870025627151791e-11
4.242971887550201160e+00 1.000583568709478978e-11
4.263052208835341084e+00 9.682992662439401794e-12
4.283132530120481896e+00 9.369894462874741014e-12
4.303212851405622708e+00 9.066271081934255999e-12
4.323293172690762631e+00 8.771859094435817372e-12
4.343373493975903443e+00 8.486401526687114770e-12
4.363453815261044255e+00 8.209647728537338693e-12
4.383534136546185067e+00 7.941353247239358761e-12
4.403614457831324991e+00 7.681279703090012332e-12
4.423694779116465803e+00 7.429194666818826743e-12
4.443775100401606615e+00 7.184871538698365329e-12
4.463855421686746539e+00 6.948089429351534472e-12
4.483935742971887350e+00 6.718633042233833634e-12
4.504016064257028162e+00 6.496292557770676681e-12
4.524096385542168974e+00 6.280863519131458872e-12
4.544176706827309786e+00 6.072146719624342888e-12
4.564257028112449710e+00 5.869948091697007144e-12
4.584337349397590522e+00 5.674078597530144099e-12
4.604417670682730446e+00 5.484354121211954364e-12
4.624497991967871258e+00 5.300595362482684542e-12
4.644578313253012070e+00 5.122627732039723686e-12
4.664658634538152882e+00 4.950281248394215139e-12
4.684738955823293693e+00 4.783390436271236657e-12
4.704819277108433617e+00 4.621794226546024248e-12
4.724899598393574429e+00 4.465335857709291060e-12
4.744979919678714353e+00 4.313862778855222611e-12
4.765060240963855165e+00 4.167226554185764356e-12
4.785140562248995977e+00 4.025282769025404870e-12
4.805220883534136789e+00 3.887890937340439811e-12
4.825301204819277601e+00 3.754914410757031418e-12
4.845381526104417524e+00 3.626220289072191288e-12
4.865461847389558336e+00 3.501679332251798013e-12
4.885542168674698260e+00 3.381165873909703516e-12
4.905622489959839072e+00 3.264557736261501286e-12
4.925702811244979884e+00 3.151736146546735671e-12
4.945783132530120696e+00 3.042585654912562021e-12
4.965863453815261508e+00 2.936994053751932835e-12
4.985943775100401432e+00 2.834852298488794231e-12
5.006024096385542244e+00 2.736054429802481762e-12
5.026104417670682167e+00 2.640497497283155245e-12
5.046184738955822979e+00 2.548081484509531487e-12
5.066265060240963791e+00 2.458709235540047738e-12
5.086345381526104603e+00 2.372286382808127478e-12
5.106425702811245415e+00 2.288721276412598198e-12
5.126506024096385339e+00 2.207924914795835504e-12
5.146586345381526151e+00 2.129810876807177885e-12
5.166666666666666963e+00 2.054295255162634864e-12
5.186746987951806886e+00 1.981296591343941929e-12
5.206827309236947698e+00 1.910735812051814319e-12
5.226907630522088510e+00 1.842536167477298569e-12
5.246987951807229322e+00 1.776623171946250695e-12
5.267068273092369246e+00 1.712924548027927039e-12
5.287148594377510058e+00 1.651370176129676039e-12
5.307228915662650870e+00 1.591892053130789324e-12
5.327309236947790794e+00 1.534424265994109939e-12
5.347389558232931606e+00 1.478902989819883763e-12
5.367469879518072418e+00 1.425266524747897380e-12
5.387550200803213230e+00 1.373455392669486896e-12
5.407630522088353153e+00 1.323412522906071197e-12
5.427710843373493965e+00 1.275083565575240516e-12
5.447791164658634777e+00 1.228417381596459867e-12
5.467871485943774701e+00 1.183366767919577296e-12
5.487951807228915513e+00 1.139889483677783586e-12
5.508032128514056325e+00 1.097949645028975291e-12
5.528112449799197137e+00 1.057519550455571605e-12
5.548192771084337949e+00 1.018581981161588428e-12
5.568273092369477872e+00 9.811329903546766190e-13
5.588353413654618684e+00 9.451851492799410556e-13
5.608433734939758608e+00 9.107711575244771421e-13
5.628514056224899420e+00 8.779476535833030620e-13
5.648594377510040232e+00 8.467989850835038286e-13
5.668674698795181044e+00 8.174406251384211386e-13
5.688755020080321856e+00 7.900218625717180989e-13
5.708835341365461780e+00 7.647273601607292958e-13
5.728915662650602592e+00 7.417771762675559204e-13
5.748995983935742515e+00 7.214248878851040355e-13
5.769076305220883327e+00 7.039535393494127428e-13
5.789156626506024139e+00 6.896692675098853232e-13
5.809236947791164951e+00 6.788926123104669326e-13
5.829317269076305763e+00 6.719476981634120214e-13
5.849397590361445687e+00 6.691496497116556943e-13
5.869477911646586499e+00 6.707907680025625993e-13
5.889558232931726423e+00 6.771261232744335372e-13
5.909638554216867234e+00 6.883593051694994755e-13
5.929718875502008046e+00 7.046291016116746696e-13
5.949799196787148858e+00 7.259978507774523430e-13
5.969879518072289670e+00 7.524421291973988599e-13
5.989959839357429594e+00 7.838463108236866102e-13
6.010040160642570406e+00 8.199993686259626705e-13
6.030120481927710330e+00 8.605951061416884037e-13
6.050200803212851142e+00 9.052358164580830549e-13
6.070281124497991954e+00 9.534391846960297431e-13
6.090361445783132766e+00 1.004648089585789100e-12
6.110441767068273577e+00 1.058242829674085588e-12
6.130522088353413501e+00 1.113555206213608508e-12
6.150602409638554313e+00 1.169883840524524773e-12
6.170682730923694237e+00 1.226510088032831584e-12
6.190763052208835049e+00 1.282713931023572173e-12
6.210843373493975861e+00 1.337789282095839318e-12
6.230923694779116673e+00 1.391058203757023346e-12
6.251004016064257485e+00 1.441883639329733401e-12
6.271084337349397408e+00 1.489680349181145285e-12
6.291164658634538220e+00 1.533923847575890459e-12
6.311244979919678144e+00 1.574157233464103043e-12
6.331325301204818956e+00 1.609995898646146728e-12
6.351405622489959768e+00 1.641130175636026560e-12
6.371485943775100580e+00 1.667326053026337476e-12
6.391566265060241392e+00 1.688424137207434290e-12
6.411646586345381316e+00 1.704337075846505775e-12
6.431726907630522128e+00 1.715045681299423212e-12
6.451807228915662051e+00 1.720594002399952394e-12
6.471887550200802863e+00 1.721083592524704011e-12
6.491967871485943675e+00 1.716667212358601392e-12
6.512048192771084487e+00 1.707542189340826297e-12
6.532128514056225299e+00 1.693943634257983556e-12
6.552208835341365223e+00 1.676137690631513587e-12
6.572289156626506035e+00 1.654414965981089293e-12
6.592369477911645959e+00 1.629084267060465425e-12
6.612449799196786770e+00 1.600466734833724336e-12
6.632530120481927582e+00 1.568890450119218264e-12
6.652610441767068394e+00 1.534685558076217950e-12
6.672690763052209206e+00 1.498179939439366495e-12
6.692771084337350018e+00 1.459695438833774941e-12
6.712851405622489942e+00 1.419544645696589315e-12
6.732931726907629866e+00 1.378028211238780710e-12
6.753012048192770678e+00 1.335432675364640465e-12
6.773092369477911490e+00 1.292028770323176553e-12
6.793172690763052302e+00 1.248070162852134225e-12
6.813253012048193114e+00 1.203792593426140560e-12
6.833333333333333925e+00 1.159413369663355758e-12
6.853413654618473849e+00 1.115131170712823240e-12
6.873493975903614661e+00 1.071126120284119216e-12
6.893574297188754585e+00 1.027560087658314176e-12
6.913654618473895397e+00 9.845771783246535693e-13
6.933734939759036209e+00 9.423043786365016887e-13
6.953815261044177021e+00 9.008523219142473279e-13
6.973895582329317833e+00 8.603161466092908572e-13
6.993975903614457756e+00 8.207764203725834491e-13
7.014056224899598568e+00 7.823001070564848096e-13
7.034136546184738492e+00 7.449415567526182896e-13
7.054216867469879304e+00 7.087435018807775508e-13
7.074297188755020116e+00 6.737380450599457115e-13
7.094377510040160928e+00 6.399476269892812800e-13
7.114457831325301740e+00 6.073859648326830443e-13
7.134538152610441664e+00 5.760589536313159934e-13
7.154618473895582476e+00 5.459655250671692334e-13
7.174698795180722399e+00 5.170984594752527424e-13
7.194779116465863211e+00 4.894451483637982033e-13
7.214859437751004023e+00 4.629883058651635711e-13
7.234939759036144835e+00 4.377066285204237683e-13
7.255020080321285647e+00 4.135754036146939142e-13
7.275100401606425571e+00 3.905670669446178750e-13
7.295180722891566383e+00 3.686517114307895192e-13
7.315261044176706307e+00 3.477975484021036883e-13
7.335341365461847118e+00 3.279713236911464445e-13
7.355421686746987930e+00 3.091386909039774506e-13
7.375502008032128742e+00 2.912645443767929896e-13
7.395582329317269554e+00 2.743133144179640198e-13
7.415662650602409478e+00 2.582492274673011864e-13
7.435742971887550290e+00 2.430365337946305246e-13
7.455823293172690214e+00 2.286397053152227032e-13
7.475903614457831026e+00 2.150236060275464636e-13
7.495983935742971838e+00 2.021536374856496548e-13
7.516064257028112650e+00 1.899958616095034753e-13
7.536144578313252573e+00 1.785171030166309332e-13
7.556224899598393385e+00 1.676850329310589537e-13
7.576305220883534197e+00 1.574682365943932110e-13
7.596385542168675009e+00 1.478362659712085282e-13
7.616465863453814933e+00 1.387596794091982518e-13
7.636546184738955745e+00 1.302100697852727760e-13
7.656626506024096557e+00 1.221600825434387594e-13
7.676706827309237369e+00 1.145834249097795666e-13
7.696787148594377292e+00 1.074548674549884139e-13
7.716867469879518104e+00 1.007502390661314602e-13
7.736947791164658916e+00 9.444641628699728374e-14
7.757028112449798840e+00 8.852130789064117422e-14
7.777108433734939652e+00 8.295383545862672868e-14
7.797188755020080464e+00 7.772391065890373135e-14
7.817269076305221276e+00 7.281240983808968440e-14
7.837349397590361200e+00 6.820114647395546782e-14
7.857429718875502012e+00 6.387284196986155294e-14
7.877510040160642824e+00 5.981109521448591397e-14
7.897590361445782747e+00 5.600035127709700555e-14
7.917670682730923559e+00 5.242586956054802101e-14
7.937751004016064371e+00 4.907369169076181459e-14
7.957831325301205183e+00 4.593060938240906170e-14
7.977911646586345107e+00 4.298413248544676677e-14
7.997991967871485919e+00 4.022245738585050851e-14
8.018072289156627619e+00 3.763443590595124178e-14
8.038152610441766655e+00 3.520954482498038707e-14
8.058232931726907466e+00 3.293785611846573875e-14
8.078313253012048278e+00 3.081000799575633405e-14
8.098393574297189090e+00 2.881717679791781188e-14
8.118473895582329902e+00 2.695104980334832487e-14
8.138554216867468938e+00 2.520379897546991895e-14
8.158634538152611526e+00 2.356805567558317470e-14
8.178714859437750562e+00 2.203688635425087845e-14
8.198795180722891374e+00 2.060376922622187066e-14
8.218875502008032186e+00 1.926257192680379178e-14
8.238955823293172998e+00 1.800753014155933833e-14
8.259036144578313809e+00 1.683322719615885531e-14
8.279116465863452845e+00 1.573457458902524991e-14
8.299196787148595433e+00 1.470679344597103755e-14
8.319277108433734469e+00 1.374539687325792162e-14
8.339357429718875281e+00 1.284617318331314763e-14
8.359437751004016093e+00 1.200516996566254396e-14
8.379518072289156905e+00 1.121867897439046975e-14
8.399598393574297717e+00 1.048322180258222302e-14
8.419678714859436752e+00 9.795536313670620761e-15
8.439759036144579341e+00 9.152563799358365658e-15
8.459839357429718376e+00 8.551436833778622192e-15
8.479919678714859188e+00 7.989467793744033685e-15
8.500000000000000000e+00 7.464138015300616943e-15
