# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 7.914813543973101863e-11
3.520080321285140368e+00 7.693552438843391744e-11
3.540160642570281180e+00 7.478269872929798410e-11
3.560240963855421548e+00 7.268810884063473410e-11
3.580321285140562360e+00 7.065024277231635312e-11
3.600401606425702727e+00 6.866762541975473998e-11
3.620481927710843539e+00 6.673881771344418553e-11
3.640562248995983907e+00 6.486241582379929303e-11
3.660642570281124719e+00 6.303705038102894839e-11
3.680722891566265087e+00 6.126138570979411460e-11
3.700803212851405455e+00 5.953411907840470837e-11
3.720883534136546267e+00 5.785397996231755074e-11
3.740963855421686635e+00 5.621972932170421397e-11
3.761044176706827447e+00 5.463015889286154855e-11
3.781124497991967814e+00 5.308409049324673443e-11
3.801204819277108626e+00 5.158037533991945656e-11
3.821285140562248994e+00 5.011789338118245791e-11
3.841365461847389362e+00 4.869555264121358450e-11
3.861445783132530174e+00 4.731228857748794252e-11
3.881526104417670542e+00 4.596706345079214196e-11
3.901606425702811354e+00 4.465886570763590968e-11
3.921686746987951722e+00 4.338670937487088496e-11
3.941767068273092534e+00 4.214963346632754805e-11
3.961847389558232901e+00 4.094670140128667338e-11
3.981927710843373269e+00 3.977700043460155075e-11
4.002008032128514081e+00 3.863964109829283307e-11
4.022088353413654893e+00 3.753375665443736585e-11
4.042168674698794817e+00 3.645850255917678620e-11
4.062248995983935629e+00 3.541305593767235148e-11
4.082329317269076441e+00 3.439661506983579237e-11
4.102409638554217253e+00 3.340839888666611416e-11
4.122489959839357176e+00 3.244764647702593431e-11
4.142570281124497988e+00 3.151361660469117716e-11
4.162650602409638800e+00 3.060558723551084779e-11
4.182730923694778724e+00 2.972285507451380159e-11
4.202811244979919536e+00 2.886473511280204255e-11
4.222891566265060348e+00 2.803056018407150900e-11
4.242971887550201160e+00 2.721968053060178958e-11
4.263052208835341084e+00 2.643146337855870394e-11
4.283132530120481896e+00 2.566529252245435109e-11
4.303212851405622708e+00 2.492056791861134518e-11
4.323293172690762631e+00 2.419670528747821331e-11
4.343373493975903443e+00 2.349313572464498862e-11
4.363453815261044255e+00 2.280930532040981524e-11
4.383534136546185067e+00 2.214467478774741094e-11
4.403614457831324991e+00 2.149871909853266620e-11
4.423694779116465803e+00 2.087092712787346648e-11
4.443775100401606615e+00 2.026080130640873064e-11
4.463855421686746539e+00 1.966785728042791375e-11
4.483935742971887350e+00 1.909162357967074625e-11
4.504016064257028162e+00 1.853164129266703451e-11
