# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 5.938959442338618891e-13
3.520080321285140368e+00 5.698071697772340759e-13
3.540160642570281180e+00 5.467002715189274617e-13
3.560240963855421548e+00 5.245365326280065856e-13
3.580321285140562360e+00 5.032785087546259507e-13
3.600401606425702727e+00 4.828900177808486441e-13
3.620481927710843539e+00 4.633361259097586301e-13
3.640562248995983907e+00 4.445831305140102945e-13
3.660642570281124719e+00 4.265985401431768711e-13
3.680722891566265087e+00 4.093510520646377278e-13
3.700803212851405455e+00 3.928105276864752988e-13
3.720883534136546267e+00 3.769479661843161257e-13
3.740963855421686635e+00 3.617354766282294006e-13
3.761044176706827447e+00 3.471462488816052084e-13
3.781124497991967814e+00 3.331545235219400602e-13
3.801204819277108626e+00 3.197355610139269356e-13
3.821285140562248994e+00 3.068656103482561689e-13
3.841365461847389362e+00 2.945218773449341642e-13
3.861445783132530174e+00 2.826824928076262969e-13
3.881526104417670542e+00 2.713264807055802598e-13
3.901606425702811354e+00 2.604337265525505707e-13
3.921686746987951722e+00 2.499849461488699594e-13
3.941767068273092534e+00 2.399616548550020701e-13
3.961847389558232901e+00 2.303461375747544938e-13
3.981927710843373269e+00 2.211214196461260277e-13
4.002008032128514081e+00 2.122712388697546960e-13
4.022088353413654893e+00 2.037800189510993520e-13
4.042168674698794817e+00 1.956328446959908866e-13
4.062248995983935629e+00 1.878154393884348279e-13
4.082329317269076441e+00 1.803141449178017496e-13
4.102409638554217253e+00 1.731159054657608181e-13
4.122489959839357176e+00 1.662082560289576995e-13
4.142570281124497988e+00 1.595793179592802084e-13
4.162650602409638800e+00 1.532178054106959189e-13
4.182730923694778724e+00 1.471130496247010878e-13
4.202811244979919536e+00 1.412550530643737476e-13
4.222891566265060348e+00 1.356345932990139759e-13
4.242971887550201160e+00 1.302434079155917829e-13
4.263052208835341084e+00 1.250745068364810431e-13
4.283132530120481896e+00 1.201226766785411133e-13
4.303212851405622708e+00 1.153852613852238928e-13
4.323293172690762631e+00 1.108633209688131940e-13
4.343373493975903443e+00 1.065632809610609786e-13
4.363453815261044255e+00 1.024991831395335724e-13
4.383534136546185067e+00 9.869562714389678361e-14
4.403614457831324991e+00 9.519144773825429882e-14
4.423694779116465803e+00 9.204410140484218429e-14
4.443775100401606615e+00 8.933464042738424648e-14
4.463855421686746539e+00 8.717303932405898393e-14
4.483935742971887350e+00 8.570351904364646942e-14
4.504016064257028162e+00 8.510940428958576093e-14
4.524096385542168974e+00 8.561696616390991891e-14
4.544176706827309786e+00 8.749766276514379340e-14
4.564257028112449710e+00 9.106820754767916451e-14
4.584337349397590522e+00 9.668797611065788718e-14
4.604417670682730446e+00 1.047534057419836041e-13
4.624497991967871258e+00 1.156892392795697822e-13
4.644578313253012070e+00 1.299366989563777282e-13
4.664658634538152882e+00 1.479389246812540331e-13
4.684738955823293693e+00 1.701242498583167099e-13
4.704819277108433617e+00 1.968880921151362028e-13
4.724899598393574429e+00 2.285743855429516720e-13
4.744979919678714353e+00 2.654575606135759584e-13
4.765060240963855165e+00 3.077260806981206878e-13
4.785140562248995977e+00 3.554684708857933910e-13
4.805220883534136789e+00 4.086626337630907221e-13
4.825301204819277601e+00 4.671690520905624553e-13
4.845381526104417524e+00 5.307282480193152164e-13
4.865461847389558336e+00 5.989626225244850144e-13
4.885542168674698260e+00 6.713825566568823625e-13
4.905622489959839072e+00 7.473964354199020699e-13
4.925702811244979884e+00 8.263240694430397084e-13
4.945783132530120696e+00 9.074128487072529139e-13
4.965863453815261508e+00 9.898558713691153658e-13
4.985943775100401432e+00 1.072811249870783387e-12
5.006024096385542244e+00 1.155421802893333760e-12
5.026104417670682167e+00 1.236834389268581014e-12
5.046184738955822979e+00 1.316218220684085194e-12
5.066265060240963791e+00 1.392781594833364426e-12
5.086345381526104603e+00 1.465786610330498135e-12
5.106425702811245415e+00 1.534561550497014139e-12
5.126506024096385339e+00 1.598510747357641458e-12
5.146586345381526151e+00 1.657121853551117640e-12
5.166666666666666963e+00 1.709970553620967528e-12
5.186746987951806886e+00 1.756722834108239232e-12
5.206827309236947698e+00 1.797135002291530914e-12
5.226907630522088510e+00 1.831051695854225831e-12
5.246987951807229322e+00 1.858402160794478254e-12
5.267068273092369246e+00 1.879195093915428151e-12
5.287148594377510058e+00 1.893512351176441289e-12
5.307228915662650870e+00 1.901501816309447997e-12
5.327309236947790794e+00 1.903369707796975803e-12
5.347389558232931606e+00 1.899372578932442568e-12
5.367469879518072418e+00 1.889809237455915440e-12
5.387550200803213230e+00 1.875012780169129692e-12
5.407630522088353153e+00 1.855342905694306598e-12
5.427710843373493965e+00 1.831178636564087445e-12
5.447791164658634777e+00 1.802911551226125748e-12
5.467871485943774701e+00 1.770939598140921364e-12
5.487951807228915513e+00 1.735661538512026375e-12
5.508032128514056325e+00 1.697472041653840322e-12
5.528112449799197137e+00 1.656757437724358843e-12
5.548192771084337949e+00 1.613892116525538176e-12
5.568273092369477872e+00 1.569235548181069356e-12
5.588353413654618684e+00 1.523129891532520763e-12
5.608433734939758608e+00 1.475898148783813616e-12
5.628514056224899420e+00 1.427842819969548479e-12
5.648594377510040232e+00 1.379245007908776776e-12
5.668674698795181044e+00 1.330363923115597991e-12
5.688755020080321856e+00 1.281436738367194036e-12
5.708835341365461780e+00 1.232678743993450034e-12
5.728915662650602592e+00 1.184283757190930696e-12
5.748995983935742515e+00 1.136424741546921195e-12
5.769076305220883327e+00 1.089254596285309440e-12
5.789156626506024139e+00 1.042907078344524844e-12
5.809236947791164951e+00 9.974978241253692876e-13
5.829317269076305763e+00 9.531254414878389352e-13
5.849397590361445687e+00 9.098726462387909275e-13
5.869477911646586499e+00 8.678074208664017165e-13
5.889558232931726423e+00 8.269841765913974153e-13
5.909638554216867234e+00 7.874449028833462605e-13
5.929718875502008046e+00 7.492202914113825728e-13
5.949799196787148858e+00 7.123308239512149818e-13
5.969879518072289670e+00 6.767878160527033063e-13
5.989959839357429594e+00 6.425944102892492603e-13
6.010040160642570406e+00 6.097465146722179991e-13
6.030120481927710330e+00 5.782336833345870862e-13
6.050200803212851142e+00 5.480399378845533785e-13
6.070281124497991954e+00 5.191445289203811483e-13
6.090361445783132766e+00 4.915226381010782013e-13
6.110441767068273577e+00 4.651460219029413955e-13
6.130522088353413501e+00 4.399835987782343609e-13
6.150602409638554313e+00 4.160019818873439011e-13
6.170682730923694237e+00 3.931659599167875188e-13
6.190763052208835049e+00 3.714389287381546647e-13
6.210843373493975861e+00 3.507832768222300866e-13
6.230923694779116673e+00 3.311607274111773018e-13
6.251004016064257485e+00 3.125326404818838618e-13
6.271084337349397408e+00 2.948602775158344668e-13
6.291164658634538220e+00 2.781050320346165789e-13
6.311244979919678144e+00 2.622286287735238377e-13
6.331325301204818956e+00 2.471932942557576468e-13
6.351405622489959768e+00 2.329619014025840722e-13
6.371485943775100580e+00 2.194980906755159838e-13
6.391566265060241392e+00 2.067663700996359558e-13
6.411646586345381316e+00 1.947321963660386572e-13
6.431726907630522128e+00 1.833620390590836935e-13
6.451807228915662051e+00 1.726234299030830498e-13
6.471887550200802863e+00 1.624849987750736125e-13
6.491967871485943675e+00 1.529164980869917493e-13
6.512048192771084487e+00 1.438888170028928708e-13
6.532128514056225299e+00 1.353739868257480255e-13
6.552208835341365223e+00 1.273451787642832860e-13
6.572289156626506035e+00 1.197766951736758856e-13
6.592369477911645959e+00 1.126439552548482819e-13
6.612449799196786770e+00 1.059234760955978978e-13
6.632530120481927582e+00 9.959284984282145844e-14
6.652610441767068394e+00 9.363071770839763996e-14
6.672690763052209206e+00 8.801674143168570250e-14
6.692771084337350018e+00 8.273157274873710364e-14
6.712851405622489942e+00 7.775682135189273701e-14
6.732931726907629866e+00 7.307502176307563892e-14
6.753012048192770678e+00 6.866959948942875774e-14
6.773092369477911490e+00 6.452483678059696191e-14
6.793172690763052302e+00 6.062583826254937537e-14
6.813253012048193114e+00 5.695849668301174818e-14
6.833333333333333925e+00 5.350945896796185337e-14
6.853413654618473849e+00 5.026609275690052112e-14
6.873493975903614661e+00 4.721645355641248232e-14
6.893574297188754585e+00 4.434925262656769666e-14
6.913654618473895397e+00 4.165382569268221724e-14
6.933734939759036209e+00 3.912010255560424174e-14
6.953815261044177021e+00 3.673857765673162653e-14
6.973895582329317833e+00 3.450028163919334032e-14
6.993975903614457756e+00 3.239675393379832916e-14
7.014056224899598568e+00 3.042001638727987181e-14
7.034136546184738492e+00 2.856254794085572379e-14
7.054216867469879304e+00 2.681726035900758830e-14
7.074297188755020116e+00 2.517747500151586876e-14
7.094377510040160928e+00 2.363690062601112035e-14
7.114457831325301740e+00 2.218961220350845106e-14
7.134538152610441664e+00 2.083003072545126753e-14
7.154618473895582476e+00 1.955290397760426763e-14
7.174698795180722399e+00 1.835328825361197479e-14
7.194779116465863211e+00 1.722653097908636902e-14
7.214859437751004023e+00 1.616825421564100472e-14
7.234939759036144835e+00 1.517433901326923183e-14
7.255020080321285647e+00 1.424091057882191946e-14
7.275100401606425571e+00 1.336432422801414071e-14
7.295180722891566383e+00 1.254115208833637626e-14
7.315261044176706307e+00 1.176817052042250718e-14
7.335341365461847118e+00 1.104234822579297440e-14
7.355421686746987930e+00 1.036083500942108877e-14
7.375502008032128742e+00 9.720951166226438999e-15
7.395582329317269554e+00 9.120177461364359672e-15
7.415662650602409478e+00 8.556145675027080801e-15
7.435742971887550290e+00 8.026629683383576761e-15
7.455823293172690214e+00 7.529537048245398429e-15
7.475903614457831026e+00 7.062901089037810822e-15
7.495983935742971838e+00 6.624873411671407805e-15
7.516064257028112650e+00 6.213716869933547239e-15
7.536144578313252573e+00 5.827798936047361897e-15
7.556224899598393385e+00 5.465585458067449108e-15
7.576305220883534197e+00 5.125634782792185356e-15
7.596385542168675009e+00 4.806592223865327980e-15
7.616465863453814933e+00 4.507184855712516444e-15
7.636546184738955745e+00 4.226216614905527684e-15
7.656626506024096557e+00 3.962563691468203037e-15
7.676706827309237369e+00 3.715170193528690737e-15
7.696787148594377292e+00 3.483044069583787076e-15
7.716867469879518104e+00 3.265253273469501927e-15
7.736947791164658916e+00 3.060922157928503775e-15
7.757028112449798840e+00 2.869228083428252069e-15
7.777108433734939652e+00 2.689398229614543828e-15
7.797188755020080464e+00 2.520706597483124011e-15
7.817269076305221276e+00 2.362471191017656690e-15
7.837349397590361200e+00 2.214051367676731965e-15
7.857429718875502012e+00 2.074845347715624312e-15
7.877510040160642824e+00 1.944287872901773046e-15
7.897590361445782747e+00 1.821848005726655452e-15
7.917670682730923559e+00 1.707027060732461481e-15
7.937751004016064371e+00 1.599356660060367215e-15
7.957831325301205183e+00 1.498396905789216107e-15
7.977911646586345107e+00 1.403734662070547261e-15
7.997991967871485919e+00 1.314981940478761031e-15
8.018072289156627619e+00 1.231774382385144708e-15
8.038152610441766655e+00 1.153769832532347479e-15
8.058232931726907466e+00 1.080646998332883748e-15
8.078313253012048278e+00 1.012104189742543069e-15
8.098393574297189090e+00 9.478581348674401331e-16
8.118473895582329902e+00 8.876428667540117520e-16
8.138554216867468938e+00 8.312086770843386309e-16
8.158634538152611526e+00 7.783211327563981224e-16
8.178714859437750562e+00 7.287601515708644454e-16
8.198795180722891374e+00 6.823191334734007837e-16
8.218875502008032186e+00 6.388041440157334068e-16
8.238955823293172998e+00 5.980331468995753860e-16
8.259036144578313809e+00 5.598352826568169719e-16
8.279116465863452845e+00 5.240501906969615394e-16
8.299196787148595433e+00 4.905273721197614362e-16
8.319277108433734469e+00 4.591255908479545083e-16
8.339357429718875281e+00 4.297123107821932195e-16
8.359437751004016093e+00 4.021631668189328283e-16
8.379518072289156905e+00 3.763614677018444081e-16
8.399598393574297717e+00 3.521977287996012057e-16
8.419678714859436752e+00 3.295692330175502313e-16
8.439759036144579341e+00 3.083796181585150153e-16
8.459839357429718376e+00 2.885384891492403611e-16
8.479919678714859188e+00 2.699610536439262722e-16
8.500000000000000000e+00 2.525677796057453504e-16
