# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 5.967401963251754867e-11
3.520080321285140368e+00 5.691227522327816982e-11
3.540160642570281180e+00 5.424795192683009792e-11
3.560240963855421548e+00 5.168202212915243330e-11
3.580321285140562360e+00 4.921502662886587367e-11
3.600401606425702727e+00 4.684712403755061909e-11
3.620481927710843539e+00 4.457813234804730339e-11
3.640562248995983907e+00 4.240756225643954814e-11
3.660642570281124719e+00 4.033464231260267743e-11
3.680722891566265087e+00 3.835833646733661176e-11
3.700803212851405455e+00 3.647735503945023818e-11
3.720883534136546267e+00 3.469016050437419325e-11
3.740963855421686635e+00 3.299496977484003525e-11
3.761044176706827447e+00 3.138975478277989129e-11
3.781124497991967814e+00 2.987224317183560377e-11
3.801204819277108626e+00 2.843992077703954092e-11
3.821285140562248994e+00 2.709003731964432059e-11
3.841365461847389362e+00 2.581961640732513925e-11
3.861445783132530174e+00 2.462547053548668398e-11
3.881526104417670542e+00 2.350422136868505862e-11
3.901606425702811354e+00 2.245232517532416065e-11
3.921686746987951722e+00 2.146610292258967613e-11
3.941767068273092534e+00 2.054177423446343092e-11
3.961847389558232901e+00 1.967549418859768705e-11
3.981927710843373269e+00 1.886339178519085937e-11
4.002008032128514081e+00 1.810160886323997627e-11
4.022088353413654893e+00 1.738633826149119166e-11
4.042168674698794817e+00 1.671386011410775446e-11
4.062248995983935629e+00 1.608057532376651806e-11
4.082329317269076441e+00 1.548303545698183778e-11
4.102409638554217253e+00 1.491796854902683864e-11
4.122489959839357176e+00 1.438230058236433623e-11
4.142570281124497988e+00 1.387317270833852249e-11
4.162650602409638800e+00 1.338795461212588329e-11
4.182730923694778724e+00 1.292425476695048283e-11
4.202811244979919536e+00 1.247992866851455358e-11
4.222891566265060348e+00 1.205308645535541877e-11
4.242971887550201160e+00 1.164210156181362016e-11
4.263052208835341084e+00 1.124562216091104172e-11
4.283132530120481896e+00 1.086258707156242154e-11
4.303212851405622708e+00 1.049224746995437275e-11
4.323293172690762631e+00 1.013419512037243398e-11
4.343373493975903443e+00 9.788396923736422257e-12
4.363453815261044255e+00 9.455234418377155828e-12
4.383534136546185067e+00 9.135545556473886291e-12
4.403614457831324991e+00 8.830664769123894910e-12
4.423694779116465803e+00 8.542456204218649963e-12
4.443775100401606615e+00 8.273334263030763474e-12
4.463855421686746539e+00 8.026265340189293442e-12
4.483935742971887350e+00 7.804745101876434015e-12
4.504016064257028162e+00 7.612746757246808977e-12
4.524096385542168974e+00 7.454637538784055348e-12
4.544176706827309786e+00 7.335062872425988106e-12
4.564257028112449710e+00 7.258800280214893010e-12
4.584337349397590522e+00 7.230587664325700758e-12
4.604417670682730446e+00 7.254933006879254209e-12
4.624497991967871258e+00 7.335914442157961998e-12
4.644578313253012070e+00 7.476980925411618525e-12
4.664658634538152882e+00 7.680764216561924609e-12
4.684738955823293693e+00 7.948912581394888660e-12
4.704819277108433617e+00 8.281955531808203558e-12
4.724899598393574429e+00 8.679207194398107245e-12
4.744979919678714353e+00 9.138713678165043483e-12
4.765060240963855165e+00 9.657247301369741148e-12
4.785140562248995977e+00 1.023034793538889527e-11
4.805220883534136789e+00 1.085240921816095527e-11
4.825301204819277601e+00 1.151680514277770685e-11
4.845381526104417524e+00 1.221605066306303395e-11
4.865461847389558336e+00 1.294198856250106290e-11
4.885542168674698260e+00 1.368599395064073316e-11
4.905622489959839072e+00 1.443918739045639409e-11
4.925702811244979884e+00 1.519264779769949584e-11
4.945783132530120696e+00 1.593761683962085544e-11
4.965863453815261508e+00 1.666568752590284828e-11
4.985943775100401432e+00 1.736897094498898771e-11
5.006024096385542244e+00 1.804023656096216170e-11
5.026104417670682167e+00 1.867302305286701818e-11
5.046184738955822979e+00 1.926171825491083704e-11
5.066265060240963791e+00 1.980160825441020217e-11
5.086345381526104603e+00 2.028889704868169385e-11
5.106425702811245415e+00 2.072069929219022630e-11
5.126506024096385339e+00 2.109500953977887485e-11
5.146586345381526151e+00 2.141065198937765212e-11
5.166666666666666963e+00 2.166721504670181543e-11
5.186746987951806886e+00 2.186497509159443820e-11
5.206827309236947698e+00 2.200481365222759083e-11
5.226907630522088510e+00 2.208813183163362153e-11
5.246987951807229322e+00 2.211676532968738677e-11
5.267068273092369246e+00 2.209290281338001809e-11
5.287148594377510058e+00 2.201900975767551286e-11
5.307228915662650870e+00 2.189775925182394027e-11
5.327309236947790794e+00 2.173197067756244714e-11
5.347389558232931606e+00 2.152455664315494695e-11
5.367469879518072418e+00 2.127847811847756712e-11
5.387550200803213230e+00 2.099670737035893697e-11
5.407630522088353153e+00 2.068219804543283912e-11
5.427710843373493965e+00 2.033786158489284590e-11
5.447791164658634777e+00 1.996654907216728672e-11
5.467871485943774701e+00 1.957103759808678739e-11
