# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.318900842986671760e-10
3.520080321285140368e+00 1.282076388875467891e-10
3.540160642570281180e+00 1.246222549656229373e-10
3.560240963855421548e+00 1.211315616610411432e-10
3.580321285140562360e+00 1.177332405990939335e-10
3.600401606425702727e+00 1.144250248347058584e-10
3.620481927710843539e+00 1.112046978086378259e-10
3.640562248995983907e+00 1.080700923266607029e-10
3.660642570281124719e+00 1.050190895609686887e-10
3.680722891566265087e+00 1.020496180731323159e-10
3.700803212851405455e+00 9.915965285790794509e-11
3.720883534136546267e+00 9.634721440725223160e-11
3.740963855421686635e+00 9.361036779390732309e-11
3.761044176706827447e+00 9.094722177394922506e-11
3.781124497991967814e+00 8.835592790771440022e-11
3.801204819277108626e+00 8.583467969854083984e-11
3.821285140562248994e+00 8.338171174878480215e-11
3.841365461847389362e+00 8.099529893259222333e-11
3.861445783132530174e+00 7.867375558493010824e-11
3.881526104417670542e+00 7.641543470640039799e-11
3.901606425702811354e+00 7.421872718337971071e-11
3.921686746987951722e+00 7.208206102305100870e-11
3.941767068273092534e+00 7.000390060290834135e-11
3.961847389558232901e+00 6.798274593433878042e-11
3.981927710843373269e+00 6.601713193990013982e-11
4.002008032128514081e+00 6.410562774393375149e-11
4.022088353413654893e+00 6.224683597616662663e-11
4.042168674698794817e+00 6.043939208797423643e-11
4.062248995983935629e+00 5.868196368099086346e-11
4.082329317269076441e+00 5.697324984777041717e-11
4.102409638554217253e+00 5.531198052421325375e-11
4.122489959839357176e+00 5.369691585349030899e-11
4.142570281124497988e+00 5.212684556120751054e-11
4.162650602409638800e+00 5.060058834156803469e-11
4.182730923694778724e+00 4.911699125429900691e-11
4.202811244979919536e+00 4.767492913212338519e-11
4.222891566265060348e+00 4.627330399856769136e-11
4.242971887550201160e+00 4.491104449590507653e-11
4.263052208835341084e+00 4.358710532304492972e-11
4.283132530120481896e+00 4.230046668318744410e-11
4.303212851405622708e+00 4.105013374107195312e-11
4.323293172690762631e+00 3.983513608965334864e-11
4.343373493975903443e+00 3.865452722605037932e-11
4.363453815261044255e+00 3.750738403661616153e-11
4.383534136546185067e+00 3.639280629098643035e-11
4.403614457831324991e+00 3.530991614496863884e-11
4.423694779116465803e+00 3.425785765213948554e-11
4.443775100401606615e+00 3.323579628402435033e-11
4.463855421686746539e+00 3.224291845873581529e-11
4.483935742971887350e+00 3.127843107795338441e-11
4.504016064257028162e+00 3.034156107213124638e-11
4.524096385542168974e+00 2.943155495382228828e-11
4.544176706827309786e+00 2.854767837901235837e-11
4.564257028112449710e+00 2.768921571635990361e-11
4.584337349397590522e+00 2.685546962423962660e-11
4.604417670682730446e+00 2.604576063549147526e-11
4.624497991967871258e+00 2.525942674977682812e-11
4.644578313253012070e+00 2.449582303344816791e-11
4.664658634538152882e+00 2.375432122683769927e-11
4.684738955823293693e+00 2.303430935887361057e-11
4.704819277108433617e+00 2.233519136893307718e-11
4.724899598393574429e+00 2.165638673584256402e-11
4.744979919678714353e+00 2.099733011393713566e-11
4.765060240963855165e+00 2.035747097609056600e-11
4.785140562248995977e+00 1.973627326362988160e-11
4.805220883534136789e+00 1.913321504304752020e-11
4.825301204819277601e+00 1.854778816942552345e-11
4.845381526104417524e+00 1.797949795648606041e-11
4.865461847389558336e+00 1.742786285318335657e-11
4.885542168674698260e+00 1.689241412675229758e-11
4.905622489959839072e+00 1.637269555212856932e-11
4.925702811244979884e+00 1.586826310765660170e-11
4.945783132530120696e+00 1.537868467700032016e-11
4.965863453815261508e+00 1.490353975717287203e-11
4.985943775100401432e+00 1.444241917260112341e-11
5.006024096385542244e+00 1.399492479514064454e-11
5.026104417670682167e+00 1.356066926995753183e-11
5.046184738955822979e+00 1.313927574719256162e-11
5.066265060240963791e+00 1.273037761932437290e-11
5.086345381526104603e+00 1.233361826414720611e-11
5.106425702811245415e+00 1.194865079327985671e-11
5.126506024096385339e+00 1.157513780612190377e-11
5.146586345381526151e+00 1.121275114917358610e-11
5.166666666666666963e+00 1.086117168063613123e-11
5.186746987951806886e+00 1.052008904020881588e-11
5.206827309236947698e+00 1.018920142399978784e-11
5.226907630522088510e+00 9.868215364467850439e-12
5.246987951807229322e+00 9.556845515312173209e-12
5.267068273092369246e+00 9.254814441227751993e-12
5.287148594377510058e+00 8.961852412444183086e-12
5.307228915662650870e+00 8.677697203966333935e-12
5.327309236947790794e+00 8.402093899434953273e-12
5.347389558232931606e+00 8.134794699526480097e-12
5.367469879518072418e+00 7.875558734811351298e-12
5.387550200803213230e+00 7.624151882990555280e-12
5.407630522088353153e+00 7.380346590430886500e-12
5.427710843373493965e+00 7.143921697919921356e-12
5.447791164658634777e+00 6.914662270563033934e-12
5.467871485943774701e+00 6.692359431746533586e-12
5.487951807228915513e+00 6.476810201096035577e-12
5.508032128514056325e+00 6.267817336369912473e-12
5.528112449799197137e+00 6.065189179251717090e-12
5.548192771084337949e+00 5.868739505057664192e-12
5.568273092369477872e+00 5.678287376480029004e-12
5.588353413654618684e+00 5.493657001687290651e-12
5.608433734939758608e+00 5.314677597461292587e-12
5.628514056224899420e+00 5.141183258660162545e-12
5.648594377510040232e+00 4.973012836271906244e-12
5.668674698795181044e+00 4.810009827803464456e-12
5.688755020080321856e+00 4.652022285881506738e-12
5.708835341365461780e+00 4.498902753855595986e-12
5.728915662650602592e+00 4.350508240984182080e-12
5.748995983935742515e+00 4.206700254464363217e-12
5.769076305220883327e+00 4.067344911032714397e-12
5.789156626506024139e+00 3.932313156840474719e-12
5.809236947791164951e+00 3.801481130275544202e-12
5.829317269076305763e+00 3.674730707543792709e-12
5.849397590361445687e+00 3.551950273943461937e-12
5.869477911646586499e+00 3.433035763305030164e-12
5.889558232931726423e+00 3.317892002165423998e-12
5.909638554216867234e+00 3.206434381959164805e-12
5.929718875502008046e+00 3.098590860183112058e-12
5.949799196787148858e+00 2.994304259238808437e-12
5.969879518072289670e+00 2.893534789896870963e-12
5.989959839357429594e+00 2.796262677235452345e-12
6.010040160642570406e+00 2.702490714631675272e-12
6.030120481927710330e+00 2.612246521924342468e-12
6.050200803212851142e+00 2.525584244495631080e-12
6.070281124497991954e+00 2.442585408355904873e-12
6.090361445783132766e+00 2.363358649108421445e-12
6.110441767068273577e+00 2.288038064553082177e-12
6.130522088353413501e+00 2.216780003124477028e-12
6.150602409638554313e+00 2.149758191017599776e-12
6.170682730923694237e+00 2.087157213553266048e-12
6.190763052208835049e+00 2.029164491599317663e-12
6.210843373493975861e+00 1.975961020018554954e-12
6.230923694779116673e+00 1.927711249730455833e-12
6.251004016064257485e+00 1.884552586435115590e-12
6.271084337349397408e+00 1.846585037984910878e-12
6.291164658634538220e+00 1.813861562774046392e-12
6.311244979919678144e+00 1.786379651271377922e-12
6.331325301204818956e+00 1.764074613898476469e-12
6.351405622489959768e+00 1.746814956408191970e-12
6.371485943775100580e+00 1.734400107090749345e-12
6.391566265060241392e+00 1.726560628590890825e-12
6.411646586345381316e+00 1.722960911504081291e-12
6.431726907630522128e+00 1.723204217375024055e-12
6.451807228915662051e+00 1.726839823995933842e-12
6.471887550200802863e+00 1.733371932715911486e-12
6.491967871485943675e+00 1.742269930176774118e-12
6.512048192771084487e+00 1.752979557401571945e-12
6.532128514056225299e+00 1.764934527138022393e-12
6.552208835341365223e+00 1.777568143553101940e-12
6.572289156626506035e+00 1.790324513098125061e-12
6.592369477911645959e+00 1.802668986992441343e-12
6.612449799196786770e+00 1.814097539246517654e-12
6.632530120481927582e+00 1.824144854401155725e-12
6.652610441767068394e+00 1.832390971497700916e-12
6.672690763052209206e+00 1.838466401132161340e-12
6.692771084337350018e+00 1.842055697483857810e-12
6.712851405622489942e+00 1.842899524499977278e-12
6.732931726907629866e+00 1.840795303364047126e-12
6.753012048192770678e+00 1.835596566168903474e-12
6.773092369477911490e+00 1.827211168226384488e-12
6.793172690763052302e+00 1.815598529106710630e-12
6.813253012048193114e+00 1.800766081160876307e-12
6.833333333333333925e+00 1.782765105078006128e-12
6.853413654618473849e+00 1.761686126271533842e-12
6.873493975903614661e+00 1.737654034940262009e-12
6.893574297188754585e+00 1.710823077857264935e-12
6.913654618473895397e+00 1.681371852558489821e-12
6.933734939759036209e+00 1.649498415759779128e-12
6.953815261044177021e+00 1.615415598492725747e-12
6.973895582329317833e+00 1.579346601412522156e-12
6.993975903614457756e+00 1.541520925619157015e-12
7.014056224899598568e+00 1.502170677608793998e-12
7.034136546184738492e+00 1.461527271948514944e-12
7.054216867469879304e+00 1.419818542129036667e-12
7.074297188755020116e+00 1.377266258872177190e-12
7.094377510040160928e+00 1.334084045939906568e-12
7.114457831325301740e+00 1.290475676129677390e-12
7.134538152610441664e+00 1.246633724516096151e-12
7.154618473895582476e+00 1.202738551948579588e-12
7.174698795180722399e+00 1.158957589155503003e-12
7.194779116465863211e+00 1.115444890346014594e-12
7.214859437751004023e+00 1.072340924751089097e-12
7.234939759036144835e+00 1.029772574922024733e-12
7.255020080321285647e+00 9.878533116373905411e-13
7.275100401606425571e+00 9.466835168030308758e-13
7.295180722891566383e+00 9.063509276267890776e-13
7.315261044176706307e+00 8.669311774906976672e-13
7.335341365461847118e+00 8.284884112269462467e-13
7.355421686746987930e+00 7.910759548461757335e-13
7.375502008032128742e+00 7.547370220991145203e-13
7.395582329317269554e+00 7.195054425221154342e-13
7.415662650602409478e+00 6.854063977830305954e-13
7.435742971887550290e+00 6.524571551768441288e-13
7.455823293172690214e+00 6.206677890009450254e-13
7.475903614457831026e+00 5.900418822560544352e-13
7.495983935742971838e+00 5.605772026657220219e-13
7.516064257028112650e+00 5.322663483848334501e-13
7.536144578313252573e+00 5.050973599801601954e-13
7.556224899598393385e+00 4.790542963206490595e-13
7.576305220883534197e+00 4.541177729214194357e-13
7.596385542168675009e+00 4.302654620540297927e-13
7.616465863453814933e+00 4.074725545782926610e-13
7.636546184738955745e+00 3.857121839796641907e-13
7.656626506024096557e+00 3.649558135231583475e-13
7.676706827309237369e+00 3.451735877714195305e-13
7.696787148594377292e+00 3.263346499723695142e-13
7.716867469879518104e+00 3.084074270111149977e-13
7.736947791164658916e+00 2.913598837514158461e-13
7.757028112449798840e+00 2.751597486728146251e-13
7.777108433734939652e+00 2.597747127487006631e-13
7.797188755020080464e+00 2.451726035152873729e-13
7.817269076305221276e+00 2.313215362581726354e-13
7.837349397590361200e+00 2.181900441975329360e-13
7.857429718875502012e+00 2.057471894899116792e-13
7.877510040160642824e+00 1.939626567883288873e-13
7.897590361445782747e+00 1.828068310166266149e-13
7.917670682730923559e+00 1.722508609217097464e-13
7.937751004016064371e+00 1.622667098711760843e-13
7.957831325301205183e+00 1.528271952658766419e-13
7.977911646586345107e+00 1.439060178389923404e-13
7.997991967871485919e+00 1.354777820165904918e-13
8.018072289156627619e+00 1.275180084204845730e-13
8.038152610441766655e+00 1.200031395033637781e-13
8.058232931726907466e+00 1.129105392192478268e-13
8.078313253012048278e+00 1.062184875498041449e-13
8.098393574297189090e+00 9.990617062916501004e-14
8.118473895582329902e+00 9.395366713688220617e-14
8.138554216867468938e+00 8.834193156050487558e-14
8.158634538152611526e+00 8.305277486601231199e-14
8.178714859437750562e+00 7.806884305587614337e-14
8.198795180722891374e+00 7.337359404068177505e-14
8.218875502008032186e+00 6.895127320093838806e-14
8.238955823293172998e+00 6.478688797059259021e-14
8.259036144578313809e+00 6.086618173276365252e-14
8.279116465863452845e+00 5.717560728098750032e-14
8.299196787148595433e+00 5.370230006560879488e-14
8.319277108433734469e+00 5.043405141464283820e-14
8.339357429718875281e+00 4.735928189116745217e-14
8.359437751004016093e+00 4.446701492493777686e-14
8.379518072289156905e+00 4.174685083411511439e-14
8.399598393574297717e+00 3.918894133364829344e-14
