# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 6.975867205143236747e-10
3.520080321285140368e+00 6.736042768080967210e-10
3.540160642570281180e+00 6.497466973882576981e-10
3.560240963855421548e+00 6.260729735394995191e-10
3.580321285140562360e+00 6.026390514456724554e-10
3.600401606425702727e+00 5.794974600613249698e-10
3.620481927710843539e+00 5.566970261754385744e-10
3.640562248995983907e+00 5.342826765910355492e-10
3.660642570281124719e+00 5.122953254369793941e-10
3.680722891566265087e+00 4.907718427874527488e-10
3.700803212851405455e+00 4.697450988790378647e-10
3.720883534136546267e+00 4.492440762231671691e-10
3.740963855421686635e+00 4.292940398245263290e-10
3.761044176706827447e+00 4.099167536318272263e-10
3.781124497991967814e+00 3.911307294463333445e-10
3.801204819277108626e+00 3.729514930356844597e-10
3.821285140562248994e+00 3.553918514078535655e-10
3.841365461847389362e+00 3.384621453284679711e-10
3.861445783132530174e+00 3.221704723764417786e-10
3.881526104417670542e+00 3.065228681766881244e-10
3.901606425702811354e+00 2.915234368381477202e-10
3.921686746987951722e+00 2.771744258378715596e-10
3.941767068273092534e+00 2.634762452904509026e-10
3.961847389558232901e+00 2.504274363154070448e-10
3.981927710843373269e+00 2.380245976291072583e-10
4.002008032128514081e+00 2.262622831401414648e-10
4.022088353413654893e+00 2.151328858962935069e-10
4.042168674698794817e+00 2.046265250131139656e-10
4.062248995983935629e+00 1.947309521415060874e-10
4.082329317269076441e+00 1.854314926762637925e-10
4.102409638554217253e+00 1.767110344640832127e-10
4.122489959839357176e+00 1.685500735274798537e-10
4.142570281124497988e+00 1.609268226250953946e-10
4.162650602409638800e+00 1.538173846763169896e-10
4.182730923694778724e+00 1.471959895152029282e-10
4.202811244979919536e+00 1.410352893625285242e-10
4.222891566265060348e+00 1.353067059744424141e-10
4.242971887550201160e+00 1.299808206880885203e-10
4.263052208835341084e+00 1.250277974744130469e-10
4.283132530120481896e+00 1.204178284721761964e-10
4.303212851405622708e+00 1.161215911086389318e-10
4.323293172690762631e+00 1.121107056020039433e-10
4.343373493975903443e+00 1.083581812280915558e-10
4.363453815261044255e+00 1.048388391523401524e-10
4.383534136546185067e+00 1.015296989321833887e-10
4.403614457831324991e+00 9.841031516050336684e-11
4.423694779116465803e+00 9.546305041996549271e-11
