# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 9.243290716877783088e-11
3.520080321285140368e+00 8.982020925078135226e-11
3.540160642570281180e+00 8.727525014818530247e-11
3.560240963855421548e+00 8.479644415979260160e-11
3.580321285140562360e+00 8.238223940955876771e-11
3.600401606425702727e+00 8.003111711202004171e-11
3.620481927710843539e+00 7.774159085732712732e-11
3.640562248995983907e+00 7.551220591535322489e-11
3.660642570281124719e+00 7.334153855834583888e-11
3.680722891566265087e+00 7.122819540160210136e-11
3.700803212851405455e+00 6.917081276164926631e-11
3.720883534136546267e+00 6.716805603142136168e-11
3.740963855421686635e+00 6.521861907192759969e-11
3.761044176706827447e+00 6.332122361991484128e-11
3.781124497991967814e+00 6.147461871103499255e-11
3.801204819277108626e+00 5.967758011803361324e-11
3.821285140562248994e+00 5.792890980348475488e-11
3.841365461847389362e+00 5.622743538660456157e-11
3.861445783132530174e+00 5.457200962368491007e-11
3.881526104417670542e+00 5.296150990169596554e-11
3.901606425702811354e+00 5.139483774461586752e-11
3.921686746987951722e+00 4.987091833205551211e-11
3.941767068273092534e+00 4.838870002975416444e-11
3.961847389558232901e+00 4.694715393153316395e-11
3.981927710843373269e+00 4.554527341230317323e-11
4.002008032128514081e+00 4.418207369173218224e-11
4.022088353413654893e+00 4.285659140819025578e-11
4.042168674698794817e+00 4.156788420259893523e-11
4.062248995983935629e+00 4.031503031182255635e-11
4.082329317269076441e+00 3.909712817125166982e-11
4.102409638554217253e+00 3.791329602623706168e-11
4.122489959839357176e+00 3.676267155204634486e-11
4.142570281124497988e+00 3.564441148202470253e-11
4.162650602409638800e+00 3.455769124365432094e-11
4.182730923694778724e+00 3.350170460221573489e-11
4.202811244979919536e+00 3.247566331176815122e-11
4.222891566265060348e+00 3.147879677317604583e-11
4.242971887550201160e+00 3.051035169891970143e-11
4.263052208835341084e+00 2.956959178444006509e-11
4.283132530120481896e+00 2.865579738577780718e-11
4.303212851405622708e+00 2.776826520327895852e-11
4.323293172690762631e+00 2.690630797114839456e-11
4.343373493975903443e+00 2.606925415264429708e-11
4.363453815261044255e+00 2.525644764071745161e-11
4.383534136546185067e+00 2.446724746390747136e-11
4.403614457831324991e+00 2.370102749732034659e-11
4.423694779116465803e+00 2.295717617851950804e-11
4.443775100401606615e+00 2.223509622817357322e-11
4.463855421686746539e+00 2.153420437531163077e-11
