# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.744739627328763542e-10
3.520080321285140368e+00 1.696774386227760987e-10
3.540160642570281180e+00 1.650077680665861376e-10
3.560240963855421548e+00 1.604617641244545105e-10
3.580321285140562360e+00 1.560363140590075137e-10
3.600401606425702727e+00 1.517283777795775469e-10
3.620481927710843539e+00 1.475349863164403499e-10
3.640562248995983907e+00 1.434532403243602809e-10
3.660642570281124719e+00 1.394803086147662562e-10
3.680722891566265087e+00 1.356134267159107688e-10
3.700803212851405455e+00 1.318498954603885533e-10
3.720883534136546267e+00 1.281870795994184723e-10
3.740963855421686635e+00 1.246224064433143029e-10
3.761044176706827447e+00 1.211533645275921506e-10
3.781124497991967814e+00 1.177775023041876037e-10
3.801204819277108626e+00 1.144924268572702137e-10
3.821285140562248994e+00 1.112958026431689340e-10
3.841365461847389362e+00 1.081853502539349040e-10
3.861445783132530174e+00 1.051588452040900277e-10
3.881526104417670542e+00 1.022141167401234587e-10
3.901606425702811354e+00 9.934904667231431049e-11
3.921686746987951722e+00 9.656156822847570012e-11
3.941767068273092534e+00 9.384966492922549444e-11
3.961847389558232901e+00 9.121136948440639806e-11
3.981927710843373269e+00 8.864476271028622675e-11
4.002008032128514081e+00 8.614797246718452729e-11
4.022088353413654893e+00 8.371917261717956237e-11
4.042168674698794817e+00 8.135658200156213888e-11
4.062248995983935629e+00 7.905846343770947857e-11
4.082329317269076441e+00 7.682312273506566833e-11
4.102409638554217253e+00 7.464890772991794168e-11
4.122489959839357176e+00 7.253420733867048949e-11
4.142570281124497988e+00 7.047745062932163370e-11
4.162650602409638800e+00 6.847710591085987864e-11
4.182730923694778724e+00 6.653167984029662920e-11
4.202811244979919536e+00 6.463971654706295506e-11
4.222891566265060348e+00 6.279979677450168387e-11
4.242971887550201160e+00 6.101053703819043546e-11
4.263052208835341084e+00 5.927058880083714222e-11
4.283132530120481896e+00 5.757863766349308987e-11
4.303212851405622708e+00 5.593340257283422610e-11
4.323293172690762631e+00 5.433363504426218199e-11
4.343373493975903443e+00 5.277811840058305608e-11
4.363453815261044255e+00 5.126566702602481529e-11
4.383534136546185067e+00 4.979512563535479391e-11
4.403614457831324991e+00 4.836536855786524070e-11
4.423694779116465803e+00 4.697529903599509010e-11
4.443775100401606615e+00 4.562384853836021824e-11
4.463855421686746539e+00 4.430997608696561986e-11
4.483935742971887350e+00 4.303266759837614840e-11
4.504016064257028162e+00 4.179093523862527837e-11
4.524096385542168974e+00 4.058381679164160810e-11
4.544176706827309786e+00 3.941037504097678865e-11
4.564257028112449710e+00 3.826969716461974723e-11
4.584337349397590522e+00 3.716089414268346305e-11
4.604417670682730446e+00 3.608310017775433383e-11
4.624497991967871258e+00 3.503547212769302095e-11
4.644578313253012070e+00 3.401718895068097338e-11
4.664658634538152882e+00 3.302745116230549266e-11
4.684738955823293693e+00 3.206548030448013679e-11
4.704819277108433617e+00 3.113051842599801079e-11
4.724899598393574429e+00 3.022182757451736525e-11
4.744979919678714353e+00 2.933868929978143213e-11
4.765060240963855165e+00 2.848040416787438800e-11
4.785140562248995977e+00 2.764629128631988435e-11
4.805220883534136789e+00 2.683568783982737958e-11
4.825301204819277601e+00 2.604794863649566250e-11
4.845381526104417524e+00 2.528244566428338999e-11
4.865461847389558336e+00 2.453856765755887214e-11
4.885542168674698260e+00 2.381571967354331559e-11
4.905622489959839072e+00 2.311332267846282466e-11
4.925702811244979884e+00 2.243081314322755529e-11
4.945783132530120696e+00 2.176764264845723772e-11
4.965863453815261508e+00 2.112327749867476842e-11
4.985943775100401432e+00 2.049719834549168169e-11
5.006024096385542244e+00 1.988889981961068173e-11
5.026104417670682167e+00 1.929789017147344307e-11
5.046184738955822979e+00 1.872369092038231097e-11
5.066265060240963791e+00 1.816583651192876280e-11
