# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 6.842363197193971290e-13
3.520080321285140368e+00 6.656966745401321897e-13
3.540160642570281180e+00 6.477162158992079771e-13
3.560240963855421548e+00 6.302810519080987937e-13
3.580321285140562360e+00 6.133766368796675876e-13
3.600401606425702727e+00 5.969874585456334085e-13
3.620481927710843539e+00 5.810968341661840584e-13
3.640562248995983907e+00 5.656868168337934667e-13
3.660642570281124719e+00 5.507382071282904269e-13
3.680722891566265087e+00 5.362306600841460237e-13
3.700803212851405455e+00 5.221428734219795869e-13
3.720883534136546267e+00 5.084528402964980670e-13
3.740963855421686635e+00 4.951381484367416232e-13
3.761044176706827447e+00 4.821763074263782196e-13
3.781124497991967814e+00 4.695450868546161015e-13
3.801204819277108626e+00 4.572228500004521361e-13
3.821285140562248994e+00 4.451888704600617193e-13
3.841365461847389362e+00 4.334236226505194428e-13
3.861445783132530174e+00 4.219090415667462564e-13
3.881526104417670542e+00 4.106287529557570749e-13
3.901606425702811354e+00 3.995682829863482839e-13
3.921686746987951722e+00 3.887152676963719586e-13
3.941767068273092534e+00 3.780596984278980953e-13
3.961847389558232901e+00 3.675942615133552208e-13
3.981927710843373269e+00 3.573148594765707991e-13
4.002008032128514081e+00 3.472214364521867614e-13
4.022088353413654893e+00 3.373192697221658278e-13
4.042168674698794817e+00 3.276209266744011197e-13
4.062248995983935629e+00 3.181491134776947735e-13
4.082329317269076441e+00 3.089406471788297540e-13
4.102409638554217253e+00 3.000517545743341009e-13
4.122489959839357176e+00 2.915648282916446643e-13
4.142570281124497988e+00 2.835966465899507097e-13
4.162650602409638800e+00 2.763078892912703736e-13
4.182730923694778724e+00 2.699135681714331030e-13
4.202811244979919536e+00 2.646937561835680703e-13
4.222891566265060348e+00 2.610037746191795631e-13
4.242971887550201160e+00 2.592828142892688999e-13
4.263052208835341084e+00 2.600598595495488661e-13
4.283132530120481896e+00 2.639557802872757732e-13
4.303212851405622708e+00 2.716805736346082314e-13
4.323293172690762631e+00 2.840249762549610545e-13
4.343373493975903443e+00 3.018460154965923201e-13
4.363453815261044255e+00 3.260464945108674801e-13
4.383534136546185067e+00 3.575488722683080045e-13
4.403614457831324991e+00 3.972644580212642147e-13
4.423694779116465803e+00 4.460592451404261249e-13
4.443775100401606615e+00 5.047180215040985174e-13
4.463855421686746539e+00 5.739085836892479011e-13
4.483935742971887350e+00 6.541479347747472627e-13
4.504016064257028162e+00 7.457722598552638239e-13
4.524096385542168974e+00 8.489122620661368602e-13
4.544176706827309786e+00 9.634751285273324559e-13
4.564257028112449710e+00 1.089134010821025021e-12
4.584337349397590522e+00 1.225325482374778232e-12
4.604417670682730446e+00 1.371255008926522304e-12
4.624497991967871258e+00 1.525910068063151858e-12
4.644578313253012070e+00 1.688080203897282385e-12
4.664658634538152882e+00 1.856383020583778374e-12
4.684738955823293693e+00 2.029294913621231747e-12
4.704819277108433617e+00 2.205185213932253416e-12
4.724899598393574429e+00 2.382352373868929870e-12
4.744979919678714353e+00 2.559060849206560409e-12
4.765060240963855165e+00 2.733577416269924383e-12
4.785140562248995977e+00 2.904205796057536638e-12
